Sample Name, Sample-71
Time, February 06 11:45:18 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8657, 13.62
301.0, 0.7794, 16.62
302.0, 0.7032, 19.81
303.0, 0.6374, 23.05
304.0, 0.5822, 26.17
305.0, 0.5306, 29.47
306.0, 0.4838, 32.83
307.0, 0.4453, 35.87
308.0, 0.4135, 38.59
309.0, 0.3885, 40.88
310.0, 0.3684, 42.81
311.0, 0.3518, 44.49
312.0, 0.3382, 45.90
313.0, 0.3274, 47.06
314.0, 0.3190, 47.97
315.0, 0.3123, 48.72
316.0, 0.3062, 49.41
317.0, 0.3010, 50.00
318.0, 0.2957, 50.61
319.0, 0.2912, 51.15
320.0, 0.2868, 51.66
321.0, 0.2832, 52.10
322.0, 0.2800, 52.48
323.0, 0.2768, 52.87
324.0, 0.2737, 53.24
325.0, 0.2705, 53.64
326.0, 0.2681, 53.94
327.0, 0.2654, 54.28
328.0, 0.2629, 54.59
329.0, 0.2606, 54.88
330.0, 0.2590, 55.08
331.0, 0.2546, 55.64
332.0, 0.2518, 56.00
333.0, 0.2496, 56.28
334.0, 0.2473, 56.59
335.0, 0.2446, 56.94
336.0, 0.2419, 57.29
337.0, 0.2396, 57.59
338.0, 0.2377, 57.84
339.0, 0.2360, 58.07
340.0, 0.2168, 60.71
341.0, 0.2157, 60.86
342.0, 0.2143, 61.05
343.0, 0.2127, 61.28
344.0, 0.2116, 61.43
345.0, 0.2099, 61.67
346.0, 0.2089, 61.81
347.0, 0.2075, 62.01
348.0, 0.2064, 62.17
349.0, 0.2050, 62.37
350.0, 0.2039, 62.53
351.0, 0.2028, 62.69
352.0, 0.2020, 62.81
353.0, 0.2005, 63.02
354.0, 0.1986, 63.30
355.0, 0.1967, 63.58
356.0, 0.1951, 63.81
357.0, 0.1934, 64.06
358.0, 0.1916, 64.32
359.0, 0.1899, 64.58
360.0, 0.1883, 64.82
361.0, 0.1865, 65.09
362.0, 0.1847, 65.36
363.0, 0.1833, 65.57
364.0, 0.1818, 65.80
365.0, 0.1802, 66.03
366.0, 0.1782, 66.35
367.0, 0.1763, 66.63
368.0, 0.1739, 67.00
369.0, 0.1716, 67.36
370.0, 0.1709, 67.46
371.0, 0.1723, 67.25
372.0, 0.1706, 67.51
373.0, 0.1692, 67.73
374.0, 0.1678, 67.95
375.0, 0.1663, 68.18
376.0, 0.1650, 68.39
377.0, 0.1637, 68.60
378.0, 0.1621, 68.85
379.0, 0.1609, 69.05
380.0, 0.1595, 69.27
381.0, 0.1579, 69.52
382.0, 0.1568, 69.70
383.0, 0.1555, 69.90
384.0, 0.1549, 70.00
385.0, 0.1527, 70.35
386.0, 0.1515, 70.56
387.0, 0.1502, 70.76
388.0, 0.1493, 70.90
389.0, 0.1481, 71.10
390.0, 0.1469, 71.31
391.0, 0.1456, 71.52
392.0, 0.1444, 71.71
393.0, 0.1432, 71.91
394.0, 0.1422, 72.09
395.0, 0.1408, 72.30
396.0, 0.1398, 72.48
397.0, 0.1386, 72.68
398.0, 0.1375, 72.87
399.0, 0.1366, 73.02
400.0, 0.1355, 73.20
401.0, 0.1344, 73.39
402.0, 0.1332, 73.59
403.0, 0.1323, 73.74
404.0, 0.1313, 73.91
405.0, 0.1303, 74.08
406.0, 0.1291, 74.29
407.0, 0.1281, 74.46
408.0, 0.1271, 74.62
409.0, 0.1263, 74.77
410.0, 0.1253, 74.94
411.0, 0.1246, 75.06
412.0, 0.1237, 75.22
413.0, 0.1228, 75.36
414.0, 0.1219, 75.53
415.0, 0.1211, 75.66
416.0, 0.1201, 75.84
417.0, 0.1193, 75.97
418.0, 0.1185, 76.11
419.0, 0.1177, 76.27
420.0, 0.1169, 76.39
421.0, 0.1159, 76.58
422.0, 0.1151, 76.72
423.0, 0.1143, 76.85
424.0, 0.1137, 76.97
425.0, 0.1129, 77.12
426.0, 0.1121, 77.24
427.0, 0.1114, 77.37
428.0, 0.1106, 77.51
429.0, 0.1100, 77.63
430.0, 0.1093, 77.75
431.0, 0.1085, 77.90
432.0, 0.1077, 78.04
433.0, 0.1070, 78.17
434.0, 0.1063, 78.30
435.0, 0.1057, 78.40
436.0, 0.1051, 78.51
437.0, 0.1043, 78.64
438.0, 0.1037, 78.76
439.0, 0.1030, 78.88
440.0, 0.1023, 79.01
441.0, 0.1017, 79.13
442.0, 0.1011, 79.23
443.0, 0.1002, 79.39
444.0, 0.0997, 79.48
445.0, 0.0990, 79.62
446.0, 0.0986, 79.70
447.0, 0.0980, 79.80
448.0, 0.0975, 79.89
449.0, 0.0973, 79.92
450.0, 0.0970, 79.99
