Sample Name, Sample-137
Time, February 06 15:31:50 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0912, 8.11
301.0, 1.0237, 9.47
302.0, 0.9505, 11.21
303.0, 0.8759, 13.31
304.0, 0.8083, 15.55
305.0, 0.7400, 18.20
306.0, 0.6723, 21.27
307.0, 0.6149, 24.27
308.0, 0.5665, 27.13
309.0, 0.5270, 29.72
310.0, 0.4950, 31.99
311.0, 0.4672, 34.10
312.0, 0.4450, 35.90
313.0, 0.4277, 37.35
314.0, 0.4138, 38.57
315.0, 0.4019, 39.64
316.0, 0.3921, 40.54
317.0, 0.3823, 41.46
318.0, 0.3731, 42.35
319.0, 0.3649, 43.16
320.0, 0.3573, 43.92
321.0, 0.3505, 44.62
322.0, 0.3441, 45.28
323.0, 0.3378, 45.94
324.0, 0.3316, 46.60
325.0, 0.3263, 47.17
326.0, 0.3210, 47.75
327.0, 0.3159, 48.32
328.0, 0.3106, 48.91
329.0, 0.3057, 49.47
330.0, 0.3028, 49.79
331.0, 0.2939, 50.83
332.0, 0.2881, 51.51
333.0, 0.2825, 52.18
334.0, 0.2770, 52.85
335.0, 0.2716, 53.50
336.0, 0.2662, 54.17
337.0, 0.2611, 54.81
338.0, 0.2560, 55.47
339.0, 0.2526, 55.90
340.0, 0.2143, 61.05
341.0, 0.2111, 61.50
342.0, 0.2083, 61.90
343.0, 0.2050, 62.38
344.0, 0.2027, 62.71
345.0, 0.1998, 63.13
346.0, 0.1973, 63.49
347.0, 0.1944, 63.91
348.0, 0.1922, 64.24
349.0, 0.1893, 64.67
350.0, 0.1873, 64.97
351.0, 0.1850, 65.32
352.0, 0.1826, 65.68
353.0, 0.1795, 66.14
354.0, 0.1766, 66.58
355.0, 0.1735, 67.07
356.0, 0.1704, 67.55
357.0, 0.1675, 68.00
358.0, 0.1642, 68.51
359.0, 0.1610, 69.03
360.0, 0.1583, 69.46
361.0, 0.1558, 69.86
362.0, 0.1531, 70.29
363.0, 0.1508, 70.66
364.0, 0.1481, 71.11
365.0, 0.1456, 71.51
366.0, 0.1421, 72.09
367.0, 0.1390, 72.61
368.0, 0.1361, 73.10
369.0, 0.1326, 73.68
370.0, 0.1308, 73.99
371.0, 0.1360, 73.11
372.0, 0.1343, 73.40
373.0, 0.1324, 73.73
374.0, 0.1308, 74.00
375.0, 0.1290, 74.31
376.0, 0.1273, 74.59
377.0, 0.1255, 74.90
378.0, 0.1236, 75.23
379.0, 0.1216, 75.58
380.0, 0.1197, 75.92
381.0, 0.1181, 76.18
382.0, 0.1167, 76.44
383.0, 0.1149, 76.75
384.0, 0.1141, 76.89
385.0, 0.1121, 77.25
386.0, 0.1106, 77.52
387.0, 0.1093, 77.75
388.0, 0.1080, 77.99
389.0, 0.1064, 78.27
390.0, 0.1049, 78.54
391.0, 0.1033, 78.83
392.0, 0.1021, 79.05
393.0, 0.1008, 79.29
394.0, 0.0996, 79.51
395.0, 0.0982, 79.76
396.0, 0.0969, 80.00
397.0, 0.0955, 80.26
398.0, 0.0945, 80.44
399.0, 0.0932, 80.68
400.0, 0.0922, 80.88
401.0, 0.0910, 81.09
402.0, 0.0898, 81.33
403.0, 0.0887, 81.54
404.0, 0.0874, 81.78
405.0, 0.0862, 82.00
406.0, 0.0852, 82.20
407.0, 0.0841, 82.39
408.0, 0.0831, 82.58
409.0, 0.0820, 82.79
410.0, 0.0812, 82.95
411.0, 0.0803, 83.11
412.0, 0.0796, 83.25
413.0, 0.0786, 83.45
414.0, 0.0776, 83.64
415.0, 0.0766, 83.82
416.0, 0.0757, 84.00
417.0, 0.0749, 84.17
418.0, 0.0742, 84.29
419.0, 0.0734, 84.45
420.0, 0.0725, 84.63
421.0, 0.0716, 84.80
422.0, 0.0709, 84.95
423.0, 0.0703, 85.05
424.0, 0.0696, 85.19
425.0, 0.0688, 85.34
426.0, 0.0682, 85.47
427.0, 0.0675, 85.61
428.0, 0.0668, 85.74
429.0, 0.0661, 85.88
430.0, 0.0654, 86.03
431.0, 0.0646, 86.17
432.0, 0.0640, 86.29
433.0, 0.0632, 86.45
434.0, 0.0626, 86.58
435.0, 0.0620, 86.69
436.0, 0.0614, 86.81
437.0, 0.0609, 86.92
438.0, 0.0603, 87.03
439.0, 0.0596, 87.17
440.0, 0.0589, 87.33
441.0, 0.0584, 87.42
442.0, 0.0579, 87.52
443.0, 0.0572, 87.66
444.0, 0.0565, 87.80
445.0, 0.0559, 87.93
446.0, 0.0555, 88.00
447.0, 0.0553, 88.05
448.0, 0.0548, 88.15
449.0, 0.0543, 88.25
450.0, 0.0540, 88.31
