Sample Name, Sample-138
Time, February 06 15:33:19 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0567, 8.78
301.0, 0.9817, 10.43
302.0, 0.9059, 12.42
303.0, 0.8319, 14.73
304.0, 0.7639, 17.22
305.0, 0.6964, 20.12
306.0, 0.6307, 23.41
307.0, 0.5753, 26.59
308.0, 0.5300, 29.51
309.0, 0.4931, 32.13
310.0, 0.4629, 34.44
311.0, 0.4370, 36.56
312.0, 0.4166, 38.32
313.0, 0.4006, 39.76
314.0, 0.3872, 41.00
315.0, 0.3763, 42.04
316.0, 0.3670, 42.95
317.0, 0.3581, 43.84
318.0, 0.3494, 44.73
319.0, 0.3419, 45.51
320.0, 0.3351, 46.23
321.0, 0.3287, 46.92
322.0, 0.3228, 47.55
323.0, 0.3167, 48.23
324.0, 0.3112, 48.84
325.0, 0.3060, 49.43
326.0, 0.3012, 49.99
327.0, 0.2963, 50.55
328.0, 0.2917, 51.08
329.0, 0.2867, 51.68
330.0, 0.2839, 52.01
331.0, 0.2755, 53.02
332.0, 0.2701, 53.70
333.0, 0.2649, 54.33
334.0, 0.2598, 54.98
335.0, 0.2547, 55.62
336.0, 0.2496, 56.29
337.0, 0.2446, 56.94
338.0, 0.2399, 57.55
339.0, 0.2370, 57.94
340.0, 0.2003, 63.05
341.0, 0.1977, 63.43
342.0, 0.1947, 63.87
343.0, 0.1917, 64.31
344.0, 0.1894, 64.65
345.0, 0.1872, 64.99
346.0, 0.1851, 65.30
347.0, 0.1827, 65.67
348.0, 0.1802, 66.04
349.0, 0.1774, 66.47
350.0, 0.1752, 66.81
351.0, 0.1729, 67.16
352.0, 0.1704, 67.54
353.0, 0.1676, 67.98
354.0, 0.1650, 68.40
355.0, 0.1624, 68.81
356.0, 0.1592, 69.32
357.0, 0.1565, 69.75
358.0, 0.1535, 70.23
359.0, 0.1503, 70.74
360.0, 0.1473, 71.24
361.0, 0.1449, 71.63
362.0, 0.1423, 72.06
363.0, 0.1403, 72.39
364.0, 0.1378, 72.81
365.0, 0.1357, 73.16
366.0, 0.1327, 73.67
367.0, 0.1295, 74.21
368.0, 0.1267, 74.69
369.0, 0.1235, 75.25
370.0, 0.1220, 75.51
371.0, 0.1266, 74.71
372.0, 0.1247, 75.04
373.0, 0.1230, 75.34
374.0, 0.1212, 75.65
375.0, 0.1199, 75.88
376.0, 0.1184, 76.15
377.0, 0.1166, 76.46
378.0, 0.1148, 76.77
379.0, 0.1131, 77.07
380.0, 0.1114, 77.38
381.0, 0.1098, 77.66
382.0, 0.1082, 77.94
383.0, 0.1068, 78.19
384.0, 0.1059, 78.36
385.0, 0.1042, 78.67
386.0, 0.1027, 78.94
387.0, 0.1013, 79.19
388.0, 0.1001, 79.42
389.0, 0.0985, 79.71
390.0, 0.0970, 79.99
391.0, 0.0958, 80.21
392.0, 0.0945, 80.44
393.0, 0.0935, 80.63
394.0, 0.0922, 80.88
395.0, 0.0908, 81.13
396.0, 0.0896, 81.36
397.0, 0.0884, 81.57
398.0, 0.0874, 81.76
399.0, 0.0863, 81.97
400.0, 0.0852, 82.19
401.0, 0.0842, 82.38
402.0, 0.0831, 82.58
403.0, 0.0821, 82.78
404.0, 0.0809, 83.01
405.0, 0.0798, 83.21
406.0, 0.0789, 83.40
407.0, 0.0780, 83.56
408.0, 0.0769, 83.77
409.0, 0.0760, 83.95
410.0, 0.0753, 84.09
411.0, 0.0745, 84.23
412.0, 0.0737, 84.40
413.0, 0.0729, 84.54
414.0, 0.0720, 84.72
415.0, 0.0712, 84.88
416.0, 0.0703, 85.05
417.0, 0.0695, 85.21
418.0, 0.0689, 85.33
419.0, 0.0680, 85.50
420.0, 0.0673, 85.65
421.0, 0.0664, 85.82
422.0, 0.0659, 85.93
423.0, 0.0653, 86.03
424.0, 0.0648, 86.14
425.0, 0.0640, 86.29
426.0, 0.0634, 86.42
427.0, 0.0628, 86.53
428.0, 0.0622, 86.66
429.0, 0.0615, 86.79
430.0, 0.0610, 86.90
431.0, 0.0603, 87.04
432.0, 0.0596, 87.17
433.0, 0.0591, 87.28
434.0, 0.0585, 87.40
435.0, 0.0580, 87.50
436.0, 0.0575, 87.60
437.0, 0.0568, 87.73
438.0, 0.0563, 87.85
439.0, 0.0557, 87.96
440.0, 0.0550, 88.10
441.0, 0.0546, 88.19
442.0, 0.0541, 88.30
443.0, 0.0535, 88.41
444.0, 0.0532, 88.48
445.0, 0.0525, 88.61
446.0, 0.0521, 88.70
447.0, 0.0517, 88.78
448.0, 0.0512, 88.87
449.0, 0.0510, 88.92
450.0, 0.0508, 88.95
