Wetland Type;Season;Sampling point;Depth;Humidity;pH;Eh;Csoil;N;P;K;Total iron;Mn;Nitrate;Sulfate;CandidatusNitrososphaera;Methanobacterium;Methanocella;Methanomassiliicoccus;Methermicoccus;Nitrosotalea;Unclassified;Pedosphaerae;Saprospirae;Spartobacteria;Acidobacteria;Acidobacteriia;Actinobacteria;Alphaproteobacteria;Anaerolineae;Bacilli;Bacteroidia;Betaproteobacteria;Clostridia;DA052;Deltaproteobacteria;Ellin6529;Flavobacteriia;Gammaproteobacteria;Gemmatimonadetes;Ktedonobacteria;MB-A2-108;Nitrospira;Planctomycetia;SJA-176;Solibacteres;Thermoleophilia;TK10;TK17;Zetaproteobacteria
Permanent;Rainy;P1;0-10;40,69;5,2;231,5;2,28;1897;16,05;1755,59;9,76;5,3;0;11,65;0,000;0,017;0,643;0,039;0,011;0,000;0,288;0,025;0,004;0,013;0,017;0,050;0,125;0,311;0,001;0,028;0,002;0,026;0,013;0,012;0,039;0,005;0,004;0,027;0,004;0,013;0,000;0,000;0,016;0,002;0,029;0,077;0,008;0,002;0,012
Permanent;Rainy;P2;0-10;49,13;5,82;217;5,08;4235;19,35;1571,82;25;7,7;0;11,75;0,000;0,003;0,668;0,028;0,009;0,002;0,290;0,053;0,019;0,014;0,024;0,036;0,090;0,250;0,002;0,021;0,004;0,041;0,009;0,015;0,044;0,003;0,005;0,039;0,005;0,046;0,000;0,001;0,004;0,002;0,045;0,050;0,010;0,005;0,002
Permanent;Rainy;P3;0-10;42,4;5,86;244,5;1,17;1043;11,45;864,11;17,01;10,35;0;10,2;0,008;0,016;0,435;0,052;0,053;0,000;0,437;0,034;0,013;0,011;0,016;0,058;0,108;0,207;0,002;0,037;0,003;0,029;0,025;0,018;0,051;0,003;0,004;0,038;0,004;0,040;0,000;0,003;0,008;0,006;0,034;0,066;0,009;0,007;0,002
Permanent;Dry;P1;0-10;36,25;5,2;294,5;2,09;2103,5;11,05;1104,575;12,5;8,2;0;13,75;0,022;0,006;0,584;0,050;0,000;0,008;0,330;0,040;0,008;0,010;0,011;0,063;0,107;0,283;0,007;0,049;0,003;0,019;0,025;0,018;0,039;0,005;0,004;0,029;0,002;0,038;0,000;0,000;0,016;0,002;0,026;0,049;0,007;0,003;0,006
Permanent;Dry;P2;0-10;41,75;5,69;186,5;3,75;3853,5;13,45;1073,295;18,8;12;0;15,9;0,000;0,100;0,395;0,139;0,007;0,000;0,359;0,014;0,016;0,002;0,005;0,035;0,097;0,306;0,003;0,059;0,003;0,049;0,028;0,006;0,059;0,002;0,004;0,067;0,009;0,020;0,000;0,000;0,001;0,001;0,040;0,051;0,009;0,002;0,003
Permanent;Dry;P3;0-10;51,01;5,07;265,5;2,49;2579,5;8,8;1239,47;22,17;3,5;0;13,2;0,000;0,039;0,469;0,076;0,009;0,022;0,384;0,007;0,011;0,003;0,021;0,046;0,097;0,328;0,002;0,035;0,002;0,030;0,018;0,034;0,031;0,003;0,005;0,041;0,004;0,035;0,000;0,002;0,005;0,001;0,039;0,045;0,009;0,006;0,001
Seasonal;Rainy;P1;0-10;37,86;5,05;290,5;2,64;2782,5;27,95;1069,385;55,94;19,7;0;21,25;0,105;0,009;0,288;0,046;0,000;0,001;0,547;0,010;0,009;0,002;0,009;0,022;0,158;0,263;0,007;0,017;0,004;0,043;0,021;0,000;0,065;0,003;0,003;0,021;0,003;0,087;0,001;0,002;0,000;0,001;0,033;0,070;0,024;0,001;0,008
Seasonal;Rainy;P2;0-10;33,82;4,69;310,5;2,64;2723;37,2;1069,385;55,93;10,25;0;18,65;0,012;0,018;0,459;0,007;0,000;0,003;0,501;0,019;0,001;0,002;0,019;0,073;0,142;0,197;0,006;0,016;0,001;0,012;0,012;0,004;0,039;0,002;0,000;0,011;0,002;0,153;0,000;0,004;0,003;0,001;0,043;0,053;0,024;0,002;0,005
Seasonal;Rainy;P3;0-10;33,5;5,65;271;3,7;3192;70,45;5108,415;55,81;17,85;4,76;16,2;0,008;0,000;0,458;0,018;0,000;0,000;0,515;0,024;0,004;0,021;0,027;0,034;0,148;0,216;0,003;0,019;0,001;0,025;0,009;0,002;0,053;0,006;0,004;0,017;0,004;0,053;0,005;0,005;0,007;0,000;0,026;0,109;0,016;0,003;0,010
Seasonal;Dry;P1;0-10;32,87;4,79;364;2,31;2352;25,5;1157,36;54,56;10,6;3,44;55,8;0,024;0,019;0,363;0,019;0,000;0,012;0,560;0,018;0,007;0,007;0,024;0,050;0,107;0,219;0,004;0,023;0,001;0,024;0,011;0,004;0,048;0,005;0,003;0,022;0,003;0,144;0,002;0,005;0,004;0,001;0,039;0,047;0,015;0,003;0,011
