;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal
;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry
;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;AH;Soil
;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02
Time;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
0.093;322.00;55545.00;378.00;6666.00;7888.00;10491.00;0.00;1335.00;3631.00;20904.00;1383.00;740.00;0.00;3401.00;870.00;1032.00;2127.00;0.00;11118.00;0.00;2717.00;72067.00;239.00;1803.00
0.099;362.00;57273.00;1053.00;6785.00;6801.00;9803.00;0.00;1407.00;3292.00;20195.00;677.00;483.00;150.00;3292.00;984.00;1482.00;1378.00;0.00;12408.00;180.00;3993.00;67769.00;258.00;1109.00
0.104;229.00;57025.00;1259.00;6418.00;7342.00;9426.00;0.00;1515.00;2874.00;20891.00;409.00;969.00;186.00;2421.00;355.00;850.00;1995.00;0.00;11314.00;0.00;3545.00;67351.00;299.00;1501.00
0.110;524.00;56674.00;1224.00;5570.00;6900.00;9059.00;215.00;1042.00;4436.00;20406.00;214.00;373.00;183.00;2287.00;922.00;1105.00;2068.00;0.00;12149.00;0.00;3695.00;65668.00;214.00;1249.00
0.116;152.00;57691.00;784.00;4689.00;7403.00;9201.00;164.00;1673.00;3234.00;17807.00;562.00;367.00;488.00;2285.00;586.00;1009.00;1940.00;184.00;11418.00;167.00;3127.00;68255.00;182.00;1640.00
0.122;153.00;57507.00;600.00;4808.00;8481.00;9281.00;0.00;2052.00;3763.00;16729.00;1057.00;334.00;171.00;1976.00;540.00;867.00;1832.00;0.00;11521.00;175.00;3175.00;66461.00;168.00;1422.00
0.127;333.00;59519.00;400.00;4617.00;7992.00;8936.00;0.00;1588.00;3498.00;16675.00;546.00;567.00;396.00;1977.00;397.00;409.00;1650.00;0.00;11598.00;431.00;2767.00;65469.00;0.00;962.00
0.133;178.00;58324.00;669.00;4933.00;6885.00;8076.00;0.00;1176.00;3290.00;17623.00;543.00;896.00;324.00;2175.00;331.00;688.00;1158.00;0.00;11440.00;0.00;2955.00;62996.00;0.00;869.00
0.139;168.00;58131.00;693.00;4954.00;6965.00;8259.00;172.00;1037.00;3566.00;16914.00;617.00;154.00;512.00;2078.00;152.00;606.00;922.00;0.00;11106.00;0.00;2857.00;63693.00;0.00;1560.00
0.144;158.00;59564.00;195.00;3612.00;7884.00;7060.00;0.00;1366.00;3348.00;17939.00;748.00;222.00;378.00;1750.00;183.00;0.00;1644.00;0.00;11449.00;151.00;2742.00;62488.00;0.00;1420.00
0.150;0.00;60393.00;527.00;3337.00;7426.00;7722.00;0.00;907.00;3092.00;16642.00;359.00;389.00;0.00;1151.00;517.00;835.00;869.00;0.00;10564.00;0.00;1853.00;60670.00;0.00;573.00
0.156;0.00;59631.00;154.00;3264.00;7165.00;6895.00;0.00;666.00;2957.00;15313.00;156.00;0.00;171.00;1534.00;0.00;777.00;1658.00;0.00;11732.00;0.00;2914.00;60965.00;0.00;939.00
0.162;168.00;59257.00;332.00;3430.00;6762.00;7160.00;0.00;502.00;3354.00;17274.00;0.00;156.00;0.00;1602.00;156.00;1010.00;828.00;0.00;9636.00;0.00;3868.00;60524.00;0.00;703.00
0.167;320.00;61126.00;540.00;4131.00;6020.00;6256.00;0.00;857.00;2896.00;14905.00;488.00;341.00;562.00;1418.00;162.00;484.00;1074.00;0.00;10488.00;161.00;2738.00;59625.00;347.00;865.00
0.173;151.00;59681.00;351.00;3408.00;6607.00;6152.00;168.00;433.00;3038.00;16503.00;507.00;334.00;0.00;1300.00;594.00;150.00;906.00;0.00;10360.00;0.00;3491.00;59683.00;0.00;749.00
0.179;0.00;59283.00;179.00;3173.00;6259.00;7200.00;150.00;629.00;3170.00;15267.00;349.00;171.00;0.00;681.00;173.00;571.00;971.00;0.00;10837.00;153.00;2799.00;56612.00;0.00;389.00
0.185;166.00;60387.00;742.00;3351.00;6070.00;6577.00;0.00;760.00;3743.00;15572.00;151.00;226.00;0.00;1270.00;0.00;156.00;355.00;0.00;10202.00;214.00;2566.00;54347.00;0.00;543.00
0.190;186.00;63070.00;334.00;3446.00;6827.00;6283.00;0.00;811.00;2631.00;14230.00;166.00;394.00;0.00;1127.00;0.00;1145.00;693.00;0.00;8698.00;0.00;3011.00;56540.00;167.00;946.00
0.196;309.00;61354.00;333.00;3137.00;6426.00;6204.00;177.00;617.00;2446.00;14729.00;168.00;403.00;405.00;931.00;199.00;459.00;612.00;0.00;9634.00;0.00;2615.00;55182.00;228.00;494.00
0.202;0.00;60483.00;486.00;3224.00;6754.00;6928.00;0.00;455.00;3589.00;15624.00;0.00;319.00;385.00;1526.00;0.00;563.00;577.00;0.00;9383.00;334.00;2747.00;56310.00;0.00;799.00
0.207;164.00;60473.00;0.00;2550.00;7024.00;6443.00;0.00;787.00;2781.00;15125.00;177.00;268.00;331.00;1420.00;409.00;166.00;1094.00;0.00;10059.00;0.00;2227.00;54281.00;309.00;615.00
0.213;0.00;61115.00;0.00;3070.00;6316.00;6718.00;0.00;504.00;2506.00;15106.00;403.00;0.00;0.00;887.00;164.00;831.00;566.00;0.00;9377.00;0.00;2915.00;51984.00;0.00;430.00
0.219;169.00;61011.00;348.00;2684.00;6496.00;5680.00;151.00;392.00;3260.00;14163.00;336.00;334.00;0.00;1255.00;150.00;200.00;625.00;0.00;9477.00;0.00;2269.00;52736.00;0.00;742.00
0.225;0.00;61735.00;311.00;3045.00;6083.00;5930.00;0.00;726.00;2734.00;15184.00;151.00;538.00;233.00;708.00;0.00;347.00;356.00;0.00;9333.00;0.00;2183.00;52401.00;0.00;663.00
0.230;0.00;62407.00;160.00;2556.00;6145.00;6192.00;154.00;389.00;3086.00;15285.00;159.00;0.00;0.00;993.00;161.00;163.00;455.00;0.00;9856.00;170.00;2443.00;52063.00;164.00;386.00
0.236;0.00;60035.00;532.00;2610.00;5716.00;6215.00;0.00;675.00;2952.00;14507.00;553.00;563.00;0.00;358.00;0.00;152.00;883.00;0.00;9716.00;0.00;2153.00;51416.00;160.00;652.00
0.242;177.00;60433.00;0.00;2652.00;6719.00;5415.00;0.00;350.00;3003.00;15634.00;0.00;328.00;225.00;647.00;0.00;308.00;494.00;0.00;10283.00;0.00;2210.00;52038.00;0.00;640.00
0.247;0.00;60508.00;0.00;2158.00;5560.00;5568.00;0.00;414.00;2426.00;14353.00;167.00;183.00;162.00;989.00;0.00;339.00;221.00;0.00;9338.00;153.00;2035.00;49867.00;0.00;416.00
0.253;0.00;60578.00;360.00;2187.00;5757.00;5809.00;0.00;661.00;2356.00;14435.00;200.00;0.00;0.00;732.00;187.00;465.00;724.00;0.00;8287.00;0.00;2091.00;50128.00;0.00;427.00
0.259;0.00;61485.00;173.00;2031.00;5647.00;5710.00;0.00;154.00;3181.00;14826.00;512.00;184.00;165.00;371.00;167.00;478.00;348.00;0.00;7746.00;0.00;2084.00;49167.00;0.00;737.00
0.265;0.00;62304.00;0.00;2094.00;5864.00;5504.00;0.00;162.00;2975.00;14286.00;175.00;166.00;159.00;1014.00;0.00;370.00;563.00;0.00;8481.00;0.00;2063.00;49900.00;0.00;345.00
0.270;0.00;60900.00;0.00;2286.00;6633.00;4926.00;0.00;357.00;3658.00;14357.00;157.00;0.00;377.00;855.00;155.00;213.00;581.00;0.00;7766.00;0.00;1534.00;47793.00;0.00;914.00
0.276;190.00;60677.00;386.00;2403.00;5528.00;5144.00;155.00;379.00;2735.00;14015.00;0.00;0.00;176.00;880.00;0.00;206.00;383.00;0.00;7832.00;0.00;2250.00;46512.00;178.00;642.00
0.282;0.00;60080.00;160.00;1926.00;5318.00;4544.00;0.00;447.00;2667.00;14188.00;459.00;152.00;551.00;493.00;155.00;150.00;568.00;0.00;7071.00;0.00;2246.00;46852.00;151.00;403.00
0.288;0.00;59432.00;165.00;2268.00;6383.00;4632.00;0.00;332.00;2202.00;14836.00;180.00;305.00;340.00;745.00;0.00;549.00;326.00;0.00;8639.00;0.00;1792.00;45979.00;0.00;1052.00
0.293;162.00;61178.00;0.00;2146.00;6694.00;5219.00;0.00;0.00;2116.00;13015.00;162.00;0.00;0.00;632.00;0.00;312.00;582.00;0.00;7803.00;0.00;2082.00;45307.00;0.00;533.00
0.299;304.00;58024.00;0.00;1874.00;5179.00;4679.00;0.00;236.00;1670.00;13135.00;202.00;332.00;0.00;853.00;0.00;548.00;688.00;0.00;8197.00;0.00;2256.00;44317.00;0.00;757.00
0.305;0.00;60025.00;0.00;2444.00;5138.00;3933.00;153.00;348.00;1089.00;12554.00;173.00;168.00;158.00;438.00;316.00;155.00;424.00;0.00;8030.00;161.00;2168.00;46631.00;0.00;713.00
0.310;0.00;62151.00;0.00;2453.00;4680.00;4380.00;0.00;276.00;2659.00;13703.00;346.00;175.00;353.00;506.00;159.00;0.00;520.00;0.00;8005.00;0.00;2304.00;44302.00;0.00;371.00
0.316;519.00;57261.00;172.00;2161.00;6134.00;3961.00;170.00;208.00;2001.00;13527.00;365.00;158.00;151.00;587.00;154.00;594.00;151.00;0.00;8454.00;0.00;1788.00;43661.00;0.00;391.00
0.322;0.00;57432.00;315.00;1689.00;5466.00;4711.00;0.00;0.00;2771.00;12703.00;0.00;0.00;0.00;754.00;0.00;368.00;469.00;0.00;8491.00;0.00;1838.00;43515.00;0.00;0.00
0.328;154.00;58502.00;0.00;1787.00;4448.00;4380.00;159.00;155.00;2332.00;12839.00;173.00;0.00;152.00;390.00;0.00;209.00;324.00;0.00;7752.00;182.00;2107.00;42727.00;0.00;697.00
0.333;0.00;58933.00;0.00;1987.00;5446.00;4640.00;0.00;413.00;1765.00;11881.00;160.00;153.00;0.00;798.00;0.00;180.00;151.00;0.00;7871.00;0.00;1357.00;43126.00;0.00;656.00
0.339;0.00;56075.00;327.00;2150.00;5185.00;4429.00;0.00;336.00;2134.00;13034.00;539.00;376.00;324.00;409.00;161.00;165.00;152.00;194.00;7224.00;154.00;1600.00;41148.00;153.00;321.00
0.345;164.00;55328.00;0.00;1950.00;5103.00;4274.00;0.00;154.00;1933.00;13236.00;323.00;0.00;202.00;536.00;0.00;0.00;709.00;0.00;7248.00;0.00;1946.00;42289.00;0.00;403.00
0.350;0.00;56501.00;0.00;2747.00;5083.00;4787.00;0.00;371.00;2497.00;10994.00;195.00;718.00;249.00;1108.00;0.00;229.00;307.00;0.00;7378.00;150.00;1539.00;40114.00;0.00;887.00
0.356;0.00;57315.00;151.00;2449.00;5498.00;4345.00;0.00;0.00;1957.00;13705.00;193.00;0.00;0.00;891.00;0.00;150.00;0.00;0.00;7521.00;0.00;1900.00;41748.00;0.00;540.00
0.362;0.00;57067.00;0.00;1753.00;4845.00;3698.00;0.00;334.00;2028.00;12675.00;190.00;170.00;0.00;350.00;0.00;0.00;155.00;0.00;7079.00;0.00;1774.00;39315.00;0.00;517.00
0.368;0.00;54440.00;0.00;1808.00;4606.00;4220.00;0.00;355.00;2267.00;12394.00;160.00;0.00;0.00;345.00;0.00;205.00;0.00;0.00;7816.00;0.00;1689.00;40390.00;0.00;1007.00
0.373;171.00;55529.00;175.00;1435.00;5285.00;3935.00;158.00;154.00;2624.00;12401.00;168.00;0.00;0.00;760.00;152.00;367.00;156.00;0.00;7704.00;0.00;1844.00;38362.00;0.00;345.00
