Sample Name, Sample-84
Time, February 05 16:04:49 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.4842, 3.28
231.0, 1.4699, 3.39
232.0, 1.4545, 3.51
233.0, 1.4387, 3.64
234.0, 1.4205, 3.80
235.0, 1.4039, 3.95
236.0, 1.3869, 4.10
237.0, 1.3689, 4.28
238.0, 1.3511, 4.46
239.0, 1.3330, 4.64
240.0, 1.3154, 4.84
241.0, 1.3002, 5.01
242.0, 1.2833, 5.21
243.0, 1.2690, 5.38
244.0, 1.2538, 5.57
245.0, 1.2392, 5.77
246.0, 1.2233, 5.98
247.0, 1.2084, 6.19
248.0, 1.1952, 6.38
249.0, 1.1818, 6.58
250.0, 1.1686, 6.78
251.0, 1.1556, 6.99
252.0, 1.1436, 7.19
253.0, 1.1316, 7.39
254.0, 1.1208, 7.57
255.0, 1.1108, 7.75
256.0, 1.1006, 7.93
257.0, 1.0907, 8.11
258.0, 1.0843, 8.23
259.0, 1.0659, 8.59
260.0, 1.0538, 8.83
261.0, 1.0417, 9.08
262.0, 1.0296, 9.34
263.0, 1.0172, 9.61
264.0, 1.0047, 9.89
265.0, 0.9922, 10.18
266.0, 0.9808, 10.45
267.0, 0.9694, 10.73
268.0, 0.9583, 11.01
269.0, 0.9459, 11.33
270.0, 0.9328, 11.67
271.0, 0.9212, 11.99
272.0, 0.9082, 12.35
273.0, 0.8960, 12.71
274.0, 0.8840, 13.06
275.0, 0.8726, 13.41
276.0, 0.8609, 13.78
277.0, 0.8499, 14.13
278.0, 0.8396, 14.47
279.0, 0.8295, 14.81
280.0, 0.8188, 15.18
281.0, 0.8076, 15.57
282.0, 0.7956, 16.01
283.0, 0.7841, 16.44
284.0, 0.7728, 16.87
285.0, 0.7616, 17.32
286.0, 0.7501, 17.78
287.0, 0.7383, 18.27
288.0, 0.7268, 18.76
289.0, 0.7158, 19.24
290.0, 0.7056, 19.70
291.0, 0.6965, 20.11
292.0, 0.6874, 20.54
293.0, 0.6778, 21.00
294.0, 0.6679, 21.48
295.0, 0.6579, 21.98
296.0, 0.6495, 22.41
297.0, 0.6418, 22.81
298.0, 0.6372, 23.06
299.0, 0.6243, 23.75
300.0, 0.6163, 24.19
301.0, 0.6089, 24.61
302.0, 0.6021, 25.00
303.0, 0.5961, 25.35
304.0, 0.5898, 25.72
305.0, 0.5833, 26.10
306.0, 0.5765, 26.52
307.0, 0.5701, 26.91
308.0, 0.5640, 27.29
309.0, 0.5579, 27.68
310.0, 0.5517, 28.08
