Sample Name, Sample-85
Time, February 05 16:07:20 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.2845, 5.19
231.0, 1.2680, 5.40
232.0, 1.2524, 5.59
233.0, 1.2354, 5.82
234.0, 1.2169, 6.07
235.0, 1.1994, 6.32
236.0, 1.1818, 6.58
237.0, 1.1652, 6.84
238.0, 1.1484, 7.10
239.0, 1.1320, 7.38
240.0, 1.1155, 7.66
241.0, 1.1003, 7.94
242.0, 1.0857, 8.21
243.0, 1.0727, 8.46
244.0, 1.0588, 8.73
245.0, 1.0458, 9.00
246.0, 1.0318, 9.29
247.0, 1.0187, 9.58
248.0, 1.0068, 9.85
249.0, 0.9950, 10.12
250.0, 0.9835, 10.39
251.0, 0.9732, 10.64
252.0, 0.9621, 10.91
253.0, 0.9517, 11.18
254.0, 0.9428, 11.41
255.0, 0.9343, 11.63
256.0, 0.9252, 11.88
257.0, 0.9166, 12.12
258.0, 0.9113, 12.27
259.0, 0.8957, 12.72
260.0, 0.8852, 13.03
261.0, 0.8751, 13.33
262.0, 0.8646, 13.66
263.0, 0.8542, 13.99
264.0, 0.8433, 14.34
265.0, 0.8328, 14.70
266.0, 0.8225, 15.05
267.0, 0.8130, 15.38
268.0, 0.8034, 15.72
269.0, 0.7933, 16.09
270.0, 0.7822, 16.51
271.0, 0.7709, 16.95
272.0, 0.7604, 17.36
273.0, 0.7502, 17.78
274.0, 0.7401, 18.19
275.0, 0.7299, 18.62
276.0, 0.7200, 19.05
277.0, 0.7100, 19.50
278.0, 0.7013, 19.89
279.0, 0.6920, 20.32
280.0, 0.6835, 20.72
281.0, 0.6740, 21.18
282.0, 0.6635, 21.70
283.0, 0.6535, 22.21
284.0, 0.6438, 22.71
285.0, 0.6338, 23.24
286.0, 0.6239, 23.77
287.0, 0.6140, 24.32
288.0, 0.6046, 24.86
289.0, 0.5955, 25.38
290.0, 0.5869, 25.89
291.0, 0.5787, 26.38
292.0, 0.5712, 26.84
293.0, 0.5630, 27.35
294.0, 0.5542, 27.91
295.0, 0.5463, 28.42
296.0, 0.5386, 28.93
297.0, 0.5322, 29.36
298.0, 0.5282, 29.63
299.0, 0.5173, 30.38
300.0, 0.5107, 30.86
301.0, 0.5046, 31.29
302.0, 0.4990, 31.69
303.0, 0.4934, 32.11
304.0, 0.4886, 32.46
305.0, 0.4831, 32.88
306.0, 0.4776, 33.30
307.0, 0.4719, 33.73
308.0, 0.4668, 34.14
309.0, 0.4618, 34.53
310.0, 0.4566, 34.95
311.0, 0.4516, 35.35
312.0, 0.4466, 35.76
313.0, 0.4420, 36.14
314.0, 0.4371, 36.55
315.0, 0.4326, 36.93
316.0, 0.4283, 37.30
317.0, 0.4238, 37.69
318.0, 0.4186, 38.14
319.0, 0.4133, 38.61
320.0, 0.4081, 39.07
321.0, 0.4033, 39.51
322.0, 0.3980, 39.99
323.0, 0.3927, 40.49
324.0, 0.3873, 40.99
325.0, 0.3825, 41.44
326.0, 0.3774, 41.94
327.0, 0.3725, 42.41
328.0, 0.3679, 42.87
329.0, 0.3630, 43.36
330.0, 0.3599, 43.66
331.0, 0.3509, 44.58
332.0, 0.3450, 45.18
333.0, 0.3393, 45.78
334.0, 0.3332, 46.43
335.0, 0.3274, 47.05
336.0, 0.3220, 47.65
337.0, 0.3169, 48.21
338.0, 0.3117, 48.79
339.0, 0.3081, 49.19
340.0, 0.2882, 51.50
341.0, 0.2846, 51.93
342.0, 0.2801, 52.47
343.0, 0.2755, 53.03
344.0, 0.2711, 53.57
345.0, 0.2665, 54.14
346.0, 0.2625, 54.64
347.0, 0.2587, 55.12
348.0, 0.2549, 55.60
349.0, 0.2510, 56.10
350.0, 0.2475, 56.56
351.0, 0.2438, 57.04
352.0, 0.2405, 57.48
353.0, 0.2365, 58.00
354.0, 0.2324, 58.56
355.0, 0.2285, 59.09
356.0, 0.2245, 59.64
357.0, 0.2208, 60.14
358.0, 0.2170, 60.67
359.0, 0.2133, 61.19
360.0, 0.2100, 61.66
361.0, 0.2065, 62.15
362.0, 0.2032, 62.63
363.0, 0.2000, 63.10
364.0, 0.1969, 63.55
365.0, 0.1940, 63.98
366.0, 0.1905, 64.49
367.0, 0.1872, 64.98
368.0, 0.1839, 65.48
369.0, 0.1806, 65.97
370.0, 0.1792, 66.19
371.0, 0.1754, 66.77
372.0, 0.1724, 67.24
373.0, 0.1696, 67.67
374.0, 0.1670, 68.07
375.0, 0.1644, 68.49
376.0, 0.1619, 68.89
377.0, 0.1590, 69.34
378.0, 0.1561, 69.81
379.0, 0.1534, 70.24
380.0, 0.1507, 70.68
381.0, 0.1482, 71.09
382.0, 0.1459, 71.47
383.0, 0.1433, 71.89
384.0, 0.1422, 72.07
385.0, 0.1382, 72.75
386.0, 0.1360, 73.11
387.0, 0.1337, 73.50
388.0, 0.1317, 73.83
389.0, 0.1296, 74.19
390.0, 0.1274, 74.58
391.0, 0.1253, 74.94
392.0, 0.1230, 75.33
393.0, 0.1210, 75.69
394.0, 0.1192, 75.99
395.0, 0.1170, 76.39
396.0, 0.1148, 76.76
397.0, 0.1131, 77.08
398.0, 0.1115, 77.36
399.0, 0.1099, 77.65
400.0, 0.1082, 77.95
401.0, 0.1063, 78.30
402.0, 0.1045, 78.62
403.0, 0.1027, 78.94
404.0, 0.1010, 79.25
405.0, 0.0995, 79.53
406.0, 0.0978, 79.84
407.0, 0.0962, 80.14
408.0, 0.0947, 80.41
409.0, 0.0932, 80.68
410.0, 0.0920, 80.91
411.0, 0.0906, 81.17
412.0, 0.0895, 81.38
413.0, 0.0880, 81.65
414.0, 0.0866, 81.92
415.0, 0.0854, 82.15
416.0, 0.0840, 82.41
417.0, 0.0829, 82.63
418.0, 0.0816, 82.86
419.0, 0.0804, 83.09
420.0, 0.0793, 83.32
421.0, 0.0781, 83.54
422.0, 0.0772, 83.72
423.0, 0.0761, 83.92
424.0, 0.0752, 84.10
425.0, 0.0744, 84.26
426.0, 0.0733, 84.48
427.0, 0.0722, 84.67
428.0, 0.0711, 84.90
429.0, 0.0702, 85.07
430.0, 0.0694, 85.23
431.0, 0.0684, 85.42
432.0, 0.0675, 85.60
433.0, 0.0666, 85.79
434.0, 0.0657, 85.97
435.0, 0.0649, 86.11
436.0, 0.0642, 86.25
437.0, 0.0634, 86.41
438.0, 0.0627, 86.56
439.0, 0.0621, 86.69
440.0, 0.0613, 86.84
441.0, 0.0606, 86.98
442.0, 0.0598, 87.13
443.0, 0.0590, 87.29
444.0, 0.0585, 87.40
445.0, 0.0578, 87.54
446.0, 0.0573, 87.64
447.0, 0.0567, 87.76
448.0, 0.0561, 87.89
449.0, 0.0556, 87.98
450.0, 0.0553, 88.05
451.0, 0.0540, 88.30
452.0, 0.0534, 88.44
453.0, 0.0527, 88.57
454.0, 0.0520, 88.72
455.0, 0.0513, 88.85
456.0, 0.0506, 89.00
457.0, 0.0501, 89.11
458.0, 0.0494, 89.26
