Sample Name, Sample-89
Time, February 05 16:16:51 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0776, 8.36
231.0, 1.0626, 8.66
232.0, 1.0484, 8.94
233.0, 1.0321, 9.29
234.0, 1.0146, 9.67
235.0, 0.9974, 10.06
236.0, 0.9819, 10.42
237.0, 0.9658, 10.82
238.0, 0.9508, 11.20
239.0, 0.9354, 11.60
240.0, 0.9203, 12.01
241.0, 0.9067, 12.40
242.0, 0.8940, 12.77
243.0, 0.8816, 13.13
244.0, 0.8698, 13.50
245.0, 0.8582, 13.86
246.0, 0.8462, 14.25
247.0, 0.8342, 14.65
248.0, 0.8232, 15.02
249.0, 0.8126, 15.40
250.0, 0.8028, 15.75
251.0, 0.7925, 16.12
252.0, 0.7832, 16.47
253.0, 0.7739, 16.83
254.0, 0.7657, 17.15
255.0, 0.7573, 17.49
256.0, 0.7488, 17.83
257.0, 0.7405, 18.18
258.0, 0.7354, 18.39
259.0, 0.7195, 19.08
260.0, 0.7092, 19.54
261.0, 0.6993, 19.99
262.0, 0.6887, 20.48
263.0, 0.6778, 21.00
264.0, 0.6667, 21.54
265.0, 0.6564, 22.06
266.0, 0.6461, 22.59
267.0, 0.6360, 23.12
268.0, 0.6263, 23.64
269.0, 0.6159, 24.22
270.0, 0.6047, 24.85
271.0, 0.5937, 25.48
272.0, 0.5826, 26.15
273.0, 0.5727, 26.75
274.0, 0.5629, 27.36
275.0, 0.5532, 27.98
276.0, 0.5438, 28.59
277.0, 0.5350, 29.18
278.0, 0.5267, 29.74
279.0, 0.5186, 30.30
280.0, 0.5113, 30.81
281.0, 0.5033, 31.38
282.0, 0.4945, 32.03
283.0, 0.4859, 32.67
284.0, 0.4780, 33.27
285.0, 0.4704, 33.85
286.0, 0.4631, 34.43
287.0, 0.4555, 35.04
288.0, 0.4484, 35.61
289.0, 0.4419, 36.15
290.0, 0.4358, 36.66
291.0, 0.4300, 37.15
292.0, 0.4247, 37.61
293.0, 0.4194, 38.08
294.0, 0.4135, 38.59
295.0, 0.4080, 39.09
296.0, 0.4028, 39.56
297.0, 0.3982, 39.98
298.0, 0.3955, 40.23
299.0, 0.3882, 40.91
300.0, 0.3836, 41.34
301.0, 0.3794, 41.75
302.0, 0.3756, 42.12
303.0, 0.3720, 42.47
304.0, 0.3684, 42.82
305.0, 0.3645, 43.20
306.0, 0.3606, 43.59
307.0, 0.3569, 43.97
308.0, 0.3531, 44.35
309.0, 0.3495, 44.71
310.0, 0.3458, 45.11
311.0, 0.3419, 45.51
312.0, 0.3383, 45.89
313.0, 0.3348, 46.26
314.0, 0.3314, 46.62
315.0, 0.3278, 47.01
316.0, 0.3243, 47.39
317.0, 0.3208, 47.78
318.0, 0.3168, 48.21
319.0, 0.3125, 48.70
320.0, 0.3084, 49.16
321.0, 0.3045, 49.60
322.0, 0.3002, 50.09
323.0, 0.2959, 50.60
324.0, 0.2913, 51.13
325.0, 0.2869, 51.65
326.0, 0.2827, 52.16
327.0, 0.2787, 52.64
328.0, 0.2748, 53.12
329.0, 0.2703, 53.67
330.0, 0.2676, 54.00
331.0, 0.2602, 54.93
332.0, 0.2553, 55.55
333.0, 0.2505, 56.17
334.0, 0.2454, 56.84
335.0, 0.2408, 57.44
336.0, 0.2361, 58.07
337.0, 0.2315, 58.69
338.0, 0.2272, 59.26
339.0, 0.2244, 59.65
340.0, 0.2143, 61.05
341.0, 0.2100, 61.65
342.0, 0.2064, 62.18
343.0, 0.2018, 62.84
344.0, 0.1980, 63.39
345.0, 0.1938, 64.00
346.0, 0.1901, 64.55
347.0, 0.1866, 65.08
348.0, 0.1833, 65.58
349.0, 0.1794, 66.17
350.0, 0.1761, 66.66
351.0, 0.1729, 67.16
352.0, 0.1699, 67.62
353.0, 0.1662, 68.20
354.0, 0.1625, 68.79
355.0, 0.1592, 69.32
356.0, 0.1556, 69.89
357.0, 0.1525, 70.39
358.0, 0.1492, 70.92
359.0, 0.1459, 71.47
360.0, 0.1428, 71.97
361.0, 0.1397, 72.49
362.0, 0.1372, 72.91
363.0, 0.1348, 73.32
364.0, 0.1321, 73.78
365.0, 0.1298, 74.17
366.0, 0.1269, 74.67
367.0, 0.1247, 75.03
368.0, 0.1222, 75.47
369.0, 0.1200, 75.86
370.0, 0.1191, 76.02
371.0, 0.1130, 77.08
372.0, 0.1107, 77.50
373.0, 0.1083, 77.93
374.0, 0.1062, 78.30
375.0, 0.1042, 78.67
376.0, 0.1022, 79.03
377.0, 0.1000, 79.44
378.0, 0.0976, 79.86
379.0, 0.0956, 80.25
380.0, 0.0932, 80.69
381.0, 0.0913, 81.05
382.0, 0.0894, 81.39
383.0, 0.0876, 81.74
384.0, 0.0867, 81.90
385.0, 0.0837, 82.46
386.0, 0.0821, 82.77
387.0, 0.0803, 83.13
388.0, 0.0786, 83.44
389.0, 0.0770, 83.75
390.0, 0.0753, 84.08
391.0, 0.0737, 84.39
392.0, 0.0724, 84.65
393.0, 0.0707, 84.97
394.0, 0.0693, 85.25
395.0, 0.0678, 85.55
396.0, 0.0664, 85.83
397.0, 0.0650, 86.09
398.0, 0.0641, 86.28
399.0, 0.0627, 86.56
400.0, 0.0613, 86.83
401.0, 0.0602, 87.05
402.0, 0.0591, 87.28
403.0, 0.0579, 87.52
404.0, 0.0567, 87.76
405.0, 0.0557, 87.96
406.0, 0.0544, 88.24
407.0, 0.0534, 88.44
408.0, 0.0523, 88.65
409.0, 0.0514, 88.85
410.0, 0.0505, 89.03
411.0, 0.0497, 89.20
412.0, 0.0488, 89.37
413.0, 0.0479, 89.56
414.0, 0.0469, 89.76
415.0, 0.0461, 89.93
416.0, 0.0453, 90.10
417.0, 0.0445, 90.26
418.0, 0.0437, 90.42
419.0, 0.0431, 90.56
420.0, 0.0423, 90.73
421.0, 0.0416, 90.87
422.0, 0.0410, 90.99
423.0, 0.0404, 91.12
424.0, 0.0398, 91.24
425.0, 0.0392, 91.37
426.0, 0.0384, 91.53
427.0, 0.0377, 91.68
428.0, 0.0373, 91.77
429.0, 0.0366, 91.92
430.0, 0.0361, 92.02
431.0, 0.0354, 92.17
432.0, 0.0350, 92.26
433.0, 0.0345, 92.37
434.0, 0.0340, 92.48
435.0, 0.0334, 92.60
436.0, 0.0330, 92.68
437.0, 0.0326, 92.76
438.0, 0.0323, 92.83
439.0, 0.0318, 92.93
440.0, 0.0314, 93.02
441.0, 0.0311, 93.10
442.0, 0.0306, 93.19
443.0, 0.0304, 93.25
444.0, 0.0301, 93.31
445.0, 0.0295, 93.42
446.0, 0.0294, 93.47
447.0, 0.0290, 93.54
448.0, 0.0286, 93.62
449.0, 0.0286, 93.63
450.0, 0.0284, 93.66
451.0, 0.0274, 93.88
