Sample Name, Sample-90
Time, February 05 16:19:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0657, 8.60
231.0, 1.0514, 8.88
232.0, 1.0369, 9.19
233.0, 1.0206, 9.54
234.0, 1.0036, 9.92
235.0, 0.9867, 10.31
236.0, 0.9704, 10.71
237.0, 0.9545, 11.11
238.0, 0.9396, 11.49
239.0, 0.9243, 11.90
240.0, 0.9097, 12.31
241.0, 0.8959, 12.71
242.0, 0.8829, 13.10
243.0, 0.8707, 13.47
244.0, 0.8592, 13.83
245.0, 0.8474, 14.21
246.0, 0.8353, 14.61
247.0, 0.8244, 14.98
248.0, 0.8133, 15.37
249.0, 0.8028, 15.75
250.0, 0.7930, 16.11
251.0, 0.7830, 16.48
252.0, 0.7736, 16.84
253.0, 0.7644, 17.20
254.0, 0.7559, 17.54
255.0, 0.7477, 17.88
256.0, 0.7397, 18.21
257.0, 0.7312, 18.57
258.0, 0.7261, 18.79
259.0, 0.7102, 19.49
260.0, 0.6998, 19.96
261.0, 0.6901, 20.41
262.0, 0.6795, 20.92
263.0, 0.6686, 21.45
264.0, 0.6577, 21.99
265.0, 0.6472, 22.53
266.0, 0.6366, 23.09
267.0, 0.6266, 23.63
268.0, 0.6170, 24.15
269.0, 0.6069, 24.72
270.0, 0.5956, 25.37
271.0, 0.5848, 26.02
272.0, 0.5739, 26.67
273.0, 0.5641, 27.28
274.0, 0.5543, 27.91
275.0, 0.5445, 28.54
276.0, 0.5353, 29.16
277.0, 0.5264, 29.76
278.0, 0.5180, 30.34
279.0, 0.5101, 30.90
280.0, 0.5026, 31.43
281.0, 0.4947, 32.01
282.0, 0.4863, 32.64
283.0, 0.4782, 33.25
284.0, 0.4703, 33.86
285.0, 0.4628, 34.45
286.0, 0.4555, 35.03
287.0, 0.4481, 35.64
288.0, 0.4411, 36.22
289.0, 0.4345, 36.77
290.0, 0.4284, 37.29
291.0, 0.4227, 37.78
292.0, 0.4174, 38.24
293.0, 0.4120, 38.73
