Sample Name, Sample-11
Time, February 05 10:53:16 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0088, 9.80
231.0, 1.0026, 9.94
232.0, 0.9976, 10.06
233.0, 0.9916, 10.20
234.0, 0.9848, 10.36
235.0, 0.9784, 10.51
236.0, 0.9716, 10.68
237.0, 0.9654, 10.83
238.0, 0.9589, 10.99
239.0, 0.9523, 11.16
240.0, 0.9461, 11.32
241.0, 0.9404, 11.47
242.0, 0.9346, 11.63
243.0, 0.9287, 11.78
244.0, 0.9233, 11.93
245.0, 0.9172, 12.10
246.0, 0.9108, 12.28
247.0, 0.9046, 12.46
248.0, 0.8987, 12.63
249.0, 0.8927, 12.80
250.0, 0.8869, 12.98
251.0, 0.8813, 13.14
252.0, 0.8756, 13.32
253.0, 0.8704, 13.48
254.0, 0.8652, 13.64
255.0, 0.8605, 13.79
256.0, 0.8556, 13.94
257.0, 0.8511, 14.09
258.0, 0.8483, 14.18
259.0, 0.8398, 14.46
260.0, 0.8348, 14.63
261.0, 0.8296, 14.80
262.0, 0.8243, 14.99
263.0, 0.8190, 15.17
264.0, 0.8138, 15.35
265.0, 0.8092, 15.52
266.0, 0.8045, 15.69
267.0, 0.8001, 15.84
268.0, 0.7958, 16.00
269.0, 0.7910, 16.18
270.0, 0.7861, 16.36
271.0, 0.7815, 16.54
272.0, 0.7763, 16.74
273.0, 0.7717, 16.92
274.0, 0.7672, 17.09
275.0, 0.7625, 17.28
276.0, 0.7579, 17.46
277.0, 0.7533, 17.65
278.0, 0.7493, 17.81
279.0, 0.7452, 17.98
280.0, 0.7412, 18.15
281.0, 0.7360, 18.37
282.0, 0.7309, 18.58
283.0, 0.7260, 18.79
284.0, 0.7212, 19.00
285.0, 0.7160, 19.23
286.0, 0.7108, 19.46
287.0, 0.7053, 19.71
288.0, 0.7001, 19.95
289.0, 0.6952, 20.17
290.0, 0.6900, 20.42
291.0, 0.6856, 20.63
292.0, 0.6812, 20.84
293.0, 0.6764, 21.07
294.0, 0.6710, 21.33
295.0, 0.6660, 21.58
296.0, 0.6610, 21.83
297.0, 0.6566, 22.05
298.0, 0.6540, 22.18
299.0, 0.6460, 22.60
300.0, 0.6409, 22.86
301.0, 0.6362, 23.11
302.0, 0.6319, 23.34
303.0, 0.6275, 23.58
304.0, 0.6232, 23.81
305.0, 0.6185, 24.07
306.0, 0.6133, 24.36
307.0, 0.6086, 24.62
308.0, 0.6039, 24.89
309.0, 0.5990, 25.18
310.0, 0.5941, 25.46
311.0, 0.5888, 25.77
312.0, 0.5837, 26.08
313.0, 0.5792, 26.35
314.0, 0.5747, 26.63
315.0, 0.5704, 26.89
316.0, 0.5661, 27.16
317.0, 0.5616, 27.44
318.0, 0.5565, 27.76
319.0, 0.5515, 28.08
320.0, 0.5467, 28.40
321.0, 0.5421, 28.70
322.0, 0.5370, 29.04
323.0, 0.5319, 29.39
324.0, 0.5267, 29.74
325.0, 0.5221, 30.05
326.0, 0.5172, 30.39
327.0, 0.5131, 30.69
328.0, 0.5087, 30.99
329.0, 0.5046, 31.29
330.0, 0.5013, 31.53
331.0, 0.4936, 32.09
332.0, 0.4889, 32.44
333.0, 0.4843, 32.79
334.0, 0.4798, 33.13
335.0, 0.4748, 33.51
336.0, 0.4701, 33.88
337.0, 0.4658, 34.22
338.0, 0.4616, 34.55
339.0, 0.4584, 34.80
340.0, 0.4210, 37.93
341.0, 0.4183, 38.17
342.0, 0.4163, 38.34
343.0, 0.4140, 38.54
344.0, 0.4117, 38.75
345.0, 0.4097, 38.93
346.0, 0.4078, 39.11
347.0, 0.4054, 39.31
348.0, 0.4036, 39.48
349.0, 0.4014, 39.68
350.0, 0.3996, 39.85
351.0, 0.3975, 40.04
352.0, 0.3957, 40.20
353.0, 0.3930, 40.46
354.0, 0.3898, 40.76
355.0, 0.3869, 41.03
356.0, 0.3840, 41.31
357.0, 0.3806, 41.63
358.0, 0.3774, 41.94
359.0, 0.3744, 42.23
360.0, 0.3716, 42.50
361.0, 0.3684, 42.82
362.0, 0.3652, 43.13
363.0, 0.3623, 43.42
364.0, 0.3593, 43.73
365.0, 0.3558, 44.07
366.0, 0.3520, 44.47
367.0, 0.3482, 44.86
368.0, 0.3443, 45.26
369.0, 0.3404, 45.67
370.0, 0.3382, 45.89
371.0, 0.3437, 45.32
372.0, 0.3411, 45.60
373.0, 0.3387, 45.85
374.0, 0.3364, 46.08
375.0, 0.3339, 46.36
376.0, 0.3317, 46.59
377.0, 0.3292, 46.86
378.0, 0.3266, 47.14
379.0, 0.3238, 47.45
380.0, 0.3212, 47.73
381.0, 0.3188, 48.00
382.0, 0.3166, 48.23
383.0, 0.3143, 48.50
384.0, 0.3129, 48.65
385.0, 0.3086, 49.13
386.0, 0.3063, 49.39
387.0, 0.3040, 49.65
388.0, 0.3019, 49.90
389.0, 0.2996, 50.17
390.0, 0.2973, 50.44
391.0, 0.2948, 50.73
392.0, 0.2923, 51.02
393.0, 0.2898, 51.31
