Sample Name, Sample-12
Time, February 05 10:57:21 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9892, 10.25
231.0, 0.9836, 10.38
232.0, 0.9791, 10.49
233.0, 0.9730, 10.64
234.0, 0.9665, 10.80
235.0, 0.9603, 10.96
236.0, 0.9536, 11.13
237.0, 0.9478, 11.28
238.0, 0.9414, 11.44
239.0, 0.9353, 11.61
240.0, 0.9290, 11.78
241.0, 0.9230, 11.94
242.0, 0.9177, 12.09
243.0, 0.9119, 12.25
244.0, 0.9065, 12.40
245.0, 0.9007, 12.57
246.0, 0.8947, 12.74
247.0, 0.8884, 12.93
248.0, 0.8825, 13.11
249.0, 0.8768, 13.28
250.0, 0.8712, 13.45
251.0, 0.8654, 13.63
252.0, 0.8602, 13.80
253.0, 0.8546, 13.98
254.0, 0.8498, 14.13
255.0, 0.8453, 14.28
256.0, 0.8405, 14.44
257.0, 0.8356, 14.60
258.0, 0.8331, 14.68
259.0, 0.8249, 14.97
260.0, 0.8193, 15.16
261.0, 0.8144, 15.33
262.0, 0.8096, 15.50
263.0, 0.8045, 15.69
264.0, 0.7992, 15.88
265.0, 0.7943, 16.06
266.0, 0.7901, 16.22
267.0, 0.7855, 16.39
268.0, 0.7814, 16.54
269.0, 0.7766, 16.72
270.0, 0.7719, 16.91
271.0, 0.7669, 17.10
272.0, 0.7621, 17.29
273.0, 0.7578, 17.47
274.0, 0.7531, 17.66
275.0, 0.7485, 17.84
276.0, 0.7440, 18.03
277.0, 0.7395, 18.22
278.0, 0.7354, 18.39
279.0, 0.7315, 18.56
280.0, 0.7273, 18.74
281.0, 0.7223, 18.95
282.0, 0.7175, 19.16
283.0, 0.7125, 19.39
284.0, 0.7076, 19.61
285.0, 0.7026, 19.84
286.0, 0.6975, 20.07
287.0, 0.6923, 20.31
288.0, 0.6873, 20.54
289.0, 0.6822, 20.79
290.0, 0.6773, 21.02
291.0, 0.6727, 21.25
292.0, 0.6685, 21.46
293.0, 0.6637, 21.69
294.0, 0.6586, 21.95
295.0, 0.6536, 22.20
296.0, 0.6486, 22.46
297.0, 0.6442, 22.69
298.0, 0.6417, 22.82
299.0, 0.6337, 23.24
300.0, 0.6286, 23.52
301.0, 0.6241, 23.76
302.0, 0.6197, 24.00
303.0, 0.6155, 24.24
304.0, 0.6114, 24.47
305.0, 0.6065, 24.74
306.0, 0.6017, 25.02
307.0, 0.5969, 25.30
308.0, 0.5920, 25.58
309.0, 0.5875, 25.85
310.0, 0.5826, 26.15
311.0, 0.5776, 26.45
312.0, 0.5730, 26.73
313.0, 0.5682, 27.02
314.0, 0.5639, 27.30
315.0, 0.5598, 27.56
316.0, 0.5555, 27.83
317.0, 0.5509, 28.12
318.0, 0.5460, 28.44
319.0, 0.5411, 28.77
320.0, 0.5364, 29.08
321.0, 0.5316, 29.41
