Sample Name, Sample-20
Time, February 13 16:40:04 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8276, 14.87
231.0, 0.8157, 15.28
232.0, 0.8045, 15.69
233.0, 0.7930, 16.11
234.0, 0.7808, 16.57
235.0, 0.7694, 17.01
236.0, 0.7584, 17.44
237.0, 0.7481, 17.86
238.0, 0.7383, 18.27
239.0, 0.7284, 18.69
240.0, 0.7191, 19.09
241.0, 0.7106, 19.47
242.0, 0.7027, 19.83
243.0, 0.6951, 20.18
244.0, 0.6881, 20.50
245.0, 0.6803, 20.88
246.0, 0.6726, 21.25
247.0, 0.6655, 21.60
248.0, 0.6582, 21.97
249.0, 0.6518, 22.30
250.0, 0.6453, 22.63
251.0, 0.6388, 22.97
252.0, 0.6325, 23.31
253.0, 0.6263, 23.64
254.0, 0.6208, 23.95
255.0, 0.6156, 24.23
256.0, 0.6106, 24.51
257.0, 0.6052, 24.82
258.0, 0.6018, 25.02
259.0, 0.5926, 25.55
260.0, 0.5869, 25.89
261.0, 0.5806, 26.26
262.0, 0.5747, 26.63
263.0, 0.5686, 27.00
264.0, 0.5625, 27.38
265.0, 0.5565, 27.77
266.0, 0.5506, 28.14
267.0, 0.5451, 28.50
268.0, 0.5392, 28.89
269.0, 0.5335, 29.27
270.0, 0.5268, 29.73
271.0, 0.5206, 30.16
272.0, 0.5142, 30.60
273.0, 0.5081, 31.04
274.0, 0.5019, 31.48
275.0, 0.4952, 31.97
276.0, 0.4887, 32.45
277.0, 0.4823, 32.94
278.0, 0.4762, 33.40
279.0, 0.4705, 33.85
280.0, 0.4646, 34.31
281.0, 0.4586, 34.78
282.0, 0.4519, 35.33
283.0, 0.4454, 35.86
284.0, 0.4390, 36.39
285.0, 0.4328, 36.92
286.0, 0.4263, 37.47
287.0, 0.4200, 38.02
288.0, 0.4136, 38.59
289.0, 0.4077, 39.11
290.0, 0.4020, 39.63
291.0, 0.3968, 40.11
292.0, 0.3915, 40.60
293.0, 0.3862, 41.10
294.0, 0.3802, 41.67
295.0, 0.3746, 42.21
296.0, 0.3694, 42.71
297.0, 0.3647, 43.18
298.0, 0.3621, 43.44
299.0, 0.3541, 44.25
300.0, 0.3491, 44.76
301.0, 0.3447, 45.22
302.0, 0.3404, 45.67
303.0, 0.3363, 46.10
304.0, 0.3318, 46.58
305.0, 0.3278, 47.02
306.0, 0.3233, 47.50
307.0, 0.3191, 47.96
308.0, 0.3148, 48.44
309.0, 0.3106, 48.91
310.0, 0.3065, 49.38
311.0, 0.3023, 49.85
312.0, 0.2983, 50.31
313.0, 0.2945, 50.75
314.0, 0.2909, 51.19
315.0, 0.2876, 51.56
316.0, 0.2839, 52.02
317.0, 0.2803, 52.45
318.0, 0.2765, 52.91
319.0, 0.2726, 53.38
320.0, 0.2686, 53.88
321.0, 0.2653, 54.28
322.0, 0.2614, 54.78
323.0, 0.2580, 55.21
324.0, 0.2541, 55.70
325.0, 0.2507, 56.14
326.0, 0.2471, 56.61
327.0, 0.2441, 57.01
328.0, 0.2407, 57.45
329.0, 0.2379, 57.83
330.0, 0.2356, 58.13
331.0, 0.2300, 58.88
332.0, 0.2265, 59.36
333.0, 0.2233, 59.80
334.0, 0.2198, 60.28
335.0, 0.2163, 60.77
336.0, 0.2129, 61.25
337.0, 0.2096, 61.71
338.0, 0.2068, 62.12
339.0, 0.2053, 62.33
340.0, 0.1977, 63.44
341.0, 0.1944, 63.91
342.0, 0.1912, 64.38
343.0, 0.1887, 64.76
344.0, 0.1857, 65.20
345.0, 0.1827, 65.65
346.0, 0.1798, 66.10
347.0, 0.1769, 66.55
348.0, 0.1741, 66.97
349.0, 0.1714, 67.40
350.0, 0.1690, 67.76
351.0, 0.1665, 68.15
352.0, 0.1641, 68.54
353.0, 0.1617, 68.91
354.0, 0.1592, 69.31
355.0, 0.1560, 69.82
356.0, 0.1536, 70.21
357.0, 0.1509, 70.65
358.0, 0.1483, 71.07
359.0, 0.1461, 71.44
360.0, 0.1435, 71.86
361.0, 0.1409, 72.29
362.0, 0.1386, 72.68
363.0, 0.1367, 73.00
364.0, 0.1346, 73.35
365.0, 0.1322, 73.76
366.0, 0.1299, 74.14
367.0, 0.1273, 74.59
368.0, 0.1252, 74.96
369.0, 0.1227, 75.38
370.0, 0.1218, 75.55
371.0, 0.1195, 75.95
372.0, 0.1175, 76.29
373.0, 0.1155, 76.65
374.0, 0.1135, 76.99
375.0, 0.1119, 77.29
