Sample Name, Sample-114
Time, February 05 17:24:39 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7862, 16.36
231.0, 0.7725, 16.88
232.0, 0.7593, 17.40
233.0, 0.7454, 17.97
234.0, 0.7307, 18.59
235.0, 0.7159, 19.24
236.0, 0.7023, 19.85
237.0, 0.6896, 20.44
238.0, 0.6774, 21.02
239.0, 0.6655, 21.60
240.0, 0.6548, 22.14
241.0, 0.6447, 22.66
242.0, 0.6355, 23.15
243.0, 0.6273, 23.59
244.0, 0.6197, 24.01
245.0, 0.6123, 24.42
246.0, 0.6051, 24.83
247.0, 0.5984, 25.21
248.0, 0.5923, 25.57
249.0, 0.5869, 25.89
250.0, 0.5816, 26.21
251.0, 0.5768, 26.50
252.0, 0.5720, 26.79
253.0, 0.5676, 27.06
254.0, 0.5637, 27.31
255.0, 0.5596, 27.57
256.0, 0.5560, 27.80
257.0, 0.5523, 28.04
258.0, 0.5497, 28.20
259.0, 0.5422, 28.69
260.0, 0.5371, 29.03
261.0, 0.5324, 29.35
262.0, 0.5272, 29.70
263.0, 0.5217, 30.08
264.0, 0.5160, 30.48
265.0, 0.5105, 30.87
266.0, 0.5051, 31.25
267.0, 0.4998, 31.64
268.0, 0.4946, 32.02
269.0, 0.4890, 32.43
270.0, 0.4831, 32.88
271.0, 0.4770, 33.34
272.0, 0.4709, 33.81
273.0, 0.4647, 34.30
274.0, 0.4589, 34.76
275.0, 0.4530, 35.24
276.0, 0.4469, 35.73
277.0, 0.4412, 36.21
278.0, 0.4360, 36.65
279.0, 0.4309, 37.07
280.0, 0.4260, 37.50
281.0, 0.4201, 38.01
282.0, 0.4138, 38.56
283.0, 0.4079, 39.10
284.0, 0.4019, 39.64
285.0, 0.3962, 40.16
286.0, 0.3903, 40.71
287.0, 0.3843, 41.27
288.0, 0.3784, 41.84
289.0, 0.3726, 42.40
290.0, 0.3671, 42.94
291.0, 0.3621, 43.44
292.0, 0.3573, 43.92
293.0, 0.3522, 44.45
294.0, 0.3469, 44.99
295.0, 0.3423, 45.47
296.0, 0.3375, 45.98
297.0, 0.3335, 46.40
298.0, 0.3316, 46.60
299.0, 0.3246, 47.35
300.0, 0.3207, 47.78
301.0, 0.3170, 48.19
302.0, 0.3137, 48.57
303.0, 0.3107, 48.89
304.0, 0.3078, 49.23
305.0, 0.3043, 49.62
306.0, 0.3010, 50.01
307.0, 0.2980, 50.35
308.0, 0.2948, 50.73
309.0, 0.2916, 51.09
310.0, 0.2883, 51.49
311.0, 0.2847, 51.91
312.0, 0.2812, 52.33
313.0, 0.2777, 52.76
314.0, 0.2744, 53.16
315.0, 0.2708, 53.60
316.0, 0.2674, 54.02
317.0, 0.2635, 54.51
318.0, 0.2594, 55.03
319.0, 0.2555, 55.52
320.0, 0.2514, 56.05
321.0, 0.2477, 56.54
322.0, 0.2439, 57.02
323.0, 0.2399, 57.56
324.0, 0.2359, 58.08
325.0, 0.2321, 58.61
326.0, 0.2284, 59.10
327.0, 0.2249, 59.58
328.0, 0.2214, 60.06
329.0, 0.2183, 60.50
330.0, 0.2162, 60.79
331.0, 0.2095, 61.73
332.0, 0.2053, 62.33
333.0, 0.2014, 62.90
334.0, 0.1975, 63.45
335.0, 0.1937, 64.02
336.0, 0.1898, 64.59
337.0, 0.1863, 65.12
338.0, 0.1829, 65.63
339.0, 0.1809, 65.93
340.0, 0.1748, 66.87
341.0, 0.1721, 67.28
342.0, 0.1693, 67.71
343.0, 0.1664, 68.17
344.0, 0.1635, 68.62
345.0, 0.1608, 69.06
346.0, 0.1579, 69.51
347.0, 0.1550, 69.98
348.0, 0.1527, 70.35
349.0, 0.1500, 70.79
350.0, 0.1480, 71.12
351.0, 0.1454, 71.55
352.0, 0.1429, 71.97
353.0, 0.1404, 72.37
354.0, 0.1378, 72.82
355.0, 0.1355, 73.20
356.0, 0.1328, 73.66
357.0, 0.1301, 74.12
358.0, 0.1275, 74.56
359.0, 0.1251, 74.97
360.0, 0.1228, 75.36
361.0, 0.1206, 75.76
362.0, 0.1188, 76.07
363.0, 0.1167, 76.44
364.0, 0.1147, 76.78
365.0, 0.1127, 77.14
366.0, 0.1112, 77.42
367.0, 0.1093, 77.74
368.0, 0.1074, 78.09
369.0, 0.1058, 78.38
370.0, 0.1051, 78.51
371.0, 0.0973, 79.93
372.0, 0.0951, 80.34
373.0, 0.0930, 80.72
374.0, 0.0911, 81.08
375.0, 0.0891, 81.46
376.0, 0.0873, 81.80
377.0, 0.0853, 82.16
378.0, 0.0833, 82.55
379.0, 0.0813, 82.92
380.0, 0.0793, 83.31
381.0, 0.0775, 83.66
382.0, 0.0759, 83.97
383.0, 0.0740, 84.33
384.0, 0.0731, 84.50
385.0, 0.0704, 85.04
386.0, 0.0691, 85.29
387.0, 0.0675, 85.61
388.0, 0.0659, 85.92
389.0, 0.0647, 86.16
390.0, 0.0633, 86.45
391.0, 0.0618, 86.74
392.0, 0.0603, 87.03
393.0, 0.0590, 87.29
394.0, 0.0578, 87.53
395.0, 0.0565, 87.80
396.0, 0.0553, 88.05
397.0, 0.0542, 88.27
398.0, 0.0532, 88.48
399.0, 0.0522, 88.68
400.0, 0.0511, 88.90
401.0, 0.0501, 89.10
402.0, 0.0491, 89.31
403.0, 0.0479, 89.55
404.0, 0.0469, 89.75
405.0, 0.0463, 89.89
406.0, 0.0452, 90.11
407.0, 0.0443, 90.30
408.0, 0.0434, 90.49
409.0, 0.0426, 90.66
410.0, 0.0420, 90.78
411.0, 0.0413, 90.93
412.0, 0.0407, 91.05
413.0, 0.0401, 91.19
414.0, 0.0393, 91.36
415.0, 0.0386, 91.49
416.0, 0.0379, 91.65
417.0, 0.0373, 91.77
418.0, 0.0367, 91.89
419.0, 0.0361, 92.02
420.0, 0.0356, 92.13
421.0, 0.0351, 92.23
422.0, 0.0348, 92.30
423.0, 0.0343, 92.40
424.0, 0.0339, 92.50
425.0, 0.0334, 92.59
426.0, 0.0329, 92.71
427.0, 0.0325, 92.80
428.0, 0.0320, 92.90
429.0, 0.0315, 92.99
430.0, 0.0311, 93.08
431.0, 0.0307, 93.17
432.0, 0.0302, 93.27
433.0, 0.0299, 93.35
434.0, 0.0296, 93.42
435.0, 0.0294, 93.46
436.0, 0.0290, 93.55
437.0, 0.0287, 93.61
438.0, 0.0286, 93.63
439.0, 0.0283, 93.70
440.0, 0.0280, 93.75
441.0, 0.0279, 93.79
442.0, 0.0277, 93.83
443.0, 0.0275, 93.86
444.0, 0.0274, 93.89
445.0, 0.0271, 93.95
446.0, 0.0271, 93.94
447.0, 0.0270, 93.96
448.0, 0.0270, 93.97
449.0, 0.0270, 93.96
450.0, 0.0270, 93.96
451.0, 0.0265, 94.08
452.0, 0.0261, 94.17
453.0, 0.0257, 94.25
454.0, 0.0253, 94.34
455.0, 0.0249, 94.42
456.0, 0.0245, 94.51
457.0, 0.0241, 94.60
458.0, 0.0236, 94.71
459.0, 0.0233, 94.77
460.0, 0.0229, 94.86
461.0, 0.0227, 94.92
462.0, 0.0223, 94.98
463.0, 0.0221, 95.05
464.0, 0.0217, 95.13
465.0, 0.0215, 95.18
466.0, 0.0212, 95.24
467.0, 0.0209, 95.31
468.0, 0.0206, 95.36
469.0, 0.0204, 95.41
470.0, 0.0201, 95.47
471.0, 0.0198, 95.55
472.0, 0.0196, 95.58
473.0, 0.0194, 95.63
474.0, 0.0191, 95.69
475.0, 0.0190, 95.71
476.0, 0.0187, 95.80
477.0, 0.0186, 95.82
478.0, 0.0182, 95.90
479.0, 0.0180, 95.94
480.0, 0.0177, 96.00
481.0, 0.0174, 96.08
482.0, 0.0172, 96.11
483.0, 0.0169, 96.18
484.0, 0.0167, 96.22
485.0, 0.0164, 96.30
486.0, 0.0163, 96.32
487.0, 0.0160, 96.38
488.0, 0.0159, 96.41
489.0, 0.0155, 96.49
490.0, 0.0154, 96.52
491.0, 0.0153, 96.54
492.0, 0.0150, 96.61
493.0, 0.0147, 96.68
494.0, 0.0146, 96.70
495.0, 0.0144, 96.74
496.0, 0.0142, 96.78
497.0, 0.0140, 96.83
498.0, 0.0138, 96.87
499.0, 0.0135, 96.93
500.0, 0.0132, 97.00
501.0, 0.0131, 97.02
502.0, 0.0130, 97.06
503.0, 0.0127, 97.11
504.0, 0.0125, 97.16
505.0, 0.0123, 97.20
506.0, 0.0123, 97.21
507.0, 0.0123, 97.22
