Sample Name, Sample-24
Time, February 05 11:28:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.4462, 3.58
231.0, 1.4371, 3.65
232.0, 1.4281, 3.73
233.0, 1.4173, 3.83
234.0, 1.4056, 3.93
235.0, 1.3933, 4.04
236.0, 1.3806, 4.16
237.0, 1.3682, 4.28
238.0, 1.3553, 4.41
239.0, 1.3420, 4.55
240.0, 1.3286, 4.69
241.0, 1.3167, 4.82
242.0, 1.3041, 4.96
243.0, 1.2918, 5.11
244.0, 1.2792, 5.26
245.0, 1.2660, 5.42
246.0, 1.2525, 5.59
247.0, 1.2401, 5.75
248.0, 1.2289, 5.90
249.0, 1.2170, 6.07
250.0, 1.2065, 6.22
251.0, 1.1958, 6.37
252.0, 1.1856, 6.52
253.0, 1.1761, 6.67
254.0, 1.1681, 6.79
255.0, 1.1600, 6.92
256.0, 1.1522, 7.04
257.0, 1.1446, 7.17
258.0, 1.1400, 7.24
259.0, 1.1274, 7.46
260.0, 1.1194, 7.60
261.0, 1.1114, 7.74
262.0, 1.1039, 7.87
263.0, 1.0965, 8.01
264.0, 1.0886, 8.16
265.0, 1.0820, 8.28
266.0, 1.0754, 8.41
267.0, 1.0690, 8.53
268.0, 1.0633, 8.64
269.0, 1.0573, 8.76
270.0, 1.0506, 8.90
271.0, 1.0445, 9.03
272.0, 1.0381, 9.16
273.0, 1.0327, 9.27
274.0, 1.0269, 9.40
275.0, 1.0211, 9.53
276.0, 1.0159, 9.64
277.0, 1.0101, 9.77
278.0, 1.0050, 9.89
279.0, 1.0002, 10.00
280.0, 0.9948, 10.12
281.0, 0.9896, 10.24
282.0, 0.9829, 10.40
283.0, 0.9759, 10.57
284.0, 0.9685, 10.75
285.0, 0.9621, 10.91
286.0, 0.9544, 11.11
287.0, 0.9460, 11.32
288.0, 0.9387, 11.52
289.0, 0.9309, 11.72
290.0, 0.9237, 11.92
291.0, 0.9165, 12.12
292.0, 0.9093, 12.32
293.0, 0.9020, 12.53
294.0, 0.8935, 12.78
295.0, 0.8858, 13.01
296.0, 0.8789, 13.22
297.0, 0.8716, 13.44
298.0, 0.8675, 13.57
299.0, 0.8559, 13.93
300.0, 0.8485, 14.18
301.0, 0.8413, 14.41
302.0, 0.8348, 14.63
303.0, 0.8288, 14.83
304.0, 0.8222, 15.06
305.0, 0.8155, 15.29
306.0, 0.8084, 15.55
307.0, 0.8016, 15.79
308.0, 0.7941, 16.07
309.0, 0.7865, 16.35
310.0, 0.7800, 16.60
311.0, 0.7726, 16.88
312.0, 0.7656, 17.16
313.0, 0.7580, 17.46
314.0, 0.7513, 17.73
315.0, 0.7449, 17.99
316.0, 0.7373, 18.31
317.0, 0.7296, 18.64
318.0, 0.7210, 19.01
319.0, 0.7126, 19.38
320.0, 0.7041, 19.77
321.0, 0.6961, 20.13
322.0, 0.6880, 20.51
323.0, 0.6795, 20.92
324.0, 0.6705, 21.36
325.0, 0.6621, 21.77
326.0, 0.6541, 22.17
327.0, 0.6468, 22.55
328.0, 0.6389, 22.97
329.0, 0.6316, 23.36
330.0, 0.6266, 23.63
331.0, 0.6126, 24.40
332.0, 0.6039, 24.90
333.0, 0.5953, 25.39
334.0, 0.5871, 25.88
335.0, 0.5785, 26.39
336.0, 0.5703, 26.90
337.0, 0.5626, 27.38
338.0, 0.5559, 27.80
339.0, 0.5506, 28.14
340.0, 0.4910, 32.29
341.0, 0.4876, 32.54
342.0, 0.4837, 32.83
343.0, 0.4803, 33.09
344.0, 0.4775, 33.31
345.0, 0.4745, 33.54
346.0, 0.4714, 33.78
347.0, 0.4676, 34.07
348.0, 0.4654, 34.24
349.0, 0.4618, 34.53
350.0, 0.4590, 34.75
351.0, 0.4556, 35.03
352.0, 0.4526, 35.27
353.0, 0.4486, 35.60
354.0, 0.4444, 35.94
355.0, 0.4402, 36.29
356.0, 0.4363, 36.62
357.0, 0.4321, 36.98
358.0, 0.4272, 37.40
359.0, 0.4230, 37.76
360.0, 0.4185, 38.15
361.0, 0.4144, 38.51
362.0, 0.4102, 38.89
363.0, 0.4064, 39.23
364.0, 0.4021, 39.62
365.0, 0.3976, 40.03
366.0, 0.3919, 40.56
367.0, 0.3871, 41.01
368.0, 0.3820, 41.50
369.0, 0.3770, 41.98
370.0, 0.3742, 42.25
371.0, 0.3810, 41.59
372.0, 0.3775, 41.93
373.0, 0.3742, 42.24
374.0, 0.3706, 42.60
375.0, 0.3673, 42.93
376.0, 0.3643, 43.23
377.0, 0.3608, 43.57
378.0, 0.3574, 43.92
379.0, 0.3537, 44.29
380.0, 0.3502, 44.65
381.0, 0.3472, 44.96
382.0, 0.3440, 45.29
383.0, 0.3408, 45.63
384.0, 0.3393, 45.78
385.0, 0.3341, 46.33
386.0, 0.3311, 46.65
387.0, 0.3280, 46.99
388.0, 0.3252, 47.29
389.0, 0.3223, 47.61
390.0, 0.3190, 47.97
391.0, 0.3160, 48.31
392.0, 0.3128, 48.66
393.0, 0.3097, 49.01
394.0, 0.3069, 49.32
395.0, 0.3038, 49.69
396.0, 0.3007, 50.04
397.0, 0.2982, 50.33
398.0, 0.2955, 50.64
399.0, 0.2929, 50.95
400.0, 0.2903, 51.26
401.0, 0.2877, 51.56
402.0, 0.2847, 51.92
403.0, 0.2819, 52.26
404.0, 0.2788, 52.63
405.0, 0.2765, 52.91
406.0, 0.2736, 53.26
407.0, 0.2713, 53.55
408.0, 0.2687, 53.87
409.0, 0.2664, 54.15
410.0, 0.2640, 54.45
411.0, 0.2618, 54.72
412.0, 0.2597, 54.99
413.0, 0.2574, 55.28
414.0, 0.2549, 55.60
415.0, 0.2525, 55.91
416.0, 0.2501, 56.22
417.0, 0.2479, 56.50
418.0, 0.2457, 56.80
419.0, 0.2435, 57.09
420.0, 0.2413, 57.37
421.0, 0.2392, 57.65
422.0, 0.2372, 57.91
423.0, 0.2353, 58.18
424.0, 0.2335, 58.42
425.0, 0.2313, 58.70
426.0, 0.2294, 58.97
427.0, 0.2272, 59.26
428.0, 0.2253, 59.53
429.0, 0.2232, 59.81
430.0, 0.2213, 60.08
431.0, 0.2193, 60.36
432.0, 0.2174, 60.62
433.0, 0.2156, 60.87
434.0, 0.2140, 61.09
435.0, 0.2123, 61.33
436.0, 0.2107, 61.56
437.0, 0.2091, 61.79
438.0, 0.2074, 62.04
439.0, 0.2057, 62.27
440.0, 0.2039, 62.53
441.0, 0.2024, 62.75
442.0, 0.2005, 63.02
443.0, 0.1992, 63.22
444.0, 0.1978, 63.42
445.0, 0.1961, 63.66
446.0, 0.1949, 63.84
447.0, 0.1935, 64.05
448.0, 0.1922, 64.24
449.0, 0.1910, 64.42
450.0, 0.1903, 64.53
451.0, 0.1878, 64.90
