Sample Name, Sample-117
Time, February 05 17:33:20 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5960, 25.35
231.0, 0.5879, 25.83
232.0, 0.5803, 26.29
233.0, 0.5720, 26.79
234.0, 0.5633, 27.33
235.0, 0.5542, 27.91
236.0, 0.5456, 28.47
237.0, 0.5375, 29.01
238.0, 0.5296, 29.54
239.0, 0.5216, 30.09
240.0, 0.5138, 30.64
241.0, 0.5065, 31.16
242.0, 0.4998, 31.63
243.0, 0.4935, 32.10
244.0, 0.4874, 32.55
245.0, 0.4815, 33.00
246.0, 0.4752, 33.48
247.0, 0.4692, 33.95
248.0, 0.4634, 34.41
249.0, 0.4584, 34.81
250.0, 0.4533, 35.21
251.0, 0.4485, 35.60
252.0, 0.4438, 35.99
253.0, 0.4395, 36.35
254.0, 0.4355, 36.68
255.0, 0.4315, 37.02
256.0, 0.4280, 37.32
257.0, 0.4245, 37.63
258.0, 0.4219, 37.86
259.0, 0.4148, 38.47
260.0, 0.4102, 38.88
261.0, 0.4060, 39.26
262.0, 0.4016, 39.67
263.0, 0.3969, 40.09
264.0, 0.3921, 40.54
265.0, 0.3874, 40.99
266.0, 0.3827, 41.43
267.0, 0.3781, 41.87
268.0, 0.3738, 42.28
269.0, 0.3691, 42.74
270.0, 0.3639, 43.26
271.0, 0.3586, 43.79
272.0, 0.3534, 44.32
273.0, 0.3484, 44.83
274.0, 0.3435, 45.34
275.0, 0.3385, 45.87
276.0, 0.3336, 46.39
277.0, 0.3287, 46.91
278.0, 0.3245, 47.37
279.0, 0.3202, 47.84
280.0, 0.3162, 48.28
281.0, 0.3115, 48.81
282.0, 0.3067, 49.36
283.0, 0.3016, 49.93
284.0, 0.2969, 50.48
285.0, 0.2923, 51.01
286.0, 0.2879, 51.53
287.0, 0.2831, 52.11
288.0, 0.2786, 52.65
289.0, 0.2745, 53.16
290.0, 0.2701, 53.69
291.0, 0.2665, 54.14
292.0, 0.2629, 54.59
293.0, 0.2593, 55.04
294.0, 0.2555, 55.53
295.0, 0.2519, 55.99
296.0, 0.2484, 56.44
297.0, 0.2454, 56.84
298.0, 0.2438, 57.05
299.0, 0.2388, 57.70
300.0, 0.2359, 58.09
301.0, 0.2331, 58.47
302.0, 0.2307, 58.79
303.0, 0.2285, 59.09
304.0, 0.2265, 59.36
305.0, 0.2238, 59.73
306.0, 0.2213, 60.07
307.0, 0.2189, 60.41
308.0, 0.2167, 60.71
309.0, 0.2145, 61.02
310.0, 0.2123, 61.33
311.0, 0.2100, 61.66
312.0, 0.2079, 61.96
313.0, 0.2057, 62.28
314.0, 0.2036, 62.58
315.0, 0.2014, 62.89
316.0, 0.1993, 63.19
317.0, 0.1974, 63.48
318.0, 0.1950, 63.83
319.0, 0.1927, 64.17
320.0, 0.1899, 64.57
321.0, 0.1879, 64.88
322.0, 0.1854, 65.25
323.0, 0.1828, 65.64
324.0, 0.1801, 66.05
325.0, 0.1777, 66.42
326.0, 0.1753, 66.79
327.0, 0.1732, 67.12
328.0, 0.1708, 67.49
329.0, 0.1686, 67.83
330.0, 0.1672, 68.05
331.0, 0.1627, 68.75
332.0, 0.1600, 69.18
333.0, 0.1577, 69.55
334.0, 0.1550, 69.98
335.0, 0.1524, 70.41
336.0, 0.1496, 70.86
337.0, 0.1472, 71.25
338.0, 0.1449, 71.63
339.0, 0.1436, 71.84
340.0, 0.1427, 72.00
341.0, 0.1405, 72.37
342.0, 0.1384, 72.72
343.0, 0.1360, 73.11
344.0, 0.1337, 73.50
345.0, 0.1315, 73.87
346.0, 0.1294, 74.24
347.0, 0.1271, 74.63
348.0, 0.1254, 74.92
349.0, 0.1231, 75.32
350.0, 0.1210, 75.68
351.0, 0.1192, 75.99
352.0, 0.1176, 76.28
353.0, 0.1154, 76.67
354.0, 0.1134, 77.02
355.0, 0.1114, 77.37
356.0, 0.1098, 77.66
357.0, 0.1079, 78.01
358.0, 0.1062, 78.31
359.0, 0.1046, 78.60
360.0, 0.1031, 78.86
361.0, 0.1014, 79.19
362.0, 0.1000, 79.44
363.0, 0.0987, 79.66
364.0, 0.0971, 79.97
365.0, 0.0961, 80.15
366.0, 0.0949, 80.38
367.0, 0.0938, 80.58
368.0, 0.0928, 80.76
369.0, 0.0918, 80.94
370.0, 0.0913, 81.05
371.0, 0.0842, 82.38
372.0, 0.0826, 82.69
