Sample Name, Sample-30
Time, February 05 11:43:54 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8216, 15.08
231.0, 0.8173, 15.23
232.0, 0.8124, 15.40
233.0, 0.8071, 15.59
234.0, 0.8013, 15.80
235.0, 0.7961, 15.99
236.0, 0.7912, 16.17
237.0, 0.7862, 16.36
238.0, 0.7813, 16.55
239.0, 0.7759, 16.75
240.0, 0.7706, 16.96
241.0, 0.7658, 17.15
242.0, 0.7610, 17.34
243.0, 0.7564, 17.52
244.0, 0.7518, 17.71
245.0, 0.7470, 17.91
246.0, 0.7420, 18.11
247.0, 0.7370, 18.32
248.0, 0.7322, 18.53
249.0, 0.7273, 18.74
250.0, 0.7226, 18.94
251.0, 0.7176, 19.16
252.0, 0.7129, 19.37
253.0, 0.7085, 19.57
254.0, 0.7047, 19.74
255.0, 0.7008, 19.92
256.0, 0.6969, 20.10
257.0, 0.6928, 20.29
258.0, 0.6904, 20.40
259.0, 0.6831, 20.75
260.0, 0.6785, 20.96
261.0, 0.6745, 21.16
262.0, 0.6702, 21.37
263.0, 0.6657, 21.59
264.0, 0.6612, 21.82
265.0, 0.6569, 22.04
266.0, 0.6531, 22.23
267.0, 0.6493, 22.43
268.0, 0.6455, 22.62
269.0, 0.6414, 22.84
270.0, 0.6370, 23.07
271.0, 0.6328, 23.29
272.0, 0.6289, 23.50
273.0, 0.6251, 23.71
274.0, 0.6211, 23.93
275.0, 0.6171, 24.15
276.0, 0.6130, 24.38
277.0, 0.6092, 24.59
278.0, 0.6057, 24.79
279.0, 0.6022, 24.99
280.0, 0.5984, 25.21
281.0, 0.5944, 25.45
282.0, 0.5900, 25.70
283.0, 0.5857, 25.96
284.0, 0.5812, 26.23
285.0, 0.5769, 26.49
286.0, 0.5724, 26.77
287.0, 0.5677, 27.06
288.0, 0.5634, 27.32
289.0, 0.5592, 27.60
290.0, 0.5551, 27.85
291.0, 0.5514, 28.09
292.0, 0.5471, 28.37
293.0, 0.5430, 28.65
294.0, 0.5386, 28.93
295.0, 0.5343, 29.22
296.0, 0.5300, 29.51
297.0, 0.5262, 29.77
298.0, 0.5240, 29.93
299.0, 0.5174, 30.38
300.0, 0.5132, 30.67
301.0, 0.5092, 30.96
302.0, 0.5054, 31.23
303.0, 0.5019, 31.48
304.0, 0.4981, 31.76
305.0, 0.4941, 32.06
306.0, 0.4900, 32.36
307.0, 0.4857, 32.68
308.0, 0.4815, 33.00
309.0, 0.4775, 33.30
310.0, 0.4734, 33.62
311.0, 0.4695, 33.93
312.0, 0.4654, 34.24
313.0, 0.4616, 34.55
314.0, 0.4577, 34.86
315.0, 0.4542, 35.14
316.0, 0.4504, 35.45
317.0, 0.4467, 35.75
318.0, 0.4426, 36.09
319.0, 0.4384, 36.44
320.0, 0.4342, 36.79
321.0, 0.4301, 37.15
322.0, 0.4261, 37.49
323.0, 0.4218, 37.86
324.0, 0.4175, 38.24
325.0, 0.4135, 38.59
326.0, 0.4101, 38.90
327.0, 0.4064, 39.23
328.0, 0.4029, 39.55
329.0, 0.3993, 39.87
330.0, 0.3973, 40.06
331.0, 0.3908, 40.67
332.0, 0.3867, 41.05
333.0, 0.3827, 41.43
334.0, 0.3790, 41.78
335.0, 0.3749, 42.17
336.0, 0.3713, 42.54
337.0, 0.3680, 42.85
338.0, 0.3647, 43.18
339.0, 0.3621, 43.44
340.0, 0.3354, 46.20
341.0, 0.3336, 46.39
342.0, 0.3320, 46.56
343.0, 0.3300, 46.78
344.0, 0.3281, 46.98
345.0, 0.3262, 47.18
