Sample Name, Sample-123
Time, February 05 17:53:11 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0433, 9.05
231.0, 1.0297, 9.34
232.0, 1.0162, 9.63
233.0, 1.0015, 9.96
234.0, 0.9853, 10.34
235.0, 0.9699, 10.72
236.0, 0.9544, 11.11
237.0, 0.9392, 11.50
238.0, 0.9248, 11.89
239.0, 0.9104, 12.29
240.0, 0.8959, 12.71
241.0, 0.8825, 13.11
242.0, 0.8708, 13.47
243.0, 0.8600, 13.80
244.0, 0.8481, 14.19
245.0, 0.8373, 14.55
246.0, 0.8263, 14.92
247.0, 0.8156, 15.29
248.0, 0.8056, 15.65
249.0, 0.7957, 16.01
250.0, 0.7861, 16.36
251.0, 0.7772, 16.70
252.0, 0.7682, 17.05
253.0, 0.7595, 17.40
254.0, 0.7517, 17.71
255.0, 0.7441, 18.03
256.0, 0.7365, 18.35
257.0, 0.7285, 18.69
258.0, 0.7234, 18.91
259.0, 0.7088, 19.55
260.0, 0.6995, 19.98
261.0, 0.6899, 20.42
262.0, 0.6803, 20.88
263.0, 0.6703, 21.36
264.0, 0.6602, 21.87
265.0, 0.6507, 22.35
266.0, 0.6412, 22.85
267.0, 0.6323, 23.32
268.0, 0.6236, 23.79
269.0, 0.6141, 24.32
270.0, 0.6039, 24.89
271.0, 0.5941, 25.46
272.0, 0.5846, 26.03
273.0, 0.5750, 26.61
274.0, 0.5658, 27.18
275.0, 0.5568, 27.75
276.0, 0.5479, 28.32
277.0, 0.5394, 28.88
278.0, 0.5319, 29.38
279.0, 0.5246, 29.88
280.0, 0.5172, 30.39
281.0, 0.5091, 30.97
282.0, 0.5007, 31.57
283.0, 0.4923, 32.19
284.0, 0.4846, 32.77
285.0, 0.4770, 33.34
286.0, 0.4696, 33.92
287.0, 0.4621, 34.51
288.0, 0.4549, 35.08
289.0, 0.4484, 35.61
290.0, 0.4421, 36.13
291.0, 0.4360, 36.64
292.0, 0.4304, 37.12
293.0, 0.4247, 37.61
294.0, 0.4186, 38.14
295.0, 0.4128, 38.66
296.0, 0.4075, 39.13
