Sample Name, Sample-127
Time, February 05 18:03:24 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6771, 21.03
231.0, 0.6666, 21.55
232.0, 0.6564, 22.06
233.0, 0.6454, 22.63
234.0, 0.6336, 23.25
235.0, 0.6222, 23.86
236.0, 0.6116, 24.46
237.0, 0.6010, 25.06
238.0, 0.5908, 25.66
239.0, 0.5806, 26.26
240.0, 0.5708, 26.87
241.0, 0.5617, 27.44
242.0, 0.5535, 27.96
243.0, 0.5459, 28.45
244.0, 0.5385, 28.94
245.0, 0.5311, 29.44
246.0, 0.5235, 29.96
247.0, 0.5167, 30.43
248.0, 0.5102, 30.89
249.0, 0.5037, 31.35
250.0, 0.4974, 31.81
251.0, 0.4915, 32.25
252.0, 0.4857, 32.68
253.0, 0.4800, 33.11
254.0, 0.4746, 33.52
255.0, 0.4696, 33.91
256.0, 0.4645, 34.32
257.0, 0.4595, 34.71
258.0, 0.4564, 34.96
259.0, 0.4467, 35.75
260.0, 0.4406, 36.25
261.0, 0.4344, 36.78
262.0, 0.4282, 37.31
263.0, 0.4218, 37.86
264.0, 0.4156, 38.41
265.0, 0.4090, 39.00
266.0, 0.4028, 39.55
267.0, 0.3971, 40.08
268.0, 0.3914, 40.60
269.0, 0.3854, 41.17
270.0, 0.3791, 41.77
271.0, 0.3730, 42.37
272.0, 0.3666, 42.99
273.0, 0.3607, 43.58
274.0, 0.3550, 44.16
275.0, 0.3491, 44.76
276.0, 0.3435, 45.34
277.0, 0.3379, 45.93
278.0, 0.3332, 46.43
279.0, 0.3285, 46.94
280.0, 0.3239, 47.44
281.0, 0.3189, 47.98
282.0, 0.3138, 48.55
283.0, 0.3086, 49.13
284.0, 0.3037, 49.69
285.0, 0.2989, 50.25
286.0, 0.2941, 50.81
287.0, 0.2894, 51.35
288.0, 0.2848, 51.90
289.0, 0.2806, 52.40
290.0, 0.2764, 52.92
291.0, 0.2729, 53.34
292.0, 0.2692, 53.80
293.0, 0.2655, 54.26
294.0, 0.2615, 54.77
295.0, 0.2580, 55.21
296.0, 0.2546, 55.64
297.0, 0.2513, 56.06
298.0, 0.2496, 56.29
299.0, 0.2443, 56.98
300.0, 0.2411, 57.40
301.0, 0.2379, 57.83
302.0, 0.2351, 58.19
303.0, 0.2326, 58.54
304.0, 0.2300, 58.89
305.0, 0.2271, 59.28
306.0, 0.2240, 59.70
307.0, 0.2210, 60.11
308.0, 0.2180, 60.53
309.0, 0.2152, 60.93
310.0, 0.2121, 61.37
311.0, 0.2090, 61.79
312.0, 0.2061, 62.21
313.0, 0.2032, 62.63
314.0, 0.2007, 63.00
315.0, 0.1983, 63.35
316.0, 0.1957, 63.73
317.0, 0.1930, 64.12
318.0, 0.1902, 64.54
319.0, 0.1872, 64.98
320.0, 0.1845, 65.38
321.0, 0.1818, 65.80
322.0, 0.1791, 66.21
323.0, 0.1763, 66.64
324.0, 0.1735, 67.06
325.0, 0.1708, 67.48
326.0, 0.1684, 67.85
327.0, 0.1662, 68.21
328.0, 0.1639, 68.57
329.0, 0.1612, 68.98
330.0, 0.1599, 69.20
331.0, 0.1551, 69.97
332.0, 0.1521, 70.45
333.0, 0.1496, 70.86
334.0, 0.1467, 71.33
335.0, 0.1441, 71.77
336.0, 0.1413, 72.23
337.0, 0.1389, 72.62
338.0, 0.1367, 72.99
339.0, 0.1353, 73.23
340.0, 0.1292, 74.27
341.0, 0.1272, 74.62
342.0, 0.1255, 74.91
343.0, 0.1231, 75.32
344.0, 0.1210, 75.69
345.0, 0.1189, 76.06
346.0, 0.1166, 76.45
347.0, 0.1149, 76.75
348.0, 0.1134, 77.02
349.0, 0.1113, 77.39
350.0, 0.1098, 77.66
351.0, 0.1079, 78.01
352.0, 0.1065, 78.25
353.0, 0.1045, 78.62
354.0, 0.1023, 79.01
355.0, 0.1004, 79.37
356.0, 0.0982, 79.77
357.0, 0.0961, 80.15
358.0, 0.0943, 80.49
359.0, 0.0925, 80.82
360.0, 0.0906, 81.16
361.0, 0.0889, 81.48
362.0, 0.0871, 81.82
363.0, 0.0857, 82.09
364.0, 0.0843, 82.37
365.0, 0.0827, 82.66
366.0, 0.0809, 83.01
367.0, 0.0796, 83.26
368.0, 0.0781, 83.54
369.0, 0.0769, 83.77
370.0, 0.0766, 83.84
371.0, 0.0710, 84.92
372.0, 0.0692, 85.26
373.0, 0.0679, 85.52
374.0, 0.0663, 85.85
375.0, 0.0649, 86.12
376.0, 0.0636, 86.37
377.0, 0.0619, 86.71
378.0, 0.0603, 87.04
379.0, 0.0590, 87.31
380.0, 0.0574, 87.63
381.0, 0.0562, 87.87
382.0, 0.0550, 88.10
383.0, 0.0535, 88.42
384.0, 0.0529, 88.53
385.0, 0.0511, 88.90
386.0, 0.0500, 89.12
387.0, 0.0486, 89.41
388.0, 0.0477, 89.61
389.0, 0.0466, 89.83
390.0, 0.0455, 90.06
391.0, 0.0441, 90.34
392.0, 0.0432, 90.53
393.0, 0.0422, 90.73
394.0, 0.0412, 90.94
395.0, 0.0402, 91.16
396.0, 0.0392, 91.36
397.0, 0.0386, 91.51
398.0, 0.0378, 91.67
399.0, 0.0369, 91.86
400.0, 0.0359, 92.06
401.0, 0.0353, 92.19
402.0, 0.0345, 92.37
403.0, 0.0337, 92.53
404.0, 0.0328, 92.73
405.0, 0.0323, 92.82
406.0, 0.0316, 92.99
407.0, 0.0309, 93.14
408.0, 0.0302, 93.29
409.0, 0.0296, 93.41
410.0, 0.0290, 93.53
411.0, 0.0285, 93.65
412.0, 0.0279, 93.78
413.0, 0.0274, 93.89
414.0, 0.0267, 94.03
415.0, 0.0264, 94.10
416.0, 0.0258, 94.23
417.0, 0.0254, 94.32
418.0, 0.0248, 94.46
