Sample Name, Sample-125
Time, February 05 17:57:35 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5919, 2.56
231.0, 1.5995, 2.51
232.0, 1.6058, 2.48
233.0, 1.6127, 2.44
234.0, 1.6187, 2.41
235.0, 1.6221, 2.39
236.0, 1.6245, 2.37
237.0, 1.6261, 2.37
238.0, 1.6257, 2.37
239.0, 1.6246, 2.37
240.0, 1.6225, 2.39
241.0, 1.6179, 2.41
242.0, 1.6148, 2.43
243.0, 1.6101, 2.45
244.0, 1.6060, 2.48
245.0, 1.5996, 2.51
246.0, 1.5923, 2.56
247.0, 1.5864, 2.59
248.0, 1.5768, 2.65
249.0, 1.5700, 2.69
250.0, 1.5610, 2.75
251.0, 1.5533, 2.80
252.0, 1.5433, 2.86
253.0, 1.5375, 2.90
254.0, 1.5299, 2.95
255.0, 1.5215, 3.01
256.0, 1.5111, 3.08
257.0, 1.5054, 3.12
258.0, 1.5009, 3.16
259.0, 1.4859, 3.27
260.0, 1.4753, 3.35
261.0, 1.4653, 3.43
262.0, 1.4562, 3.50
263.0, 1.4454, 3.59
264.0, 1.4359, 3.67
265.0, 1.4262, 3.75
266.0, 1.4171, 3.83
267.0, 1.4096, 3.89
268.0, 1.4006, 3.98
269.0, 1.3913, 4.06
270.0, 1.3824, 4.15
271.0, 1.3733, 4.23
272.0, 1.3650, 4.31
273.0, 1.3566, 4.40
274.0, 1.3490, 4.48
275.0, 1.3417, 4.55
276.0, 1.3348, 4.63
277.0, 1.3285, 4.69
278.0, 1.3231, 4.75
279.0, 1.3171, 4.82
280.0, 1.3120, 4.88
281.0, 1.3049, 4.96
282.0, 1.2972, 5.04
283.0, 1.2894, 5.14
284.0, 1.2822, 5.22
285.0, 1.2746, 5.31
286.0, 1.2670, 5.41
287.0, 1.2590, 5.51
288.0, 1.2511, 5.61
289.0, 1.2432, 5.71
290.0, 1.2351, 5.82
291.0, 1.2279, 5.92
292.0, 1.2215, 6.01
293.0, 1.2135, 6.12
294.0, 1.2063, 6.22
295.0, 1.1982, 6.34
296.0, 1.1905, 6.45
297.0, 1.1823, 6.57
298.0, 1.1788, 6.63
299.0, 1.1649, 6.84
300.0, 1.1558, 6.99
301.0, 1.1457, 7.15
302.0, 1.1376, 7.28
303.0, 1.1293, 7.43
304.0, 1.1204, 7.58
305.0, 1.1111, 7.74
306.0, 1.1014, 7.92
307.0, 1.0914, 8.10
308.0, 1.0811, 8.30
309.0, 1.0706, 8.50
310.0, 1.0603, 8.70
311.0, 1.0504, 8.90
312.0, 1.0392, 9.14
313.0, 1.0292, 9.35
314.0, 1.0194, 9.56
315.0, 1.0101, 9.77
316.0, 1.0002, 10.00
317.0, 0.9896, 10.24
318.0, 0.9770, 10.54
319.0, 0.9653, 10.83
320.0, 0.9532, 11.14
321.0, 0.9417, 11.44
322.0, 0.9304, 11.74
323.0, 0.9181, 12.08
324.0, 0.9055, 12.43
325.0, 0.8936, 12.78
326.0, 0.8827, 13.10
327.0, 0.8719, 13.43
328.0, 0.8605, 13.79
329.0, 0.8495, 14.14
330.0, 0.8430, 14.35
331.0, 0.8220, 15.06
332.0, 0.8093, 15.51
333.0, 0.7960, 15.99
334.0, 0.7832, 16.47
335.0, 0.7701, 16.98
336.0, 0.7578, 17.46
337.0, 0.7459, 17.95
338.0, 0.7342, 18.44
339.0, 0.7241, 18.87
340.0, 0.5864, 25.92
341.0, 0.5830, 26.12
342.0, 0.5804, 26.28
343.0, 0.5772, 26.47
344.0, 0.5752, 26.59
345.0, 0.5710, 26.85
346.0, 0.5672, 27.09
347.0, 0.5642, 27.28
348.0, 0.5612, 27.47
349.0, 0.5570, 27.74
350.0, 0.5535, 27.96
351.0, 0.5489, 28.25
352.0, 0.5445, 28.54
353.0, 0.5389, 28.92
354.0, 0.5324, 29.35
355.0, 0.5253, 29.83
356.0, 0.5185, 30.30
357.0, 0.5111, 30.83
358.0, 0.5032, 31.39
359.0, 0.4950, 31.99
360.0, 0.4880, 32.51
361.0, 0.4804, 33.09
362.0, 0.4731, 33.64
363.0, 0.4656, 34.23
364.0, 0.4583, 34.81
365.0, 0.4505, 35.44
366.0, 0.4412, 36.20
367.0, 0.4316, 37.01
