Sample Name, Sample-13
Time, February 13 16:25:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0315, 9.30
231.0, 1.0193, 9.57
232.0, 1.0056, 9.87
233.0, 0.9890, 10.26
234.0, 0.9708, 10.69
235.0, 0.9518, 11.17
236.0, 0.9344, 11.63
237.0, 0.9191, 12.05
238.0, 0.9052, 12.44
239.0, 0.8925, 12.81
240.0, 0.8806, 13.16
241.0, 0.8697, 13.50
242.0, 0.8598, 13.81
243.0, 0.8509, 14.10
244.0, 0.8426, 14.37
245.0, 0.8335, 14.67
246.0, 0.8244, 14.98
247.0, 0.8162, 15.27
248.0, 0.8087, 15.54
249.0, 0.8012, 15.80
250.0, 0.7947, 16.04
251.0, 0.7882, 16.29
252.0, 0.7817, 16.53
253.0, 0.7757, 16.76
254.0, 0.7703, 16.97
255.0, 0.7650, 17.18
256.0, 0.7605, 17.36
257.0, 0.7559, 17.54
258.0, 0.7528, 17.67
259.0, 0.7444, 18.02
260.0, 0.7387, 18.25
261.0, 0.7331, 18.49
262.0, 0.7267, 18.76
263.0, 0.7201, 19.05
264.0, 0.7131, 19.36
265.0, 0.7060, 19.68
266.0, 0.6986, 20.02
267.0, 0.6913, 20.36
268.0, 0.6834, 20.73
269.0, 0.6748, 21.15
270.0, 0.6646, 21.65
271.0, 0.6550, 22.13
272.0, 0.6455, 22.62
273.0, 0.6362, 23.11
274.0, 0.6267, 23.62
275.0, 0.6171, 24.15
276.0, 0.6079, 24.66
277.0, 0.5989, 25.19
278.0, 0.5905, 25.67
279.0, 0.5829, 26.13
280.0, 0.5747, 26.62
281.0, 0.5664, 27.14
282.0, 0.5571, 27.73
283.0, 0.5487, 28.27
284.0, 0.5405, 28.81
285.0, 0.5325, 29.34
286.0, 0.5245, 29.89
287.0, 0.5166, 30.43
288.0, 0.5091, 30.97
289.0, 0.5016, 31.50
290.0, 0.4946, 32.02
291.0, 0.4881, 32.50
292.0, 0.4814, 33.01
293.0, 0.4746, 33.53
294.0, 0.4670, 34.12
295.0, 0.4601, 34.66
296.0, 0.4539, 35.17
297.0, 0.4482, 35.63
298.0, 0.4449, 35.90
299.0, 0.4356, 36.67
300.0, 0.4302, 37.14
301.0, 0.4251, 37.57
302.0, 0.4205, 37.98
303.0, 0.4162, 38.35
304.0, 0.4117, 38.75
305.0, 0.4073, 39.15
306.0, 0.4027, 39.56
307.0, 0.3984, 39.96
308.0, 0.3941, 40.36
309.0, 0.3901, 40.73
310.0, 0.3858, 41.14
311.0, 0.3816, 41.53
312.0, 0.3776, 41.91
313.0, 0.3734, 42.33
314.0, 0.3696, 42.70
315.0, 0.3660, 43.05
316.0, 0.3620, 43.45
317.0, 0.3582, 43.83
318.0, 0.3539, 44.27
319.0, 0.3496, 44.71
320.0, 0.3455, 45.13
321.0, 0.3415, 45.55
322.0, 0.3374, 45.98
323.0, 0.3331, 46.44
324.0, 0.3289, 46.89
325.0, 0.3248, 47.33
326.0, 0.3209, 47.76
327.0, 0.3170, 48.19
328.0, 0.3131, 48.63
329.0, 0.3096, 49.03
330.0, 0.3067, 49.35
331.0, 0.3001, 50.10
332.0, 0.2958, 50.60
333.0, 0.2916, 51.10
334.0, 0.2874, 51.59
335.0, 0.2833, 52.08
336.0, 0.2785, 52.66
337.0, 0.2743, 53.18
338.0, 0.2707, 53.62
339.0, 0.2685, 53.89
340.0, 0.2599, 54.97
341.0, 0.2559, 55.47
342.0, 0.2519, 55.99
343.0, 0.2484, 56.44
344.0, 0.2450, 56.89
345.0, 0.2410, 57.42
346.0, 0.2370, 57.94
347.0, 0.2335, 58.42
348.0, 0.2298, 58.91
349.0, 0.2264, 59.37
350.0, 0.2234, 59.79
351.0, 0.2200, 60.25
352.0, 0.2171, 60.66
353.0, 0.2142, 61.07
354.0, 0.2106, 61.57
355.0, 0.2073, 62.04
356.0, 0.2041, 62.51
357.0, 0.2010, 62.95
358.0, 0.1978, 63.42
359.0, 0.1947, 63.87
360.0, 0.1918, 64.29
361.0, 0.1888, 64.75
362.0, 0.1861, 65.15
363.0, 0.1835, 65.54
364.0, 0.1807, 65.97
365.0, 0.1779, 66.39
366.0, 0.1749, 66.84
367.0, 0.1719, 67.31
368.0, 0.1692, 67.73
369.0, 0.1666, 68.13
370.0, 0.1655, 68.31
371.0, 0.1621, 68.85
372.0, 0.1594, 69.29
373.0, 0.1570, 69.66
374.0, 0.1546, 70.05
375.0, 0.1526, 70.38
376.0, 0.1506, 70.70
377.0, 0.1482, 71.08
378.0, 0.1459, 71.47
379.0, 0.1437, 71.84
380.0, 0.1414, 72.21
381.0, 0.1391, 72.59
382.0, 0.1371, 72.93
383.0, 0.1351, 73.26
384.0, 0.1339, 73.46
385.0, 0.1306, 74.03
386.0, 0.1287, 74.35
387.0, 0.1270, 74.65
388.0, 0.1251, 74.97
389.0, 0.1235, 75.25
390.0, 0.1217, 75.57
391.0, 0.1199, 75.88
392.0, 0.1179, 76.23
393.0, 0.1161, 76.55
394.0, 0.1145, 76.83
395.0, 0.1127, 77.15
396.0, 0.1108, 77.47
397.0, 0.1093, 77.75
398.0, 0.1077, 78.04
399.0, 0.1062, 78.31
400.0, 0.1048, 78.55
401.0, 0.1033, 78.83
402.0, 0.1018, 79.11
403.0, 0.1001, 79.41
404.0, 0.0987, 79.67
405.0, 0.0973, 79.94
406.0, 0.0959, 80.18
407.0, 0.0945, 80.44
408.0, 0.0932, 80.69
409.0, 0.0919, 80.94
410.0, 0.0906, 81.18
411.0, 0.0894, 81.40
412.0, 0.0884, 81.58
413.0, 0.0874, 81.78
414.0, 0.0860, 82.03
415.0, 0.0848, 82.26
416.0, 0.0835, 82.50
417.0, 0.0825, 82.70
418.0, 0.0812, 82.95
419.0, 0.0801, 83.16
420.0, 0.0790, 83.37
421.0, 0.0780, 83.56
422.0, 0.0770, 83.75
423.0, 0.0762, 83.91
424.0, 0.0753, 84.08
425.0, 0.0744, 84.26
426.0, 0.0735, 84.43
427.0, 0.0726, 84.60
428.0, 0.0716, 84.79
429.0, 0.0707, 84.97
430.0, 0.0699, 85.14
431.0, 0.0688, 85.35
432.0, 0.0679, 85.53
433.0, 0.0670, 85.71
434.0, 0.0664, 85.83
435.0, 0.0657, 85.97
436.0, 0.0648, 86.13
437.0, 0.0639, 86.32
438.0, 0.0631, 86.48
439.0, 0.0623, 86.64
440.0, 0.0615, 86.80
441.0, 0.0607, 86.96
442.0, 0.0601, 87.08
443.0, 0.0594, 87.22
444.0, 0.0588, 87.34
445.0, 0.0580, 87.51
446.0, 0.0573, 87.64
447.0, 0.0568, 87.75
448.0, 0.0561, 87.88
449.0, 0.0556, 87.98
450.0, 0.0553, 88.05
451.0, 0.0541, 88.29
452.0, 0.0536, 88.40
453.0, 0.0529, 88.52
454.0, 0.0523, 88.65
455.0, 0.0518, 88.77
456.0, 0.0511, 88.91
