Sample Name, Sample-97
Time, February 05 16:36:47 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8192, 15.16
231.0, 0.8038, 15.71
232.0, 0.7897, 16.23
233.0, 0.7745, 16.81
234.0, 0.7589, 17.42
235.0, 0.7442, 18.02
236.0, 0.7301, 18.62
237.0, 0.7173, 19.18
238.0, 0.7049, 19.73
239.0, 0.6924, 20.30
240.0, 0.6807, 20.86
241.0, 0.6702, 21.37
242.0, 0.6609, 21.83
243.0, 0.6517, 22.30
244.0, 0.6435, 22.73
245.0, 0.6347, 23.19
246.0, 0.6261, 23.65
247.0, 0.6181, 24.09
248.0, 0.6104, 24.53
249.0, 0.6033, 24.93
250.0, 0.5967, 25.31
251.0, 0.5901, 25.70
252.0, 0.5839, 26.07
253.0, 0.5780, 26.42
254.0, 0.5728, 26.74
255.0, 0.5675, 27.07
256.0, 0.5627, 27.37
257.0, 0.5574, 27.71
258.0, 0.5543, 27.90
259.0, 0.5455, 28.48
260.0, 0.5396, 28.86
261.0, 0.5342, 29.23
262.0, 0.5285, 29.61
263.0, 0.5227, 30.01
264.0, 0.5168, 30.42
265.0, 0.5112, 30.82
266.0, 0.5059, 31.20
267.0, 0.5008, 31.56
268.0, 0.4960, 31.92
269.0, 0.4900, 32.36
270.0, 0.4845, 32.77
271.0, 0.4789, 33.20
272.0, 0.4731, 33.64
273.0, 0.4679, 34.05
274.0, 0.4625, 34.47
275.0, 0.4573, 34.89
276.0, 0.4520, 35.32
277.0, 0.4464, 35.77
278.0, 0.4419, 36.15
279.0, 0.4369, 36.57
280.0, 0.4323, 36.96
281.0, 0.4270, 37.41
282.0, 0.4212, 37.91
283.0, 0.4156, 38.41
284.0, 0.4101, 38.89
285.0, 0.4046, 39.39
286.0, 0.3988, 39.92
287.0, 0.3929, 40.47
288.0, 0.3871, 41.01
289.0, 0.3818, 41.52
290.0, 0.3764, 42.03
291.0, 0.3713, 42.53
292.0, 0.3666, 43.00
293.0, 0.3617, 43.48
294.0, 0.3564, 44.01
295.0, 0.3516, 44.50
296.0, 0.3469, 44.99
297.0, 0.3426, 45.43
298.0, 0.3404, 45.67
299.0, 0.3333, 46.42
300.0, 0.3291, 46.87
301.0, 0.3253, 47.28
302.0, 0.3220, 47.65
303.0, 0.3187, 48.01
304.0, 0.3155, 48.36
305.0, 0.3121, 48.75
306.0, 0.3087, 49.12
307.0, 0.3055, 49.49
308.0, 0.3022, 49.87
309.0, 0.2988, 50.25
310.0, 0.2957, 50.62
311.0, 0.2923, 51.01
312.0, 0.2892, 51.38
313.0, 0.2861, 51.75
314.0, 0.2833, 52.08
315.0, 0.2803, 52.45
316.0, 0.2775, 52.79
317.0, 0.2745, 53.15
318.0, 0.2711, 53.57
319.0, 0.2678, 53.98
320.0, 0.2646, 54.38
321.0, 0.2614, 54.78
322.0, 0.2582, 55.18
323.0, 0.2546, 55.64
324.0, 0.2515, 56.05
325.0, 0.2482, 56.47
326.0, 0.2451, 56.87
327.0, 0.2422, 57.26
328.0, 0.2394, 57.62
329.0, 0.2362, 58.05
330.0, 0.2345, 58.28
331.0, 0.2290, 59.01
332.0, 0.2253, 59.52
333.0, 0.2222, 59.95
334.0, 0.2186, 60.45
335.0, 0.2152, 60.93
336.0, 0.2119, 61.39
337.0, 0.2087, 61.84
338.0, 0.2056, 62.29
339.0, 0.2040, 62.52
340.0, 0.1986, 63.30
341.0, 0.1958, 63.71
342.0, 0.1927, 64.17
343.0, 0.1897, 64.61
344.0, 0.1868, 65.04
345.0, 0.1841, 65.44
346.0, 0.1813, 65.88
347.0, 0.1781, 66.35
348.0, 0.1756, 66.74
349.0, 0.1726, 67.21
350.0, 0.1703, 67.56
351.0, 0.1676, 67.98
352.0, 0.1652, 68.36
353.0, 0.1627, 68.75
354.0, 0.1598, 69.22
355.0, 0.1570, 69.66
356.0, 0.1543, 70.10
357.0, 0.1519, 70.48
358.0, 0.1493, 70.91
359.0, 0.1469, 71.30
360.0, 0.1446, 71.67
361.0, 0.1422, 72.07
362.0, 0.1399, 72.46
363.0, 0.1382, 72.74
364.0, 0.1359, 73.12
365.0, 0.1338, 73.48
366.0, 0.1319, 73.80
367.0, 0.1300, 74.13
368.0, 0.1280, 74.47
369.0, 0.1264, 74.75
370.0, 0.1257, 74.87
371.0, 0.1187, 76.08
372.0, 0.1166, 76.45
373.0, 0.1145, 76.83
374.0, 0.1124, 77.20
375.0, 0.1104, 77.55
376.0, 0.1088, 77.84
377.0, 0.1067, 78.22
378.0, 0.1046, 78.59
379.0, 0.1025, 78.97
380.0, 0.1005, 79.35
381.0, 0.0987, 79.68
382.0, 0.0969, 80.00
383.0, 0.0951, 80.34
384.0, 0.0942, 80.50
385.0, 0.0913, 81.04
386.0, 0.0897, 81.33
387.0, 0.0880, 81.65
388.0, 0.0866, 81.92
389.0, 0.0849, 82.24
390.0, 0.0835, 82.52
391.0, 0.0818, 82.83
392.0, 0.0804, 83.10
393.0, 0.0788, 83.40
394.0, 0.0775, 83.65
395.0, 0.0760, 83.94
396.0, 0.0746, 84.22
397.0, 0.0734, 84.45
398.0, 0.0723, 84.67
399.0, 0.0709, 84.94
400.0, 0.0697, 85.18
401.0, 0.0687, 85.36
402.0, 0.0674, 85.63
403.0, 0.0663, 85.84
404.0, 0.0650, 86.10
405.0, 0.0640, 86.29
406.0, 0.0629, 86.52
407.0, 0.0620, 86.69
408.0, 0.0609, 86.92
409.0, 0.0599, 87.11
410.0, 0.0592, 87.26
411.0, 0.0583, 87.43
412.0, 0.0576, 87.58
413.0, 0.0566, 87.78
414.0, 0.0556, 87.99
415.0, 0.0547, 88.16
416.0, 0.0539, 88.33
417.0, 0.0532, 88.48
418.0, 0.0524, 88.64
419.0, 0.0516, 88.80
420.0, 0.0510, 88.93
421.0, 0.0502, 89.07
422.0, 0.0496, 89.20
423.0, 0.0490, 89.32
424.0, 0.0485, 89.44
425.0, 0.0479, 89.57
426.0, 0.0471, 89.71
427.0, 0.0465, 89.85
428.0, 0.0459, 89.98
429.0, 0.0453, 90.10
430.0, 0.0448, 90.20
431.0, 0.0442, 90.33
432.0, 0.0436, 90.46
433.0, 0.0432, 90.54
434.0, 0.0427, 90.65
435.0, 0.0422, 90.75
436.0, 0.0419, 90.81
437.0, 0.0415, 90.88
438.0, 0.0410, 90.99
439.0, 0.0406, 91.08
440.0, 0.0403, 91.15
441.0, 0.0398, 91.24
442.0, 0.0393, 91.36
443.0, 0.0389, 91.43
444.0, 0.0387, 91.47
445.0, 0.0382, 91.58
446.0, 0.0381, 91.61
447.0, 0.0377, 91.68
448.0, 0.0375, 91.72
449.0, 0.0374, 91.75
450.0, 0.0372, 91.78
451.0, 0.0364, 91.95
452.0, 0.0360, 92.05
453.0, 0.0354, 92.16
454.0, 0.0350, 92.25
455.0, 0.0345, 92.36
456.0, 0.0341, 92.46
457.0, 0.0335, 92.57
458.0, 0.0331, 92.66
459.0, 0.0327, 92.74
460.0, 0.0323, 92.83
461.0, 0.0319, 92.92
462.0, 0.0315, 93.00
463.0, 0.0312, 93.07
464.0, 0.0306, 93.20
465.0, 0.0303, 93.26
466.0, 0.0300, 93.33
