Sample Name, Sample-14
Time, February 05 11:03:59 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7630, 17.26
231.0, 0.7553, 17.57
232.0, 0.7484, 17.85
233.0, 0.7404, 18.18
234.0, 0.7319, 18.54
235.0, 0.7238, 18.89
236.0, 0.7160, 19.23
237.0, 0.7083, 19.57
238.0, 0.7008, 19.91
239.0, 0.6934, 20.26
240.0, 0.6859, 20.61
241.0, 0.6788, 20.95
242.0, 0.6725, 21.26
243.0, 0.6663, 21.56
244.0, 0.6601, 21.87
245.0, 0.6538, 22.19
246.0, 0.6471, 22.54
247.0, 0.6407, 22.87
248.0, 0.6347, 23.19
249.0, 0.6287, 23.51
250.0, 0.6231, 23.82
251.0, 0.6177, 24.12
252.0, 0.6125, 24.40
253.0, 0.6076, 24.68
254.0, 0.6033, 24.93
255.0, 0.5992, 25.17
256.0, 0.5952, 25.40
257.0, 0.5913, 25.63
258.0, 0.5891, 25.76
259.0, 0.5821, 26.17
260.0, 0.5780, 26.42
261.0, 0.5744, 26.64
262.0, 0.5706, 26.88
263.0, 0.5669, 27.11
264.0, 0.5631, 27.35
265.0, 0.5597, 27.56
266.0, 0.5564, 27.77
267.0, 0.5535, 27.95
268.0, 0.5506, 28.15
269.0, 0.5471, 28.38
270.0, 0.5438, 28.59
271.0, 0.5409, 28.78
272.0, 0.5375, 29.01
273.0, 0.5347, 29.19
274.0, 0.5319, 29.38
275.0, 0.5288, 29.59
276.0, 0.5260, 29.78
277.0, 0.5229, 30.00
278.0, 0.5201, 30.19
279.0, 0.5174, 30.38
280.0, 0.5146, 30.58
281.0, 0.5113, 30.81
282.0, 0.5077, 31.07
283.0, 0.5040, 31.33
284.0, 0.5003, 31.60
285.0, 0.4964, 31.88
286.0, 0.4922, 32.19
287.0, 0.4879, 32.52
288.0, 0.4838, 32.82
289.0, 0.4796, 33.15
290.0, 0.4756, 33.45
291.0, 0.4717, 33.75
292.0, 0.4677, 34.06
293.0, 0.4636, 34.38
294.0, 0.4595, 34.71
295.0, 0.4555, 35.04
296.0, 0.4514, 35.37
297.0, 0.4477, 35.67
298.0, 0.4455, 35.85
299.0, 0.4396, 36.34
300.0, 0.4355, 36.68
301.0, 0.4319, 36.99
302.0, 0.4284, 37.29
303.0, 0.4252, 37.57
304.0, 0.4219, 37.85
305.0, 0.4182, 38.18
306.0, 0.4144, 38.51
307.0, 0.4109, 38.83
308.0, 0.4071, 39.16
309.0, 0.4035, 39.49
310.0, 0.3997, 39.84
311.0, 0.3961, 40.17
312.0, 0.3926, 40.50
313.0, 0.3891, 40.82
314.0, 0.3858, 41.13
315.0, 0.3826, 41.44
316.0, 0.3792, 41.77
317.0, 0.3757, 42.11
318.0, 0.3716, 42.50
319.0, 0.3680, 42.85
320.0, 0.3642, 43.24
321.0, 0.3606, 43.59
322.0, 0.3566, 44.00
323.0, 0.3527, 44.39
324.0, 0.3488, 44.79
325.0, 0.3451, 45.18
326.0, 0.3416, 45.55
327.0, 0.3383, 45.89
328.0, 0.3346, 46.29
329.0, 0.3312, 46.64
330.0, 0.3291, 46.87
331.0, 0.3231, 47.52
332.0, 0.3195, 47.92
333.0, 0.3156, 48.35
334.0, 0.3119, 48.77
335.0, 0.3079, 49.21
336.0, 0.3044, 49.61
337.0, 0.3012, 49.98
338.0, 0.2981, 50.34
339.0, 0.2958, 50.61
340.0, 0.2768, 52.87
341.0, 0.2746, 53.14
342.0, 0.2727, 53.37
343.0, 0.2699, 53.71
344.0, 0.2681, 53.94
345.0, 0.2658, 54.23
346.0, 0.2640, 54.45
347.0, 0.2618, 54.73
348.0, 0.2603, 54.92
349.0, 0.2580, 55.21
350.0, 0.2562, 55.44
351.0, 0.2548, 55.61
352.0, 0.2530, 55.84
353.0, 0.2509, 56.12
354.0, 0.2487, 56.41
355.0, 0.2462, 56.72
356.0, 0.2439, 57.03
357.0, 0.2418, 57.31
358.0, 0.2395, 57.60
359.0, 0.2371, 57.93
360.0, 0.2350, 58.21
361.0, 0.2327, 58.52
362.0, 0.2306, 58.80
363.0, 0.2284, 59.10
364.0, 0.2263, 59.39
365.0, 0.2242, 59.68
366.0, 0.2216, 60.03
367.0, 0.2191, 60.39
368.0, 0.2164, 60.76
369.0, 0.2139, 61.11
370.0, 0.2129, 61.25
371.0, 0.2130, 61.24
372.0, 0.2107, 61.56
373.0, 0.2089, 61.81
374.0, 0.2069, 62.09
375.0, 0.2051, 62.36
376.0, 0.2033, 62.63
377.0, 0.2012, 62.93
378.0, 0.1991, 63.22
379.0, 0.1972, 63.51
380.0, 0.1951, 63.81
381.0, 0.1935, 64.05
382.0, 0.1918, 64.30
383.0, 0.1898, 64.59
384.0, 0.1887, 64.75
385.0, 0.1858, 65.19
386.0, 0.1842, 65.43
387.0, 0.1822, 65.74
388.0, 0.1808, 65.95
389.0, 0.1791, 66.21
390.0, 0.1773, 66.48
391.0, 0.1755, 66.76
392.0, 0.1737, 67.04
393.0, 0.1720, 67.30
394.0, 0.1703, 67.56
395.0, 0.1688, 67.80
396.0, 0.1671, 68.06
397.0, 0.1655, 68.32
398.0, 0.1640, 68.54
399.0, 0.1626, 68.77
400.0, 0.1612, 69.00
401.0, 0.1598, 69.21
402.0, 0.1582, 69.48
403.0, 0.1567, 69.71
404.0, 0.1552, 69.96
405.0, 0.1538, 70.17
406.0, 0.1523, 70.42
407.0, 0.1510, 70.63
408.0, 0.1497, 70.85
409.0, 0.1484, 71.06
410.0, 0.1472, 71.25
411.0, 0.1462, 71.42
412.0, 0.1450, 71.61
413.0, 0.1437, 71.83
414.0, 0.1424, 72.05
415.0, 0.1412, 72.24
416.0, 0.1399, 72.47
417.0, 0.1388, 72.65
418.0, 0.1376, 72.84
419.0, 0.1365, 73.03
420.0, 0.1354, 73.21
421.0, 0.1344, 73.39
422.0, 0.1333, 73.56
423.0, 0.1323, 73.74
424.0, 0.1313, 73.90
425.0, 0.1303, 74.07
426.0, 0.1293, 74.26
427.0, 0.1281, 74.45
428.0, 0.1270, 74.64
429.0, 0.1260, 74.81
430.0, 0.1251, 74.98
431.0, 0.1241, 75.14
432.0, 0.1230, 75.33
433.0, 0.1222, 75.48
434.0, 0.1213, 75.63
435.0, 0.1205, 75.78
436.0, 0.1197, 75.92
437.0, 0.1190, 76.03
438.0, 0.1180, 76.21
439.0, 0.1172, 76.35
440.0, 0.1162, 76.52
441.0, 0.1154, 76.66
442.0, 0.1145, 76.82
443.0, 0.1137, 76.96
444.0, 0.1130, 77.08
445.0, 0.1124, 77.20
446.0, 0.1117, 77.32
447.0, 0.1110, 77.45
448.0, 0.1103, 77.56
449.0, 0.1096, 77.69
450.0, 0.1092, 77.78
451.0, 0.1076, 78.06
452.0, 0.1066, 78.24
453.0, 0.1060, 78.35
454.0, 0.1053, 78.48
455.0, 0.1045, 78.61
456.0, 0.1038, 78.74
457.0, 0.1030, 78.89
458.0, 0.1023, 79.01
459.0, 0.1016, 79.14
460.0, 0.1009, 79.27
461.0, 0.1002, 79.40
462.0, 0.0994, 79.55
463.0, 0.0987, 79.67
464.0, 0.0980, 79.80
465.0, 0.0972, 79.95
466.0, 0.0966, 80.06
467.0, 0.0958, 80.21
468.0, 0.0951, 80.33
469.0, 0.0946, 80.43
470.0, 0.0939, 80.57
471.0, 0.0932, 80.69
472.0, 0.0927, 80.78
473.0, 0.0920, 80.90
474.0, 0.0913, 81.03
475.0, 0.0910, 81.10
476.0, 0.0899, 81.31
477.0, 0.0891, 81.44
478.0, 0.0886, 81.55
479.0, 0.0880, 81.65
480.0, 0.0872, 81.80
481.0, 0.0864, 81.95
482.0, 0.0861, 82.02
483.0, 0.0853, 82.18
484.0, 0.0847, 82.27
485.0, 0.0839, 82.43
486.0, 0.0834, 82.53
487.0, 0.0827, 82.67
488.0, 0.0821, 82.77
489.0, 0.0814, 82.91
490.0, 0.0808, 83.03
491.0, 0.0802, 83.13
492.0, 0.0795, 83.27
493.0, 0.0789, 83.39
494.0, 0.0783, 83.50
495.0, 0.0777, 83.63
496.0, 0.0772, 83.72
497.0, 0.0765, 83.85
498.0, 0.0759, 83.97
499.0, 0.0752, 84.10
500.0, 0.0745, 84.23
501.0, 0.0739, 84.36
502.0, 0.0734, 84.45
503.0, 0.0727, 84.58
504.0, 0.0723, 84.66
505.0, 0.0718, 84.77
506.0, 0.0712, 84.88
507.0, 0.0706, 84.99
508.0, 0.0699, 85.13
509.0, 0.0695, 85.21
510.0, 0.0689, 85.32
511.0, 0.0683, 85.44
512.0, 0.0677, 85.57
513.0, 0.0672, 85.66
514.0, 0.0669, 85.72
515.0, 0.0664, 85.83
516.0, 0.0658, 85.94
517.0, 0.0652, 86.05
518.0, 0.0648, 86.14
519.0, 0.0643, 86.23
520.0, 0.0641, 86.28
521.0, 0.0637, 86.36
522.0, 0.0630, 86.50
523.0, 0.0625, 86.59
524.0, 0.0620, 86.70
525.0, 0.0615, 86.80
526.0, 0.0611, 86.88
527.0, 0.0604, 87.01
528.0, 0.0600, 87.09
529.0, 0.0596, 87.18
530.0, 0.0592, 87.26
531.0, 0.0588, 87.33
