Sample Name, Sample-13
Time, February 05 11:00:41 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.7062, 1.97
231.0, 1.7053, 1.97
232.0, 1.7044, 1.98
233.0, 1.7026, 1.98
234.0, 1.6993, 2.00
235.0, 1.6954, 2.02
236.0, 1.6897, 2.04
237.0, 1.6834, 2.07
238.0, 1.6750, 2.11
239.0, 1.6661, 2.16
240.0, 1.6555, 2.21
241.0, 1.6443, 2.27
242.0, 1.6356, 2.31
243.0, 1.6234, 2.38
244.0, 1.6128, 2.44
245.0, 1.5986, 2.52
246.0, 1.5882, 2.58
247.0, 1.5763, 2.65
248.0, 1.5658, 2.72
249.0, 1.5533, 2.80
250.0, 1.5405, 2.88
251.0, 1.5285, 2.96
252.0, 1.5185, 3.03
253.0, 1.5083, 3.10
254.0, 1.4978, 3.18
255.0, 1.4886, 3.25
256.0, 1.4780, 3.33
257.0, 1.4688, 3.40
258.0, 1.4626, 3.45
259.0, 1.4479, 3.57
260.0, 1.4374, 3.65
261.0, 1.4275, 3.74
262.0, 1.4175, 3.82
263.0, 1.4070, 3.92
264.0, 1.3984, 4.00
265.0, 1.3898, 4.08
266.0, 1.3804, 4.16
267.0, 1.3722, 4.24
268.0, 1.3639, 4.33
269.0, 1.3565, 4.40
270.0, 1.3472, 4.50
271.0, 1.3394, 4.58
272.0, 1.3317, 4.66
273.0, 1.3245, 4.74
274.0, 1.3175, 4.81
275.0, 1.3094, 4.90
276.0, 1.3021, 4.99
277.0, 1.2954, 5.07
278.0, 1.2889, 5.14
279.0, 1.2835, 5.21
280.0, 1.2774, 5.28
281.0, 1.2709, 5.36
282.0, 1.2629, 5.46
283.0, 1.2542, 5.57
284.0, 1.2476, 5.66
285.0, 1.2382, 5.78
286.0, 1.2300, 5.89
287.0, 1.2212, 6.01
288.0, 1.2122, 6.13
289.0, 1.2035, 6.26
290.0, 1.1961, 6.37
291.0, 1.1880, 6.49
292.0, 1.1806, 6.60
293.0, 1.1719, 6.73
294.0, 1.1636, 6.86
295.0, 1.1552, 7.00
296.0, 1.1454, 7.15
297.0, 1.1376, 7.28
298.0, 1.1330, 7.36
299.0, 1.1203, 7.58
300.0, 1.1113, 7.74
301.0, 1.1023, 7.90
302.0, 1.0936, 8.06
303.0, 1.0866, 8.19
304.0, 1.0789, 8.34
305.0, 1.0693, 8.53
306.0, 1.0603, 8.70
307.0, 1.0517, 8.88
308.0, 1.0425, 9.07
309.0, 1.0333, 9.26
310.0, 1.0241, 9.46
311.0, 1.0153, 9.65
312.0, 1.0057, 9.87
313.0, 0.9974, 10.06
314.0, 0.9896, 10.24
315.0, 0.9807, 10.45
316.0, 0.9719, 10.67
317.0, 0.9630, 10.89
318.0, 0.9534, 11.13
319.0, 0.9433, 11.39
320.0, 0.9333, 11.66
321.0, 0.9241, 11.91
322.0, 0.9144, 12.18
323.0, 0.9040, 12.47
324.0, 0.8933, 12.78
325.0, 0.8841, 13.06
326.0, 0.8748, 13.34
327.0, 0.8657, 13.62
328.0, 0.8569, 13.90
329.0, 0.8475, 14.21
330.0, 0.8422, 14.38
331.0, 0.8265, 14.91
332.0, 0.8160, 15.28
333.0, 0.8064, 15.62
334.0, 0.7961, 15.99
335.0, 0.7856, 16.38
336.0, 0.7766, 16.73
337.0, 0.7668, 17.11
338.0, 0.7584, 17.44
339.0, 0.7513, 17.73
340.0, 0.6505, 22.36
341.0, 0.6479, 22.50
342.0, 0.6443, 22.69
343.0, 0.6411, 22.85
344.0, 0.6383, 23.00
345.0, 0.6360, 23.12
346.0, 0.6345, 23.20
