Sample Name, Sample-100
Time, February 05 16:44:00 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8726, 13.41
231.0, 0.8601, 13.80
232.0, 0.8480, 14.19
233.0, 0.8349, 14.63
234.0, 0.8205, 15.12
235.0, 0.8066, 15.61
236.0, 0.7931, 16.10
237.0, 0.7802, 16.59
238.0, 0.7677, 17.07
239.0, 0.7551, 17.57
240.0, 0.7428, 18.08
241.0, 0.7313, 18.57
242.0, 0.7213, 19.00
243.0, 0.7119, 19.41
244.0, 0.7028, 19.82
245.0, 0.6925, 20.30
246.0, 0.6828, 20.76
247.0, 0.6743, 21.17
248.0, 0.6658, 21.59
249.0, 0.6577, 21.99
250.0, 0.6501, 22.38
251.0, 0.6426, 22.77
252.0, 0.6354, 23.15
253.0, 0.6285, 23.53
254.0, 0.6222, 23.87
255.0, 0.6165, 24.18
256.0, 0.6102, 24.54
257.0, 0.6041, 24.88
258.0, 0.6001, 25.11
259.0, 0.5887, 25.78
260.0, 0.5813, 26.22
261.0, 0.5740, 26.67
262.0, 0.5662, 27.15
263.0, 0.5581, 27.66
264.0, 0.5502, 28.17
265.0, 0.5420, 28.71
266.0, 0.5343, 29.22
267.0, 0.5269, 29.72
268.0, 0.5195, 30.24
269.0, 0.5117, 30.78
270.0, 0.5033, 31.38
271.0, 0.4952, 31.97
272.0, 0.4871, 32.58
273.0, 0.4795, 33.15
274.0, 0.4719, 33.74
275.0, 0.4645, 34.32
276.0, 0.4573, 34.89
277.0, 0.4504, 35.45
278.0, 0.4440, 35.97
279.0, 0.4379, 36.48
280.0, 0.4321, 36.97
281.0, 0.4258, 37.52
282.0, 0.4190, 38.11
283.0, 0.4125, 38.69
284.0, 0.4064, 39.23
285.0, 0.4003, 39.79
286.0, 0.3942, 40.34
287.0, 0.3882, 40.91
288.0, 0.3824, 41.45
289.0, 0.3769, 41.98
290.0, 0.3717, 42.49
291.0, 0.3669, 42.96
292.0, 0.3623, 43.42
293.0, 0.3578, 43.88
294.0, 0.3526, 44.40
295.0, 0.3482, 44.86
296.0, 0.3440, 45.29
297.0, 0.3401, 45.69
298.0, 0.3379, 45.93
299.0, 0.3317, 46.59
300.0, 0.3279, 47.00
301.0, 0.3244, 47.38
302.0, 0.3213, 47.72
303.0, 0.3182, 48.06
304.0, 0.3153, 48.38
305.0, 0.3120, 48.75
306.0, 0.3089, 49.11
307.0, 0.3057, 49.46
308.0, 0.3025, 49.83
309.0, 0.2994, 50.19
310.0, 0.2963, 50.55
311.0, 0.2931, 50.92
312.0, 0.2900, 51.28
313.0, 0.2869, 51.65
314.0, 0.2839, 52.02
315.0, 0.2810, 52.36
316.0, 0.2780, 52.72
317.0, 0.2746, 53.14
318.0, 0.2712, 53.55
319.0, 0.2678, 53.98
320.0, 0.2642, 54.42
321.0, 0.2607, 54.87
322.0, 0.2572, 55.31
323.0, 0.2534, 55.80
324.0, 0.2497, 56.28
325.0, 0.2459, 56.77
326.0, 0.2422, 57.25
327.0, 0.2390, 57.67
328.0, 0.2354, 58.16
329.0, 0.2320, 58.62
330.0, 0.2297, 58.93
331.0, 0.2232, 59.81
332.0, 0.2190, 60.40
333.0, 0.2151, 60.94
334.0, 0.2109, 61.54
335.0, 0.2070, 62.09
336.0, 0.2030, 62.67
337.0, 0.1992, 63.21
338.0, 0.1958, 63.71
339.0, 0.1936, 64.04
340.0, 0.1876, 64.92
341.0, 0.1842, 65.44
342.0, 0.1804, 66.01
343.0, 0.1771, 66.51
344.0, 0.1738, 67.02
345.0, 0.1710, 67.45
346.0, 0.1675, 68.00
347.0, 0.1645, 68.47
348.0, 0.1618, 68.90
349.0, 0.1583, 69.45
350.0, 0.1554, 69.92
351.0, 0.1526, 70.37
352.0, 0.1501, 70.78
353.0, 0.1475, 71.21
354.0, 0.1443, 71.72
355.0, 0.1415, 72.19
356.0, 0.1385, 72.69
357.0, 0.1359, 73.14
358.0, 0.1330, 73.62
359.0, 0.1306, 74.03
360.0, 0.1279, 74.49
361.0, 0.1255, 74.90
362.0, 0.1234, 75.27
363.0, 0.1212, 75.65
364.0, 0.1194, 75.97
365.0, 0.1174, 76.31
366.0, 0.1152, 76.70
367.0, 0.1133, 77.03
368.0, 0.1117, 77.32
369.0, 0.1098, 77.67
370.0, 0.1089, 77.83
371.0, 0.1022, 79.03
372.0, 0.1002, 79.40
373.0, 0.0983, 79.74
374.0, 0.0963, 80.11
375.0, 0.0945, 80.44
376.0, 0.0928, 80.76
377.0, 0.0907, 81.15
378.0, 0.0888, 81.51
379.0, 0.0870, 81.86
380.0, 0.0849, 82.25
381.0, 0.0833, 82.54
382.0, 0.0816, 82.86
383.0, 0.0799, 83.20
384.0, 0.0791, 83.35
385.0, 0.0765, 83.85
386.0, 0.0751, 84.12
387.0, 0.0735, 84.43
388.0, 0.0721, 84.70
389.0, 0.0707, 84.97
390.0, 0.0692, 85.27
391.0, 0.0678, 85.55
392.0, 0.0666, 85.79
393.0, 0.0651, 86.07
394.0, 0.0639, 86.31
395.0, 0.0626, 86.57
396.0, 0.0614, 86.82
397.0, 0.0602, 87.05
398.0, 0.0593, 87.23
399.0, 0.0581, 87.47
400.0, 0.0569, 87.71
401.0, 0.0562, 87.86
402.0, 0.0551, 88.09
403.0, 0.0539, 88.32
404.0, 0.0528, 88.55
405.0, 0.0519, 88.73
406.0, 0.0509, 88.93
407.0, 0.0499, 89.14
408.0, 0.0491, 89.30
409.0, 0.0483, 89.47
410.0, 0.0476, 89.61
411.0, 0.0468, 89.78
412.0, 0.0462, 89.90
413.0, 0.0454, 90.08
414.0, 0.0446, 90.24
415.0, 0.0438, 90.41
416.0, 0.0432, 90.54
417.0, 0.0426, 90.67
418.0, 0.0418, 90.81
419.0, 0.0413, 90.93
420.0, 0.0407, 91.05
421.0, 0.0401, 91.17
422.0, 0.0396, 91.28
423.0, 0.0390, 91.41
424.0, 0.0387, 91.47
425.0, 0.0382, 91.59
426.0, 0.0376, 91.71
427.0, 0.0371, 91.82
428.0, 0.0365, 91.93
429.0, 0.0362, 92.00
430.0, 0.0357, 92.10
431.0, 0.0353, 92.19
432.0, 0.0349, 92.28
433.0, 0.0345, 92.37
434.0, 0.0340, 92.47
435.0, 0.0338, 92.51
436.0, 0.0334, 92.61
437.0, 0.0331, 92.67
438.0, 0.0327, 92.74
439.0, 0.0325, 92.78
440.0, 0.0322, 92.86
441.0, 0.0319, 92.93
442.0, 0.0315, 93.00
443.0, 0.0312, 93.07
444.0, 0.0312, 93.08
445.0, 0.0309, 93.14
446.0, 0.0309, 93.13
447.0, 0.0307, 93.19
448.0, 0.0305, 93.22
449.0, 0.0305, 93.21
450.0, 0.0303, 93.26
451.0, 0.0297, 93.39
452.0, 0.0292, 93.49
453.0, 0.0290, 93.53
454.0, 0.0285, 93.65
455.0, 0.0281, 93.74
456.0, 0.0278, 93.81
457.0, 0.0274, 93.88
458.0, 0.0268, 94.01
459.0, 0.0265, 94.07
460.0, 0.0262, 94.15
461.0, 0.0260, 94.19
462.0, 0.0256, 94.27
463.0, 0.0253, 94.34
464.0, 0.0249, 94.43
465.0, 0.0245, 94.51
466.0, 0.0243, 94.55
467.0, 0.0240, 94.63
468.0, 0.0237, 94.68
469.0, 0.0236, 94.71
470.0, 0.0233, 94.78
471.0, 0.0230, 94.84
472.0, 0.0227, 94.90
473.0, 0.0224, 94.97
474.0, 0.0221, 95.04
475.0, 0.0220, 95.07
476.0, 0.0217, 95.13
477.0, 0.0214, 95.20
478.0, 0.0211, 95.25
479.0, 0.0209, 95.31
480.0, 0.0206, 95.38
481.0, 0.0202, 95.45
482.0, 0.0199, 95.51
483.0, 0.0197, 95.56
484.0, 0.0195, 95.60
485.0, 0.0191, 95.69
486.0, 0.0191, 95.71
487.0, 0.0188, 95.76
488.0, 0.0186, 95.81
489.0, 0.0182, 95.89
490.0, 0.0182, 95.90
491.0, 0.0180, 95.94
492.0, 0.0178, 95.99
493.0, 0.0174, 96.07
494.0, 0.0171, 96.15
495.0, 0.0169, 96.19
496.0, 0.0166, 96.24
497.0, 0.0165, 96.28
498.0, 0.0163, 96.31
499.0, 0.0160, 96.38
500.0, 0.0159, 96.41
501.0, 0.0156, 96.47
502.0, 0.0155, 96.50
503.0, 0.0152, 96.55
504.0, 0.0151, 96.59
505.0, 0.0149, 96.62
506.0, 0.0147, 96.67
507.0, 0.0146, 96.69
508.0, 0.0143, 96.76
509.0, 0.0142, 96.78
510.0, 0.0141, 96.81
511.0, 0.0139, 96.85
512.0, 0.0137, 96.89
513.0, 0.0136, 96.92
