Sample Name, Sample-17
Time, February 05 11:11:23 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6405, 22.88
231.0, 0.6352, 23.16
232.0, 0.6302, 23.43
233.0, 0.6251, 23.71
234.0, 0.6196, 24.01
235.0, 0.6140, 24.32
236.0, 0.6090, 24.60
237.0, 0.6040, 24.89
238.0, 0.5993, 25.16
239.0, 0.5943, 25.45
240.0, 0.5893, 25.75
241.0, 0.5847, 26.02
242.0, 0.5804, 26.28
243.0, 0.5760, 26.55
244.0, 0.5719, 26.80
245.0, 0.5676, 27.06
246.0, 0.5631, 27.35
247.0, 0.5587, 27.62
248.0, 0.5546, 27.89
249.0, 0.5502, 28.17
250.0, 0.5462, 28.43
251.0, 0.5424, 28.68
252.0, 0.5385, 28.94
253.0, 0.5347, 29.19
254.0, 0.5316, 29.41
255.0, 0.5285, 29.62
256.0, 0.5252, 29.84
257.0, 0.5223, 30.04
258.0, 0.5204, 30.17
259.0, 0.5150, 30.55
260.0, 0.5117, 30.78
261.0, 0.5087, 31.00
262.0, 0.5054, 31.23
263.0, 0.5022, 31.47
264.0, 0.4990, 31.70
265.0, 0.4961, 31.91
266.0, 0.4933, 32.12
267.0, 0.4906, 32.32
268.0, 0.4880, 32.51
269.0, 0.4850, 32.73
270.0, 0.4820, 32.96
271.0, 0.4792, 33.18
272.0, 0.4761, 33.41
273.0, 0.4734, 33.62
274.0, 0.4704, 33.85
275.0, 0.4675, 34.08
276.0, 0.4645, 34.32
277.0, 0.4618, 34.53
278.0, 0.4593, 34.73
279.0, 0.4565, 34.96
280.0, 0.4539, 35.16
281.0, 0.4508, 35.42
282.0, 0.4476, 35.68
283.0, 0.4443, 35.95
284.0, 0.4409, 36.24
285.0, 0.4376, 36.51
286.0, 0.4340, 36.82
287.0, 0.4305, 37.11
288.0, 0.4268, 37.43
289.0, 0.4234, 37.72
290.0, 0.4203, 37.99
291.0, 0.4168, 38.30
292.0, 0.4137, 38.57
293.0, 0.4103, 38.88
294.0, 0.4066, 39.21
295.0, 0.4033, 39.51
296.0, 0.4000, 39.81
297.0, 0.3970, 40.09
298.0, 0.3952, 40.26
299.0, 0.3899, 40.75
300.0, 0.3867, 41.05
301.0, 0.3834, 41.36
302.0, 0.3806, 41.63
303.0, 0.3777, 41.91
304.0, 0.3749, 42.18
305.0, 0.3718, 42.48
306.0, 0.3687, 42.78
307.0, 0.3654, 43.11
308.0, 0.3625, 43.40
309.0, 0.3594, 43.71
310.0, 0.3563, 44.03
311.0, 0.3532, 44.34
312.0, 0.3499, 44.68
313.0, 0.3470, 44.98
314.0, 0.3441, 45.28
315.0, 0.3412, 45.58
316.0, 0.3385, 45.86
317.0, 0.3356, 46.17
318.0, 0.3324, 46.51
319.0, 0.3293, 46.84
320.0, 0.3261, 47.20
321.0, 0.3228, 47.56
322.0, 0.3198, 47.88
323.0, 0.3165, 48.25
324.0, 0.3132, 48.62
325.0, 0.3102, 48.96
326.0, 0.3074, 49.28
327.0, 0.3047, 49.58
328.0, 0.3018, 49.91
329.0, 0.2990, 50.23
330.0, 0.2972, 50.44
331.0, 0.2924, 51.01
332.0, 0.2890, 51.40
333.0, 0.2860, 51.76
334.0, 0.2829, 52.14
335.0, 0.2798, 52.51
336.0, 0.2769, 52.86
337.0, 0.2741, 53.19
338.0, 0.2714, 53.53
339.0, 0.2695, 53.76
340.0, 0.2547, 55.62
341.0, 0.2527, 55.88
342.0, 0.2509, 56.12
343.0, 0.2491, 56.35
344.0, 0.2470, 56.62
345.0, 0.2451, 56.87
346.0, 0.2431, 57.13
347.0, 0.2417, 57.32
348.0, 0.2406, 57.47
349.0, 0.2385, 57.74
350.0, 0.2374, 57.89
351.0, 0.2359, 58.08
352.0, 0.2346, 58.26
353.0, 0.2325, 58.55
354.0, 0.2303, 58.84
355.0, 0.2286, 59.07
356.0, 0.2265, 59.36
357.0, 0.2244, 59.65
358.0, 0.2223, 59.94
359.0, 0.2205, 60.19
360.0, 0.2187, 60.44
361.0, 0.2168, 60.70
362.0, 0.2148, 60.99
363.0, 0.2134, 61.17
364.0, 0.2114, 61.46
365.0, 0.2094, 61.74
366.0, 0.2074, 62.03
367.0, 0.2051, 62.35
368.0, 0.2029, 62.68
369.0, 0.2010, 62.95
370.0, 0.2002, 63.07
371.0, 0.1993, 63.20
372.0, 0.1975, 63.46
373.0, 0.1960, 63.68
374.0, 0.1945, 63.91
375.0, 0.1927, 64.17
376.0, 0.1910, 64.41
377.0, 0.1893, 64.67
378.0, 0.1874, 64.95
379.0, 0.1859, 65.18
380.0, 0.1840, 65.46
381.0, 0.1823, 65.72
382.0, 0.1810, 65.91
383.0, 0.1794, 66.16
384.0, 0.1785, 66.30
385.0, 0.1761, 66.67
386.0, 0.1745, 66.90
387.0, 0.1729, 67.16
388.0, 0.1715, 67.38
389.0, 0.1701, 67.59
390.0, 0.1684, 67.85
391.0, 0.1670, 68.07
392.0, 0.1657, 68.28
393.0, 0.1641, 68.53
394.0, 0.1628, 68.74
395.0, 0.1613, 68.97
396.0, 0.1598, 69.22
397.0, 0.1584, 69.43
398.0, 0.1572, 69.63
399.0, 0.1558, 69.86
400.0, 0.1545, 70.06
401.0, 0.1533, 70.25
402.0, 0.1520, 70.46
403.0, 0.1507, 70.68
404.0, 0.1493, 70.91
405.0, 0.1482, 71.08
406.0, 0.1470, 71.29
407.0, 0.1457, 71.49
408.0, 0.1444, 71.72
409.0, 0.1433, 71.90
410.0, 0.1423, 72.06
411.0, 0.1413, 72.23
412.0, 0.1402, 72.41
413.0, 0.1391, 72.59
414.0, 0.1379, 72.79
415.0, 0.1369, 72.97
416.0, 0.1356, 73.18
417.0, 0.1346, 73.34
418.0, 0.1335, 73.53
419.0, 0.1326, 73.68
420.0, 0.1315, 73.88
421.0, 0.1304, 74.06
422.0, 0.1296, 74.20
423.0, 0.1287, 74.35
424.0, 0.1278, 74.50
425.0, 0.1270, 74.64
426.0, 0.1258, 74.84
427.0, 0.1248, 75.02
428.0, 0.1239, 75.19
429.0, 0.1229, 75.35
430.0, 0.1221, 75.48
431.0, 0.1213, 75.63
432.0, 0.1204, 75.80
433.0, 0.1195, 75.95
434.0, 0.1187, 76.09
435.0, 0.1180, 76.21
436.0, 0.1171, 76.36
437.0, 0.1165, 76.48
438.0, 0.1156, 76.62
439.0, 0.1149, 76.76
440.0, 0.1141, 76.90
441.0, 0.1133, 77.04
442.0, 0.1124, 77.19
443.0, 0.1116, 77.33
444.0, 0.1110, 77.44
445.0, 0.1103, 77.58
446.0, 0.1098, 77.67
447.0, 0.1090, 77.80
448.0, 0.1084, 77.91
449.0, 0.1078, 78.01
450.0, 0.1075, 78.08
451.0, 0.1057, 78.39
452.0, 0.1049, 78.53
453.0, 0.1043, 78.65
454.0, 0.1034, 78.80
455.0, 0.1027, 78.94
456.0, 0.1020, 79.07
457.0, 0.1013, 79.19
458.0, 0.1006, 79.33
459.0, 0.0998, 79.47
460.0, 0.0991, 79.60
461.0, 0.0985, 79.70
462.0, 0.0979, 79.82
463.0, 0.0973, 79.92
464.0, 0.0965, 80.08
465.0, 0.0958, 80.20
466.0, 0.0952, 80.31
467.0, 0.0944, 80.46
468.0, 0.0937, 80.60
469.0, 0.0932, 80.69
470.0, 0.0925, 80.82
471.0, 0.0920, 80.92
472.0, 0.0915, 81.01
473.0, 0.0907, 81.15
474.0, 0.0902, 81.25
475.0, 0.0898, 81.33
476.0, 0.0888, 81.50
477.0, 0.0882, 81.62
478.0, 0.0874, 81.77
479.0, 0.0868, 81.88
480.0, 0.0861, 82.02
481.0, 0.0853, 82.16
482.0, 0.0849, 82.24
483.0, 0.0842, 82.37
484.0, 0.0837, 82.47
485.0, 0.0829, 82.62
486.0, 0.0823, 82.74
487.0, 0.0817, 82.85
488.0, 0.0811, 82.97
489.0, 0.0803, 83.11
490.0, 0.0799, 83.19
491.0, 0.0793, 83.31
492.0, 0.0786, 83.45
493.0, 0.0778, 83.59
494.0, 0.0773, 83.70
495.0, 0.0768, 83.79
496.0, 0.0762, 83.91
497.0, 0.0757, 84.00
498.0, 0.0750, 84.15
499.0, 0.0743, 84.28
500.0, 0.0736, 84.42
501.0, 0.0731, 84.51
502.0, 0.0725, 84.63
503.0, 0.0719, 84.74
504.0, 0.0714, 84.83
505.0, 0.0708, 84.95
506.0, 0.0703, 85.05
507.0, 0.0698, 85.15
508.0, 0.0693, 85.26
509.0, 0.0688, 85.35
510.0, 0.0683, 85.44
511.0, 0.0677, 85.56
512.0, 0.0672, 85.66
513.0, 0.0667, 85.76
514.0, 0.0662, 85.86
515.0, 0.0657, 85.96
516.0, 0.0652, 86.06
517.0, 0.0647, 86.15
518.0, 0.0642, 86.26
519.0, 0.0638, 86.34
520.0, 0.0634, 86.42
521.0, 0.0630, 86.51
522.0, 0.0623, 86.63
523.0, 0.0618, 86.73
524.0, 0.0614, 86.83
525.0, 0.0608, 86.93
526.0, 0.0604, 87.01
527.0, 0.0598, 87.13
528.0, 0.0594, 87.22
529.0, 0.0589, 87.31
530.0, 0.0585, 87.39
531.0, 0.0582, 87.46
532.0, 0.0578, 87.53
533.0, 0.0574, 87.62
534.0, 0.0570, 87.70
535.0, 0.0565, 87.80
536.0, 0.0560, 87.89
537.0, 0.0557, 87.97
538.0, 0.0552, 88.06
539.0, 0.0548, 88.15
540.0, 0.0544, 88.23
541.0, 0.0540, 88.31
542.0, 0.0537, 88.37
543.0, 0.0535, 88.42
544.0, 0.0531, 88.49
545.0, 0.0527, 88.58
546.0, 0.0524, 88.63
547.0, 0.0517, 88.77
548.0, 0.0513, 88.85
549.0, 0.0509, 88.94
550.0, 0.0505, 89.03
551.0, 0.0500, 89.12
552.0, 0.0496, 89.21
553.0, 0.0492, 89.28
554.0, 0.0489, 89.36
555.0, 0.0486, 89.42
556.0, 0.0482, 89.49
557.0, 0.0480, 89.54
558.0, 0.0478, 89.57
559.0, 0.0476, 89.62
560.0, 0.0469, 89.77
561.0, 0.0467, 89.80
562.0, 0.0465, 89.85
563.0, 0.0463, 89.88
564.0, 0.0461, 89.93
565.0, 0.0458, 89.99
566.0, 0.0456, 90.02
567.0, 0.0453, 90.09
568.0, 0.0452, 90.11
569.0, 0.0449, 90.18
570.0, 0.0446, 90.24
571.0, 0.0442, 90.32
572.0, 0.0439, 90.38
573.0, 0.0438, 90.41
574.0, 0.0434, 90.49
575.0, 0.0432, 90.53
576.0, 0.0426, 90.66
577.0, 0.0423, 90.73
578.0, 0.0419, 90.81
579.0, 0.0416, 90.87
580.0, 0.0412, 90.94
581.0, 0.0409, 91.02
582.0, 0.0408, 91.04
583.0, 0.0404, 91.11
584.0, 0.0404, 91.13
585.0, 0.0403, 91.13
586.0, 0.0391, 91.39
587.0, 0.0388, 91.45
588.0, 0.0387, 91.48
589.0, 0.0385, 91.51
590.0, 0.0382, 91.59
591.0, 0.0380, 91.62
592.0, 0.0378, 91.66
593.0, 0.0376, 91.71
594.0, 0.0374, 91.74
595.0, 0.0373, 91.77
596.0, 0.0371, 91.82
597.0, 0.0369, 91.86
598.0, 0.0367, 91.90
599.0, 0.0364, 91.96
600.0, 0.0361, 92.02
601.0, 0.0359, 92.07
602.0, 0.0357, 92.11
603.0, 0.0355, 92.15
604.0, 0.0352, 92.21
605.0, 0.0349, 92.27
606.0, 0.0347, 92.32
607.0, 0.0346, 92.35
608.0, 0.0343, 92.41
609.0, 0.0341, 92.45
610.0, 0.0339, 92.50
611.0, 0.0337, 92.53
612.0, 0.0334, 92.60
613.0, 0.0331, 92.66
614.0, 0.0328, 92.72
615.0, 0.0327, 92.76
616.0, 0.0326, 92.78
617.0, 0.0322, 92.84
618.0, 0.0320, 92.90
619.0, 0.0318, 92.95
620.0, 0.0315, 93.01
621.0, 0.0312, 93.06
622.0, 0.0311, 93.10
623.0, 0.0310, 93.12
624.0, 0.0306, 93.19
625.0, 0.0304, 93.23
626.0, 0.0302, 93.29
627.0, 0.0299, 93.35
628.0, 0.0296, 93.41
629.0, 0.0295, 93.43
630.0, 0.0292, 93.51
631.0, 0.0290, 93.55
632.0, 0.0288, 93.59
633.0, 0.0285, 93.64
634.0, 0.0283, 93.69
635.0, 0.0281, 93.74
636.0, 0.0278, 93.80
637.0, 0.0276, 93.84
638.0, 0.0276, 93.85
639.0, 0.0274, 93.89
640.0, 0.0273, 93.91
641.0, 0.0270, 93.96
642.0, 0.0269, 94.00
643.0, 0.0265, 94.07
644.0, 0.0263, 94.12
645.0, 0.0262, 94.15
646.0, 0.0259, 94.21
647.0, 0.0258, 94.24
648.0, 0.0255, 94.30
649.0, 0.0252, 94.35
650.0, 0.0250, 94.41
651.0, 0.0248, 94.45
652.0, 0.0246, 94.49
653.0, 0.0245, 94.51
654.0, 0.0243, 94.57
655.0, 0.0242, 94.59
656.0, 0.0239, 94.65
657.0, 0.0236, 94.72
658.0, 0.0236, 94.72
659.0, 0.0233, 94.78
660.0, 0.0232, 94.81
661.0, 0.0230, 94.85
662.0, 0.0227, 94.91
663.0, 0.0225, 94.95
664.0, 0.0224, 94.97
665.0, 0.0222, 95.01
666.0, 0.0220, 95.05
667.0, 0.0217, 95.12
668.0, 0.0216, 95.15
669.0, 0.0214, 95.19
670.0, 0.0212, 95.23
671.0, 0.0210, 95.29
672.0, 0.0208, 95.32
673.0, 0.0205, 95.38
674.0, 0.0205, 95.39
675.0, 0.0203, 95.44
676.0, 0.0200, 95.49
677.0, 0.0200, 95.50
678.0, 0.0199, 95.53
679.0, 0.0198, 95.55
680.0, 0.0195, 95.61
681.0, 0.0194, 95.63
682.0, 0.0192, 95.68
683.0, 0.0190, 95.72
684.0, 0.0189, 95.75
685.0, 0.0187, 95.78
686.0, 0.0184, 95.85
687.0, 0.0184, 95.86
688.0, 0.0183, 95.88
689.0, 0.0180, 95.93
690.0, 0.0178, 95.99
691.0, 0.0177, 96.01
692.0, 0.0176, 96.02
693.0, 0.0174, 96.07
694.0, 0.0173, 96.09
695.0, 0.0171, 96.14
696.0, 0.0169, 96.18
697.0, 0.0168, 96.20
