Sample Name, Sample-106
Time, February 05 17:03:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5146, 3.06
231.0, 1.5083, 3.10
232.0, 1.5009, 3.16
233.0, 1.4929, 3.21
234.0, 1.4821, 3.30
235.0, 1.4708, 3.38
236.0, 1.4584, 3.48
237.0, 1.4463, 3.58
238.0, 1.4319, 3.70
239.0, 1.4176, 3.82
240.0, 1.4029, 3.95
241.0, 1.3870, 4.10
242.0, 1.3745, 4.22
243.0, 1.3609, 4.36
244.0, 1.3478, 4.49
245.0, 1.3326, 4.65
246.0, 1.3172, 4.82
247.0, 1.3034, 4.97
248.0, 1.2878, 5.15
249.0, 1.2752, 5.31
250.0, 1.2614, 5.48
251.0, 1.2481, 5.65
252.0, 1.2355, 5.81
253.0, 1.2227, 5.99
254.0, 1.2111, 6.15
255.0, 1.2002, 6.31
256.0, 1.1889, 6.47
257.0, 1.1769, 6.65
258.0, 1.1695, 6.77
259.0, 1.1478, 7.12
260.0, 1.1341, 7.34
261.0, 1.1203, 7.58
262.0, 1.1063, 7.83
263.0, 1.0922, 8.09
264.0, 1.0772, 8.37
265.0, 1.0625, 8.66
266.0, 1.0488, 8.94
267.0, 1.0356, 9.21
268.0, 1.0221, 9.50
269.0, 1.0080, 9.82
270.0, 0.9927, 10.17
271.0, 0.9788, 10.50
272.0, 0.9636, 10.88
273.0, 0.9497, 11.23
274.0, 0.9363, 11.58
275.0, 0.9224, 11.96
276.0, 0.9088, 12.34
277.0, 0.8961, 12.70
278.0, 0.8844, 13.05
279.0, 0.8728, 13.40
280.0, 0.8615, 13.76
281.0, 0.8493, 14.15
282.0, 0.8362, 14.58
283.0, 0.8239, 15.00
284.0, 0.8116, 15.43
285.0, 0.7993, 15.88
286.0, 0.7869, 16.33
287.0, 0.7754, 16.77
288.0, 0.7645, 17.20
289.0, 0.7538, 17.63
290.0, 0.7436, 18.05
291.0, 0.7343, 18.44
292.0, 0.7257, 18.81
293.0, 0.7163, 19.22
294.0, 0.7067, 19.65
295.0, 0.6977, 20.06
296.0, 0.6896, 20.44
297.0, 0.6821, 20.79
298.0, 0.6774, 21.02
299.0, 0.6652, 21.62
300.0, 0.6577, 21.99
301.0, 0.6507, 22.35
302.0, 0.6445, 22.67
303.0, 0.6385, 22.99
304.0, 0.6318, 23.34
305.0, 0.6258, 23.67
306.0, 0.6192, 24.03
307.0, 0.6134, 24.36
308.0, 0.6072, 24.71
309.0, 0.6012, 25.05
310.0, 0.5950, 25.41
311.0, 0.5890, 25.76
312.0, 0.5830, 26.12
313.0, 0.5770, 26.48
314.0, 0.5715, 26.82
315.0, 0.5664, 27.14
316.0, 0.5606, 27.50
317.0, 0.5545, 27.89
318.0, 0.5480, 28.31
319.0, 0.5415, 28.74
320.0, 0.5349, 29.18
321.0, 0.5281, 29.64
322.0, 0.5213, 30.11
323.0, 0.5143, 30.60
324.0, 0.5076, 31.08
325.0, 0.5007, 31.57
326.0, 0.4940, 32.06
327.0, 0.4879, 32.52
328.0, 0.4812, 33.02
329.0, 0.4747, 33.52
330.0, 0.4707, 33.83
331.0, 0.4581, 34.82
332.0, 0.4503, 35.45
333.0, 0.4427, 36.08
334.0, 0.4347, 36.76
335.0, 0.4268, 37.42
336.0, 0.4193, 38.08
337.0, 0.4119, 38.74
338.0, 0.4050, 39.35
339.0, 0.4007, 39.74
340.0, 0.3609, 43.56
341.0, 0.3564, 44.01
342.0, 0.3513, 44.53
343.0, 0.3460, 45.08
344.0, 0.3417, 45.53
345.0, 0.3369, 46.03
346.0, 0.3317, 46.59
347.0, 0.3274, 47.05
348.0, 0.3227, 47.56
349.0, 0.3181, 48.07
350.0, 0.3142, 48.51
351.0, 0.3099, 48.99
352.0, 0.3060, 49.44
353.0, 0.3012, 49.98
354.0, 0.2957, 50.61
355.0, 0.2906, 51.21
356.0, 0.2854, 51.84
357.0, 0.2807, 52.39
358.0, 0.2763, 52.93
359.0, 0.2716, 53.51
360.0, 0.2672, 54.05
361.0, 0.2628, 54.60
362.0, 0.2586, 55.13
363.0, 0.2544, 55.66
364.0, 0.2502, 56.20
365.0, 0.2462, 56.73
366.0, 0.2416, 57.33
367.0, 0.2370, 57.94
368.0, 0.2326, 58.53
369.0, 0.2284, 59.10
370.0, 0.2260, 59.43
371.0, 0.2236, 59.76
372.0, 0.2198, 60.29
373.0, 0.2165, 60.74
374.0, 0.2129, 61.26
375.0, 0.2096, 61.72
376.0, 0.2065, 62.16
377.0, 0.2031, 62.65
378.0, 0.1996, 63.15
379.0, 0.1962, 63.64
380.0, 0.1927, 64.17
381.0, 0.1892, 64.69
382.0, 0.1862, 65.13
383.0, 0.1835, 65.54
384.0, 0.1821, 65.75
385.0, 0.1773, 66.48
386.0, 0.1749, 66.86
387.0, 0.1720, 67.30
388.0, 0.1696, 67.68
389.0, 0.1669, 68.10
390.0, 0.1640, 68.55
391.0, 0.1613, 68.97
392.0, 0.1587, 69.39
393.0, 0.1559, 69.83
394.0, 0.1535, 70.22
395.0, 0.1508, 70.66
396.0, 0.1484, 71.06
397.0, 0.1462, 71.42
398.0, 0.1440, 71.78
399.0, 0.1418, 72.14
400.0, 0.1398, 72.48
401.0, 0.1377, 72.83
402.0, 0.1355, 73.19
403.0, 0.1334, 73.55
404.0, 0.1312, 73.93
405.0, 0.1293, 74.25
406.0, 0.1271, 74.62
407.0, 0.1253, 74.95
408.0, 0.1233, 75.29
409.0, 0.1216, 75.58
410.0, 0.1200, 75.86
411.0, 0.1184, 76.15
412.0, 0.1169, 76.41
413.0, 0.1153, 76.68
414.0, 0.1136, 76.99
415.0, 0.1118, 77.30
416.0, 0.1101, 77.60
417.0, 0.1088, 77.83
418.0, 0.1073, 78.11
419.0, 0.1058, 78.37
420.0, 0.1046, 78.60
421.0, 0.1032, 78.85
422.0, 0.1019, 79.09
423.0, 0.1006, 79.32
424.0, 0.0995, 79.52
425.0, 0.0984, 79.73
426.0, 0.0971, 79.96
427.0, 0.0959, 80.18
428.0, 0.0946, 80.43
429.0, 0.0935, 80.64
430.0, 0.0923, 80.85
431.0, 0.0912, 81.07
432.0, 0.0900, 81.29
433.0, 0.0888, 81.51
434.0, 0.0880, 81.66
435.0, 0.0870, 81.84
436.0, 0.0862, 81.99
437.0, 0.0853, 82.17
438.0, 0.0844, 82.35
439.0, 0.0836, 82.50
