Sample Name, Sample-107
Time, February 05 17:06:12 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.2425, 5.72
231.0, 1.2314, 5.87
232.0, 1.2205, 6.02
233.0, 1.2074, 6.20
234.0, 1.1934, 6.41
235.0, 1.1786, 6.63
236.0, 1.1637, 6.86
237.0, 1.1487, 7.10
238.0, 1.1345, 7.34
239.0, 1.1194, 7.60
240.0, 1.1037, 7.88
241.0, 1.0901, 8.13
242.0, 1.0767, 8.38
243.0, 1.0639, 8.63
244.0, 1.0519, 8.87
245.0, 1.0380, 9.16
246.0, 1.0252, 9.44
247.0, 1.0129, 9.71
248.0, 1.0002, 9.99
249.0, 0.9883, 10.27
250.0, 0.9768, 10.55
251.0, 0.9655, 10.83
252.0, 0.9546, 11.10
253.0, 0.9442, 11.37
254.0, 0.9345, 11.63
255.0, 0.9257, 11.87
256.0, 0.9162, 12.13
257.0, 0.9063, 12.41
258.0, 0.9005, 12.58
259.0, 0.8829, 13.09
260.0, 0.8719, 13.43
261.0, 0.8608, 13.78
262.0, 0.8494, 14.15
263.0, 0.8372, 14.55
264.0, 0.8252, 14.95
265.0, 0.8134, 15.37
266.0, 0.8023, 15.77
267.0, 0.7914, 16.16
268.0, 0.7807, 16.57
269.0, 0.7691, 17.02
270.0, 0.7566, 17.51
271.0, 0.7447, 18.00
272.0, 0.7332, 18.49
273.0, 0.7219, 18.97
274.0, 0.7105, 19.48
275.0, 0.6991, 19.99
276.0, 0.6880, 20.51
277.0, 0.6778, 21.00
278.0, 0.6679, 21.49
279.0, 0.6586, 21.95
280.0, 0.6496, 22.41
281.0, 0.6397, 22.93
282.0, 0.6292, 23.48
283.0, 0.6193, 24.03
284.0, 0.6097, 24.56
285.0, 0.6000, 25.12
286.0, 0.5906, 25.67
287.0, 0.5810, 26.24
288.0, 0.5722, 26.78
289.0, 0.5637, 27.31
290.0, 0.5557, 27.82
291.0, 0.5485, 28.28
292.0, 0.5416, 28.74
293.0, 0.5345, 29.21
294.0, 0.5269, 29.72
295.0, 0.5200, 30.20
296.0, 0.5135, 30.66
297.0, 0.5076, 31.07
298.0, 0.5043, 31.31
299.0, 0.4948, 32.01
300.0, 0.4890, 32.43
301.0, 0.4838, 32.82
302.0, 0.4788, 33.20
303.0, 0.4742, 33.56
304.0, 0.4697, 33.90
305.0, 0.4650, 34.28
306.0, 0.4603, 34.65
307.0, 0.4555, 35.03
308.0, 0.4507, 35.42
309.0, 0.4462, 35.79
310.0, 0.4416, 36.18
311.0, 0.4370, 36.56
312.0, 0.4327, 36.93
313.0, 0.4282, 37.31
314.0, 0.4240, 37.67
315.0, 0.4203, 37.99
316.0, 0.4155, 38.41
317.0, 0.4113, 38.79
318.0, 0.4063, 39.24
319.0, 0.4015, 39.68
320.0, 0.3965, 40.13
321.0, 0.3916, 40.59
322.0, 0.3865, 41.06
323.0, 0.3814, 41.55
324.0, 0.3760, 42.08
325.0, 0.3710, 42.56
326.0, 0.3662, 43.03
327.0, 0.3612, 43.53
328.0, 0.3560, 44.06
