Sample Name, Sample-48
Time, February 13 17:55:48 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4864, 0.33
231.0, 2.4995, 0.32
232.0, 2.5099, 0.31
233.0, 2.5146, 0.31
234.0, 2.5170, 0.30
235.0, 2.5270, 0.30
236.0, 2.5239, 0.30
237.0, 2.5376, 0.29
238.0, 2.5299, 0.30
239.0, 2.5254, 0.30
240.0, 2.5244, 0.30
241.0, 2.5168, 0.30
242.0, 2.5091, 0.31
243.0, 2.5094, 0.31
244.0, 2.4968, 0.32
245.0, 2.4920, 0.32
246.0, 2.4928, 0.32
247.0, 2.4826, 0.33
248.0, 2.4608, 0.35
249.0, 2.4651, 0.34
250.0, 2.4606, 0.35
251.0, 2.4367, 0.37
252.0, 2.4369, 0.37
253.0, 2.4284, 0.37
254.0, 2.4157, 0.38
255.0, 2.4072, 0.39
256.0, 2.4027, 0.40
257.0, 2.3940, 0.40
258.0, 2.3934, 0.40
259.0, 2.3639, 0.43
260.0, 2.3572, 0.44
261.0, 2.3462, 0.45
262.0, 2.3347, 0.46
263.0, 2.3239, 0.47
264.0, 2.3209, 0.48
265.0, 2.3045, 0.50
266.0, 2.2963, 0.51
267.0, 2.2823, 0.52
268.0, 2.2837, 0.52
269.0, 2.2665, 0.54
270.0, 2.2653, 0.54
271.0, 2.2547, 0.56
272.0, 2.2467, 0.57
273.0, 2.2393, 0.58
274.0, 2.2355, 0.58
275.0, 2.2236, 0.60
276.0, 2.2192, 0.60
277.0, 2.2161, 0.61
278.0, 2.2132, 0.61
279.0, 2.2076, 0.62
280.0, 2.2035, 0.63
281.0, 2.1980, 0.63
282.0, 2.1974, 0.63
283.0, 2.1950, 0.64
284.0, 2.1839, 0.65
285.0, 2.1760, 0.67
286.0, 2.1710, 0.67
287.0, 2.1645, 0.68
288.0, 2.1649, 0.68
289.0, 2.1511, 0.71
290.0, 2.1576, 0.70
291.0, 2.1479, 0.71
292.0, 2.1411, 0.72
293.0, 2.1277, 0.75
294.0, 2.1237, 0.75
295.0, 2.1190, 0.76
296.0, 2.1116, 0.77
297.0, 2.1136, 0.77
298.0, 2.1079, 0.78
299.0, 2.1001, 0.79
300.0, 2.0934, 0.81
301.0, 2.0777, 0.84
302.0, 2.0750, 0.84
303.0, 2.0695, 0.85
304.0, 2.0672, 0.86
305.0, 2.0585, 0.87
306.0, 2.0472, 0.90
307.0, 2.0324, 0.93
308.0, 2.0299, 0.93
309.0, 2.0190, 0.96
310.0, 2.0079, 0.98
311.0, 2.0011, 1.00
312.0, 1.9882, 1.03
313.0, 1.9787, 1.05
314.0, 1.9698, 1.07
315.0, 1.9568, 1.10
316.0, 1.9449, 1.14
317.0, 1.9290, 1.18
318.0, 1.9197, 1.20
319.0, 1.9112, 1.23
320.0, 1.9001, 1.26
321.0, 1.8880, 1.29
322.0, 1.8719, 1.34
323.0, 1.8614, 1.38
324.0, 1.8506, 1.41
325.0, 1.8351, 1.46
326.0, 1.8250, 1.50
327.0, 1.8131, 1.54
328.0, 1.7994, 1.59
329.0, 1.7900, 1.62
330.0, 1.7813, 1.65
331.0, 1.7646, 1.72
332.0, 1.7531, 1.77
333.0, 1.7381, 1.83
334.0, 1.7213, 1.90
335.0, 1.7065, 1.97
336.0, 1.6920, 2.03
337.0, 1.6778, 2.10
338.0, 1.6651, 2.16
339.0, 1.6500, 2.24
340.0, 1.4602, 3.47
341.0, 1.4593, 3.47
342.0, 1.4592, 3.47
343.0, 1.4566, 3.49
344.0, 1.4581, 3.48
345.0, 1.4560, 3.50
346.0, 1.4505, 3.54
347.0, 1.4490, 3.56
348.0, 1.4461, 3.58
349.0, 1.4472, 3.57
350.0, 1.4446, 3.59
351.0, 1.4381, 3.65
352.0, 1.4326, 3.69
353.0, 1.4252, 3.76
354.0, 1.4192, 3.81
355.0, 1.4125, 3.87
356.0, 1.4008, 3.97
357.0, 1.3895, 4.08
358.0, 1.3779, 4.19
359.0, 1.3672, 4.29
360.0, 1.3566, 4.40
361.0, 1.3435, 4.53
362.0, 1.3332, 4.64
363.0, 1.3233, 4.75
364.0, 1.3125, 4.87
365.0, 1.2990, 5.02
366.0, 1.2835, 5.21
367.0, 1.2682, 5.39
368.0, 1.2526, 5.59
369.0, 1.2367, 5.80
370.0, 1.2298, 5.89
371.0, 1.2582, 5.52
372.0, 1.2469, 5.66
373.0, 1.2363, 5.80
374.0, 1.2270, 5.93
375.0, 1.2176, 6.06
376.0, 1.2066, 6.21
377.0, 1.1969, 6.36
378.0, 1.1867, 6.51
379.0, 1.1756, 6.67
380.0, 1.1641, 6.85
381.0, 1.1540, 7.01
382.0, 1.1438, 7.18
383.0, 1.1337, 7.35
384.0, 1.1275, 7.46
385.0, 1.1105, 7.75
386.0, 1.1008, 7.93
387.0, 1.0911, 8.11
388.0, 1.0806, 8.31
389.0, 1.0703, 8.51
390.0, 1.0598, 8.71
391.0, 1.0493, 8.93
392.0, 1.0376, 9.17
393.0, 1.0265, 9.41
394.0, 1.0164, 9.63
395.0, 1.0052, 9.88
396.0, 0.9940, 10.14
397.0, 0.9845, 10.36
398.0, 0.9744, 10.61
399.0, 0.9648, 10.84
400.0, 0.9561, 11.06
401.0, 0.9468, 11.30
402.0, 0.9354, 11.60
403.0, 0.9252, 11.88
404.0, 0.9149, 12.16
405.0, 0.9052, 12.44
406.0, 0.8957, 12.71
407.0, 0.8854, 13.02
408.0, 0.8763, 13.30
409.0, 0.8669, 13.59
410.0, 0.8584, 13.86
411.0, 0.8499, 14.13
412.0, 0.8422, 14.38
413.0, 0.8335, 14.67
414.0, 0.8241, 14.99
415.0, 0.8154, 15.30
416.0, 0.8065, 15.61
417.0, 0.7975, 15.94
418.0, 0.7891, 16.25
419.0, 0.7803, 16.58
420.0, 0.7719, 16.91
421.0, 0.7641, 17.22
422.0, 0.7562, 17.53
423.0, 0.7489, 17.83
424.0, 0.7419, 18.12
425.0, 0.7345, 18.43
426.0, 0.7263, 18.78
427.0, 0.7186, 19.12
428.0, 0.7108, 19.46
429.0, 0.7036, 19.79
430.0, 0.6961, 20.13
431.0, 0.6886, 20.48
432.0, 0.6811, 20.84
433.0, 0.6743, 21.17
