Sample Name, Sample-37
Time, February 05 12:02:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5901, 25.70
231.0, 0.5853, 25.98
232.0, 0.5804, 26.28
233.0, 0.5755, 26.58
234.0, 0.5701, 26.91
235.0, 0.5653, 27.21
236.0, 0.5606, 27.51
237.0, 0.5558, 27.81
238.0, 0.5514, 28.09
239.0, 0.5473, 28.36
240.0, 0.5426, 28.67
241.0, 0.5383, 28.96
242.0, 0.5345, 29.21
243.0, 0.5309, 29.45
244.0, 0.5273, 29.70
245.0, 0.5234, 29.96
246.0, 0.5195, 30.24
247.0, 0.5157, 30.50
248.0, 0.5121, 30.76
249.0, 0.5085, 31.01
250.0, 0.5051, 31.25
251.0, 0.5021, 31.47
252.0, 0.4989, 31.70
253.0, 0.4958, 31.93
254.0, 0.4931, 32.13
255.0, 0.4904, 32.33
256.0, 0.4879, 32.52
257.0, 0.4852, 32.72
258.0, 0.4838, 32.83
259.0, 0.4794, 33.16
260.0, 0.4767, 33.36
261.0, 0.4741, 33.57
262.0, 0.4713, 33.78
263.0, 0.4687, 33.99
264.0, 0.4659, 34.20
265.0, 0.4634, 34.40
266.0, 0.4609, 34.60
267.0, 0.4585, 34.79
268.0, 0.4563, 34.97
269.0, 0.4538, 35.17
270.0, 0.4512, 35.38
271.0, 0.4487, 35.58
272.0, 0.4461, 35.80
273.0, 0.4435, 36.02
274.0, 0.4410, 36.23
275.0, 0.4384, 36.44
276.0, 0.4358, 36.66
277.0, 0.4330, 36.90
278.0, 0.4307, 37.10
279.0, 0.4285, 37.28
280.0, 0.4260, 37.50
281.0, 0.4231, 37.75
282.0, 0.4201, 38.01
283.0, 0.4170, 38.28
284.0, 0.4140, 38.55
285.0, 0.4107, 38.84
286.0, 0.4076, 39.12
287.0, 0.4042, 39.43
288.0, 0.4011, 39.71
289.0, 0.3978, 40.01
290.0, 0.3946, 40.31
291.0, 0.3916, 40.59
292.0, 0.3887, 40.86
293.0, 0.3855, 41.17
294.0, 0.3820, 41.49
295.0, 0.3789, 41.79
296.0, 0.3757, 42.10
297.0, 0.3727, 42.39
298.0, 0.3712, 42.54
299.0, 0.3658, 43.07
300.0, 0.3626, 43.39
301.0, 0.3594, 43.71
302.0, 0.3566, 43.99
303.0, 0.3538, 44.28
304.0, 0.3508, 44.58
305.0, 0.3477, 44.90
306.0, 0.3444, 45.25
307.0, 0.3410, 45.60
308.0, 0.3378, 45.94
309.0, 0.3345, 46.29
310.0, 0.3314, 46.62
311.0, 0.3280, 46.99
312.0, 0.3248, 47.34
313.0, 0.3216, 47.69
314.0, 0.3188, 47.99
315.0, 0.3159, 48.32
316.0, 0.3131, 48.63
317.0, 0.3103, 48.95
318.0, 0.3068, 49.34
319.0, 0.3034, 49.72
320.0, 0.3003, 50.09
321.0, 0.2972, 50.44
322.0, 0.2940, 50.82
323.0, 0.2906, 51.21
324.0, 0.2874, 51.60
325.0, 0.2844, 51.96
326.0, 0.2816, 52.29
327.0, 0.2787, 52.64
328.0, 0.2760, 52.97
329.0, 0.2734, 53.28
330.0, 0.2718, 53.49
331.0, 0.2667, 54.11
332.0, 0.2636, 54.50
333.0, 0.2609, 54.84
334.0, 0.2580, 55.21
335.0, 0.2552, 55.56
336.0, 0.2525, 55.91
337.0, 0.2502, 56.21
338.0, 0.2479, 56.50
339.0, 0.2461, 56.74
340.0, 0.2327, 58.52
341.0, 0.2314, 58.70
342.0, 0.2295, 58.95
343.0, 0.2279, 59.17
344.0, 0.2265, 59.36
345.0, 0.2245, 59.63
346.0, 0.2226, 59.90
347.0, 0.2213, 60.08
348.0, 0.2201, 60.24
349.0, 0.2190, 60.40
350.0, 0.2173, 60.63
351.0, 0.2158, 60.84
352.0, 0.2148, 60.98
353.0, 0.2133, 61.19
354.0, 0.2115, 61.45
355.0, 0.2100, 61.66
356.0, 0.2078, 61.97
357.0, 0.2061, 62.22
358.0, 0.2045, 62.45
359.0, 0.2027, 62.70
360.0, 0.2010, 62.95
361.0, 0.1992, 63.21
362.0, 0.1975, 63.46
363.0, 0.1959, 63.69
364.0, 0.1943, 63.93
365.0, 0.1924, 64.21
366.0, 0.1906, 64.48
367.0, 0.1887, 64.75
368.0, 0.1870, 65.02
369.0, 0.1850, 65.32
370.0, 0.1843, 65.42
371.0, 0.1830, 65.62
372.0, 0.1812, 65.89
373.0, 0.1797, 66.11
374.0, 0.1780, 66.37
