Sample Name, Sample-134
Time, February 05 18:20:03 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1669, 6.81
231.0, 1.1565, 6.97
232.0, 1.1449, 7.16
233.0, 1.1322, 7.37
234.0, 1.1184, 7.61
235.0, 1.1045, 7.86
236.0, 1.0900, 8.13
237.0, 1.0759, 8.40
238.0, 1.0607, 8.69
239.0, 1.0453, 9.01
240.0, 1.0300, 9.33
241.0, 1.0146, 9.67
242.0, 1.0011, 9.98
243.0, 0.9876, 10.29
244.0, 0.9746, 10.60
245.0, 0.9604, 10.95
246.0, 0.9458, 11.33
247.0, 0.9323, 11.69
248.0, 0.9193, 12.04
249.0, 0.9070, 12.39
250.0, 0.8954, 12.72
251.0, 0.8839, 13.06
252.0, 0.8723, 13.42
253.0, 0.8621, 13.74
254.0, 0.8526, 14.04
255.0, 0.8431, 14.35
256.0, 0.8341, 14.65
257.0, 0.8255, 14.95
258.0, 0.8199, 15.14
259.0, 0.8031, 15.74
260.0, 0.7926, 16.12
261.0, 0.7820, 16.52
262.0, 0.7713, 16.93
263.0, 0.7603, 17.37
264.0, 0.7491, 17.82
265.0, 0.7381, 18.28
266.0, 0.7273, 18.74
267.0, 0.7171, 19.18
268.0, 0.7066, 19.65
269.0, 0.6955, 20.16
270.0, 0.6838, 20.71
271.0, 0.6723, 21.27
272.0, 0.6609, 21.83
273.0, 0.6499, 22.39
274.0, 0.6390, 22.96
275.0, 0.6288, 23.51
276.0, 0.6183, 24.08
277.0, 0.6086, 24.62
278.0, 0.5998, 25.13
279.0, 0.5914, 25.62
280.0, 0.5828, 26.13
281.0, 0.5735, 26.70
282.0, 0.5637, 27.31
283.0, 0.5546, 27.89
284.0, 0.5453, 28.49
285.0, 0.5363, 29.09
286.0, 0.5275, 29.69
287.0, 0.5188, 30.28
288.0, 0.5103, 30.88
289.0, 0.5024, 31.45
290.0, 0.4948, 32.00
291.0, 0.4879, 32.51
292.0, 0.4810, 33.04
293.0, 0.4741, 33.57
294.0, 0.4666, 34.15
295.0, 0.4600, 34.68
296.0, 0.4535, 35.20
297.0, 0.4476, 35.68
298.0, 0.4446, 35.93
299.0, 0.4355, 36.69
300.0, 0.4299, 37.17
301.0, 0.4246, 37.62
302.0, 0.4199, 38.03
303.0, 0.4154, 38.42
304.0, 0.4110, 38.82
305.0, 0.4063, 39.24
306.0, 0.4012, 39.70
307.0, 0.3966, 40.13
308.0, 0.3918, 40.57
309.0, 0.3871, 41.01
310.0, 0.3825, 41.45
311.0, 0.3777, 41.91
312.0, 0.3733, 42.34
313.0, 0.3686, 42.80
314.0, 0.3644, 43.21
315.0, 0.3606, 43.59
316.0, 0.3565, 44.01
317.0, 0.3520, 44.46
318.0, 0.3470, 44.98
319.0, 0.3423, 45.47
320.0, 0.3374, 45.98
321.0, 0.3325, 46.51
322.0, 0.3275, 47.04
323.0, 0.3225, 47.59
324.0, 0.3175, 48.14
325.0, 0.3125, 48.70
326.0, 0.3077, 49.24
327.0, 0.3033, 49.74
328.0, 0.2987, 50.27
329.0, 0.2940, 50.82
330.0, 0.2912, 51.14
331.0, 0.2827, 52.15
332.0, 0.2774, 52.80
333.0, 0.2720, 53.46
334.0, 0.2664, 54.15
335.0, 0.2610, 54.83
336.0, 0.2556, 55.51
337.0, 0.2508, 56.13
338.0, 0.2461, 56.74
339.0, 0.2430, 57.15
340.0, 0.2209, 60.13
341.0, 0.2177, 60.58
342.0, 0.2142, 61.07
343.0, 0.2106, 61.57
344.0, 0.2069, 62.10
345.0, 0.2036, 62.57
346.0, 0.2006, 63.01
347.0, 0.1974, 63.48
348.0, 0.1948, 63.85
349.0, 0.1916, 64.33
350.0, 0.1887, 64.76
351.0, 0.1854, 65.25
352.0, 0.1829, 65.63
353.0, 0.1794, 66.16
354.0, 0.1763, 66.64
355.0, 0.1733, 67.10
356.0, 0.1700, 67.60
357.0, 0.1668, 68.10
358.0, 0.1637, 68.59
359.0, 0.1611, 69.02
360.0, 0.1583, 69.45
361.0, 0.1556, 69.88
362.0, 0.1530, 70.31
363.0, 0.1507, 70.68
364.0, 0.1483, 71.08
365.0, 0.1459, 71.47
366.0, 0.1431, 71.92
367.0, 0.1406, 72.35
368.0, 0.1381, 72.77
369.0, 0.1360, 73.11
370.0, 0.1349, 73.29
371.0, 0.1309, 73.98
372.0, 0.1287, 74.36
373.0, 0.1265, 74.73
374.0, 0.1241, 75.14
375.0, 0.1220, 75.51
376.0, 0.1201, 75.84
377.0, 0.1178, 76.25
378.0, 0.1155, 76.64
379.0, 0.1136, 76.98
380.0, 0.1112, 77.41
381.0, 0.1094, 77.72
382.0, 0.1075, 78.07
383.0, 0.1057, 78.40
384.0, 0.1049, 78.54
385.0, 0.1016, 79.14
386.0, 0.1000, 79.43
387.0, 0.0982, 79.76
388.0, 0.0967, 80.04
389.0, 0.0951, 80.34
390.0, 0.0936, 80.62
391.0, 0.0916, 80.98
392.0, 0.0898, 81.32
393.0, 0.0881, 81.64
394.0, 0.0866, 81.92
395.0, 0.0850, 82.23
396.0, 0.0833, 82.55
397.0, 0.0820, 82.80
398.0, 0.0805, 83.08
399.0, 0.0790, 83.36
400.0, 0.0776, 83.63
401.0, 0.0765, 83.85
402.0, 0.0749, 84.15
403.0, 0.0737, 84.40
404.0, 0.0721, 84.70
405.0, 0.0710, 84.92
406.0, 0.0697, 85.18
407.0, 0.0684, 85.42
408.0, 0.0673, 85.65
409.0, 0.0662, 85.87
410.0, 0.0651, 86.08
411.0, 0.0641, 86.27
412.0, 0.0631, 86.47
413.0, 0.0622, 86.66
414.0, 0.0612, 86.85
415.0, 0.0602, 87.06
416.0, 0.0592, 87.26
417.0, 0.0582, 87.45
418.0, 0.0575, 87.61
419.0, 0.0565, 87.80
420.0, 0.0556, 87.98
421.0, 0.0549, 88.12
422.0, 0.0541, 88.30
423.0, 0.0533, 88.44
424.0, 0.0527, 88.57
425.0, 0.0520, 88.71
426.0, 0.0513, 88.87
427.0, 0.0505, 89.03
428.0, 0.0497, 89.19
429.0, 0.0491, 89.31
430.0, 0.0484, 89.45
431.0, 0.0478, 89.59
432.0, 0.0472, 89.71
433.0, 0.0465, 89.86
434.0, 0.0459, 89.97
435.0, 0.0455, 90.06
436.0, 0.0450, 90.16
437.0, 0.0445, 90.26
438.0, 0.0440, 90.37
439.0, 0.0435, 90.48
440.0, 0.0431, 90.56
441.0, 0.0425, 90.67
442.0, 0.0420, 90.78
443.0, 0.0417, 90.84
444.0, 0.0414, 90.92
445.0, 0.0410, 91.00
446.0, 0.0408, 91.03
447.0, 0.0406, 91.08
448.0, 0.0402, 91.15
449.0, 0.0401, 91.19
450.0, 0.0399, 91.23
451.0, 0.0390, 91.42
452.0, 0.0384, 91.53
453.0, 0.0379, 91.64
454.0, 0.0375, 91.73
