Sample Name, Sample-137
Time, February 05 18:27:24 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1718, 6.73
231.0, 1.1622, 6.88
232.0, 1.1511, 7.06
233.0, 1.1397, 7.25
234.0, 1.1258, 7.48
235.0, 1.1122, 7.72
236.0, 1.0973, 7.99
237.0, 1.0827, 8.27
238.0, 1.0672, 8.57
239.0, 1.0514, 8.88
240.0, 1.0344, 9.24
241.0, 1.0187, 9.58
242.0, 1.0044, 9.90
243.0, 0.9904, 10.22
244.0, 0.9761, 10.56
245.0, 0.9619, 10.92
246.0, 0.9477, 11.28
247.0, 0.9338, 11.65
248.0, 0.9210, 11.99
249.0, 0.9086, 12.34
250.0, 0.8964, 12.69
251.0, 0.8850, 13.03
252.0, 0.8735, 13.38
253.0, 0.8626, 13.72
254.0, 0.8529, 14.03
255.0, 0.8437, 14.33
256.0, 0.8346, 14.64
257.0, 0.8249, 14.96
258.0, 0.8193, 15.16
259.0, 0.8017, 15.79
260.0, 0.7907, 16.19
261.0, 0.7797, 16.61
262.0, 0.7680, 17.06
263.0, 0.7562, 17.53
264.0, 0.7440, 18.03
265.0, 0.7319, 18.54
266.0, 0.7203, 19.04
267.0, 0.7090, 19.54
268.0, 0.6976, 20.06
269.0, 0.6863, 20.59
270.0, 0.6732, 21.22
271.0, 0.6606, 21.85
272.0, 0.6480, 22.49
273.0, 0.6367, 23.08
274.0, 0.6249, 23.72
275.0, 0.6136, 24.35
276.0, 0.6025, 24.97
277.0, 0.5925, 25.56
278.0, 0.5831, 26.11
279.0, 0.5744, 26.64
280.0, 0.5659, 27.17
281.0, 0.5563, 27.78
282.0, 0.5464, 28.42
283.0, 0.5369, 29.05
284.0, 0.5276, 29.68
285.0, 0.5183, 30.31
286.0, 0.5095, 30.94
287.0, 0.5010, 31.55
288.0, 0.4926, 32.17
289.0, 0.4849, 32.74
290.0, 0.4777, 33.29
291.0, 0.4710, 33.81
292.0, 0.4643, 34.33
293.0, 0.4579, 34.84
294.0, 0.4512, 35.38
295.0, 0.4451, 35.88
296.0, 0.4391, 36.38
297.0, 0.4338, 36.83
298.0, 0.4305, 37.11
299.0, 0.4220, 37.84
300.0, 0.4165, 38.32
301.0, 0.4115, 38.77
302.0, 0.4069, 39.18
303.0, 0.4026, 39.57
304.0, 0.3984, 39.96
305.0, 0.3935, 40.41
306.0, 0.3887, 40.86
307.0, 0.3841, 41.30
308.0, 0.3794, 41.75
309.0, 0.3746, 42.21
310.0, 0.3700, 42.66
311.0, 0.3655, 43.11
312.0, 0.3611, 43.54
313.0, 0.3566, 43.99
314.0, 0.3521, 44.45
315.0, 0.3479, 44.89
316.0, 0.3436, 45.33
317.0, 0.3391, 45.80
318.0, 0.3341, 46.33
319.0, 0.3291, 46.88
320.0, 0.3240, 47.43
321.0, 0.3189, 47.98
