Sample Name, Sample-44
Time, February 05 12:20:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5143, 30.60
231.0, 0.5104, 30.88
232.0, 0.5065, 31.15
233.0, 0.5025, 31.44
234.0, 0.4981, 31.76
235.0, 0.4941, 32.05
236.0, 0.4906, 32.31
237.0, 0.4868, 32.60
238.0, 0.4831, 32.88
239.0, 0.4796, 33.15
240.0, 0.4759, 33.42
241.0, 0.4724, 33.70
242.0, 0.4692, 33.94
243.0, 0.4662, 34.18
244.0, 0.4632, 34.42
245.0, 0.4603, 34.65
246.0, 0.4571, 34.91
247.0, 0.4540, 35.15
248.0, 0.4509, 35.41
249.0, 0.4479, 35.66
250.0, 0.4448, 35.91
251.0, 0.4421, 36.14
252.0, 0.4393, 36.37
253.0, 0.4364, 36.61
254.0, 0.4338, 36.83
255.0, 0.4314, 37.04
256.0, 0.4291, 37.23
257.0, 0.4266, 37.44
258.0, 0.4252, 37.57
259.0, 0.4205, 37.97
260.0, 0.4178, 38.21
261.0, 0.4152, 38.44
262.0, 0.4124, 38.69
263.0, 0.4096, 38.94
264.0, 0.4067, 39.20
265.0, 0.4040, 39.44
266.0, 0.4015, 39.68
267.0, 0.3991, 39.89
268.0, 0.3965, 40.13
269.0, 0.3939, 40.38
270.0, 0.3911, 40.63
271.0, 0.3883, 40.89
272.0, 0.3854, 41.17
273.0, 0.3827, 41.42
274.0, 0.3801, 41.68
275.0, 0.3774, 41.94
276.0, 0.3747, 42.20
277.0, 0.3720, 42.46
278.0, 0.3696, 42.70
279.0, 0.3671, 42.94
280.0, 0.3649, 43.16
281.0, 0.3621, 43.44
282.0, 0.3592, 43.73
283.0, 0.3561, 44.04
284.0, 0.3533, 44.33
285.0, 0.3501, 44.66
286.0, 0.3472, 44.96
287.0, 0.3442, 45.27
288.0, 0.3414, 45.56
289.0, 0.3385, 45.87
290.0, 0.3356, 46.17
291.0, 0.3331, 46.44
292.0, 0.3305, 46.72
293.0, 0.3277, 47.02
294.0, 0.3251, 47.31
295.0, 0.3222, 47.62
296.0, 0.3197, 47.89
297.0, 0.3173, 48.16
298.0, 0.3159, 48.32
299.0, 0.3115, 48.81
300.0, 0.3090, 49.09
301.0, 0.3064, 49.39
302.0, 0.3041, 49.65
303.0, 0.3020, 49.89
304.0, 0.2999, 50.13
305.0, 0.2974, 50.42
306.0, 0.2949, 50.71
307.0, 0.2923, 51.01
308.0, 0.2898, 51.31
309.0, 0.2872, 51.62
310.0, 0.2847, 51.92
311.0, 0.2821, 52.23
312.0, 0.2795, 52.54
313.0, 0.2772, 52.82
314.0, 0.2748, 53.11
315.0, 0.2724, 53.41
316.0, 0.2701, 53.70
317.0, 0.2676, 54.00
318.0, 0.2649, 54.33
319.0, 0.2623, 54.67
320.0, 0.2596, 55.01
321.0, 0.2570, 55.33
322.0, 0.2544, 55.67
323.0, 0.2515, 56.04
324.0, 0.2488, 56.39
325.0, 0.2465, 56.69
326.0, 0.2441, 57.00
327.0, 0.2416, 57.33
328.0, 0.2391, 57.67
329.0, 0.2372, 57.92
330.0, 0.2358, 58.11
331.0, 0.2314, 58.70
332.0, 0.2285, 59.09
333.0, 0.2262, 59.40
334.0, 0.2238, 59.73
335.0, 0.2213, 60.07
336.0, 0.2190, 60.40
337.0, 0.2168, 60.71
338.0, 0.2145, 61.03
339.0, 0.2132, 61.20
340.0, 0.2039, 62.53
341.0, 0.2023, 62.76
342.0, 0.2012, 62.92
343.0, 0.1993, 63.20
344.0, 0.1979, 63.40
345.0, 0.1967, 63.57
346.0, 0.1952, 63.80
347.0, 0.1937, 64.02
348.0, 0.1928, 64.16
349.0, 0.1911, 64.40
350.0, 0.1899, 64.58
351.0, 0.1887, 64.76
352.0, 0.1873, 64.97
353.0, 0.1855, 65.24
354.0, 0.1840, 65.46
355.0, 0.1825, 65.68
356.0, 0.1809, 65.93
357.0, 0.1797, 66.12
358.0, 0.1780, 66.37
359.0, 0.1764, 66.62
360.0, 0.1747, 66.88
361.0, 0.1730, 67.14
362.0, 0.1718, 67.33
363.0, 0.1704, 67.55
364.0, 0.1687, 67.82
365.0, 0.1677, 67.97
366.0, 0.1660, 68.24
367.0, 0.1647, 68.44
368.0, 0.1633, 68.66
369.0, 0.1618, 68.90
370.0, 0.1613, 68.98
371.0, 0.1583, 69.46
372.0, 0.1568, 69.70
373.0, 0.1556, 69.88
374.0, 0.1543, 70.09
375.0, 0.1526, 70.37
376.0, 0.1512, 70.60
377.0, 0.1499, 70.81
378.0, 0.1483, 71.07
379.0, 0.1468, 71.32
380.0, 0.1451, 71.59
381.0, 0.1439, 71.80
382.0, 0.1425, 72.02
383.0, 0.1413, 72.23
384.0, 0.1406, 72.34
385.0, 0.1381, 72.76
386.0, 0.1369, 72.97
387.0, 0.1356, 73.18
388.0, 0.1343, 73.40
389.0, 0.1329, 73.64
390.0, 0.1318, 73.83
391.0, 0.1305, 74.04
392.0, 0.1294, 74.24
393.0, 0.1281, 74.46
394.0, 0.1269, 74.67
395.0, 0.1257, 74.87
396.0, 0.1245, 75.08
397.0, 0.1235, 75.25
398.0, 0.1224, 75.45
399.0, 0.1213, 75.63
400.0, 0.1202, 75.82
401.0, 0.1194, 75.96
402.0, 0.1184, 76.14
403.0, 0.1174, 76.31
404.0, 0.1162, 76.53
405.0, 0.1153, 76.68
406.0, 0.1142, 76.88
407.0, 0.1133, 77.03
408.0, 0.1122, 77.22
409.0, 0.1112, 77.41
410.0, 0.1105, 77.53
411.0, 0.1096, 77.69
412.0, 0.1088, 77.84
413.0, 0.1080, 77.98
414.0, 0.1071, 78.14
415.0, 0.1062, 78.30
416.0, 0.1054, 78.45
417.0, 0.1045, 78.62
418.0, 0.1037, 78.75
419.0, 0.1031, 78.88
420.0, 0.1024, 79.00
421.0, 0.1016, 79.14
422.0, 0.1010, 79.24
423.0, 0.1004, 79.36
424.0, 0.0998, 79.47
425.0, 0.0991, 79.61
426.0, 0.0983, 79.75
427.0, 0.0975, 79.88
428.0, 0.0969, 79.99
429.0, 0.0961, 80.15
430.0, 0.0955, 80.25
431.0, 0.0948, 80.38
432.0, 0.0942, 80.50
433.0, 0.0935, 80.62
434.0, 0.0929, 80.74
435.0, 0.0923, 80.84
436.0, 0.0918, 80.94
437.0, 0.0914, 81.03
438.0, 0.0909, 81.11
439.0, 0.0905, 81.19
440.0, 0.0900, 81.29
441.0, 0.0895, 81.37
442.0, 0.0888, 81.50
443.0, 0.0884, 81.58
444.0, 0.0880, 81.66
445.0, 0.0875, 81.76
446.0, 0.0872, 81.81
447.0, 0.0868, 81.89
448.0, 0.0865, 81.95
449.0, 0.0862, 82.00
450.0, 0.0859, 82.05
451.0, 0.0849, 82.24
452.0, 0.0844, 82.34
453.0, 0.0839, 82.42
454.0, 0.0833, 82.55
455.0, 0.0828, 82.65
456.0, 0.0821, 82.77
457.0, 0.0816, 82.87
458.0, 0.0810, 82.99
459.0, 0.0805, 83.08
460.0, 0.0801, 83.17
461.0, 0.0795, 83.27
462.0, 0.0790, 83.38
463.0, 0.0785, 83.47
464.0, 0.0780, 83.57
465.0, 0.0776, 83.64
466.0, 0.0771, 83.74
467.0, 0.0765, 83.85
468.0, 0.0759, 83.96
469.0, 0.0754, 84.05
470.0, 0.0749, 84.15
471.0, 0.0745, 84.23
472.0, 0.0742, 84.30
473.0, 0.0736, 84.41
474.0, 0.0732, 84.49
475.0, 0.0729, 84.54
476.0, 0.0720, 84.73
477.0, 0.0714, 84.84
478.0, 0.0710, 84.93
479.0, 0.0706, 85.00
480.0, 0.0700, 85.12
481.0, 0.0694, 85.24
482.0, 0.0691, 85.29
483.0, 0.0685, 85.42
484.0, 0.0680, 85.51
485.0, 0.0674, 85.62
486.0, 0.0670, 85.71
487.0, 0.0665, 85.80
488.0, 0.0660, 85.91
489.0, 0.0654, 86.02
490.0, 0.0650, 86.10
491.0, 0.0646, 86.18
492.0, 0.0639, 86.31
493.0, 0.0633, 86.45
494.0, 0.0628, 86.53
495.0, 0.0624, 86.62
496.0, 0.0619, 86.72
497.0, 0.0613, 86.83
498.0, 0.0609, 86.92
499.0, 0.0602, 87.05
500.0, 0.0597, 87.15
501.0, 0.0592, 87.26
502.0, 0.0588, 87.35
503.0, 0.0582, 87.45
504.0, 0.0578, 87.53
505.0, 0.0574, 87.62
506.0, 0.0570, 87.70
507.0, 0.0566, 87.77
508.0, 0.0562, 87.87
509.0, 0.0557, 87.97
510.0, 0.0554, 88.03
511.0, 0.0546, 88.18
512.0, 0.0543, 88.25
513.0, 0.0538, 88.34
514.0, 0.0534, 88.43
515.0, 0.0529, 88.53
516.0, 0.0526, 88.60
517.0, 0.0522, 88.67
518.0, 0.0518, 88.76
519.0, 0.0516, 88.80
520.0, 0.0512, 88.87
521.0, 0.0509, 88.93
522.0, 0.0503, 89.05
523.0, 0.0499, 89.14
524.0, 0.0496, 89.22
525.0, 0.0492, 89.30
526.0, 0.0487, 89.39
527.0, 0.0483, 89.48
528.0, 0.0479, 89.56
529.0, 0.0476, 89.63
530.0, 0.0472, 89.70
531.0, 0.0469, 89.75
532.0, 0.0467, 89.81
533.0, 0.0464, 89.87
534.0, 0.0460, 89.95
535.0, 0.0456, 90.04
536.0, 0.0453, 90.10
537.0, 0.0450, 90.16
538.0, 0.0446, 90.24
539.0, 0.0442, 90.33
540.0, 0.0438, 90.40
541.0, 0.0436, 90.46
542.0, 0.0433, 90.52
543.0, 0.0431, 90.56
544.0, 0.0428, 90.62
545.0, 0.0424, 90.69
546.0, 0.0422, 90.74
547.0, 0.0416, 90.87
548.0, 0.0413, 90.93
549.0, 0.0409, 91.02
550.0, 0.0405, 91.09
551.0, 0.0401, 91.18
552.0, 0.0398, 91.25
553.0, 0.0394, 91.32
554.0, 0.0390, 91.40
555.0, 0.0386, 91.49
556.0, 0.0386, 91.50
557.0, 0.0383, 91.55
558.0, 0.0382, 91.58
559.0, 0.0381, 91.61
560.0, 0.0375, 91.72
561.0, 0.0374, 91.74
562.0, 0.0374, 91.75
563.0, 0.0374, 91.75
564.0, 0.0373, 91.78
565.0, 0.0370, 91.83
566.0, 0.0371, 91.81
567.0, 0.0369, 91.85
