Sample Name, Sample-36
Time, February 13 17:21:18 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9204, 12.01
231.0, 0.9166, 12.12
232.0, 0.9132, 12.21
233.0, 0.9091, 12.33
234.0, 0.9053, 12.44
235.0, 0.9022, 12.53
236.0, 0.8994, 12.61
237.0, 0.8967, 12.69
238.0, 0.8942, 12.76
239.0, 0.8920, 12.82
240.0, 0.8905, 12.87
241.0, 0.8893, 12.90
242.0, 0.8887, 12.92
243.0, 0.8881, 12.94
244.0, 0.8878, 12.95
245.0, 0.8885, 12.93
246.0, 0.8891, 12.91
247.0, 0.8899, 12.89
248.0, 0.8913, 12.84
249.0, 0.8931, 12.79
250.0, 0.8950, 12.74
251.0, 0.8968, 12.68
252.0, 0.8997, 12.60
253.0, 0.9021, 12.53
254.0, 0.9043, 12.46
255.0, 0.9069, 12.39
256.0, 0.9090, 12.33
257.0, 0.9106, 12.29
258.0, 0.9115, 12.26
259.0, 0.9134, 12.21
260.0, 0.9142, 12.18
261.0, 0.9147, 12.17
262.0, 0.9136, 12.20
263.0, 0.9121, 12.24
264.0, 0.9097, 12.31
265.0, 0.9060, 12.42
266.0, 0.9020, 12.53
267.0, 0.8971, 12.67
268.0, 0.8909, 12.86
269.0, 0.8840, 13.06
270.0, 0.8756, 13.32
271.0, 0.8664, 13.60
272.0, 0.8560, 13.93
273.0, 0.8449, 14.29
274.0, 0.8330, 14.69
275.0, 0.8202, 15.13
276.0, 0.8071, 15.59
277.0, 0.7939, 16.07
278.0, 0.7812, 16.55
279.0, 0.7686, 17.04
280.0, 0.7558, 17.55
281.0, 0.7426, 18.09
282.0, 0.7282, 18.70
283.0, 0.7146, 19.29
284.0, 0.7013, 19.89
285.0, 0.6888, 20.47
286.0, 0.6759, 21.09
287.0, 0.6638, 21.68
288.0, 0.6520, 22.29
289.0, 0.6408, 22.87
290.0, 0.6307, 23.40
291.0, 0.6215, 23.90
292.0, 0.6128, 24.39
293.0, 0.6039, 24.89
294.0, 0.5949, 25.42
295.0, 0.5864, 25.92
296.0, 0.5785, 26.39
297.0, 0.5719, 26.80
298.0, 0.5681, 27.03
299.0, 0.5575, 27.70
300.0, 0.5510, 28.12
301.0, 0.5451, 28.50
302.0, 0.5396, 28.87
303.0, 0.5346, 29.20
304.0, 0.5291, 29.57
305.0, 0.5240, 29.92
306.0, 0.5189, 30.27
307.0, 0.5138, 30.63
308.0, 0.5086, 31.00
309.0, 0.5036, 31.36
310.0, 0.4988, 31.71
311.0, 0.4936, 32.09
312.0, 0.4884, 32.48
313.0, 0.4837, 32.83
314.0, 0.4794, 33.16
315.0, 0.4755, 33.46
316.0, 0.4708, 33.83
317.0, 0.4659, 34.21
318.0, 0.4606, 34.62
319.0, 0.4560, 35.00
320.0, 0.4512, 35.38
321.0, 0.4466, 35.76
322.0, 0.4419, 36.15
323.0, 0.4370, 36.56
324.0, 0.4323, 36.95
325.0, 0.4278, 37.34
326.0, 0.4238, 37.69
327.0, 0.4196, 38.06
328.0, 0.4155, 38.41
329.0, 0.4115, 38.77
330.0, 0.4091, 38.98
331.0, 0.4024, 39.59
332.0, 0.3981, 39.99
333.0, 0.3939, 40.38
334.0, 0.3900, 40.74
335.0, 0.3863, 41.09
336.0, 0.3825, 41.45
337.0, 0.3791, 41.78
338.0, 0.3758, 42.10
339.0, 0.3737, 42.30
340.0, 0.3620, 43.45
341.0, 0.3597, 43.69
342.0, 0.3564, 44.02
343.0, 0.3539, 44.27
344.0, 0.3512, 44.54
345.0, 0.3483, 44.85
346.0, 0.3451, 45.18
347.0, 0.3422, 45.48
348.0, 0.3400, 45.71
349.0, 0.3374, 45.98
350.0, 0.3352, 46.22
351.0, 0.3328, 46.47
352.0, 0.3305, 46.72
353.0, 0.3278, 47.01
354.0, 0.3253, 47.28
355.0, 0.3228, 47.56
356.0, 0.3199, 47.87
357.0, 0.3176, 48.13
358.0, 0.3148, 48.44
359.0, 0.3119, 48.76
360.0, 0.3092, 49.07
361.0, 0.3066, 49.37
362.0, 0.3038, 49.69
363.0, 0.3013, 49.97
364.0, 0.2987, 50.27
365.0, 0.2959, 50.59
366.0, 0.2934, 50.89
367.0, 0.2903, 51.25
368.0, 0.2872, 51.62
369.0, 0.2841, 51.99
370.0, 0.2827, 52.16
371.0, 0.2801, 52.47
372.0, 0.2772, 52.83
373.0, 0.2741, 53.19
374.0, 0.2718, 53.48
375.0, 0.2693, 53.78
376.0, 0.2668, 54.10
377.0, 0.2639, 54.46
378.0, 0.2611, 54.82
379.0, 0.2582, 55.18
380.0, 0.2553, 55.55
381.0, 0.2526, 55.90
382.0, 0.2498, 56.26
383.0, 0.2473, 56.58
384.0, 0.2458, 56.78
385.0, 0.2419, 57.30
386.0, 0.2391, 57.66
387.0, 0.2368, 57.97
388.0, 0.2347, 58.24
389.0, 0.2324, 58.56
390.0, 0.2297, 58.92
391.0, 0.2271, 59.28
392.0, 0.2251, 59.56
393.0, 0.2226, 59.89
394.0, 0.2205, 60.18
395.0, 0.2183, 60.50
396.0, 0.2160, 60.81
397.0, 0.2140, 61.10
398.0, 0.2120, 61.38
399.0, 0.2103, 61.62
400.0, 0.2084, 61.88
401.0, 0.2065, 62.16
402.0, 0.2043, 62.47
403.0, 0.2025, 62.74
404.0, 0.2004, 63.03
405.0, 0.1987, 63.28
406.0, 0.1967, 63.57
407.0, 0.1949, 63.84
408.0, 0.1932, 64.09
409.0, 0.1917, 64.32
410.0, 0.1899, 64.58
411.0, 0.1884, 64.81
412.0, 0.1870, 65.02
413.0, 0.1854, 65.25
414.0, 0.1837, 65.51
415.0, 0.1821, 65.76
416.0, 0.1804, 66.02
417.0, 0.1787, 66.26
418.0, 0.1772, 66.50
419.0, 0.1755, 66.76
420.0, 0.1738, 67.01
421.0, 0.1724, 67.24
422.0, 0.1709, 67.47
423.0, 0.1695, 67.69
424.0, 0.1680, 67.91
425.0, 0.1668, 68.10
426.0, 0.1652, 68.36
427.0, 0.1637, 68.59
428.0, 0.1621, 68.85
429.0, 0.1607, 69.07
430.0, 0.1592, 69.30
431.0, 0.1577, 69.55
432.0, 0.1563, 69.78
433.0, 0.1549, 70.00
434.0, 0.1536, 70.22
435.0, 0.1523, 70.42
436.0, 0.1512, 70.60
437.0, 0.1498, 70.83
438.0, 0.1484, 71.06
439.0, 0.1470, 71.29
440.0, 0.1455, 71.53
441.0, 0.1444, 71.71
442.0, 0.1432, 71.92
443.0, 0.1420, 72.10
444.0, 0.1406, 72.34
445.0, 0.1395, 72.52
446.0, 0.1386, 72.69
447.0, 0.1375, 72.87
448.0, 0.1365, 73.03
449.0, 0.1356, 73.18
450.0, 0.1350, 73.28
451.0, 0.1331, 73.60
452.0, 0.1322, 73.75
453.0, 0.1314, 73.89
454.0, 0.1304, 74.06
455.0, 0.1295, 74.22
456.0, 0.1286, 74.37
457.0, 0.1279, 74.49
458.0, 0.1271, 74.62
459.0, 0.1264, 74.75
460.0, 0.1256, 74.88
461.0, 0.1248, 75.02
462.0, 0.1239, 75.17
463.0, 0.1230, 75.33
464.0, 0.1221, 75.48
465.0, 0.1215, 75.60
466.0, 0.1207, 75.73
467.0, 0.1201, 75.85
468.0, 0.1191, 76.02
469.0, 0.1182, 76.18
470.0, 0.1176, 76.27
471.0, 0.1170, 76.38
472.0, 0.1162, 76.53
473.0, 0.1154, 76.67
474.0, 0.1145, 76.82
475.0, 0.1142, 76.88
476.0, 0.1130, 77.09
477.0, 0.1123, 77.21
478.0, 0.1114, 77.38
479.0, 0.1107, 77.50
480.0, 0.1100, 77.63
481.0, 0.1094, 77.74
482.0, 0.1084, 77.91
483.0, 0.1076, 78.05
484.0, 0.1068, 78.19
485.0, 0.1061, 78.32
486.0, 0.1055, 78.44
487.0, 0.1045, 78.61
488.0, 0.1036, 78.78
489.0, 0.1029, 78.90
490.0, 0.1018, 79.10
491.0, 0.1010, 79.24
492.0, 0.1004, 79.35
493.0, 0.0996, 79.51
494.0, 0.0989, 79.64
495.0, 0.0984, 79.73
496.0, 0.0975, 79.89
497.0, 0.0969, 80.00
498.0, 0.0961, 80.15
499.0, 0.0954, 80.28
500.0, 0.0945, 80.45
501.0, 0.0939, 80.55
502.0, 0.0933, 80.67
503.0, 0.0925, 80.82
504.0, 0.0918, 80.94
505.0, 0.0910, 81.09
506.0, 0.0903, 81.23
507.0, 0.0898, 81.32
508.0, 0.0892, 81.43
509.0, 0.0886, 81.55
510.0, 0.0878, 81.70
511.0, 0.0872, 81.82
512.0, 0.0867, 81.90
513.0, 0.0860, 82.03
514.0, 0.0854, 82.15
515.0, 0.0848, 82.26
516.0, 0.0841, 82.39
517.0, 0.0836, 82.49
518.0, 0.0829, 82.62
519.0, 0.0825, 82.70
520.0, 0.0819, 82.81
521.0, 0.0813, 82.93
522.0, 0.0808, 83.01
523.0, 0.0802, 83.15
524.0, 0.0795, 83.27
525.0, 0.0790, 83.37
526.0, 0.0785, 83.46
527.0, 0.0781, 83.55
528.0, 0.0773, 83.69
529.0, 0.0770, 83.76
530.0, 0.0764, 83.86
531.0, 0.0759, 83.96
532.0, 0.0754, 84.06
533.0, 0.0748, 84.18
534.0, 0.0741, 84.32
535.0, 0.0736, 84.42
536.0, 0.0732, 84.50
537.0, 0.0726, 84.60
538.0, 0.0721, 84.70
539.0, 0.0715, 84.82
540.0, 0.0710, 84.93
541.0, 0.0706, 84.99
542.0, 0.0702, 85.08
543.0, 0.0697, 85.18
544.0, 0.0693, 85.25
545.0, 0.0688, 85.35
546.0, 0.0686, 85.39
547.0, 0.0677, 85.56
548.0, 0.0673, 85.64
549.0, 0.0667, 85.77
550.0, 0.0662, 85.86
551.0, 0.0657, 85.96
552.0, 0.0653, 86.05
553.0, 0.0649, 86.12
554.0, 0.0645, 86.19
555.0, 0.0642, 86.26
556.0, 0.0638, 86.33
557.0, 0.0634, 86.42
558.0, 0.0630, 86.51
559.0, 0.0626, 86.57
560.0, 0.0620, 86.70
561.0, 0.0616, 86.78
562.0, 0.0611, 86.88
563.0, 0.0607, 86.96
564.0, 0.0601, 87.07
565.0, 0.0599, 87.12
566.0, 0.0595, 87.20
567.0, 0.0591, 87.28
568.0, 0.0587, 87.36
569.0, 0.0583, 87.44
570.0, 0.0580, 87.49
571.0, 0.0575, 87.59
572.0, 0.0573, 87.63
573.0, 0.0570, 87.70
574.0, 0.0566, 87.78
575.0, 0.0563, 87.84
576.0, 0.0558, 87.95
577.0, 0.0553, 88.04
578.0, 0.0550, 88.11
579.0, 0.0547, 88.16
580.0, 0.0545, 88.21
581.0, 0.0541, 88.30
582.0, 0.0539, 88.33
583.0, 0.0534, 88.43
584.0, 0.0531, 88.49
585.0, 0.0528, 88.54
586.0, 0.0526, 88.59
587.0, 0.0523, 88.66
588.0, 0.0520, 88.72
589.0, 0.0518, 88.75
590.0, 0.0512, 88.87
591.0, 0.0510, 88.92
592.0, 0.0508, 88.96
593.0, 0.0505, 89.02
594.0, 0.0502, 89.08
595.0, 0.0499, 89.15
596.0, 0.0497, 89.19
597.0, 0.0494, 89.25
598.0, 0.0492, 89.30
599.0, 0.0489, 89.35
600.0, 0.0485, 89.43
601.0, 0.0483, 89.47
602.0, 0.0481, 89.52
603.0, 0.0478, 89.58
604.0, 0.0476, 89.61
605.0, 0.0475, 89.64
606.0, 0.0472, 89.71
607.0, 0.0469, 89.77
608.0, 0.0468, 89.79
609.0, 0.0464, 89.87
610.0, 0.0463, 89.89
611.0, 0.0459, 89.98
612.0, 0.0456, 90.04
613.0, 0.0453, 90.10
614.0, 0.0451, 90.14
615.0, 0.0449, 90.18
616.0, 0.0446, 90.24
617.0, 0.0444, 90.28
618.0, 0.0441, 90.34
619.0, 0.0439, 90.39
620.0, 0.0437, 90.43
621.0, 0.0434, 90.49
622.0, 0.0432, 90.54
623.0, 0.0430, 90.57
624.0, 0.0428, 90.61
625.0, 0.0426, 90.67
626.0, 0.0423, 90.72
627.0, 0.0421, 90.76
628.0, 0.0419, 90.81
629.0, 0.0417, 90.85
630.0, 0.0415, 90.88
631.0, 0.0412, 90.94
632.0, 0.0410, 90.98
633.0, 0.0408, 91.03
634.0, 0.0406, 91.08
635.0, 0.0404, 91.12
636.0, 0.0402, 91.16
637.0, 0.0399, 91.21
638.0, 0.0398, 91.25
639.0, 0.0394, 91.33
640.0, 0.0392, 91.37
641.0, 0.0390, 91.41
642.0, 0.0388, 91.45
643.0, 0.0388, 91.45
644.0, 0.0385, 91.51
645.0, 0.0383, 91.55
646.0, 0.0381, 91.61
647.0, 0.0379, 91.65
648.0, 0.0378, 91.67
649.0, 0.0375, 91.72
650.0, 0.0374, 91.76
651.0, 0.0371, 91.81
652.0, 0.0371, 91.82
653.0, 0.0369, 91.85
654.0, 0.0368, 91.87
655.0, 0.0366, 91.93
656.0, 0.0364, 91.96
657.0, 0.0362, 92.01
658.0, 0.0360, 92.04
659.0, 0.0357, 92.11
660.0, 0.0357, 92.12
661.0, 0.0355, 92.14
662.0, 0.0353, 92.19
