Sample Name, Sample-37
Time, February 13 17:23:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9205, 12.01
231.0, 0.9164, 12.12
232.0, 0.9131, 12.21
233.0, 0.9093, 12.32
234.0, 0.9055, 12.43
235.0, 0.9021, 12.53
236.0, 0.8991, 12.62
237.0, 0.8961, 12.70
238.0, 0.8940, 12.76
239.0, 0.8922, 12.82
240.0, 0.8903, 12.87
241.0, 0.8893, 12.90
242.0, 0.8886, 12.92
243.0, 0.8881, 12.94
244.0, 0.8876, 12.95
245.0, 0.8878, 12.95
246.0, 0.8883, 12.93
247.0, 0.8892, 12.91
248.0, 0.8906, 12.86
249.0, 0.8924, 12.81
250.0, 0.8944, 12.75
251.0, 0.8967, 12.68
252.0, 0.8993, 12.61
253.0, 0.9015, 12.55
254.0, 0.9042, 12.47
255.0, 0.9060, 12.42
256.0, 0.9085, 12.34
257.0, 0.9100, 12.30
258.0, 0.9111, 12.27
259.0, 0.9129, 12.22
260.0, 0.9138, 12.20
261.0, 0.9135, 12.20
262.0, 0.9127, 12.23
263.0, 0.9112, 12.27
264.0, 0.9087, 12.34
265.0, 0.9052, 12.44
266.0, 0.9007, 12.57
267.0, 0.8960, 12.71
268.0, 0.8905, 12.87
269.0, 0.8836, 13.07
270.0, 0.8748, 13.34
271.0, 0.8655, 13.63
272.0, 0.8552, 13.96
273.0, 0.8444, 14.31
274.0, 0.8323, 14.71
275.0, 0.8197, 15.15
276.0, 0.8063, 15.62
277.0, 0.7932, 16.10
278.0, 0.7807, 16.57
279.0, 0.7682, 17.05
280.0, 0.7553, 17.57
281.0, 0.7423, 18.10
282.0, 0.7276, 18.72
283.0, 0.7146, 19.30
284.0, 0.7012, 19.90
285.0, 0.6885, 20.49
286.0, 0.6762, 21.08
287.0, 0.6635, 21.70
288.0, 0.6515, 22.31
289.0, 0.6404, 22.89
290.0, 0.6302, 23.43
291.0, 0.6213, 23.92
292.0, 0.6125, 24.40
293.0, 0.6036, 24.91
294.0, 0.5946, 25.43
295.0, 0.5861, 25.93
296.0, 0.5785, 26.39
297.0, 0.5717, 26.81
298.0, 0.5677, 27.06
299.0, 0.5571, 27.73
300.0, 0.5503, 28.16
301.0, 0.5446, 28.53
302.0, 0.5392, 28.89
303.0, 0.5343, 29.22
304.0, 0.5290, 29.58
305.0, 0.5237, 29.94
306.0, 0.5187, 30.29
307.0, 0.5135, 30.65
308.0, 0.5085, 31.01
309.0, 0.5034, 31.38
310.0, 0.4983, 31.75
311.0, 0.4933, 32.11
312.0, 0.4884, 32.48
313.0, 0.4834, 32.86
314.0, 0.4791, 33.18
315.0, 0.4749, 33.51
316.0, 0.4703, 33.86
317.0, 0.4654, 34.24
318.0, 0.4605, 34.64
319.0, 0.4556, 35.03
320.0, 0.4509, 35.41
321.0, 0.4459, 35.82
322.0, 0.4412, 36.21
323.0, 0.4363, 36.62
324.0, 0.4317, 37.00
325.0, 0.4272, 37.40
326.0, 0.4232, 37.74
327.0, 0.4194, 38.07
328.0, 0.4150, 38.46
329.0, 0.4110, 38.81
330.0, 0.4084, 39.05
331.0, 0.4018, 39.65
332.0, 0.3977, 40.02
333.0, 0.3934, 40.42
334.0, 0.3894, 40.80
335.0, 0.3855, 41.16
336.0, 0.3818, 41.51
337.0, 0.3784, 41.84
338.0, 0.3749, 42.18
339.0, 0.3730, 42.36
340.0, 0.3612, 43.53
341.0, 0.3587, 43.78
342.0, 0.3558, 44.08
343.0, 0.3532, 44.34
344.0, 0.3501, 44.66
345.0, 0.3476, 44.92
346.0, 0.3450, 45.18
347.0, 0.3417, 45.53
348.0, 0.3399, 45.72
349.0, 0.3373, 45.99
350.0, 0.3347, 46.27
351.0, 0.3325, 46.51
352.0, 0.3299, 46.78
353.0, 0.3279, 47.00
354.0, 0.3255, 47.26
355.0, 0.3223, 47.61
356.0, 0.3194, 47.92
357.0, 0.3171, 48.18
358.0, 0.3142, 48.51
359.0, 0.3116, 48.79
360.0, 0.3089, 49.10
361.0, 0.3066, 49.37
362.0, 0.3037, 49.69
363.0, 0.3012, 49.98
364.0, 0.2985, 50.29
365.0, 0.2953, 50.66
366.0, 0.2924, 51.01
367.0, 0.2898, 51.31
368.0, 0.2867, 51.68
369.0, 0.2834, 52.07
370.0, 0.2817, 52.28
371.0, 0.2799, 52.49
372.0, 0.2771, 52.83
373.0, 0.2742, 53.19
374.0, 0.2714, 53.52
375.0, 0.2692, 53.81
376.0, 0.2665, 54.14
