Sample Name, Sample-59
Time, February 05 13:00:39 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6724, 21.26
231.0, 0.6665, 21.55
232.0, 0.6609, 21.83
233.0, 0.6549, 22.13
234.0, 0.6487, 22.46
235.0, 0.6424, 22.78
236.0, 0.6365, 23.10
237.0, 0.6305, 23.41
238.0, 0.6247, 23.73
239.0, 0.6191, 24.04
240.0, 0.6134, 24.36
241.0, 0.6080, 24.66
242.0, 0.6031, 24.94
243.0, 0.5983, 25.22
244.0, 0.5931, 25.52
245.0, 0.5880, 25.82
246.0, 0.5828, 26.14
247.0, 0.5777, 26.45
248.0, 0.5727, 26.75
249.0, 0.5681, 27.04
250.0, 0.5633, 27.34
251.0, 0.5588, 27.62
252.0, 0.5544, 27.90
253.0, 0.5502, 28.17
254.0, 0.5463, 28.42
255.0, 0.5431, 28.63
256.0, 0.5396, 28.87
257.0, 0.5363, 29.09
258.0, 0.5341, 29.23
259.0, 0.5282, 29.63
260.0, 0.5246, 29.88
261.0, 0.5211, 30.12
262.0, 0.5178, 30.35
263.0, 0.5145, 30.59
264.0, 0.5110, 30.83
265.0, 0.5080, 31.05
266.0, 0.5050, 31.26
267.0, 0.5020, 31.47
268.0, 0.4992, 31.68
269.0, 0.4964, 31.89
270.0, 0.4935, 32.10
271.0, 0.4906, 32.32
272.0, 0.4875, 32.55
273.0, 0.4847, 32.75
274.0, 0.4820, 32.96
275.0, 0.4792, 33.17
276.0, 0.4765, 33.38
277.0, 0.4736, 33.61
278.0, 0.4710, 33.81
279.0, 0.4682, 34.02
280.0, 0.4657, 34.22
281.0, 0.4627, 34.46
282.0, 0.4595, 34.72
283.0, 0.4557, 35.02
284.0, 0.4524, 35.28
285.0, 0.4488, 35.58
286.0, 0.4453, 35.87
287.0, 0.4415, 36.18
288.0, 0.4377, 36.50
289.0, 0.4344, 36.78
290.0, 0.4308, 37.09
291.0, 0.4272, 37.39
292.0, 0.4241, 37.66
293.0, 0.4203, 37.99
294.0, 0.4166, 38.32
295.0, 0.4126, 38.67
296.0, 0.4090, 38.99
297.0, 0.4058, 39.28
298.0, 0.4041, 39.43
299.0, 0.3984, 39.95
300.0, 0.3950, 40.27
301.0, 0.3917, 40.58
302.0, 0.3886, 40.87
303.0, 0.3855, 41.16
304.0, 0.3827, 41.43
305.0, 0.3796, 41.73
306.0, 0.3762, 42.05
307.0, 0.3729, 42.38
308.0, 0.3693, 42.72
309.0, 0.3662, 43.04
310.0, 0.3629, 43.36
311.0, 0.3595, 43.70
312.0, 0.3561, 44.05
313.0, 0.3530, 44.36
314.0, 0.3499, 44.67
315.0, 0.3470, 44.98
316.0, 0.3440, 45.29
317.0, 0.3410, 45.60
318.0, 0.3375, 45.98
319.0, 0.3338, 46.37
320.0, 0.3303, 46.74
321.0, 0.3271, 47.09
322.0, 0.3237, 47.46
323.0, 0.3202, 47.84
324.0, 0.3167, 48.23
325.0, 0.3133, 48.60
326.0, 0.3101, 48.97
327.0, 0.3071, 49.30
