Sample Name, Sample-153
Time, February 05 19:00:30 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1058, 7.84
231.0, 1.0957, 8.02
232.0, 1.0858, 8.21
233.0, 1.0740, 8.43
234.0, 1.0604, 8.70
235.0, 1.0467, 8.98
236.0, 1.0334, 9.26
237.0, 1.0188, 9.58
238.0, 1.0045, 9.90
239.0, 0.9896, 10.24
240.0, 0.9743, 10.61
241.0, 0.9593, 10.98
242.0, 0.9456, 11.34
243.0, 0.9320, 11.70
244.0, 0.9190, 12.05
245.0, 0.9056, 12.43
246.0, 0.8910, 12.85
247.0, 0.8779, 13.25
248.0, 0.8656, 13.63
249.0, 0.8532, 14.02
250.0, 0.8415, 14.40
251.0, 0.8300, 14.79
252.0, 0.8189, 15.18
253.0, 0.8085, 15.54
254.0, 0.7987, 15.90
255.0, 0.7894, 16.24
256.0, 0.7801, 16.59
257.0, 0.7710, 16.94
258.0, 0.7651, 17.17
259.0, 0.7478, 17.87
260.0, 0.7368, 18.33
261.0, 0.7257, 18.81
262.0, 0.7144, 19.30
263.0, 0.7021, 19.86
264.0, 0.6898, 20.42
265.0, 0.6783, 20.98
266.0, 0.6666, 21.55
267.0, 0.6552, 22.12
268.0, 0.6439, 22.70
269.0, 0.6321, 23.33
270.0, 0.6191, 24.04
271.0, 0.6068, 24.73
272.0, 0.5943, 25.45
273.0, 0.5824, 26.16
274.0, 0.5711, 26.85
275.0, 0.5598, 27.56
276.0, 0.5489, 28.26
277.0, 0.5389, 28.91
278.0, 0.5297, 29.54
279.0, 0.5210, 30.13
280.0, 0.5127, 30.71
281.0, 0.5038, 31.35
282.0, 0.4944, 32.04
283.0, 0.4855, 32.69
284.0, 0.4769, 33.35
285.0, 0.4683, 34.02
286.0, 0.4605, 34.64
287.0, 0.4526, 35.27
288.0, 0.4449, 35.90
289.0, 0.4379, 36.49
290.0, 0.4310, 37.06
