Sample Name, Sample-64
Time, February 05 13:13:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5246, 29.88
231.0, 0.5204, 30.17
232.0, 0.5160, 30.48
233.0, 0.5117, 30.78
234.0, 0.5070, 31.12
235.0, 0.5026, 31.43
236.0, 0.4985, 31.74
237.0, 0.4942, 32.05
238.0, 0.4902, 32.34
239.0, 0.4861, 32.65
240.0, 0.4820, 32.96
241.0, 0.4782, 33.25
242.0, 0.4748, 33.51
243.0, 0.4715, 33.77
244.0, 0.4680, 34.04
245.0, 0.4645, 34.32
246.0, 0.4610, 34.60
247.0, 0.4575, 34.88
248.0, 0.4543, 35.14
249.0, 0.4509, 35.41
250.0, 0.4479, 35.65
251.0, 0.4449, 35.90
252.0, 0.4421, 36.13
253.0, 0.4391, 36.38
254.0, 0.4366, 36.59
255.0, 0.4341, 36.81
256.0, 0.4319, 36.99
257.0, 0.4295, 37.19
258.0, 0.4281, 37.31
259.0, 0.4239, 37.68
260.0, 0.4214, 37.90
261.0, 0.4190, 38.10
262.0, 0.4165, 38.33
263.0, 0.4139, 38.56
264.0, 0.4115, 38.77
265.0, 0.4091, 38.99
266.0, 0.4067, 39.20
267.0, 0.4044, 39.41
268.0, 0.4023, 39.60
269.0, 0.3999, 39.82
270.0, 0.3974, 40.05
271.0, 0.3951, 40.26
272.0, 0.3924, 40.51
273.0, 0.3899, 40.75
274.0, 0.3874, 40.99
275.0, 0.3849, 41.22
276.0, 0.3821, 41.48
277.0, 0.3796, 41.73
278.0, 0.3772, 41.95
279.0, 0.3748, 42.19
280.0, 0.3726, 42.41
281.0, 0.3697, 42.68
282.0, 0.3669, 42.96
283.0, 0.3637, 43.29
284.0, 0.3606, 43.60
285.0, 0.3574, 43.91
286.0, 0.3542, 44.23
287.0, 0.3508, 44.58
288.0, 0.3477, 44.91
289.0, 0.3447, 45.21
290.0, 0.3415, 45.55
291.0, 0.3384, 45.87
292.0, 0.3356, 46.18
293.0, 0.3327, 46.49
294.0, 0.3295, 46.83
