Sample Name, Sample-159
Time, February 05 19:13:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1016, 7.91
231.0, 1.0929, 8.08
232.0, 1.0835, 8.25
233.0, 1.0714, 8.48
234.0, 1.0589, 8.73
235.0, 1.0462, 8.99
236.0, 1.0327, 9.27
237.0, 1.0184, 9.58
238.0, 1.0040, 9.91
239.0, 0.9896, 10.24
240.0, 0.9746, 10.60
241.0, 0.9599, 10.97
242.0, 0.9470, 11.30
243.0, 0.9339, 11.64
244.0, 0.9216, 11.98
245.0, 0.9089, 12.33
246.0, 0.8956, 12.72
247.0, 0.8831, 13.09
248.0, 0.8712, 13.45
249.0, 0.8602, 13.80
250.0, 0.8494, 14.14
251.0, 0.8387, 14.50
252.0, 0.8284, 14.84
253.0, 0.8184, 15.19
254.0, 0.8097, 15.50
255.0, 0.8011, 15.81
256.0, 0.7929, 16.11
257.0, 0.7844, 16.43
258.0, 0.7791, 16.63
259.0, 0.7629, 17.26
260.0, 0.7529, 17.67
261.0, 0.7421, 18.11
262.0, 0.7312, 18.57
263.0, 0.7201, 19.05
264.0, 0.7088, 19.55
265.0, 0.6981, 20.04
266.0, 0.6878, 20.52
267.0, 0.6775, 21.01
268.0, 0.6674, 21.51
269.0, 0.6565, 22.06
270.0, 0.6449, 22.65
271.0, 0.6341, 23.22
272.0, 0.6233, 23.81
273.0, 0.6129, 24.38
274.0, 0.6034, 24.92
275.0, 0.5931, 25.52
276.0, 0.5834, 26.10
277.0, 0.5744, 26.64
278.0, 0.5662, 27.15
279.0, 0.5585, 27.64
280.0, 0.5509, 28.13
281.0, 0.5429, 28.65
282.0, 0.5343, 29.22
283.0, 0.5257, 29.81
284.0, 0.5178, 30.35
285.0, 0.5096, 30.93
286.0, 0.5016, 31.51
287.0, 0.4939, 32.07
288.0, 0.4864, 32.63
289.0, 0.4795, 33.15
290.0, 0.4727, 33.67
291.0, 0.4668, 34.14
292.0, 0.4606, 34.62
293.0, 0.4547, 35.10
294.0, 0.4484, 35.62
295.0, 0.4424, 36.11
296.0, 0.4366, 36.59
297.0, 0.4314, 37.03
298.0, 0.4286, 37.28
299.0, 0.4201, 38.01
300.0, 0.4150, 38.46
301.0, 0.4100, 38.90
302.0, 0.4057, 39.29
303.0, 0.4016, 39.66
304.0, 0.3973, 40.06
305.0, 0.3930, 40.46
306.0, 0.3884, 40.89
307.0, 0.3838, 41.32
308.0, 0.3794, 41.75
309.0, 0.3751, 42.16
310.0, 0.3709, 42.57
311.0, 0.3664, 43.02
312.0, 0.3621, 43.44
313.0, 0.3581, 43.84
314.0, 0.3539, 44.27
315.0, 0.3503, 44.64
316.0, 0.3463, 45.05
317.0, 0.3422, 45.48
318.0, 0.3377, 45.95
319.0, 0.3332, 46.43
320.0, 0.3288, 46.91
321.0, 0.3244, 47.38
322.0, 0.3199, 47.87
323.0, 0.3151, 48.41
324.0, 0.3106, 48.91
325.0, 0.3061, 49.42
326.0, 0.3018, 49.91
327.0, 0.2978, 50.37
328.0, 0.2937, 50.86
329.0, 0.2894, 51.35
330.0, 0.2869, 51.66
331.0, 0.2792, 52.58
332.0, 0.2743, 53.18
333.0, 0.2697, 53.75
334.0, 0.2649, 54.34
335.0, 0.2601, 54.94
336.0, 0.2557, 55.50
337.0, 0.2514, 56.06
338.0, 0.2473, 56.59
339.0, 0.2438, 57.04
340.0, 0.2149, 60.97
341.0, 0.2124, 61.32
342.0, 0.2101, 61.65
343.0, 0.2072, 62.06
344.0, 0.2052, 62.34
345.0, 0.2026, 62.72
346.0, 0.2000, 63.09
347.0, 0.1980, 63.39
348.0, 0.1958, 63.71
349.0, 0.1937, 64.02
350.0, 0.1916, 64.33
351.0, 0.1894, 64.65
352.0, 0.1874, 64.96
353.0, 0.1847, 65.36
354.0, 0.1820, 65.76
355.0, 0.1794, 66.17
356.0, 0.1766, 66.60
357.0, 0.1739, 67.00
358.0, 0.1712, 67.42
359.0, 0.1688, 67.80
360.0, 0.1664, 68.18
361.0, 0.1639, 68.57
362.0, 0.1615, 68.95
363.0, 0.1593, 69.30
364.0, 0.1571, 69.65
365.0, 0.1546, 70.05
366.0, 0.1521, 70.45
367.0, 0.1494, 70.89
368.0, 0.1466, 71.35
369.0, 0.1441, 71.76
370.0, 0.1432, 71.91
371.0, 0.1438, 71.81
372.0, 0.1415, 72.19
373.0, 0.1397, 72.49
374.0, 0.1378, 72.80
375.0, 0.1363, 73.07
376.0, 0.1346, 73.35
377.0, 0.1327, 73.67
378.0, 0.1308, 73.99
379.0, 0.1292, 74.27
380.0, 0.1271, 74.63
381.0, 0.1255, 74.91
382.0, 0.1239, 75.17
383.0, 0.1222, 75.47
384.0, 0.1215, 75.59
385.0, 0.1191, 76.02
386.0, 0.1177, 76.26
387.0, 0.1162, 76.53
388.0, 0.1148, 76.77
389.0, 0.1135, 76.99
390.0, 0.1119, 77.28
391.0, 0.1105, 77.54
392.0, 0.1090, 77.80
393.0, 0.1076, 78.06
394.0, 0.1063, 78.29
395.0, 0.1050, 78.52
396.0, 0.1036, 78.78
397.0, 0.1024, 79.00
398.0, 0.1014, 79.17
399.0, 0.1002, 79.40
400.0, 0.0991, 79.60
401.0, 0.0981, 79.78
402.0, 0.0967, 80.04
403.0, 0.0957, 80.22
404.0, 0.0944, 80.46
405.0, 0.0934, 80.66
406.0, 0.0923, 80.85
407.0, 0.0914, 81.03
408.0, 0.0904, 81.21
409.0, 0.0894, 81.40
410.0, 0.0885, 81.57
411.0, 0.0876, 81.73
412.0, 0.0868, 81.89
413.0, 0.0860, 82.04
414.0, 0.0851, 82.20
415.0, 0.0843, 82.35
416.0, 0.0834, 82.53
417.0, 0.0826, 82.67
418.0, 0.0819, 82.80
419.0, 0.0812, 82.95
420.0, 0.0805, 83.08
421.0, 0.0799, 83.20
422.0, 0.0792, 83.32
423.0, 0.0786, 83.45
424.0, 0.0780, 83.56
425.0, 0.0774, 83.68
426.0, 0.0768, 83.80
427.0, 0.0761, 83.92
428.0, 0.0755, 84.04
429.0, 0.0749, 84.15
430.0, 0.0744, 84.26
431.0, 0.0737, 84.39
432.0, 0.0732, 84.49
433.0, 0.0726, 84.60
434.0, 0.0722, 84.68
435.0, 0.0718, 84.77
436.0, 0.0712, 84.87
437.0, 0.0708, 84.95
438.0, 0.0704, 85.04
439.0, 0.0700, 85.11
440.0, 0.0695, 85.22
441.0, 0.0691, 85.29
442.0, 0.0687, 85.36
443.0, 0.0683, 85.45
444.0, 0.0680, 85.51
445.0, 0.0675, 85.61
446.0, 0.0672, 85.66
447.0, 0.0669, 85.72
448.0, 0.0666, 85.77
449.0, 0.0666, 85.79
450.0, 0.0663, 85.84
451.0, 0.0655, 86.01
452.0, 0.0649, 86.13
453.0, 0.0645, 86.19
454.0, 0.0641, 86.29
455.0, 0.0637, 86.36
456.0, 0.0632, 86.46
457.0, 0.0628, 86.54
