Sample Name, Sample-44
Time, February 13 17:44:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0473, 8.97
231.0, 1.0404, 9.11
232.0, 1.0329, 9.27
233.0, 1.0248, 9.45
234.0, 1.0167, 9.62
235.0, 1.0090, 9.79
236.0, 1.0013, 9.97
237.0, 0.9941, 10.14
238.0, 0.9875, 10.29
239.0, 0.9805, 10.46
240.0, 0.9741, 10.62
241.0, 0.9678, 10.77
242.0, 0.9619, 10.92
243.0, 0.9562, 11.06
244.0, 0.9508, 11.20
245.0, 0.9450, 11.35
246.0, 0.9390, 11.51
247.0, 0.9331, 11.67
248.0, 0.9268, 11.84
249.0, 0.9215, 11.98
250.0, 0.9155, 12.15
251.0, 0.9100, 12.30
252.0, 0.9047, 12.45
253.0, 0.8987, 12.63
254.0, 0.8942, 12.76
255.0, 0.8892, 12.91
256.0, 0.8841, 13.06
257.0, 0.8790, 13.21
258.0, 0.8758, 13.31
259.0, 0.8669, 13.59
260.0, 0.8611, 13.77
261.0, 0.8552, 13.96
262.0, 0.8491, 14.16
263.0, 0.8432, 14.35
264.0, 0.8367, 14.57
265.0, 0.8304, 14.78
266.0, 0.8245, 14.98
267.0, 0.8189, 15.17
268.0, 0.8132, 15.38
269.0, 0.8073, 15.59
270.0, 0.8004, 15.83
271.0, 0.7937, 16.08
272.0, 0.7872, 16.32
273.0, 0.7805, 16.58
274.0, 0.7739, 16.83
275.0, 0.7665, 17.12
276.0, 0.7600, 17.38
277.0, 0.7531, 17.66
278.0, 0.7465, 17.92
279.0, 0.7402, 18.19
280.0, 0.7342, 18.44
281.0, 0.7274, 18.73
282.0, 0.7198, 19.07
283.0, 0.7125, 19.39
284.0, 0.7055, 19.70
285.0, 0.6984, 20.03
286.0, 0.6914, 20.35
287.0, 0.6841, 20.70
288.0, 0.6766, 21.06
289.0, 0.6694, 21.41
290.0, 0.6629, 21.73
291.0, 0.6565, 22.05
292.0, 0.6502, 22.38
293.0, 0.6434, 22.73
294.0, 0.6367, 23.08
295.0, 0.6300, 23.44
296.0, 0.6233, 23.81
297.0, 0.6174, 24.13
298.0, 0.6140, 24.32
299.0, 0.6039, 24.89
300.0, 0.5975, 25.27
301.0, 0.5913, 25.62
302.0, 0.5859, 25.95
303.0, 0.5808, 26.26
304.0, 0.5747, 26.62
305.0, 0.5689, 26.98
306.0, 0.5628, 27.37
307.0, 0.5565, 27.76
308.0, 0.5505, 28.15
309.0, 0.5445, 28.54
310.0, 0.5384, 28.95
311.0, 0.5326, 29.34
312.0, 0.5265, 29.75
313.0, 0.5205, 30.17
314.0, 0.5149, 30.56
315.0, 0.5095, 30.94
316.0, 0.5041, 31.33
317.0, 0.4981, 31.76
318.0, 0.4916, 32.24
319.0, 0.4857, 32.68
320.0, 0.4796, 33.14
321.0, 0.4737, 33.60
322.0, 0.4678, 34.06
323.0, 0.4618, 34.53
324.0, 0.4557, 35.02
325.0, 0.4501, 35.48
326.0, 0.4447, 35.92
327.0, 0.4397, 36.33
328.0, 0.4344, 36.78
329.0, 0.4294, 37.20
330.0, 0.4264, 37.46
331.0, 0.4176, 38.23
332.0, 0.4124, 38.69
333.0, 0.4069, 39.19
334.0, 0.4020, 39.63
335.0, 0.3969, 40.10
336.0, 0.3922, 40.53
337.0, 0.3876, 40.97
338.0, 0.3833, 41.37
339.0, 0.3808, 41.61
340.0, 0.3681, 42.85
341.0, 0.3636, 43.29
342.0, 0.3600, 43.65
343.0, 0.3562, 44.04
344.0, 0.3527, 44.39
345.0, 0.3486, 44.81
346.0, 0.3451, 45.18
347.0, 0.3420, 45.50
348.0, 0.3383, 45.89
349.0, 0.3352, 46.22
350.0, 0.3323, 46.52
351.0, 0.3290, 46.88
352.0, 0.3258, 47.23
353.0, 0.3226, 47.58
354.0, 0.3193, 47.95
355.0, 0.3161, 48.29
356.0, 0.3128, 48.66
357.0, 0.3093, 49.06
358.0, 0.3057, 49.47
359.0, 0.3022, 49.87
360.0, 0.2989, 50.24
361.0, 0.2958, 50.61
362.0, 0.2929, 50.94
363.0, 0.2896, 51.33
364.0, 0.2865, 51.70
365.0, 0.2826, 52.16
366.0, 0.2794, 52.55
367.0, 0.2763, 52.93
368.0, 0.2729, 53.35
369.0, 0.2697, 53.74
370.0, 0.2679, 53.97
371.0, 0.2647, 54.36
372.0, 0.2615, 54.76
373.0, 0.2585, 55.14
374.0, 0.2555, 55.53
375.0, 0.2529, 55.86
376.0, 0.2502, 56.20
377.0, 0.2473, 56.59
378.0, 0.2441, 57.01
379.0, 0.2410, 57.41
380.0, 0.2379, 57.83
381.0, 0.2349, 58.23
382.0, 0.2321, 58.60
383.0, 0.2295, 58.95
384.0, 0.2281, 59.14
385.0, 0.2238, 59.74
386.0, 0.2213, 60.08
387.0, 0.2186, 60.45
388.0, 0.2165, 60.75
389.0, 0.2140, 61.09
390.0, 0.2114, 61.46
391.0, 0.2087, 61.84
392.0, 0.2064, 62.18
393.0, 0.2040, 62.52
394.0, 0.2017, 62.85
395.0, 0.1994, 63.18
396.0, 0.1974, 63.48
397.0, 0.1951, 63.81
398.0, 0.1932, 64.10
399.0, 0.1913, 64.37
400.0, 0.1895, 64.64
401.0, 0.1876, 64.93
402.0, 0.1855, 65.24
403.0, 0.1836, 65.53
404.0, 0.1814, 65.85
405.0, 0.1799, 66.09
406.0, 0.1781, 66.36
407.0, 0.1762, 66.65
408.0, 0.1745, 66.91
409.0, 0.1729, 67.16
410.0, 0.1713, 67.40
411.0, 0.1696, 67.67
412.0, 0.1683, 67.88
413.0, 0.1668, 68.11
414.0, 0.1651, 68.37
415.0, 0.1637, 68.60
416.0, 0.1621, 68.84
417.0, 0.1607, 69.08
418.0, 0.1591, 69.32
419.0, 0.1575, 69.59
420.0, 0.1560, 69.82
421.0, 0.1546, 70.04
422.0, 0.1533, 70.26
423.0, 0.1521, 70.45
424.0, 0.1508, 70.66
425.0, 0.1496, 70.86
426.0, 0.1481, 71.10
427.0, 0.1469, 71.30
428.0, 0.1453, 71.57
429.0, 0.1442, 71.75
430.0, 0.1429, 71.97
431.0, 0.1414, 72.20
432.0, 0.1402, 72.41
433.0, 0.1389, 72.62
434.0, 0.1377, 72.82
435.0, 0.1366, 73.01
436.0, 0.1356, 73.18
437.0, 0.1343, 73.40
438.0, 0.1331, 73.60
439.0, 0.1319, 73.80
440.0, 0.1307, 74.01
441.0, 0.1296, 74.20
442.0, 0.1286, 74.37
443.0, 0.1276, 74.55
444.0, 0.1264, 74.76
445.0, 0.1252, 74.95
446.0, 0.1244, 75.10
447.0, 0.1233, 75.29
448.0, 0.1227, 75.38
449.0, 0.1217, 75.56
450.0, 0.1212, 75.65
451.0, 0.1196, 75.92
452.0, 0.1188, 76.06
453.0, 0.1180, 76.21
454.0, 0.1171, 76.37
455.0, 0.1163, 76.51
456.0, 0.1154, 76.67
457.0, 0.1146, 76.80
458.0, 0.1139, 76.94
459.0, 0.1132, 77.05
460.0, 0.1124, 77.20
461.0, 0.1117, 77.32
462.0, 0.1107, 77.49
463.0, 0.1101, 77.61
464.0, 0.1094, 77.73
465.0, 0.1085, 77.89
466.0, 0.1078, 78.01
467.0, 0.1071, 78.14
468.0, 0.1062, 78.31
469.0, 0.1054, 78.46
470.0, 0.1047, 78.59
471.0, 0.1040, 78.71
472.0, 0.1032, 78.85
473.0, 0.1024, 78.99
474.0, 0.1014, 79.17
475.0, 0.1010, 79.24
476.0, 0.0997, 79.49
477.0, 0.0989, 79.63
478.0, 0.0982, 79.76
479.0, 0.0972, 79.94
