Sample Name, Sample-42
Time, February 13 17:39:23 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5727, 26.75
231.0, 0.5684, 27.01
232.0, 0.5641, 27.28
233.0, 0.5592, 27.60
234.0, 0.5541, 27.92
235.0, 0.5493, 28.23
236.0, 0.5448, 28.52
237.0, 0.5406, 28.80
238.0, 0.5367, 29.06
239.0, 0.5329, 29.32
240.0, 0.5292, 29.57
241.0, 0.5258, 29.80
242.0, 0.5224, 30.03
243.0, 0.5195, 30.23
244.0, 0.5165, 30.44
245.0, 0.5133, 30.67
246.0, 0.5099, 30.91
247.0, 0.5067, 31.14
248.0, 0.5035, 31.37
249.0, 0.5007, 31.57
250.0, 0.4976, 31.80
251.0, 0.4945, 32.03
252.0, 0.4917, 32.23
253.0, 0.4887, 32.45
254.0, 0.4861, 32.65
255.0, 0.4836, 32.84
256.0, 0.4808, 33.05
257.0, 0.4779, 33.27
258.0, 0.4763, 33.40
259.0, 0.4716, 33.76
260.0, 0.4687, 33.98
261.0, 0.4657, 34.23
262.0, 0.4624, 34.48
263.0, 0.4591, 34.75
264.0, 0.4558, 35.01
265.0, 0.4523, 35.29
266.0, 0.4490, 35.56
267.0, 0.4460, 35.81
268.0, 0.4430, 36.05
269.0, 0.4395, 36.35
270.0, 0.4360, 36.65
271.0, 0.4323, 36.95
272.0, 0.4288, 37.26
273.0, 0.4252, 37.57
274.0, 0.4213, 37.90
275.0, 0.4174, 38.25
276.0, 0.4137, 38.58
277.0, 0.4098, 38.92
278.0, 0.4061, 39.25
279.0, 0.4026, 39.57
280.0, 0.3991, 39.90
281.0, 0.3951, 40.26
282.0, 0.3911, 40.64
283.0, 0.3873, 40.99
284.0, 0.3831, 41.39
285.0, 0.3792, 41.77
286.0, 0.3751, 42.16
287.0, 0.3712, 42.54
288.0, 0.3673, 42.93
289.0, 0.3633, 43.32
290.0, 0.3596, 43.69
291.0, 0.3560, 44.05
292.0, 0.3526, 44.40
293.0, 0.3490, 44.77
294.0, 0.3453, 45.15
295.0, 0.3416, 45.54
296.0, 0.3381, 45.91
297.0, 0.3347, 46.27
298.0, 0.3328, 46.47
299.0, 0.3274, 47.05
300.0, 0.3239, 47.44
301.0, 0.3205, 47.81
302.0, 0.3176, 48.13
303.0, 0.3148, 48.44
304.0, 0.3116, 48.80
305.0, 0.3083, 49.17
306.0, 0.3052, 49.52
307.0, 0.3018, 49.91
308.0, 0.2985, 50.29
309.0, 0.2952, 50.68
310.0, 0.2918, 51.07
311.0, 0.2887, 51.44
312.0, 0.2854, 51.83
313.0, 0.2821, 52.23
314.0, 0.2792, 52.57
315.0, 0.2763, 52.93
316.0, 0.2733, 53.30
317.0, 0.2700, 53.70
318.0, 0.2667, 54.12
319.0, 0.2634, 54.53
320.0, 0.2602, 54.93
321.0, 0.2570, 55.34
322.0, 0.2538, 55.75
323.0, 0.2505, 56.17
324.0, 0.2472, 56.60
325.0, 0.2441, 57.01
326.0, 0.2412, 57.39
327.0, 0.2383, 57.77
328.0, 0.2355, 58.14
329.0, 0.2329, 58.49
330.0, 0.2311, 58.73
331.0, 0.2266, 59.34
332.0, 0.2238, 59.73
333.0, 0.2207, 60.15
334.0, 0.2180, 60.53
335.0, 0.2156, 60.88
336.0, 0.2129, 61.26
337.0, 0.2103, 61.62
338.0, 0.2080, 61.94
339.0, 0.2068, 62.11
340.0, 0.2005, 63.03
341.0, 0.1984, 63.34
342.0, 0.1958, 63.71
343.0, 0.1936, 64.04
344.0, 0.1916, 64.33
345.0, 0.1893, 64.68
346.0, 0.1874, 64.95
347.0, 0.1858, 65.19
348.0, 0.1841, 65.45
349.0, 0.1823, 65.72
350.0, 0.1808, 65.95
351.0, 0.1789, 66.24
352.0, 0.1772, 66.50
353.0, 0.1754, 66.77
354.0, 0.1734, 67.07
355.0, 0.1718, 67.33
356.0, 0.1698, 67.64
357.0, 0.1682, 67.89
358.0, 0.1663, 68.18
359.0, 0.1645, 68.47
360.0, 0.1626, 68.78
361.0, 0.1611, 69.01
362.0, 0.1595, 69.27
363.0, 0.1577, 69.55
364.0, 0.1561, 69.80
365.0, 0.1540, 70.14
366.0, 0.1524, 70.41
367.0, 0.1508, 70.67
368.0, 0.1489, 70.97
369.0, 0.1471, 71.27
370.0, 0.1460, 71.45
371.0, 0.1441, 71.77
372.0, 0.1422, 72.07
373.0, 0.1403, 72.39
374.0, 0.1391, 72.59
375.0, 0.1377, 72.82
376.0, 0.1359, 73.13
377.0, 0.1345, 73.37
378.0, 0.1327, 73.67
379.0, 0.1310, 73.96
380.0, 0.1293, 74.25
381.0, 0.1279, 74.49
382.0, 0.1262, 74.78
383.0, 0.1247, 75.04
384.0, 0.1239, 75.18
385.0, 0.1217, 75.55
386.0, 0.1202, 75.82
387.0, 0.1188, 76.07
388.0, 0.1176, 76.28
389.0, 0.1162, 76.53
390.0, 0.1148, 76.78
391.0, 0.1133, 77.03
392.0, 0.1123, 77.21
393.0, 0.1109, 77.47
394.0, 0.1096, 77.70
395.0, 0.1085, 77.89
396.0, 0.1072, 78.12
397.0, 0.1062, 78.30
398.0, 0.1052, 78.50
399.0, 0.1041, 78.69
400.0, 0.1032, 78.85
401.0, 0.1022, 79.02
402.0, 0.1011, 79.23
403.0, 0.1000, 79.43
404.0, 0.0988, 79.65
405.0, 0.0981, 79.79
406.0, 0.0971, 79.96
407.0, 0.0961, 80.15
408.0, 0.0952, 80.32
409.0, 0.0943, 80.48
410.0, 0.0934, 80.64
411.0, 0.0927, 80.78
412.0, 0.0918, 80.95
413.0, 0.0910, 81.09
414.0, 0.0901, 81.27
415.0, 0.0894, 81.39
416.0, 0.0885, 81.56
417.0, 0.0877, 81.72
