Sample Name, Sample-41
Time, February 13 17:34:32 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4552, 0.35
231.0, 2.4583, 0.35
232.0, 2.4550, 0.35
233.0, 2.4628, 0.34
234.0, 2.4699, 0.34
235.0, 2.4688, 0.34
236.0, 2.4557, 0.35
237.0, 2.4639, 0.34
238.0, 2.4607, 0.35
239.0, 2.4548, 0.35
240.0, 2.4497, 0.36
241.0, 2.4374, 0.37
242.0, 2.4311, 0.37
243.0, 2.4272, 0.37
244.0, 2.4150, 0.38
245.0, 2.4033, 0.40
246.0, 2.3911, 0.41
247.0, 2.3797, 0.42
248.0, 2.3733, 0.42
249.0, 2.3762, 0.42
250.0, 2.3542, 0.44
251.0, 2.3527, 0.44
252.0, 2.3400, 0.46
253.0, 2.3254, 0.47
254.0, 2.3159, 0.48
255.0, 2.3015, 0.50
256.0, 2.2968, 0.50
257.0, 2.2857, 0.52
258.0, 2.2812, 0.52
259.0, 2.2619, 0.55
260.0, 2.2498, 0.56
261.0, 2.2381, 0.58
262.0, 2.2288, 0.59
263.0, 2.2135, 0.61
264.0, 2.2084, 0.62
265.0, 2.1908, 0.64
266.0, 2.1812, 0.66
267.0, 2.1714, 0.67
268.0, 2.1569, 0.70
269.0, 2.1515, 0.71
270.0, 2.1376, 0.73
271.0, 2.1242, 0.75
272.0, 2.1096, 0.78
273.0, 2.1002, 0.79
274.0, 2.0890, 0.81
275.0, 2.0748, 0.84
276.0, 2.0638, 0.86
277.0, 2.0562, 0.88
278.0, 2.0530, 0.89
279.0, 2.0377, 0.92
280.0, 2.0293, 0.93
281.0, 2.0176, 0.96
282.0, 2.0074, 0.98
283.0, 1.9962, 1.01
284.0, 1.9844, 1.04
285.0, 1.9682, 1.08
286.0, 1.9521, 1.12
287.0, 1.9385, 1.15
288.0, 1.9286, 1.18
289.0, 1.9109, 1.23
290.0, 1.9018, 1.25
291.0, 1.8915, 1.28
292.0, 1.8771, 1.33
293.0, 1.8654, 1.36
294.0, 1.8524, 1.40
295.0, 1.8361, 1.46
296.0, 1.8247, 1.50
297.0, 1.8147, 1.53
298.0, 1.8047, 1.57
299.0, 1.7827, 1.65
300.0, 1.7666, 1.71
301.0, 1.7553, 1.76
302.0, 1.7397, 1.82
303.0, 1.7278, 1.87
304.0, 1.7165, 1.92
305.0, 1.7032, 1.98
306.0, 1.6860, 2.06
307.0, 1.6703, 2.14
308.0, 1.6563, 2.21
309.0, 1.6412, 2.28
310.0, 1.6238, 2.38
311.0, 1.6096, 2.46
312.0, 1.5941, 2.55
313.0, 1.5791, 2.64
314.0, 1.5659, 2.72
315.0, 1.5529, 2.80
316.0, 1.5370, 2.90
317.0, 1.5201, 3.02
318.0, 1.5030, 3.14
319.0, 1.4875, 3.25
320.0, 1.4712, 3.38
321.0, 1.4547, 3.51
322.0, 1.4402, 3.63
323.0, 1.4220, 3.78
324.0, 1.4050, 3.94
325.0, 1.3916, 4.06
326.0, 1.3769, 4.20
327.0, 1.3638, 4.33
328.0, 1.3490, 4.48
329.0, 1.3346, 4.63
330.0, 1.3250, 4.73
331.0, 1.3028, 4.98
332.0, 1.2861, 5.18
333.0, 1.2729, 5.33
334.0, 1.2586, 5.51
335.0, 1.2439, 5.70
336.0, 1.2306, 5.88
337.0, 1.2173, 6.06
338.0, 1.2042, 6.25
339.0, 1.1934, 6.41
340.0, 1.1081, 7.80
341.0, 1.1007, 7.93
342.0, 1.0933, 8.07
343.0, 1.0878, 8.17
344.0, 1.0799, 8.32
345.0, 1.0721, 8.47
346.0, 1.0654, 8.60
347.0, 1.0574, 8.76
348.0, 1.0508, 8.90
349.0, 1.0422, 9.07
350.0, 1.0369, 9.18
351.0, 1.0287, 9.36
352.0, 1.0225, 9.49
353.0, 1.0141, 9.68
