Sample Name, Sample-139
Time, February 05 18:31:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1228, 7.54
231.0, 1.1102, 7.76
232.0, 1.0981, 7.98
233.0, 1.0825, 8.27
234.0, 1.0672, 8.57
235.0, 1.0513, 8.89
236.0, 1.0361, 9.20
237.0, 1.0206, 9.54
238.0, 1.0050, 9.88
239.0, 0.9892, 10.25
240.0, 0.9734, 10.63
241.0, 0.9586, 11.00
242.0, 0.9447, 11.36
243.0, 0.9312, 11.72
244.0, 0.9184, 12.07
245.0, 0.9053, 12.44
246.0, 0.8919, 12.83
247.0, 0.8790, 13.21
248.0, 0.8671, 13.58
249.0, 0.8553, 13.95
250.0, 0.8442, 14.32
251.0, 0.8332, 14.68
252.0, 0.8227, 15.04
253.0, 0.8126, 15.40
254.0, 0.8030, 15.74
255.0, 0.7941, 16.07
256.0, 0.7847, 16.42
257.0, 0.7753, 16.77
258.0, 0.7696, 17.00
259.0, 0.7523, 17.69
260.0, 0.7412, 18.15
261.0, 0.7299, 18.62
262.0, 0.7186, 19.12
263.0, 0.7070, 19.63
264.0, 0.6951, 20.18
265.0, 0.6833, 20.74
266.0, 0.6718, 21.29
267.0, 0.6612, 21.82
268.0, 0.6504, 22.37
269.0, 0.6390, 22.96
270.0, 0.6269, 23.61
271.0, 0.6153, 24.25
272.0, 0.6043, 24.87
273.0, 0.5933, 25.51
274.0, 0.5823, 26.17
275.0, 0.5721, 26.78
276.0, 0.5624, 27.39
277.0, 0.5526, 28.01
278.0, 0.5446, 28.54
279.0, 0.5364, 29.08
280.0, 0.5286, 29.61
281.0, 0.5202, 30.19
282.0, 0.5113, 30.81
283.0, 0.5027, 31.43
284.0, 0.4944, 32.03
285.0, 0.4865, 32.62
286.0, 0.4785, 33.23
287.0, 0.4710, 33.81
288.0, 0.4633, 34.41
289.0, 0.4563, 34.97
290.0, 0.4501, 35.47
291.0, 0.4443, 35.95
292.0, 0.4383, 36.45
293.0, 0.4323, 36.96
294.0, 0.4261, 37.49
295.0, 0.4205, 37.97
296.0, 0.4149, 38.46
297.0, 0.4099, 38.91
298.0, 0.4072, 39.15
299.0, 0.3994, 39.87
300.0, 0.3943, 40.34
301.0, 0.3897, 40.76
302.0, 0.3854, 41.18
303.0, 0.3815, 41.54
304.0, 0.3775, 41.92
305.0, 0.3733, 42.33
306.0, 0.3690, 42.75
307.0, 0.3648, 43.17
308.0, 0.3606, 43.59
309.0, 0.3566, 43.99
310.0, 0.3525, 44.41
311.0, 0.3482, 44.85
312.0, 0.3439, 45.30
313.0, 0.3397, 45.74
314.0, 0.3360, 46.13
315.0, 0.3321, 46.55
316.0, 0.3283, 46.96
317.0, 0.3240, 47.43
318.0, 0.3192, 47.95
319.0, 0.3144, 48.48
320.0, 0.3098, 49.00
321.0, 0.3052, 49.52
322.0, 0.3005, 50.06
323.0, 0.2956, 50.63
324.0, 0.2906, 51.22
325.0, 0.2859, 51.77
326.0, 0.2810, 52.36
327.0, 0.2766, 52.90
328.0, 0.2721, 53.44
329.0, 0.2678, 53.98
330.0, 0.2650, 54.32
331.0, 0.2562, 55.44
332.0, 0.2511, 56.09
333.0, 0.2457, 56.79
334.0, 0.2403, 57.51
335.0, 0.2352, 58.18
336.0, 0.2301, 58.87
337.0, 0.2254, 59.52
338.0, 0.2210, 60.12
339.0, 0.2175, 60.61
340.0, 0.1975, 63.46
341.0, 0.1944, 63.91
342.0, 0.1909, 64.44
343.0, 0.1878, 64.89
344.0, 0.1848, 65.34
345.0, 0.1817, 65.82
346.0, 0.1780, 66.38
347.0, 0.1746, 66.90
348.0, 0.1716, 67.35
349.0, 0.1686, 67.83
350.0, 0.1659, 68.25
351.0, 0.1631, 68.69
352.0, 0.1605, 69.11
353.0, 0.1574, 69.61
354.0, 0.1542, 70.11
355.0, 0.1508, 70.66
356.0, 0.1480, 71.12
357.0, 0.1449, 71.63
358.0, 0.1418, 72.15
359.0, 0.1391, 72.60
360.0, 0.1367, 73.00
361.0, 0.1343, 73.40
362.0, 0.1318, 73.82
363.0, 0.1297, 74.18
364.0, 0.1276, 74.55
365.0, 0.1255, 74.91
366.0, 0.1228, 75.37
367.0, 0.1202, 75.83
368.0, 0.1181, 76.18
369.0, 0.1160, 76.55
370.0, 0.1149, 76.75
371.0, 0.1109, 77.46
372.0, 0.1086, 77.87
373.0, 0.1063, 78.29
374.0, 0.1042, 78.67
375.0, 0.1020, 79.06
376.0, 0.1003, 79.38
377.0, 0.0980, 79.80
378.0, 0.0958, 80.20
379.0, 0.0938, 80.58
380.0, 0.0916, 80.98
381.0, 0.0899, 81.31
382.0, 0.0881, 81.64
383.0, 0.0863, 81.98
384.0, 0.0854, 82.14
385.0, 0.0828, 82.64
386.0, 0.0812, 82.95
387.0, 0.0795, 83.27
388.0, 0.0780, 83.56
389.0, 0.0764, 83.87
390.0, 0.0748, 84.18
391.0, 0.0734, 84.45
392.0, 0.0717, 84.78
393.0, 0.0702, 85.08
394.0, 0.0689, 85.33
395.0, 0.0675, 85.60
396.0, 0.0661, 85.88
397.0, 0.0649, 86.12
398.0, 0.0637, 86.37
399.0, 0.0624, 86.62
400.0, 0.0611, 86.87
401.0, 0.0601, 87.09
402.0, 0.0588, 87.34
403.0, 0.0576, 87.57
404.0, 0.0563, 87.84
405.0, 0.0554, 88.02
406.0, 0.0541, 88.29
407.0, 0.0530, 88.51
408.0, 0.0521, 88.69
409.0, 0.0511, 88.89
410.0, 0.0503, 89.07
411.0, 0.0494, 89.25
412.0, 0.0486, 89.41
413.0, 0.0477, 89.60
414.0, 0.0468, 89.79
415.0, 0.0459, 89.97
416.0, 0.0450, 90.15
417.0, 0.0444, 90.28
418.0, 0.0435, 90.47
419.0, 0.0428, 90.62
420.0, 0.0421, 90.76
421.0, 0.0414, 90.90
422.0, 0.0409, 91.01
423.0, 0.0403, 91.13
424.0, 0.0399, 91.23
425.0, 0.0394, 91.33
426.0, 0.0386, 91.49
427.0, 0.0380, 91.62
428.0, 0.0374, 91.75
429.0, 0.0368, 91.88
430.0, 0.0363, 91.97
431.0, 0.0358, 92.10
432.0, 0.0353, 92.19
433.0, 0.0348, 92.30
434.0, 0.0344, 92.39
435.0, 0.0341, 92.45
436.0, 0.0337, 92.53
437.0, 0.0333, 92.62
438.0, 0.0329, 92.70
439.0, 0.0326, 92.77
440.0, 0.0322, 92.86
441.0, 0.0319, 92.91
442.0, 0.0316, 92.98
443.0, 0.0313, 93.04
444.0, 0.0312, 93.07
445.0, 0.0309, 93.14
446.0, 0.0308, 93.16
447.0, 0.0306, 93.20
448.0, 0.0304, 93.25
449.0, 0.0303, 93.27
450.0, 0.0302, 93.28
451.0, 0.0293, 93.47
452.0, 0.0287, 93.60
453.0, 0.0284, 93.67
