Sample Name, Sample-48
Time, February 05 12:29:12 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5872, 2.59
231.0, 1.5894, 2.57
232.0, 1.5905, 2.57
233.0, 1.5913, 2.56
234.0, 1.5903, 2.57
235.0, 1.5885, 2.58
236.0, 1.5861, 2.59
237.0, 1.5818, 2.62
238.0, 1.5769, 2.65
239.0, 1.5720, 2.68
240.0, 1.5640, 2.73
241.0, 1.5573, 2.77
242.0, 1.5518, 2.81
243.0, 1.5429, 2.86
244.0, 1.5342, 2.92
245.0, 1.5266, 2.97
246.0, 1.5171, 3.04
247.0, 1.5069, 3.11
248.0, 1.4988, 3.17
249.0, 1.4890, 3.24
250.0, 1.4785, 3.32
251.0, 1.4694, 3.39
252.0, 1.4602, 3.47
253.0, 1.4495, 3.55
254.0, 1.4417, 3.62
255.0, 1.4334, 3.69
256.0, 1.4263, 3.75
257.0, 1.4168, 3.83
258.0, 1.4119, 3.87
259.0, 1.3974, 4.00
260.0, 1.3880, 4.09
261.0, 1.3785, 4.18
262.0, 1.3687, 4.28
263.0, 1.3589, 4.38
264.0, 1.3494, 4.47
265.0, 1.3396, 4.58
266.0, 1.3318, 4.66
267.0, 1.3237, 4.75
268.0, 1.3153, 4.84
269.0, 1.3075, 4.93
270.0, 1.2993, 5.02
271.0, 1.2908, 5.12
272.0, 1.2827, 5.22
273.0, 1.2751, 5.31
274.0, 1.2674, 5.40
275.0, 1.2597, 5.50
276.0, 1.2528, 5.59
277.0, 1.2457, 5.68
278.0, 1.2404, 5.75
279.0, 1.2347, 5.82
280.0, 1.2284, 5.91
281.0, 1.2219, 6.00
282.0, 1.2153, 6.09
283.0, 1.2075, 6.20
284.0, 1.2007, 6.30
285.0, 1.1928, 6.41
286.0, 1.1848, 6.53
287.0, 1.1781, 6.64
288.0, 1.1704, 6.76
289.0, 1.1626, 6.88
290.0, 1.1560, 6.98
291.0, 1.1502, 7.08
292.0, 1.1434, 7.19
293.0, 1.1378, 7.28
294.0, 1.1298, 7.42
295.0, 1.1223, 7.55
296.0, 1.1146, 7.68
297.0, 1.1077, 7.80
298.0, 1.1037, 7.88
299.0, 1.0921, 8.09
300.0, 1.0837, 8.25
301.0, 1.0761, 8.39
302.0, 1.0684, 8.54
303.0, 1.0614, 8.68
304.0, 1.0543, 8.82
305.0, 1.0466, 8.98
306.0, 1.0375, 9.17
307.0, 1.0294, 9.35
308.0, 1.0212, 9.52
309.0, 1.0129, 9.71
310.0, 1.0042, 9.90
311.0, 0.9957, 10.10
312.0, 0.9873, 10.30
313.0, 0.9787, 10.50
314.0, 0.9704, 10.71
315.0, 0.9626, 10.90
316.0, 0.9546, 11.10
317.0, 0.9465, 11.31
318.0, 0.9371, 11.56
319.0, 0.9276, 11.81
320.0, 0.9187, 12.06
321.0, 0.9100, 12.30
322.0, 0.9014, 12.55
323.0, 0.8922, 12.82
324.0, 0.8825, 13.11
325.0, 0.8734, 13.38
326.0, 0.8652, 13.64
327.0, 0.8570, 13.90
328.0, 0.8488, 14.16
329.0, 0.8412, 14.41
330.0, 0.8363, 14.58
331.0, 0.8213, 15.09
332.0, 0.8119, 15.42
333.0, 0.8035, 15.72
334.0, 0.7943, 16.06
335.0, 0.7858, 16.38
336.0, 0.7777, 16.68
337.0, 0.7699, 16.99
338.0, 0.7619, 17.30
339.0, 0.7537, 17.63
340.0, 0.6306, 23.41
341.0, 0.6312, 23.38
342.0, 0.6312, 23.38
343.0, 0.6303, 23.42
344.0, 0.6297, 23.46
345.0, 0.6298, 23.45
346.0, 0.6294, 23.47
347.0, 0.6291, 23.49
348.0, 0.6292, 23.48
349.0, 0.6286, 23.52
350.0, 0.6278, 23.56
351.0, 0.6272, 23.59
352.0, 0.6260, 23.66
353.0, 0.6230, 23.82
354.0, 0.6200, 23.99
355.0, 0.6164, 24.19
356.0, 0.6133, 24.36
357.0, 0.6093, 24.58
358.0, 0.6055, 24.80
359.0, 0.6014, 25.04
360.0, 0.5969, 25.30
361.0, 0.5923, 25.57
362.0, 0.5874, 25.86
363.0, 0.5828, 26.13
364.0, 0.5766, 26.51
365.0, 0.5710, 26.85
366.0, 0.5638, 27.30
367.0, 0.5565, 27.76
368.0, 0.5481, 28.30
369.0, 0.5403, 28.82
370.0, 0.5359, 29.12
371.0, 0.5669, 27.11
372.0, 0.5632, 27.34
373.0, 0.5600, 27.54
374.0, 0.5570, 27.73
375.0, 0.5539, 27.93
376.0, 0.5507, 28.14
377.0, 0.5476, 28.34
378.0, 0.5442, 28.57
379.0, 0.5407, 28.79
380.0, 0.5368, 29.05
381.0, 0.5338, 29.26
382.0, 0.5304, 29.48
383.0, 0.5274, 29.69
384.0, 0.5257, 29.80
385.0, 0.5200, 30.20
386.0, 0.5164, 30.45
387.0, 0.5130, 30.69
388.0, 0.5097, 30.92
389.0, 0.5063, 31.17
390.0, 0.5024, 31.45
391.0, 0.4988, 31.71
392.0, 0.4950, 31.99
393.0, 0.4912, 32.27
394.0, 0.4875, 32.54
395.0, 0.4837, 32.83
396.0, 0.4799, 33.12
397.0, 0.4765, 33.38
398.0, 0.4733, 33.63
399.0, 0.4698, 33.90
400.0, 0.4664, 34.16
401.0, 0.4628, 34.45
402.0, 0.4590, 34.75
403.0, 0.4555, 35.04
404.0, 0.4516, 35.35
405.0, 0.4481, 35.64
406.0, 0.4445, 35.93
