Sample Name, Sample-52
Time, February 05 12:39:20 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7604, 17.36
231.0, 0.7547, 17.59
232.0, 0.7492, 17.82
233.0, 0.7436, 18.05
234.0, 0.7375, 18.30
235.0, 0.7316, 18.55
236.0, 0.7265, 18.77
237.0, 0.7210, 19.01
238.0, 0.7156, 19.25
239.0, 0.7102, 19.49
240.0, 0.7048, 19.73
241.0, 0.6996, 19.97
242.0, 0.6946, 20.20
243.0, 0.6902, 20.41
244.0, 0.6857, 20.62
245.0, 0.6809, 20.85
246.0, 0.6760, 21.09
247.0, 0.6710, 21.33
248.0, 0.6661, 21.57
249.0, 0.6613, 21.81
250.0, 0.6569, 22.04
251.0, 0.6522, 22.27
252.0, 0.6479, 22.49
253.0, 0.6437, 22.71
254.0, 0.6401, 22.91
255.0, 0.6363, 23.10
256.0, 0.6324, 23.31
257.0, 0.6289, 23.50
258.0, 0.6266, 23.63
259.0, 0.6201, 23.98
260.0, 0.6160, 24.21
261.0, 0.6122, 24.42
262.0, 0.6083, 24.64
263.0, 0.6043, 24.87
264.0, 0.6002, 25.11
265.0, 0.5961, 25.35
266.0, 0.5925, 25.56
267.0, 0.5892, 25.75
268.0, 0.5856, 25.96
269.0, 0.5822, 26.17
270.0, 0.5783, 26.41
271.0, 0.5744, 26.64
272.0, 0.5705, 26.89
273.0, 0.5668, 27.11
274.0, 0.5632, 27.34
275.0, 0.5596, 27.57
276.0, 0.5558, 27.81
277.0, 0.5521, 28.05
278.0, 0.5487, 28.27
279.0, 0.5455, 28.47
280.0, 0.5421, 28.70
281.0, 0.5383, 28.95
282.0, 0.5344, 29.21
283.0, 0.5300, 29.51
284.0, 0.5260, 29.79
285.0, 0.5217, 30.08
286.0, 0.5176, 30.37
287.0, 0.5129, 30.70
288.0, 0.5088, 30.99
289.0, 0.5046, 31.29
290.0, 0.5006, 31.58
291.0, 0.4970, 31.84
292.0, 0.4932, 32.12
293.0, 0.4892, 32.42
294.0, 0.4850, 32.73
295.0, 0.4811, 33.03
296.0, 0.4771, 33.34
297.0, 0.4735, 33.61
298.0, 0.4716, 33.76
299.0, 0.4652, 34.26
300.0, 0.4613, 34.57
301.0, 0.4573, 34.89
302.0, 0.4538, 35.17
303.0, 0.4507, 35.42
304.0, 0.4474, 35.69
305.0, 0.4437, 36.00
306.0, 0.4399, 36.32
307.0, 0.4360, 36.64
308.0, 0.4322, 36.96
309.0, 0.4285, 37.29
310.0, 0.4248, 37.61
311.0, 0.4208, 37.95
312.0, 0.4170, 38.28
313.0, 0.4131, 38.63
314.0, 0.4097, 38.93
315.0, 0.4063, 39.24
