Sample Name, Sample-147
Time, February 05 18:47:48 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.4396, 3.63
231.0, 1.4400, 3.63
232.0, 1.4388, 3.64
233.0, 1.4364, 3.66
234.0, 1.4341, 3.68
235.0, 1.4280, 3.73
236.0, 1.4210, 3.79
237.0, 1.4129, 3.86
238.0, 1.4039, 3.95
239.0, 1.3936, 4.04
240.0, 1.3822, 4.15
241.0, 1.3704, 4.26
242.0, 1.3584, 4.38
243.0, 1.3471, 4.50
244.0, 1.3349, 4.62
245.0, 1.3207, 4.78
246.0, 1.3071, 4.93
247.0, 1.2937, 5.09
248.0, 1.2801, 5.25
249.0, 1.2671, 5.41
250.0, 1.2547, 5.56
251.0, 1.2407, 5.75
252.0, 1.2281, 5.91
253.0, 1.2151, 6.09
254.0, 1.2035, 6.26
255.0, 1.1925, 6.42
256.0, 1.1801, 6.61
257.0, 1.1690, 6.78
258.0, 1.1620, 6.89
259.0, 1.1400, 7.24
260.0, 1.1263, 7.48
261.0, 1.1120, 7.73
262.0, 1.0966, 8.01
263.0, 1.0823, 8.27
264.0, 1.0666, 8.58
265.0, 1.0522, 8.87
266.0, 1.0376, 9.17
267.0, 1.0235, 9.47
268.0, 1.0097, 9.78
269.0, 0.9945, 10.13
270.0, 0.9780, 10.52
271.0, 0.9624, 10.90
272.0, 0.9465, 11.31
273.0, 0.9316, 11.71
274.0, 0.9172, 12.10
275.0, 0.9028, 12.51
276.0, 0.8883, 12.93
277.0, 0.8753, 13.33
278.0, 0.8632, 13.70
279.0, 0.8518, 14.07
280.0, 0.8408, 14.43
281.0, 0.8287, 14.84
282.0, 0.8160, 15.28
283.0, 0.8036, 15.72
284.0, 0.7915, 16.16
285.0, 0.7801, 16.59
286.0, 0.7693, 17.01
287.0, 0.7571, 17.50
288.0, 0.7461, 17.94
289.0, 0.7360, 18.37
290.0, 0.7267, 18.76
