Sample Name, Sample-38
Time, February 13 17:25:44 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4817, 0.33
231.0, 2.4923, 0.32
232.0, 2.4991, 0.32
233.0, 2.5010, 0.32
234.0, 2.5058, 0.31
235.0, 2.5132, 0.31
236.0, 2.5106, 0.31
237.0, 2.5061, 0.31
238.0, 2.5077, 0.31
239.0, 2.5045, 0.31
240.0, 2.5036, 0.31
241.0, 2.5025, 0.31
242.0, 2.5001, 0.32
243.0, 2.4935, 0.32
244.0, 2.4815, 0.33
245.0, 2.4697, 0.34
246.0, 2.4591, 0.35
247.0, 2.4532, 0.35
248.0, 2.4551, 0.35
249.0, 2.4294, 0.37
250.0, 2.4258, 0.38
251.0, 2.4163, 0.38
252.0, 2.4059, 0.39
253.0, 2.3995, 0.40
254.0, 2.3948, 0.40
255.0, 2.3806, 0.42
256.0, 2.3758, 0.42
257.0, 2.3571, 0.44
258.0, 2.3512, 0.45
259.0, 2.3446, 0.45
260.0, 2.3340, 0.46
261.0, 2.3229, 0.48
262.0, 2.3061, 0.49
263.0, 2.2950, 0.51
264.0, 2.2918, 0.51
265.0, 2.2760, 0.53
266.0, 2.2614, 0.55
267.0, 2.2543, 0.56
268.0, 2.2498, 0.56
269.0, 2.2406, 0.57
270.0, 2.2300, 0.59
271.0, 2.2197, 0.60
272.0, 2.2059, 0.62
273.0, 2.1937, 0.64
274.0, 2.1899, 0.65
275.0, 2.1818, 0.66
276.0, 2.1752, 0.67
277.0, 2.1716, 0.67
278.0, 2.1593, 0.69
279.0, 2.1573, 0.70
280.0, 2.1542, 0.70
281.0, 2.1511, 0.71
282.0, 2.1345, 0.73
283.0, 2.1289, 0.74
284.0, 2.1231, 0.75
285.0, 2.1167, 0.76
286.0, 2.1074, 0.78
287.0, 2.0998, 0.79
288.0, 2.0884, 0.82
289.0, 2.0808, 0.83
290.0, 2.0705, 0.85
291.0, 2.0613, 0.87
292.0, 2.0548, 0.88
293.0, 2.0452, 0.90
294.0, 2.0344, 0.92
295.0, 2.0216, 0.95
296.0, 2.0175, 0.96
297.0, 2.0102, 0.98
298.0, 1.9979, 1.00
299.0, 1.9879, 1.03
300.0, 1.9793, 1.05
301.0, 1.9621, 1.09
302.0, 1.9571, 1.10
303.0, 1.9427, 1.14
304.0, 1.9329, 1.17
305.0, 1.9174, 1.21
306.0, 1.9091, 1.23
307.0, 1.8969, 1.27
308.0, 1.8798, 1.32
309.0, 1.8661, 1.36
310.0, 1.8557, 1.39
311.0, 1.8406, 1.44
312.0, 1.8245, 1.50
313.0, 1.8160, 1.53
314.0, 1.8002, 1.58
315.0, 1.7872, 1.63
316.0, 1.7739, 1.68
317.0, 1.7591, 1.74
318.0, 1.7456, 1.80
319.0, 1.7305, 1.86
320.0, 1.7150, 1.93
321.0, 1.7003, 1.99
322.0, 1.6818, 2.08
323.0, 1.6654, 2.16
324.0, 1.6485, 2.25
325.0, 1.6330, 2.33
326.0, 1.6182, 2.41
327.0, 1.6039, 2.49
