# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
1	4089	2213	2738	2326	3124	1009	1438	848	1284	3794	1528	1824	2187	2736	1770	1126	1760	2194	3613	2865	2560	2820	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
2	4443	708	2069	1860	5880	2622	1990	1480	2536	2178	790	2357	1472	1446	589	2571	2605	2511	3765	2350	881	1577	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
3	3599	1031	2837	3207	1630	958	401	1305	1214	2156	1042	2248	2737	2176	697	2166	2497	2163	2811	1818	1689	1706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
4	1904	2827	2188	2360	1692	622	434	389	543	2628	718	2367	3019	788	1620	940	874	374	606	1086	2326	1369	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
5	958	885	1044	1183	1186	846	1598	795	1732	2589	566	1261	1591	541	1669	756	1719	1031	2297	688	1000	530	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
6	1729	1133	1606	2005	974	189	19	29	39	786	1472	2329	2879	983	359	112	98	15	41	1167	2878	735	k__Bacteria; p__Proteobacteria; c__Zetaproteobacteria; o__Mariprofundales; f__Mariprofundaceae; g__; s__
7	0	3733	108	279	0	0	0	0	0	0	3118	466	648	1426	4638	0	0	0	0	317	2021	1462	k__Bacteria; p__; c__; o__; f__; g__; s__
8	180	2400	1424	1386	0	0	0	0	0	292	1105	1512	1624	1140	1806	0	0	0	0	1182	2650	1261	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
9	856	455	434	359	958	1049	1542	790	1591	722	312	258	555	437	380	769	1453	405	928	542	515	480	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
10	173	1509	648	649	130	0	0	0	0	180	1034	906	1279	1264	2205	0	0	0	0	1247	1881	1235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
11	1373	76	362	263	1814	1073	910	431	885	745	119	244	224	329	93	1059	978	507	777	579	218	281	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
12	499	1100	553	398	1119	166	709	267	556	693	1117	343	368	727	323	363	812	318	404	744	779	881	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
13	575	51	0	0	1209	691	2501	381	783	653	60	0	0	61	209	1394	2473	104	413	0	0	73	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
14	391	0	55	0	586	1828	2008	955	1348	414	132	0	0	63	41	782	1476	401	940	52	0	40	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
15	302	847	1041	973	174	42	0	0	0	164	721	920	1220	333	1320	0	44	0	0	919	1647	370	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
16	257	908	602	472	176	46	188	0	0	513	384	567	723	290	295	122	103	54	129	1357	2870	680	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
17	533	134	238	233	756	1193	1305	481	1148	236	445	217	216	586	204	495	861	159	448	388	130	328	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
18	0	1423	863	914	14	0	0	0	0	0	1527	729	1302	343	559	0	0	0	0	433	1707	500	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
19	438	531	547	340	405	259	917	195	405	422	539	343	395	369	526	402	704	508	362	395	241	580	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
20	0	1328	425	460	0	0	0	0	0	0	1180	280	539	386	645	0	0	0	0	1004	2857	685	k__Bacteria; p__Actinobacteria
21	202	151	169	191	89	467	1371	357	1069	671	356	125	271	92	193	404	755	381	609	116	780	181	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
22	32	1199	236	375	98	24	138	53	138	675	866	475	610	338	1024	84	410	0	39	110	1010	842	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
23	34	910	331	1207	56	0	0	0	0	103	991	178	866	1664	44	0	0	0	0	643	945	748	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
24	484	399	788	374	222	228	389	183	188	606	543	216	275	526	270	381	472	277	189	508	456	736	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
25	175	598	558	678	40	0	2	0	6	307	1067	758	546	684	617	5	18	82	28	228	1423	864	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__versatilis
26	280	426	505	593	178	434	366	224	189	939	244	546	789	198	325	229	283	154	570	337	622	219	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium
27	0	1670	252	419	0	0	0	0	0	0	1443	378	1321	297	232	0	0	0	0	611	1692	335	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae
28	297	553	371	425	300	636	547	128	212	175	312	553	568	426	194	193	291	351	290	608	528	350	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
29	543	324	375	328	702	426	325	289	422	264	118	495	381	231	73	148	359	444	648	313	457	343	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae
30	272	1064	244	196	262	54	193	31	105	622	492	138	391	599	675	199	246	65	84	289	546	880	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
31	418	12	0	0	285	432	727	516	550	470	0	6	0	19	0	874	787	590	1729	29	10	139	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
32	0	637	30	59	63	0	0	0	0	51	2496	74	128	635	1385	0	0	0	0	173	975	694	k__Bacteria; p__AD3; c__; o__; f__; g__; s__
33	939	31	278	228	773	1160	414	295	361	356	37	126	187	31	0	395	498	210	514	286	164	61	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
34	496	211	839	709	184	192	142	93	156	241	105	771	272	100	205	201	356	393	414	622	320	269	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Rugosimonospora; s__acidiphila
35	11	749	652	479	4	0	0	0	0	18	427	730	712	494	324	0	0	0	0	796	1078	784	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
36	1214	166	521	545	565	51	371	43	140	552	0	907	296	18	36	316	461	32	407	54	203	223	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter; s__flavus
37	524	31	124	100	548	598	480	408	856	507	43	64	84	98	26	573	676	397	613	116	93	107	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
38	96	808	464	432	156	43	21	27	22	70	559	461	1296	391	216	112	80	262	184	472	411	412	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae
39	0	702	30	55	0	0	0	0	0	0	1303	11	27	2783	108	0	0	0	0	194	219	1349	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
40	373	814	250	176	427	95	309	7	40	961	464	157	294	199	471	287	402	0	0	36	406	526	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
