Sample Name, Sample-72
Time, February 05 15:16:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5240, 2.99
231.0, 1.5318, 2.94
232.0, 1.5368, 2.91
233.0, 1.5426, 2.87
234.0, 1.5471, 2.84
235.0, 1.5510, 2.81
236.0, 1.5538, 2.79
237.0, 1.5548, 2.79
238.0, 1.5526, 2.80
239.0, 1.5505, 2.82
240.0, 1.5475, 2.83
241.0, 1.5434, 2.86
242.0, 1.5394, 2.89
243.0, 1.5352, 2.92
244.0, 1.5276, 2.97
245.0, 1.5211, 3.01
246.0, 1.5131, 3.07
247.0, 1.5047, 3.13
248.0, 1.4968, 3.19
249.0, 1.4874, 3.26
250.0, 1.4796, 3.31
251.0, 1.4712, 3.38
252.0, 1.4628, 3.45
253.0, 1.4541, 3.51
254.0, 1.4463, 3.58
255.0, 1.4365, 3.66
256.0, 1.4280, 3.73
257.0, 1.4191, 3.81
258.0, 1.4143, 3.85
259.0, 1.3972, 4.01
260.0, 1.3860, 4.11
261.0, 1.3753, 4.21
262.0, 1.3653, 4.31
263.0, 1.3540, 4.43
264.0, 1.3435, 4.53
265.0, 1.3326, 4.65
266.0, 1.3223, 4.76
267.0, 1.3133, 4.86
268.0, 1.3039, 4.97
269.0, 1.2941, 5.08
270.0, 1.2830, 5.21
271.0, 1.2735, 5.33
272.0, 1.2641, 5.44
273.0, 1.2548, 5.56
274.0, 1.2460, 5.68
275.0, 1.2374, 5.79
276.0, 1.2280, 5.92
277.0, 1.2218, 6.00
278.0, 1.2136, 6.11
279.0, 1.2060, 6.22
280.0, 1.1992, 6.32
281.0, 1.1923, 6.42
282.0, 1.1846, 6.54
283.0, 1.1755, 6.68
284.0, 1.1664, 6.82
285.0, 1.1573, 6.96
286.0, 1.1494, 7.09
287.0, 1.1403, 7.24
288.0, 1.1322, 7.38
289.0, 1.1247, 7.50
290.0, 1.1172, 7.63
291.0, 1.1100, 7.76
292.0, 1.1031, 7.89
293.0, 1.0959, 8.02
294.0, 1.0884, 8.16
295.0, 1.0797, 8.32
296.0, 1.0722, 8.47
297.0, 1.0642, 8.63
298.0, 1.0605, 8.70
299.0, 1.0469, 8.98
300.0, 1.0378, 9.17
301.0, 1.0307, 9.32
302.0, 1.0233, 9.48
303.0, 1.0160, 9.64
304.0, 1.0084, 9.81
305.0, 1.0015, 9.97
306.0, 0.9933, 10.16
307.0, 0.9847, 10.36
308.0, 0.9767, 10.55
309.0, 0.9683, 10.76
310.0, 0.9602, 10.96
311.0, 0.9514, 11.18
312.0, 0.9440, 11.38
313.0, 0.9360, 11.59
314.0, 0.9291, 11.77
315.0, 0.9216, 11.98
316.0, 0.9141, 12.19
317.0, 0.9054, 12.43
318.0, 0.8968, 12.68
319.0, 0.8884, 12.93
320.0, 0.8794, 13.20
321.0, 0.8712, 13.45
322.0, 0.8616, 13.75
323.0, 0.8520, 14.06
324.0, 0.8423, 14.38
325.0, 0.8333, 14.68
326.0, 0.8250, 14.96
327.0, 0.8169, 15.24
328.0, 0.8089, 15.53
329.0, 0.8007, 15.82
330.0, 0.7951, 16.03
331.0, 0.7798, 16.60
332.0, 0.7688, 17.03
333.0, 0.7590, 17.42
334.0, 0.7488, 17.83
335.0, 0.7386, 18.26
336.0, 0.7282, 18.70
337.0, 0.7181, 19.14
338.0, 0.7084, 19.57
339.0, 0.6995, 19.98
340.0, 0.5532, 27.98
341.0, 0.5521, 28.05
342.0, 0.5514, 28.10
343.0, 0.5513, 28.10
344.0, 0.5503, 28.16
345.0, 0.5490, 28.25
