Sample Name, Sample-46
Time, February 13 17:51:55 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9075, 12.37
231.0, 0.9009, 12.56
232.0, 0.8947, 12.74
233.0, 0.8870, 12.97
234.0, 0.8792, 13.21
235.0, 0.8719, 13.43
236.0, 0.8646, 13.66
237.0, 0.8578, 13.87
238.0, 0.8513, 14.08
239.0, 0.8448, 14.29
240.0, 0.8383, 14.51
241.0, 0.8322, 14.72
242.0, 0.8266, 14.91
243.0, 0.8212, 15.09
244.0, 0.8159, 15.28
245.0, 0.8102, 15.48
246.0, 0.8046, 15.68
247.0, 0.7991, 15.88
248.0, 0.7938, 16.08
249.0, 0.7890, 16.26
250.0, 0.7840, 16.44
251.0, 0.7790, 16.63
252.0, 0.7742, 16.82
253.0, 0.7698, 16.99
254.0, 0.7657, 17.15
255.0, 0.7617, 17.31
256.0, 0.7578, 17.47
257.0, 0.7539, 17.62
258.0, 0.7515, 17.72
259.0, 0.7446, 18.01
260.0, 0.7404, 18.18
261.0, 0.7360, 18.36
262.0, 0.7316, 18.55
263.0, 0.7273, 18.74
264.0, 0.7225, 18.94
265.0, 0.7180, 19.14
266.0, 0.7138, 19.33
267.0, 0.7097, 19.51
268.0, 0.7056, 19.69
269.0, 0.7015, 19.88
270.0, 0.6968, 20.10
271.0, 0.6922, 20.31
272.0, 0.6876, 20.53
273.0, 0.6832, 20.74
274.0, 0.6785, 20.96
275.0, 0.6738, 21.19
276.0, 0.6689, 21.43
277.0, 0.6643, 21.66
278.0, 0.6598, 21.89
279.0, 0.6556, 22.10
280.0, 0.6512, 22.32
281.0, 0.6467, 22.56
282.0, 0.6414, 22.84
283.0, 0.6367, 23.08
284.0, 0.6317, 23.35
285.0, 0.6269, 23.61
286.0, 0.6221, 23.87
287.0, 0.6171, 24.15
288.0, 0.6120, 24.44
289.0, 0.6069, 24.73
290.0, 0.6025, 24.98
291.0, 0.5982, 25.22
292.0, 0.5937, 25.48
293.0, 0.5893, 25.75
294.0, 0.5843, 26.04
295.0, 0.5794, 26.34
296.0, 0.5748, 26.62
297.0, 0.5705, 26.89
298.0, 0.5681, 27.03
299.0, 0.5609, 27.49
300.0, 0.5561, 27.79
301.0, 0.5519, 28.06
302.0, 0.5478, 28.33
303.0, 0.5438, 28.59
304.0, 0.5396, 28.87
305.0, 0.5351, 29.17
306.0, 0.5306, 29.47
307.0, 0.5264, 29.76
