Sample Name, Sample-28
Time, February 05 11:39:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7194, 19.08
231.0, 0.7145, 19.30
232.0, 0.7096, 19.52
233.0, 0.7043, 19.75
234.0, 0.6986, 20.02
235.0, 0.6934, 20.26
236.0, 0.6883, 20.50
237.0, 0.6832, 20.74
238.0, 0.6783, 20.98
239.0, 0.6734, 21.21
240.0, 0.6685, 21.46
241.0, 0.6635, 21.70
242.0, 0.6589, 21.93
243.0, 0.6547, 22.14
244.0, 0.6505, 22.36
245.0, 0.6459, 22.60
246.0, 0.6412, 22.85
247.0, 0.6363, 23.10
248.0, 0.6317, 23.35
249.0, 0.6274, 23.59
250.0, 0.6229, 23.83
251.0, 0.6185, 24.07
252.0, 0.6144, 24.30
253.0, 0.6100, 24.55
254.0, 0.6064, 24.75
255.0, 0.6030, 24.95
256.0, 0.5993, 25.16
257.0, 0.5957, 25.37
258.0, 0.5937, 25.49
259.0, 0.5874, 25.86
260.0, 0.5835, 26.09
261.0, 0.5798, 26.32
262.0, 0.5761, 26.54
263.0, 0.5724, 26.77
264.0, 0.5684, 27.02
265.0, 0.5649, 27.23
266.0, 0.5613, 27.46
267.0, 0.5579, 27.67
268.0, 0.5549, 27.87
269.0, 0.5515, 28.08
270.0, 0.5480, 28.31
271.0, 0.5447, 28.53
272.0, 0.5409, 28.78
273.0, 0.5376, 29.00
274.0, 0.5342, 29.23
275.0, 0.5308, 29.46
276.0, 0.5273, 29.70
277.0, 0.5237, 29.94
278.0, 0.5205, 30.16
279.0, 0.5173, 30.39
280.0, 0.5142, 30.60
281.0, 0.5107, 30.85
282.0, 0.5070, 31.12
283.0, 0.5032, 31.39
284.0, 0.4993, 31.67
285.0, 0.4954, 31.96
286.0, 0.4917, 32.23
287.0, 0.4875, 32.55
288.0, 0.4835, 32.85
289.0, 0.4796, 33.14
290.0, 0.4759, 33.43
291.0, 0.4724, 33.70
292.0, 0.4687, 33.99
293.0, 0.4648, 34.29
294.0, 0.4610, 34.59
295.0, 0.4571, 34.91
296.0, 0.4535, 35.20
297.0, 0.4502, 35.47
298.0, 0.4482, 35.63
299.0, 0.4422, 36.13
300.0, 0.4384, 36.44
301.0, 0.4350, 36.73
302.0, 0.4317, 37.01
303.0, 0.4286, 37.27
304.0, 0.4255, 37.54
305.0, 0.4219, 37.85
306.0, 0.4183, 38.16
307.0, 0.4146, 38.50
308.0, 0.4112, 38.79
309.0, 0.4077, 39.11
310.0, 0.4039, 39.45
311.0, 0.4004, 39.78
312.0, 0.3968, 40.10
313.0, 0.3933, 40.43
314.0, 0.3901, 40.72
315.0, 0.3873, 40.99
316.0, 0.3841, 41.30
317.0, 0.3806, 41.63
318.0, 0.3768, 42.00
319.0, 0.3732, 42.34
320.0, 0.3696, 42.69
321.0, 0.3661, 43.04
322.0, 0.3627, 43.38
323.0, 0.3590, 43.75
324.0, 0.3553, 44.13
325.0, 0.3520, 44.47
326.0, 0.3487, 44.81
327.0, 0.3457, 45.12
328.0, 0.3425, 45.44
329.0, 0.3393, 45.78
330.0, 0.3374, 45.98
331.0, 0.3319, 46.57
332.0, 0.3285, 46.94
333.0, 0.3250, 47.32
334.0, 0.3219, 47.66
335.0, 0.3186, 48.02
336.0, 0.3153, 48.38
337.0, 0.3124, 48.71
338.0, 0.3096, 49.03
