Sample Name, Sample-119
Time, February 05 17:37:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.6975, 2.01
231.0, 1.7076, 1.96
232.0, 1.7106, 1.95
233.0, 1.7192, 1.91
234.0, 1.7225, 1.89
235.0, 1.7292, 1.87
236.0, 1.7298, 1.86
237.0, 1.7330, 1.85
238.0, 1.7310, 1.86
239.0, 1.7318, 1.85
240.0, 1.7296, 1.86
241.0, 1.7256, 1.88
242.0, 1.7216, 1.90
243.0, 1.7173, 1.92
244.0, 1.7124, 1.94
245.0, 1.7073, 1.96
246.0, 1.6990, 2.00
247.0, 1.6934, 2.03
248.0, 1.6850, 2.07
249.0, 1.6779, 2.10
250.0, 1.6708, 2.13
251.0, 1.6613, 2.18
252.0, 1.6546, 2.22
253.0, 1.6459, 2.26
254.0, 1.6393, 2.29
255.0, 1.6314, 2.34
256.0, 1.6257, 2.37
257.0, 1.6177, 2.41
258.0, 1.6127, 2.44
259.0, 1.5969, 2.53
260.0, 1.5881, 2.58
261.0, 1.5802, 2.63
262.0, 1.5714, 2.68
263.0, 1.5623, 2.74
264.0, 1.5511, 2.81
265.0, 1.5429, 2.86
266.0, 1.5353, 2.92
267.0, 1.5268, 2.97
268.0, 1.5200, 3.02
269.0, 1.5136, 3.06
270.0, 1.5065, 3.12
271.0, 1.4993, 3.17
272.0, 1.4916, 3.22
273.0, 1.4861, 3.26
274.0, 1.4816, 3.30
275.0, 1.4762, 3.34
276.0, 1.4711, 3.38
277.0, 1.4661, 3.42
278.0, 1.4626, 3.45
279.0, 1.4607, 3.46
280.0, 1.4570, 3.49
281.0, 1.4538, 3.52
282.0, 1.4515, 3.54
283.0, 1.4460, 3.58
284.0, 1.4434, 3.60
285.0, 1.4390, 3.64
286.0, 1.4351, 3.67
287.0, 1.4310, 3.71
288.0, 1.4270, 3.74
289.0, 1.4247, 3.76
290.0, 1.4213, 3.79
291.0, 1.4188, 3.81
292.0, 1.4180, 3.82
293.0, 1.4145, 3.85
294.0, 1.4120, 3.87
295.0, 1.4084, 3.90
296.0, 1.4055, 3.93
297.0, 1.4031, 3.95
298.0, 1.4000, 3.98
299.0, 1.3925, 4.05
300.0, 1.3877, 4.10
301.0, 1.3830, 4.14
302.0, 1.3782, 4.19
303.0, 1.3724, 4.24
304.0, 1.3675, 4.29
305.0, 1.3614, 4.35
306.0, 1.3571, 4.39
307.0, 1.3497, 4.47
308.0, 1.3435, 4.53
309.0, 1.3382, 4.59
310.0, 1.3326, 4.65
311.0, 1.3263, 4.72
312.0, 1.3193, 4.79
313.0, 1.3129, 4.86
314.0, 1.3055, 4.95
315.0, 1.2992, 5.02
316.0, 1.2938, 5.08
317.0, 1.2866, 5.17
318.0, 1.2800, 5.25
319.0, 1.2713, 5.35
320.0, 1.2646, 5.44
321.0, 1.2573, 5.53
322.0, 1.2499, 5.62
323.0, 1.2429, 5.72
324.0, 1.2344, 5.83
325.0, 1.2269, 5.93
326.0, 1.2198, 6.03
327.0, 1.2120, 6.14
328.0, 1.2050, 6.24
329.0, 1.1980, 6.34
330.0, 1.1933, 6.41
331.0, 1.1821, 6.58
332.0, 1.1735, 6.71
333.0, 1.1647, 6.84
334.0, 1.1564, 6.98
335.0, 1.1458, 7.15
336.0, 1.1373, 7.29
337.0, 1.1292, 7.43
338.0, 1.1204, 7.58
339.0, 1.1074, 7.81
340.0, 0.8534, 14.02
341.0, 0.8583, 13.86
342.0, 0.8636, 13.69
343.0, 0.8688, 13.53
344.0, 0.8744, 13.35
345.0, 0.8798, 13.19
346.0, 0.8843, 13.05
347.0, 0.8901, 12.88
348.0, 0.8951, 12.73
349.0, 0.8998, 12.60
350.0, 0.9046, 12.46
351.0, 0.9072, 12.38
352.0, 0.9087, 12.34
353.0, 0.9089, 12.33
354.0, 0.9074, 12.38
355.0, 0.9051, 12.44
356.0, 0.9022, 12.52
357.0, 0.8975, 12.66
358.0, 0.8919, 12.83
359.0, 0.8864, 12.99
360.0, 0.8811, 13.15
361.0, 0.8745, 13.35
362.0, 0.8673, 13.57
363.0, 0.8592, 13.83
364.0, 0.8497, 14.14
365.0, 0.8393, 14.48
366.0, 0.8263, 14.92
367.0, 0.8126, 15.39
368.0, 0.7981, 15.92
369.0, 0.7833, 16.47
370.0, 0.7740, 16.83
371.0, 0.8457, 14.27
372.0, 0.8406, 14.44
373.0, 0.8336, 14.67
374.0, 0.8279, 14.86
375.0, 0.8226, 15.05
376.0, 0.8172, 15.23
377.0, 0.8114, 15.44
378.0, 0.8050, 15.67
379.0, 0.7984, 15.91
380.0, 0.7912, 16.17
381.0, 0.7843, 16.43
382.0, 0.7780, 16.67
383.0, 0.7710, 16.94
384.0, 0.7674, 17.08
385.0, 0.7551, 17.58
386.0, 0.7479, 17.87
387.0, 0.7406, 18.17
388.0, 0.7334, 18.48
389.0, 0.7258, 18.80
390.0, 0.7177, 19.16
391.0, 0.7094, 19.53
392.0, 0.7008, 19.92
393.0, 0.6929, 20.28
394.0, 0.6846, 20.67
395.0, 0.6761, 21.08
396.0, 0.6678, 21.49
397.0, 0.6595, 21.90
398.0, 0.6520, 22.29
399.0, 0.6448, 22.66
400.0, 0.6365, 23.10
401.0, 0.6287, 23.51
402.0, 0.6207, 23.95
403.0, 0.6124, 24.41
404.0, 0.6043, 24.87
405.0, 0.5967, 25.31
406.0, 0.5888, 25.78
407.0, 0.5813, 26.23
408.0, 0.5735, 26.70
409.0, 0.5664, 27.14
410.0, 0.5598, 27.56
411.0, 0.5534, 27.97
412.0, 0.5467, 28.40
413.0, 0.5400, 28.84
414.0, 0.5328, 29.32
415.0, 0.5258, 29.80
416.0, 0.5189, 30.28
417.0, 0.5126, 30.72
418.0, 0.5062, 31.18
419.0, 0.4996, 31.65
420.0, 0.4931, 32.13
421.0, 0.4872, 32.57
422.0, 0.4817, 32.99
423.0, 0.4764, 33.39
424.0, 0.4708, 33.82
425.0, 0.4654, 34.25
426.0, 0.4593, 34.73
427.0, 0.4536, 35.19
428.0, 0.4481, 35.64
429.0, 0.4425, 36.10
430.0, 0.4372, 36.54
431.0, 0.4319, 36.99
432.0, 0.4265, 37.45
433.0, 0.4214, 37.90
434.0, 0.4167, 38.31
435.0, 0.4124, 38.69
436.0, 0.4081, 39.07
437.0, 0.4034, 39.50
438.0, 0.3984, 39.95
439.0, 0.3935, 40.41
440.0, 0.3887, 40.86
441.0, 0.3839, 41.32
442.0, 0.3790, 41.78
443.0, 0.3744, 42.22
444.0, 0.3700, 42.65
445.0, 0.3658, 43.07
446.0, 0.3618, 43.47
447.0, 0.3579, 43.86
448.0, 0.3542, 44.23
449.0, 0.3506, 44.61
450.0, 0.3484, 44.83
451.0, 0.3414, 45.57
452.0, 0.3378, 45.94
453.0, 0.3345, 46.29
454.0, 0.3310, 46.66
455.0, 0.3277, 47.02
456.0, 0.3246, 47.36
457.0, 0.3214, 47.71
458.0, 0.3183, 48.05
459.0, 0.3153, 48.39
460.0, 0.3124, 48.71
461.0, 0.3093, 49.05
462.0, 0.3061, 49.42
463.0, 0.3026, 49.82
464.0, 0.2995, 50.18
465.0, 0.2964, 50.54
466.0, 0.2933, 50.90
467.0, 0.2903, 51.26
468.0, 0.2871, 51.62
469.0, 0.2844, 51.96
470.0, 0.2814, 52.31
471.0, 0.2787, 52.64
472.0, 0.2761, 52.95
473.0, 0.2733, 53.29
474.0, 0.2706, 53.62
475.0, 0.2690, 53.83
476.0, 0.2642, 54.42
477.0, 0.2614, 54.78
478.0, 0.2586, 55.13
479.0, 0.2557, 55.50
480.0, 0.2528, 55.87
481.0, 0.2499, 56.25
482.0, 0.2475, 56.56
483.0, 0.2451, 56.87
484.0, 0.2429, 57.16
485.0, 0.2402, 57.52
486.0, 0.2376, 57.86
487.0, 0.2350, 58.21
488.0, 0.2324, 58.56
489.0, 0.2299, 58.89
490.0, 0.2275, 59.23
491.0, 0.2251, 59.56
492.0, 0.2226, 59.90
493.0, 0.2203, 60.21
494.0, 0.2183, 60.49
495.0, 0.2162, 60.79
496.0, 0.2143, 61.06
497.0, 0.2121, 61.36
498.0, 0.2098, 61.69
499.0, 0.2074, 62.04
500.0, 0.2051, 62.36
501.0, 0.2030, 62.66
502.0, 0.2008, 62.97
503.0, 0.1988, 63.27
504.0, 0.1969, 63.55
505.0, 0.1949, 63.84
506.0, 0.1930, 64.13
507.0, 0.1912, 64.38
508.0, 0.1895, 64.63
509.0, 0.1878, 64.89
510.0, 0.1859, 65.18
511.0, 0.1840, 65.46
512.0, 0.1820, 65.77
513.0, 0.1801, 66.06
514.0, 0.1784, 66.31
515.0, 0.1765, 66.60
516.0, 0.1748, 66.86
517.0, 0.1733, 67.10
518.0, 0.1716, 67.36
519.0, 0.1702, 67.58
520.0, 0.1689, 67.78
521.0, 0.1673, 68.03
522.0, 0.1655, 68.31
523.0, 0.1639, 68.56
524.0, 0.1623, 68.83
525.0, 0.1607, 69.07
526.0, 0.1592, 69.32
527.0, 0.1575, 69.58
528.0, 0.1559, 69.83
529.0, 0.1546, 70.05
530.0, 0.1532, 70.27
531.0, 0.1519, 70.49
532.0, 0.1508, 70.67
533.0, 0.1494, 70.89
534.0, 0.1479, 71.13
535.0, 0.1466, 71.36
536.0, 0.1451, 71.60
537.0, 0.1437, 71.83
538.0, 0.1423, 72.05
539.0, 0.1409, 72.29
540.0, 0.1396, 72.50
541.0, 0.1384, 72.72
542.0, 0.1372, 72.91
543.0, 0.1362, 73.08
544.0, 0.1351, 73.26
545.0, 0.1339, 73.47
546.0, 0.1332, 73.59
547.0, 0.1312, 73.92
548.0, 0.1300, 74.12
549.0, 0.1288, 74.33
550.0, 0.1276, 74.54
551.0, 0.1263, 74.77
552.0, 0.1250, 74.99
553.0, 0.1239, 75.18
554.0, 0.1230, 75.34
555.0, 0.1219, 75.52
556.0, 0.1211, 75.67
557.0, 0.1200, 75.85
558.0, 0.1190, 76.02
559.0, 0.1185, 76.13
560.0, 0.1166, 76.46
561.0, 0.1157, 76.61
562.0, 0.1148, 76.78
563.0, 0.1139, 76.93
564.0, 0.1129, 77.10
565.0, 0.1120, 77.26
566.0, 0.1112, 77.40
567.0, 0.1103, 77.56
568.0, 0.1095, 77.71
569.0, 0.1086, 77.87
570.0, 0.1077, 78.03
571.0, 0.1068, 78.19
572.0, 0.1059, 78.36
573.0, 0.1050, 78.52
574.0, 0.1041, 78.68
575.0, 0.1036, 78.79
576.0, 0.1019, 79.08
577.0, 0.1010, 79.25
578.0, 0.1002, 79.40
579.0, 0.0994, 79.54
580.0, 0.0987, 79.67
581.0, 0.0977, 79.86
582.0, 0.0970, 79.99
583.0, 0.0961, 80.15
584.0, 0.0955, 80.26
585.0, 0.0952, 80.32
586.0, 0.0932, 80.70
587.0, 0.0924, 80.83
588.0, 0.0917, 80.97
589.0, 0.0913, 81.03
590.0, 0.0902, 81.25
591.0, 0.0895, 81.37
592.0, 0.0889, 81.49
593.0, 0.0882, 81.62
594.0, 0.0876, 81.73
595.0, 0.0869, 81.87
596.0, 0.0862, 81.99
597.0, 0.0857, 82.09
598.0, 0.0849, 82.24
599.0, 0.0842, 82.38
600.0, 0.0834, 82.53
601.0, 0.0827, 82.65
602.0, 0.0821, 82.78
603.0, 0.0815, 82.88
604.0, 0.0809, 83.01
605.0, 0.0802, 83.14
606.0, 0.0797, 83.24
607.0, 0.0790, 83.36
608.0, 0.0783, 83.49
609.0, 0.0777, 83.61
610.0, 0.0771, 83.73
611.0, 0.0766, 83.84
612.0, 0.0759, 83.97
613.0, 0.0753, 84.09
614.0, 0.0747, 84.20
615.0, 0.0742, 84.29
616.0, 0.0737, 84.38
617.0, 0.0731, 84.50
618.0, 0.0727, 84.58
619.0, 0.0721, 84.71
620.0, 0.0715, 84.83
621.0, 0.0708, 84.96
622.0, 0.0703, 85.06
623.0, 0.0698, 85.16
624.0, 0.0692, 85.26
625.0, 0.0687, 85.36
626.0, 0.0683, 85.45
627.0, 0.0678, 85.55
628.0, 0.0673, 85.64
629.0, 0.0669, 85.73
630.0, 0.0663, 85.85
631.0, 0.0658, 85.94
632.0, 0.0653, 86.03
633.0, 0.0649, 86.13
634.0, 0.0644, 86.22
635.0, 0.0639, 86.32
636.0, 0.0633, 86.43
637.0, 0.0630, 86.50
638.0, 0.0628, 86.54
639.0, 0.0621, 86.68
640.0, 0.0618, 86.74
641.0, 0.0613, 86.84
642.0, 0.0609, 86.93
643.0, 0.0604, 87.02
644.0, 0.0600, 87.09
645.0, 0.0597, 87.16
646.0, 0.0593, 87.23
647.0, 0.0590, 87.30
648.0, 0.0586, 87.38
649.0, 0.0581, 87.47
650.0, 0.0577, 87.56
651.0, 0.0574, 87.62
652.0, 0.0572, 87.66
653.0, 0.0568, 87.73
654.0, 0.0564, 87.83
655.0, 0.0559, 87.92
656.0, 0.0556, 87.98
657.0, 0.0552, 88.06
658.0, 0.0549, 88.13
659.0, 0.0544, 88.22
660.0, 0.0542, 88.27
661.0, 0.0540, 88.32
662.0, 0.0535, 88.40
663.0, 0.0531, 88.48
664.0, 0.0527, 88.56
665.0, 0.0525, 88.61
666.0, 0.0522, 88.68
667.0, 0.0517, 88.77
668.0, 0.0515, 88.82
669.0, 0.0512, 88.89
670.0, 0.0508, 88.96
671.0, 0.0505, 89.03
672.0, 0.0501, 89.10
673.0, 0.0497, 89.19
674.0, 0.0494, 89.24
675.0, 0.0492, 89.29
676.0, 0.0489, 89.36
677.0, 0.0486, 89.40
678.0, 0.0483, 89.46
679.0, 0.0481, 89.53
680.0, 0.0477, 89.59
681.0, 0.0476, 89.63
682.0, 0.0472, 89.71
683.0, 0.0469, 89.77
684.0, 0.0466, 89.83
685.0, 0.0462, 89.90
686.0, 0.0460, 89.95
687.0, 0.0458, 89.98
688.0, 0.0456, 90.03
689.0, 0.0451, 90.13
690.0, 0.0448, 90.21
691.0, 0.0447, 90.22
692.0, 0.0444, 90.27
693.0, 0.0441, 90.34
694.0, 0.0438, 90.40
695.0, 0.0436, 90.45
696.0, 0.0432, 90.53
697.0, 0.0430, 90.57
698.0, 0.0428, 90.62
699.0, 0.0426, 90.65
700.0, 0.0425, 90.68
