Sample Name, Sample-11
Time, February 13 16:18:43 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.9244, 1.19
231.0, 1.9052, 1.24
232.0, 1.8890, 1.29
233.0, 1.8663, 1.36
234.0, 1.8473, 1.42
235.0, 1.8250, 1.50
236.0, 1.8045, 1.57
237.0, 1.7826, 1.65
238.0, 1.7632, 1.73
239.0, 1.7418, 1.81
240.0, 1.7197, 1.91
241.0, 1.6989, 2.00
242.0, 1.6807, 2.09
243.0, 1.6624, 2.18
244.0, 1.6453, 2.26
245.0, 1.6259, 2.37
246.0, 1.6052, 2.48
247.0, 1.5881, 2.58
248.0, 1.5703, 2.69
249.0, 1.5535, 2.80
250.0, 1.5365, 2.91
251.0, 1.5194, 3.02
252.0, 1.5035, 3.14
253.0, 1.4871, 3.26
254.0, 1.4733, 3.36
255.0, 1.4595, 3.47
256.0, 1.4457, 3.58
257.0, 1.4323, 3.70
258.0, 1.4239, 3.77
259.0, 1.4002, 3.98
260.0, 1.3850, 4.12
261.0, 1.3700, 4.27
262.0, 1.3562, 4.40
263.0, 1.3399, 4.57
264.0, 1.3251, 4.73
265.0, 1.3110, 4.89
266.0, 1.2965, 5.05
267.0, 1.2831, 5.21
268.0, 1.2691, 5.38
269.0, 1.2548, 5.56
270.0, 1.2396, 5.76
271.0, 1.2247, 5.96
272.0, 1.2100, 6.17
273.0, 1.1955, 6.38
274.0, 1.1813, 6.59
275.0, 1.1662, 6.82
276.0, 1.1509, 7.06
277.0, 1.1375, 7.29
278.0, 1.1249, 7.50
279.0, 1.1118, 7.73
280.0, 1.0988, 7.97
281.0, 1.0847, 8.23
282.0, 1.0709, 8.49
283.0, 1.0572, 8.77
284.0, 1.0436, 9.04
285.0, 1.0299, 9.34
286.0, 1.0167, 9.62
287.0, 1.0021, 9.95
288.0, 0.9891, 10.25
289.0, 0.9761, 10.57
290.0, 0.9639, 10.87
291.0, 0.9532, 11.14
292.0, 0.9421, 11.43
293.0, 0.9311, 11.72
294.0, 0.9194, 12.04
295.0, 0.9075, 12.37
296.0, 0.8967, 12.68
297.0, 0.8871, 12.97
298.0, 0.8817, 13.13
299.0, 0.8658, 13.62
300.0, 0.8560, 13.93
