Sample Name, Sample-57
Time, February 13 18:20:33 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7003, 19.94
231.0, 0.6960, 20.14
232.0, 0.6916, 20.34
233.0, 0.6860, 20.61
234.0, 0.6799, 20.90
235.0, 0.6737, 21.20
236.0, 0.6681, 21.47
237.0, 0.6628, 21.74
238.0, 0.6581, 21.97
239.0, 0.6537, 22.20
240.0, 0.6496, 22.41
241.0, 0.6459, 22.60
242.0, 0.6424, 22.78
243.0, 0.6392, 22.95
244.0, 0.6362, 23.11
245.0, 0.6332, 23.27
246.0, 0.6302, 23.43
247.0, 0.6274, 23.58
248.0, 0.6247, 23.73
249.0, 0.6223, 23.86
250.0, 0.6201, 23.98
251.0, 0.6178, 24.11
252.0, 0.6158, 24.22
253.0, 0.6139, 24.33
254.0, 0.6121, 24.43
255.0, 0.6105, 24.52
256.0, 0.6090, 24.60
257.0, 0.6071, 24.71
258.0, 0.6061, 24.77
259.0, 0.6033, 24.93
260.0, 0.6012, 25.05
261.0, 0.5993, 25.16
262.0, 0.5967, 25.31
263.0, 0.5942, 25.46
264.0, 0.5915, 25.62
265.0, 0.5881, 25.82
266.0, 0.5850, 26.00
267.0, 0.5819, 26.19
268.0, 0.5785, 26.40
269.0, 0.5742, 26.66
270.0, 0.5699, 26.92
271.0, 0.5654, 27.20
272.0, 0.5607, 27.50
273.0, 0.5557, 27.82
274.0, 0.5509, 28.12
275.0, 0.5457, 28.47
276.0, 0.5407, 28.79
277.0, 0.5354, 29.15
278.0, 0.5309, 29.45
279.0, 0.5262, 29.77
280.0, 0.5213, 30.11
281.0, 0.5161, 30.47
282.0, 0.5104, 30.88
283.0, 0.5051, 31.25
284.0, 0.4998, 31.64
285.0, 0.4948, 32.01
286.0, 0.4896, 32.39
287.0, 0.4847, 32.75
288.0, 0.4796, 33.14
289.0, 0.4749, 33.51
290.0, 0.4705, 33.84
291.0, 0.4661, 34.19
292.0, 0.4619, 34.52
293.0, 0.4573, 34.89
294.0, 0.4528, 35.25
295.0, 0.4484, 35.62
296.0, 0.4442, 35.96
297.0, 0.4404, 36.27
298.0, 0.4379, 36.48
299.0, 0.4314, 37.03
300.0, 0.4273, 37.38
301.0, 0.4236, 37.70
302.0, 0.4203, 37.99
303.0, 0.4170, 38.29
304.0, 0.4136, 38.58
305.0, 0.4099, 38.91
306.0, 0.4065, 39.22
307.0, 0.4028, 39.56
308.0, 0.3993, 39.88
309.0, 0.3957, 40.20
310.0, 0.3922, 40.53
311.0, 0.3888, 40.85
312.0, 0.3853, 41.18
313.0, 0.3820, 41.49
314.0, 0.3790, 41.78
315.0, 0.3757, 42.10
316.0, 0.3728, 42.39
317.0, 0.3693, 42.73
318.0, 0.3656, 43.09
319.0, 0.3620, 43.45
320.0, 0.3588, 43.78
321.0, 0.3553, 44.12
322.0, 0.3520, 44.46
323.0, 0.3487, 44.81
324.0, 0.3450, 45.19
325.0, 0.3417, 45.53
326.0, 0.3385, 45.86
327.0, 0.3354, 46.20
328.0, 0.3324, 46.51
329.0, 0.3292, 46.86
330.0, 0.3273, 47.06
331.0, 0.3220, 47.65
332.0, 0.3189, 47.98
333.0, 0.3155, 48.36
334.0, 0.3124, 48.71
335.0, 0.3090, 49.09
336.0, 0.3062, 49.41
337.0, 0.3032, 49.75
338.0, 0.3007, 50.04
339.0, 0.2988, 50.26
340.0, 0.2900, 51.28
341.0, 0.2878, 51.55
342.0, 0.2847, 51.92
343.0, 0.2823, 52.20
344.0, 0.2795, 52.54
345.0, 0.2767, 52.89
346.0, 0.2744, 53.16
347.0, 0.2721, 53.45
348.0, 0.2695, 53.77
349.0, 0.2669, 54.08
350.0, 0.2651, 54.31
351.0, 0.2627, 54.61
352.0, 0.2608, 54.85
353.0, 0.2585, 55.15
354.0, 0.2557, 55.50
355.0, 0.2531, 55.83
356.0, 0.2509, 56.11
357.0, 0.2489, 56.37
358.0, 0.2464, 56.71
359.0, 0.2436, 57.07
360.0, 0.2414, 57.36
361.0, 0.2395, 57.61
362.0, 0.2372, 57.92
363.0, 0.2354, 58.16
364.0, 0.2331, 58.47
365.0, 0.2308, 58.78
366.0, 0.2283, 59.12
367.0, 0.2262, 59.40
368.0, 0.2239, 59.71
369.0, 0.2218, 60.00
370.0, 0.2211, 60.10
371.0, 0.2189, 60.40
372.0, 0.2171, 60.67
373.0, 0.2149, 60.97
374.0, 0.2132, 61.20
375.0, 0.2117, 61.42
376.0, 0.2099, 61.68
377.0, 0.2079, 61.96
378.0, 0.2060, 62.23
379.0, 0.2042, 62.49
380.0, 0.2024, 62.75
381.0, 0.2004, 63.03
382.0, 0.1986, 63.29
383.0, 0.1970, 63.53
384.0, 0.1960, 63.67
385.0, 0.1934, 64.06
386.0, 0.1916, 64.33
387.0, 0.1903, 64.52
388.0, 0.1888, 64.74
389.0, 0.1872, 64.98
390.0, 0.1855, 65.24
391.0, 0.1836, 65.52
392.0, 0.1820, 65.76
393.0, 0.1804, 66.01
394.0, 0.1788, 66.25
395.0, 0.1774, 66.47
396.0, 0.1758, 66.71
397.0, 0.1742, 66.95
398.0, 0.1729, 67.16
399.0, 0.1718, 67.33
400.0, 0.1705, 67.54
401.0, 0.1688, 67.79
402.0, 0.1674, 68.01
403.0, 0.1660, 68.24
404.0, 0.1644, 68.48
405.0, 0.1633, 68.66
406.0, 0.1619, 68.88
407.0, 0.1604, 69.11
408.0, 0.1593, 69.29
409.0, 0.1578, 69.53
410.0, 0.1566, 69.73
411.0, 0.1555, 69.90
412.0, 0.1544, 70.08
413.0, 0.1530, 70.30
414.0, 0.1517, 70.51
415.0, 0.1506, 70.69
