Sample Name, Sample-101
Time, February 05 16:46:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.7871, 1.63
231.0, 1.7922, 1.61
232.0, 1.7989, 1.59
233.0, 1.8054, 1.57
234.0, 1.8056, 1.56
235.0, 1.8111, 1.54
236.0, 1.8111, 1.54
237.0, 1.8098, 1.55
238.0, 1.8078, 1.56
239.0, 1.8031, 1.57
240.0, 1.7985, 1.59
241.0, 1.7915, 1.62
242.0, 1.7864, 1.64
243.0, 1.7804, 1.66
244.0, 1.7724, 1.69
245.0, 1.7620, 1.73
246.0, 1.7508, 1.77
247.0, 1.7424, 1.81
248.0, 1.7320, 1.85
249.0, 1.7209, 1.90
250.0, 1.7107, 1.95
251.0, 1.7015, 1.99
252.0, 1.6914, 2.03
253.0, 1.6815, 2.08
254.0, 1.6719, 2.13
255.0, 1.6630, 2.17
256.0, 1.6527, 2.22
257.0, 1.6444, 2.27
258.0, 1.6374, 2.30
259.0, 1.6196, 2.40
260.0, 1.6082, 2.47
261.0, 1.5967, 2.53
262.0, 1.5842, 2.60
263.0, 1.5707, 2.69
264.0, 1.5573, 2.77
265.0, 1.5456, 2.85
266.0, 1.5324, 2.94
267.0, 1.5214, 3.01
268.0, 1.5095, 3.09
269.0, 1.4983, 3.17
270.0, 1.4848, 3.27
271.0, 1.4723, 3.37
272.0, 1.4608, 3.46
273.0, 1.4479, 3.57
274.0, 1.4363, 3.66
275.0, 1.4255, 3.75
276.0, 1.4145, 3.85
277.0, 1.4031, 3.95
278.0, 1.3940, 4.04
279.0, 1.3849, 4.12
280.0, 1.3762, 4.21
281.0, 1.3656, 4.31
282.0, 1.3530, 4.44
283.0, 1.3391, 4.58
284.0, 1.3266, 4.71
285.0, 1.3156, 4.83
286.0, 1.3045, 4.96
287.0, 1.2915, 5.11
288.0, 1.2777, 5.28
289.0, 1.2672, 5.40
