Sample Name, Sample-23
Time, February 05 11:25:54 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9555, 11.08
231.0, 0.9503, 11.21
232.0, 0.9447, 11.36
233.0, 0.9391, 11.50
234.0, 0.9332, 11.66
235.0, 0.9272, 11.83
236.0, 0.9210, 12.00
237.0, 0.9153, 12.15
238.0, 0.9094, 12.32
239.0, 0.9035, 12.49
240.0, 0.8977, 12.65
241.0, 0.8918, 12.83
242.0, 0.8862, 13.00
243.0, 0.8810, 13.15
244.0, 0.8756, 13.32
245.0, 0.8697, 13.50
246.0, 0.8635, 13.69
247.0, 0.8578, 13.87
248.0, 0.8522, 14.05
249.0, 0.8464, 14.24
250.0, 0.8412, 14.42
251.0, 0.8357, 14.60
252.0, 0.8302, 14.79
253.0, 0.8247, 14.97
254.0, 0.8201, 15.13
255.0, 0.8158, 15.28
256.0, 0.8110, 15.45
257.0, 0.8064, 15.62
258.0, 0.8036, 15.72
259.0, 0.7950, 16.03
260.0, 0.7899, 16.22
261.0, 0.7850, 16.41
262.0, 0.7798, 16.60
263.0, 0.7748, 16.80
264.0, 0.7696, 17.00
265.0, 0.7647, 17.19
266.0, 0.7600, 17.38
267.0, 0.7555, 17.56
268.0, 0.7507, 17.76
269.0, 0.7461, 17.94
270.0, 0.7409, 18.16
271.0, 0.7360, 18.37
272.0, 0.7308, 18.58
273.0, 0.7259, 18.80
274.0, 0.7213, 19.00
275.0, 0.7164, 19.21
276.0, 0.7115, 19.43
277.0, 0.7067, 19.65
278.0, 0.7026, 19.83
279.0, 0.6984, 20.03
280.0, 0.6941, 20.23
281.0, 0.6892, 20.46
282.0, 0.6840, 20.70
283.0, 0.6790, 20.94
284.0, 0.6738, 21.20
285.0, 0.6688, 21.44
286.0, 0.6636, 21.70
287.0, 0.6583, 21.97
288.0, 0.6532, 22.22
289.0, 0.6478, 22.50
290.0, 0.6432, 22.74
291.0, 0.6383, 23.00
292.0, 0.6338, 23.24
293.0, 0.6291, 23.49
294.0, 0.6239, 23.77
295.0, 0.6190, 24.04
296.0, 0.6142, 24.31
297.0, 0.6102, 24.54
298.0, 0.6078, 24.67
299.0, 0.6000, 25.12
300.0, 0.5949, 25.42
301.0, 0.5903, 25.69
302.0, 0.5860, 25.94
303.0, 0.5820, 26.18
304.0, 0.5781, 26.42
305.0, 0.5736, 26.70
306.0, 0.5685, 27.01
307.0, 0.5639, 27.30
308.0, 0.5592, 27.59
309.0, 0.5549, 27.87
310.0, 0.5505, 28.15
311.0, 0.5454, 28.48
312.0, 0.5413, 28.75
313.0, 0.5366, 29.07
314.0, 0.5325, 29.34
315.0, 0.5288, 29.59
316.0, 0.5245, 29.89
317.0, 0.5203, 30.18
318.0, 0.5158, 30.49
319.0, 0.5108, 30.85
320.0, 0.5061, 31.18
321.0, 0.5017, 31.50
322.0, 0.4974, 31.81
323.0, 0.4928, 32.15
324.0, 0.4880, 32.51
325.0, 0.4835, 32.84
326.0, 0.4794, 33.16
327.0, 0.4756, 33.45
328.0, 0.4711, 33.80
329.0, 0.4671, 34.11
330.0, 0.4648, 34.29
331.0, 0.4582, 34.82
332.0, 0.4535, 35.19
333.0, 0.4491, 35.56
334.0, 0.4447, 35.92
335.0, 0.4404, 36.28
336.0, 0.4361, 36.63
337.0, 0.4324, 36.95
338.0, 0.4287, 37.26
339.0, 0.4253, 37.55
340.0, 0.3913, 40.61
341.0, 0.3890, 40.83
342.0, 0.3870, 41.02
343.0, 0.3856, 41.16
344.0, 0.3838, 41.32
345.0, 0.3819, 41.50
346.0, 0.3797, 41.71
347.0, 0.3780, 41.88
348.0, 0.3761, 42.06
349.0, 0.3736, 42.31
350.0, 0.3720, 42.47
351.0, 0.3704, 42.62
352.0, 0.3688, 42.77
353.0, 0.3655, 43.10
354.0, 0.3627, 43.38
355.0, 0.3601, 43.64
356.0, 0.3572, 43.94
357.0, 0.3544, 44.22
358.0, 0.3515, 44.52
359.0, 0.3488, 44.80
360.0, 0.3462, 45.06
361.0, 0.3429, 45.41
362.0, 0.3400, 45.70
363.0, 0.3374, 45.99
364.0, 0.3342, 46.33
365.0, 0.3311, 46.66
366.0, 0.3279, 47.00
367.0, 0.3245, 47.37
368.0, 0.3206, 47.79
369.0, 0.3173, 48.16
370.0, 0.3157, 48.34
371.0, 0.3197, 47.90
372.0, 0.3168, 48.22
373.0, 0.3143, 48.49
374.0, 0.3121, 48.74
375.0, 0.3096, 49.02
376.0, 0.3073, 49.29
377.0, 0.3050, 49.55
378.0, 0.3024, 49.84
379.0, 0.3001, 50.10
380.0, 0.2975, 50.41
381.0, 0.2952, 50.67
382.0, 0.2930, 50.93
383.0, 0.2907, 51.21
384.0, 0.2895, 51.34
385.0, 0.2859, 51.77
386.0, 0.2837, 52.03
387.0, 0.2814, 52.31
388.0, 0.2794, 52.55
389.0, 0.2770, 52.85
390.0, 0.2746, 53.13
391.0, 0.2724, 53.41
392.0, 0.2699, 53.71
393.0, 0.2677, 53.99
394.0, 0.2655, 54.26
395.0, 0.2632, 54.55
396.0, 0.2610, 54.83
397.0, 0.2589, 55.10
398.0, 0.2570, 55.34
399.0, 0.2547, 55.63
400.0, 0.2526, 55.90
401.0, 0.2508, 56.13
402.0, 0.2486, 56.42
403.0, 0.2464, 56.70
404.0, 0.2442, 56.99
405.0, 0.2423, 57.24
406.0, 0.2402, 57.52
407.0, 0.2381, 57.80
408.0, 0.2361, 58.06
409.0, 0.2341, 58.33
410.0, 0.2323, 58.57
411.0, 0.2306, 58.80
412.0, 0.2290, 59.02
413.0, 0.2271, 59.28
414.0, 0.2250, 59.56
415.0, 0.2231, 59.83
416.0, 0.2211, 60.10
417.0, 0.2194, 60.34
418.0, 0.2174, 60.62
419.0, 0.2156, 60.87
420.0, 0.2140, 61.10
421.0, 0.2121, 61.36
422.0, 0.2104, 61.61
423.0, 0.2088, 61.83
424.0, 0.2072, 62.06
425.0, 0.2058, 62.26
426.0, 0.2038, 62.55
427.0, 0.2021, 62.80
428.0, 0.2003, 63.05
429.0, 0.1986, 63.29
430.0, 0.1971, 63.52
431.0, 0.1954, 63.77
432.0, 0.1937, 64.02
433.0, 0.1921, 64.25
434.0, 0.1906, 64.48
435.0, 0.1893, 64.67
436.0, 0.1880, 64.86
437.0, 0.1865, 65.08
438.0, 0.1852, 65.29
439.0, 0.1836, 65.52
440.0, 0.1821, 65.75
441.0, 0.1807, 65.96
442.0, 0.1792, 66.19
443.0, 0.1778, 66.40
444.0, 0.1764, 66.61
445.0, 0.1750, 66.83
446.0, 0.1739, 67.01
447.0, 0.1724, 67.23
448.0, 0.1715, 67.38
449.0, 0.1705, 67.53
450.0, 0.1699, 67.63
451.0, 0.1671, 68.06
452.0, 0.1658, 68.26
453.0, 0.1647, 68.44
454.0, 0.1635, 68.63
455.0, 0.1622, 68.84
456.0, 0.1608, 69.06
457.0, 0.1595, 69.27
458.0, 0.1585, 69.43
459.0, 0.1573, 69.61
460.0, 0.1562, 69.79
461.0, 0.1551, 69.97
462.0, 0.1539, 70.17
463.0, 0.1528, 70.34
464.0, 0.1514, 70.56
465.0, 0.1504, 70.74
466.0, 0.1492, 70.93
467.0, 0.1481, 71.11
468.0, 0.1469, 71.31
469.0, 0.1460, 71.45
470.0, 0.1450, 71.61
471.0, 0.1441, 71.76
472.0, 0.1431, 71.92
473.0, 0.1421, 72.09
474.0, 0.1410, 72.28
475.0, 0.1404, 72.38
476.0, 0.1389, 72.63
477.0, 0.1377, 72.82
478.0, 0.1367, 72.99
479.0, 0.1357, 73.17
480.0, 0.1346, 73.35
481.0, 0.1335, 73.53
482.0, 0.1326, 73.69
483.0, 0.1316, 73.86
484.0, 0.1308, 74.00
485.0, 0.1296, 74.20
486.0, 0.1287, 74.35
487.0, 0.1277, 74.52
488.0, 0.1268, 74.68
489.0, 0.1258, 74.85
490.0, 0.1249, 75.01
491.0, 0.1240, 75.17
492.0, 0.1230, 75.34
493.0, 0.1219, 75.53
494.0, 0.1209, 75.70
495.0, 0.1202, 75.83
496.0, 0.1193, 75.99
497.0, 0.1183, 76.15
498.0, 0.1173, 76.33
499.0, 0.1163, 76.51
500.0, 0.1154, 76.66
501.0, 0.1145, 76.83
502.0, 0.1136, 76.98
503.0, 0.1126, 77.16
504.0, 0.1119, 77.29
505.0, 0.1112, 77.41
506.0, 0.1103, 77.56
507.0, 0.1097, 77.69
508.0, 0.1088, 77.83
509.0, 0.1081, 77.96
510.0, 0.1072, 78.13
511.0, 0.1064, 78.26
512.0, 0.1054, 78.44
513.0, 0.1045, 78.61
514.0, 0.1039, 78.73
515.0, 0.1030, 78.88
516.0, 0.1022, 79.03
517.0, 0.1015, 79.16
518.0, 0.1008, 79.29
519.0, 0.1002, 79.40
520.0, 0.0995, 79.53
521.0, 0.0988, 79.65
522.0, 0.0980, 79.80
523.0, 0.0971, 79.96
524.0, 0.0965, 80.08
525.0, 0.0957, 80.22
526.0, 0.0950, 80.35
527.0, 0.0942, 80.50
528.0, 0.0935, 80.63
529.0, 0.0928, 80.76
530.0, 0.0921, 80.88
531.0, 0.0916, 80.98
532.0, 0.0911, 81.08
533.0, 0.0904, 81.21
534.0, 0.0896, 81.35
535.0, 0.0889, 81.49
536.0, 0.0884, 81.59
537.0, 0.0877, 81.72
538.0, 0.0871, 81.84
539.0, 0.0862, 81.99
540.0, 0.0856, 82.12
541.0, 0.0849, 82.24
542.0, 0.0845, 82.33
543.0, 0.0841, 82.40
544.0, 0.0833, 82.54
545.0, 0.0828, 82.64
