Sample Name, Sample-10
Time, February 13 16:16:17 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9956, 10.10
231.0, 0.9812, 10.44
232.0, 0.9677, 10.77
233.0, 0.9533, 11.13
234.0, 0.9379, 11.54
235.0, 0.9239, 11.92
236.0, 0.9099, 12.30
237.0, 0.8968, 12.68
238.0, 0.8845, 13.05
239.0, 0.8717, 13.44
240.0, 0.8597, 13.81
241.0, 0.8485, 14.17
242.0, 0.8385, 14.51
243.0, 0.8288, 14.83
244.0, 0.8200, 15.13
245.0, 0.8101, 15.49
246.0, 0.8002, 15.84
247.0, 0.7911, 16.18
248.0, 0.7827, 16.49
249.0, 0.7744, 16.81
250.0, 0.7668, 17.11
251.0, 0.7589, 17.42
252.0, 0.7515, 17.72
253.0, 0.7443, 18.02
254.0, 0.7377, 18.29
255.0, 0.7315, 18.56
256.0, 0.7255, 18.82
257.0, 0.7191, 19.09
258.0, 0.7154, 19.26
259.0, 0.7047, 19.74
260.0, 0.6980, 20.04
261.0, 0.6911, 20.37
262.0, 0.6843, 20.69
263.0, 0.6774, 21.02
264.0, 0.6704, 21.36
265.0, 0.6635, 21.70
266.0, 0.6572, 22.02
267.0, 0.6509, 22.34
268.0, 0.6443, 22.68
269.0, 0.6378, 23.03
270.0, 0.6305, 23.41
271.0, 0.6235, 23.80
272.0, 0.6164, 24.19
273.0, 0.6093, 24.59
274.0, 0.6022, 24.99
275.0, 0.5951, 25.40
276.0, 0.5879, 25.83
277.0, 0.5805, 26.27
278.0, 0.5741, 26.66
279.0, 0.5674, 27.07
280.0, 0.5607, 27.50
281.0, 0.5539, 27.93
282.0, 0.5463, 28.42
283.0, 0.5391, 28.90
284.0, 0.5319, 29.38
285.0, 0.5248, 29.87
286.0, 0.5173, 30.39
287.0, 0.5100, 30.90
288.0, 0.5025, 31.44
289.0, 0.4954, 31.96
290.0, 0.4886, 32.46
291.0, 0.4826, 32.92
292.0, 0.4762, 33.40
293.0, 0.4699, 33.89
294.0, 0.4631, 34.43
295.0, 0.4565, 34.95
296.0, 0.4504, 35.45
297.0, 0.4448, 35.91
298.0, 0.4414, 36.19
299.0, 0.4321, 36.97
300.0, 0.4265, 37.46
301.0, 0.4210, 37.93
302.0, 0.4159, 38.38
303.0, 0.4110, 38.82
304.0, 0.4059, 39.27
305.0, 0.4010, 39.72
306.0, 0.3959, 40.19
307.0, 0.3908, 40.66
308.0, 0.3860, 41.12
309.0, 0.3812, 41.58
310.0, 0.3764, 42.03
311.0, 0.3714, 42.52
312.0, 0.3668, 42.98
313.0, 0.3622, 43.43
314.0, 0.3581, 43.85
315.0, 0.3541, 44.24
316.0, 0.3497, 44.70
317.0, 0.3454, 45.14
318.0, 0.3408, 45.62
