Sample Name, Sample-49
Time, February 13 17:59:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8707, 13.47
231.0, 0.8628, 13.72
232.0, 0.8544, 13.98
233.0, 0.8451, 14.28
234.0, 0.8352, 14.61
235.0, 0.8258, 14.94
236.0, 0.8165, 15.26
237.0, 0.8075, 15.58
238.0, 0.7987, 15.90
239.0, 0.7904, 16.20
240.0, 0.7825, 16.50
241.0, 0.7750, 16.79
242.0, 0.7680, 17.06
243.0, 0.7618, 17.31
244.0, 0.7555, 17.56
245.0, 0.7490, 17.82
246.0, 0.7424, 18.10
247.0, 0.7362, 18.36
248.0, 0.7305, 18.60
249.0, 0.7254, 18.82
250.0, 0.7202, 19.05
251.0, 0.7152, 19.27
252.0, 0.7106, 19.47
253.0, 0.7064, 19.66
254.0, 0.7026, 19.83
255.0, 0.6993, 19.99
256.0, 0.6959, 20.14
257.0, 0.6921, 20.32
258.0, 0.6900, 20.42
259.0, 0.6847, 20.67
260.0, 0.6813, 20.83
261.0, 0.6777, 21.00
262.0, 0.6741, 21.18
263.0, 0.6706, 21.35
264.0, 0.6671, 21.52
265.0, 0.6634, 21.71
266.0, 0.6597, 21.89
267.0, 0.6567, 22.05
268.0, 0.6535, 22.21
269.0, 0.6497, 22.40
270.0, 0.6458, 22.61
271.0, 0.6417, 22.82
272.0, 0.6378, 23.03
273.0, 0.6339, 23.23
274.0, 0.6298, 23.45
275.0, 0.6257, 23.68
276.0, 0.6214, 23.91
277.0, 0.6171, 24.15
278.0, 0.6132, 24.37
279.0, 0.6093, 24.59
280.0, 0.6053, 24.81
281.0, 0.6009, 25.07
282.0, 0.5962, 25.34
283.0, 0.5916, 25.61
284.0, 0.5867, 25.90
285.0, 0.5821, 26.18
286.0, 0.5774, 26.46
287.0, 0.5728, 26.74
288.0, 0.5678, 27.05
289.0, 0.5628, 27.36
290.0, 0.5582, 27.66
291.0, 0.5540, 27.93
292.0, 0.5496, 28.21
293.0, 0.5451, 28.50
294.0, 0.5404, 28.81
295.0, 0.5357, 29.13
296.0, 0.5310, 29.44
297.0, 0.5269, 29.72
298.0, 0.5244, 29.89
299.0, 0.5173, 30.39
300.0, 0.5127, 30.71
301.0, 0.5084, 31.01
302.0, 0.5046, 31.29
303.0, 0.5007, 31.57
304.0, 0.4966, 31.87
305.0, 0.4924, 32.18
306.0, 0.4882, 32.50
307.0, 0.4839, 32.82
308.0, 0.4797, 33.14
309.0, 0.4754, 33.47
310.0, 0.4712, 33.79
311.0, 0.4672, 34.10
312.0, 0.4628, 34.45
313.0, 0.4586, 34.78
314.0, 0.4550, 35.07
315.0, 0.4513, 35.38
316.0, 0.4476, 35.68
317.0, 0.4434, 36.02
318.0, 0.4388, 36.41
319.0, 0.4345, 36.77
320.0, 0.4303, 37.13
321.0, 0.4259, 37.50
322.0, 0.4217, 37.87
323.0, 0.4173, 38.25
324.0, 0.4129, 38.65
325.0, 0.4087, 39.02
326.0, 0.4046, 39.39
327.0, 0.4008, 39.74
328.0, 0.3967, 40.12
329.0, 0.3927, 40.48
330.0, 0.3902, 40.72
331.0, 0.3833, 41.37
332.0, 0.3791, 41.77
333.0, 0.3747, 42.19
334.0, 0.3706, 42.59
335.0, 0.3661, 43.05
336.0, 0.3621, 43.44
337.0, 0.3581, 43.84
338.0, 0.3543, 44.23
339.0, 0.3520, 44.47
340.0, 0.3397, 45.74
341.0, 0.3369, 46.04
342.0, 0.3330, 46.45
343.0, 0.3294, 46.83
344.0, 0.3260, 47.20
345.0, 0.3220, 47.65
346.0, 0.3181, 48.07
347.0, 0.3148, 48.44
348.0, 0.3114, 48.82
349.0, 0.3087, 49.13
350.0, 0.3055, 49.49
351.0, 0.3022, 49.86
352.0, 0.2996, 50.17
353.0, 0.2965, 50.52
354.0, 0.2930, 50.94
355.0, 0.2895, 51.34
356.0, 0.2864, 51.71
357.0, 0.2834, 52.07
358.0, 0.2798, 52.51
359.0, 0.2766, 52.89
360.0, 0.2734, 53.28
361.0, 0.2707, 53.62
362.0, 0.2675, 54.01
363.0, 0.2645, 54.39
364.0, 0.2618, 54.72
365.0, 0.2587, 55.12
366.0, 0.2559, 55.47
367.0, 0.2529, 55.86
