Sample Name, Sample-133
Time, February 05 18:17:49 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1498, 7.08
231.0, 1.1366, 7.30
232.0, 1.1245, 7.51
233.0, 1.1087, 7.79
234.0, 1.0926, 8.08
235.0, 1.0766, 8.38
236.0, 1.0605, 8.70
237.0, 1.0441, 9.03
238.0, 1.0286, 9.36
239.0, 1.0122, 9.72
240.0, 0.9962, 10.09
241.0, 0.9812, 10.44
242.0, 0.9673, 10.78
243.0, 0.9543, 11.11
244.0, 0.9411, 11.45
245.0, 0.9282, 11.80
246.0, 0.9147, 12.17
247.0, 0.9024, 12.52
248.0, 0.8903, 12.87
249.0, 0.8790, 13.21
250.0, 0.8681, 13.55
251.0, 0.8575, 13.88
252.0, 0.8472, 14.22
253.0, 0.8370, 14.56
254.0, 0.8282, 14.85
255.0, 0.8193, 15.16
256.0, 0.8105, 15.47
257.0, 0.8020, 15.77
258.0, 0.7969, 15.96
259.0, 0.7802, 16.59
260.0, 0.7696, 17.00
261.0, 0.7590, 17.42
262.0, 0.7482, 17.86
263.0, 0.7371, 18.32
264.0, 0.7258, 18.80
265.0, 0.7145, 19.30
266.0, 0.7038, 19.78
267.0, 0.6935, 20.25
268.0, 0.6829, 20.75
269.0, 0.6717, 21.29
270.0, 0.6600, 21.88
271.0, 0.6486, 22.46
272.0, 0.6375, 23.04
273.0, 0.6265, 23.63
274.0, 0.6156, 24.23
275.0, 0.6052, 24.82
276.0, 0.5954, 25.39
277.0, 0.5859, 25.95
278.0, 0.5773, 26.47
279.0, 0.5690, 26.98
280.0, 0.5610, 27.48
281.0, 0.5526, 28.02
282.0, 0.5435, 28.61
283.0, 0.5347, 29.19
284.0, 0.5261, 29.78
285.0, 0.5176, 30.36
286.0, 0.5095, 30.94
287.0, 0.5016, 31.51
288.0, 0.4939, 32.07
289.0, 0.4866, 32.62
290.0, 0.4798, 33.12
291.0, 0.4739, 33.58
292.0, 0.4676, 34.07
293.0, 0.4615, 34.55
294.0, 0.4550, 35.08
295.0, 0.4490, 35.57
296.0, 0.4430, 36.06
297.0, 0.4377, 36.50
298.0, 0.4347, 36.76
299.0, 0.4264, 37.46
300.0, 0.4215, 37.88
301.0, 0.4165, 38.33
302.0, 0.4120, 38.73
303.0, 0.4080, 39.08
304.0, 0.4038, 39.46
305.0, 0.3994, 39.87
306.0, 0.3950, 40.27
307.0, 0.3906, 40.68
308.0, 0.3863, 41.08
309.0, 0.3818, 41.52
310.0, 0.3775, 41.93
