Sample Name, Sample-136
Time, February 05 18:23:56 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5689, 2.70
231.0, 1.5758, 2.66
232.0, 1.5815, 2.62
233.0, 1.5874, 2.59
234.0, 1.5941, 2.55
235.0, 1.5984, 2.52
236.0, 1.6004, 2.51
237.0, 1.6007, 2.51
238.0, 1.6014, 2.50
239.0, 1.6006, 2.51
240.0, 1.5985, 2.52
241.0, 1.5955, 2.54
242.0, 1.5909, 2.57
243.0, 1.5882, 2.58
244.0, 1.5831, 2.61
245.0, 1.5781, 2.64
246.0, 1.5711, 2.68
247.0, 1.5639, 2.73
248.0, 1.5584, 2.76
249.0, 1.5498, 2.82
250.0, 1.5447, 2.85
251.0, 1.5351, 2.92
252.0, 1.5268, 2.97
253.0, 1.5197, 3.02
254.0, 1.5098, 3.09
255.0, 1.5044, 3.13
256.0, 1.4977, 3.18
257.0, 1.4883, 3.25
258.0, 1.4840, 3.28
259.0, 1.4698, 3.39
260.0, 1.4596, 3.47
261.0, 1.4504, 3.54
262.0, 1.4420, 3.61
263.0, 1.4329, 3.69
264.0, 1.4235, 3.77
265.0, 1.4148, 3.85
266.0, 1.4064, 3.92
267.0, 1.4000, 3.98
268.0, 1.3926, 4.05
269.0, 1.3861, 4.11
270.0, 1.3773, 4.20
271.0, 1.3705, 4.26
272.0, 1.3639, 4.33
273.0, 1.3582, 4.38
274.0, 1.3525, 4.44
275.0, 1.3472, 4.50
276.0, 1.3415, 4.55
277.0, 1.3382, 4.59
278.0, 1.3354, 4.62
279.0, 1.3327, 4.65
280.0, 1.3293, 4.69
281.0, 1.3244, 4.74
282.0, 1.3223, 4.76
283.0, 1.3185, 4.80
284.0, 1.3146, 4.85
285.0, 1.3101, 4.90
286.0, 1.3070, 4.93
287.0, 1.3033, 4.97
288.0, 1.2991, 5.02
289.0, 1.2959, 5.06
290.0, 1.2944, 5.08
291.0, 1.2915, 5.11
292.0, 1.2881, 5.15
293.0, 1.2862, 5.17
294.0, 1.2827, 5.22
295.0, 1.2798, 5.25
296.0, 1.2765, 5.29
297.0, 1.2734, 5.33
298.0, 1.2714, 5.35
299.0, 1.2661, 5.42
300.0, 1.2612, 5.48
301.0, 1.2562, 5.54
302.0, 1.2510, 5.61
303.0, 1.2467, 5.67
304.0, 1.2412, 5.74
305.0, 1.2368, 5.80
306.0, 1.2310, 5.87
307.0, 1.2235, 5.98
308.0, 1.2178, 6.06
309.0, 1.2110, 6.15
310.0, 1.2041, 6.25
311.0, 1.1981, 6.34
312.0, 1.1929, 6.41
313.0, 1.1860, 6.52
314.0, 1.1794, 6.62
315.0, 1.1731, 6.71
316.0, 1.1687, 6.78
317.0, 1.1621, 6.88
318.0, 1.1546, 7.01
319.0, 1.1472, 7.13
320.0, 1.1395, 7.25
321.0, 1.1329, 7.36
322.0, 1.1260, 7.48
323.0, 1.1174, 7.63
324.0, 1.1103, 7.76
325.0, 1.1021, 7.91
326.0, 1.0961, 8.02
327.0, 1.0895, 8.14
328.0, 1.0816, 8.29
329.0, 1.0752, 8.41
330.0, 1.0707, 8.50
331.0, 1.0575, 8.76
332.0, 1.0486, 8.94
333.0, 1.0390, 9.14
334.0, 1.0302, 9.33
335.0, 1.0214, 9.52
336.0, 1.0122, 9.72
