Sample Name, Sample-62
Time, February 05 13:07:04 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7484, 17.85
231.0, 0.7420, 18.11
232.0, 0.7355, 18.39
233.0, 0.7289, 18.67
234.0, 0.7215, 18.99
235.0, 0.7148, 19.29
236.0, 0.7082, 19.58
237.0, 0.7015, 19.88
238.0, 0.6952, 20.18
239.0, 0.6888, 20.48
240.0, 0.6825, 20.77
241.0, 0.6763, 21.07
242.0, 0.6709, 21.34
243.0, 0.6658, 21.59
244.0, 0.6602, 21.87
245.0, 0.6548, 22.14
246.0, 0.6490, 22.44
247.0, 0.6435, 22.72
248.0, 0.6383, 23.00
249.0, 0.6330, 23.28
250.0, 0.6282, 23.54
251.0, 0.6234, 23.80
252.0, 0.6184, 24.08
253.0, 0.6142, 24.31
254.0, 0.6103, 24.53
255.0, 0.6062, 24.76
256.0, 0.6025, 24.98
257.0, 0.5988, 25.19
258.0, 0.5963, 25.33
259.0, 0.5896, 25.73
260.0, 0.5857, 25.96
261.0, 0.5819, 26.19
262.0, 0.5779, 26.43
263.0, 0.5740, 26.67
264.0, 0.5699, 26.92
265.0, 0.5664, 27.14
266.0, 0.5629, 27.36
267.0, 0.5596, 27.57
268.0, 0.5563, 27.78
269.0, 0.5529, 28.00
270.0, 0.5494, 28.22
271.0, 0.5458, 28.46
272.0, 0.5422, 28.69
273.0, 0.5389, 28.91
274.0, 0.5356, 29.13
275.0, 0.5325, 29.34
276.0, 0.5291, 29.57
277.0, 0.5257, 29.80
278.0, 0.5227, 30.01
279.0, 0.5195, 30.24
280.0, 0.5166, 30.43
281.0, 0.5130, 30.69
282.0, 0.5093, 30.95
283.0, 0.5053, 31.24
284.0, 0.5015, 31.52
285.0, 0.4972, 31.83
286.0, 0.4932, 32.12
287.0, 0.4886, 32.46
288.0, 0.4844, 32.78
289.0, 0.4804, 33.09
290.0, 0.4765, 33.38
