Sample Name, Sample-65
Time, February 05 13:15:53 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5210, 30.13
231.0, 0.5168, 30.42
232.0, 0.5125, 30.72
233.0, 0.5082, 31.03
234.0, 0.5036, 31.36
235.0, 0.4990, 31.69
236.0, 0.4949, 31.99
237.0, 0.4910, 32.29
238.0, 0.4869, 32.59
239.0, 0.4830, 32.88
240.0, 0.4789, 33.20
241.0, 0.4752, 33.48
242.0, 0.4714, 33.77
243.0, 0.4683, 34.02
244.0, 0.4647, 34.30
245.0, 0.4613, 34.57
246.0, 0.4577, 34.86
247.0, 0.4544, 35.13
248.0, 0.4509, 35.41
249.0, 0.4477, 35.67
250.0, 0.4447, 35.91
251.0, 0.4417, 36.17
252.0, 0.4389, 36.40
253.0, 0.4360, 36.64
254.0, 0.4335, 36.85
255.0, 0.4312, 37.06
256.0, 0.4289, 37.25
257.0, 0.4265, 37.46
258.0, 0.4249, 37.59
259.0, 0.4209, 37.94
260.0, 0.4183, 38.16
261.0, 0.4160, 38.37
262.0, 0.4135, 38.60
263.0, 0.4111, 38.80
264.0, 0.4085, 39.04
265.0, 0.4061, 39.26
266.0, 0.4036, 39.48
267.0, 0.4014, 39.68
268.0, 0.3993, 39.88
269.0, 0.3969, 40.10
270.0, 0.3945, 40.32
271.0, 0.3919, 40.56
272.0, 0.3893, 40.80
273.0, 0.3868, 41.03
274.0, 0.3844, 41.27
275.0, 0.3819, 41.51
276.0, 0.3792, 41.76
277.0, 0.3768, 42.00
278.0, 0.3745, 42.22
279.0, 0.3720, 42.46
280.0, 0.3696, 42.70
281.0, 0.3668, 42.97
282.0, 0.3640, 43.25
283.0, 0.3608, 43.57
284.0, 0.3578, 43.87
285.0, 0.3544, 44.22
286.0, 0.3513, 44.54
287.0, 0.3479, 44.88
288.0, 0.3449, 45.20
289.0, 0.3417, 45.53
290.0, 0.3386, 45.86
291.0, 0.3358, 46.15
292.0, 0.3330, 46.45
293.0, 0.3300, 46.77
294.0, 0.3268, 47.12
295.0, 0.3238, 47.44
296.0, 0.3208, 47.78
297.0, 0.3180, 48.08
298.0, 0.3166, 48.24
299.0, 0.3122, 48.73
300.0, 0.3094, 49.05
301.0, 0.3069, 49.33
302.0, 0.3044, 49.61
303.0, 0.3020, 49.88
304.0, 0.2998, 50.14
305.0, 0.2972, 50.45
306.0, 0.2946, 50.75
307.0, 0.2917, 51.08
308.0, 0.2892, 51.38
309.0, 0.2866, 51.69
310.0, 0.2837, 52.03
311.0, 0.2812, 52.34
312.0, 0.2784, 52.68
313.0, 0.2758, 53.00
314.0, 0.2733, 53.30
315.0, 0.2708, 53.60
316.0, 0.2684, 53.91
317.0, 0.2661, 54.19
318.0, 0.2632, 54.55
319.0, 0.2603, 54.92
320.0, 0.2574, 55.29
321.0, 0.2546, 55.64
322.0, 0.2521, 55.97
323.0, 0.2492, 56.34
324.0, 0.2460, 56.75
325.0, 0.2432, 57.12
326.0, 0.2407, 57.45
327.0, 0.2383, 57.77
328.0, 0.2358, 58.10
329.0, 0.2332, 58.45
330.0, 0.2317, 58.65
331.0, 0.2273, 59.25
332.0, 0.2243, 59.66
333.0, 0.2217, 60.02
334.0, 0.2189, 60.41
335.0, 0.2165, 60.75
336.0, 0.2140, 61.09
337.0, 0.2119, 61.39
338.0, 0.2097, 61.71
339.0, 0.2079, 61.96
340.0, 0.1973, 63.49
341.0, 0.1957, 63.73
342.0, 0.1942, 63.94
343.0, 0.1925, 64.19
344.0, 0.1908, 64.44
345.0, 0.1896, 64.63
346.0, 0.1879, 64.88
347.0, 0.1865, 65.09
348.0, 0.1853, 65.26
349.0, 0.1836, 65.52
350.0, 0.1824, 65.71
351.0, 0.1810, 65.91
352.0, 0.1802, 66.03
353.0, 0.1787, 66.27
354.0, 0.1769, 66.54
355.0, 0.1756, 66.75
356.0, 0.1740, 66.99
357.0, 0.1723, 67.25
358.0, 0.1706, 67.51
359.0, 0.1688, 67.80
360.0, 0.1672, 68.05
361.0, 0.1657, 68.28
362.0, 0.1643, 68.51
363.0, 0.1628, 68.74
364.0, 0.1614, 68.95
365.0, 0.1601, 69.17
366.0, 0.1587, 69.38
367.0, 0.1571, 69.65
368.0, 0.1557, 69.88
369.0, 0.1545, 70.06
370.0, 0.1538, 70.17
371.0, 0.1513, 70.58
372.0, 0.1498, 70.82
373.0, 0.1482, 71.09
374.0, 0.1468, 71.32
375.0, 0.1452, 71.58
376.0, 0.1440, 71.78
377.0, 0.1426, 72.02
378.0, 0.1410, 72.27
379.0, 0.1398, 72.47
380.0, 0.1384, 72.71
381.0, 0.1372, 72.92
382.0, 0.1360, 73.12
383.0, 0.1346, 73.35
384.0, 0.1340, 73.45
385.0, 0.1317, 73.85
386.0, 0.1305, 74.05
387.0, 0.1290, 74.30
388.0, 0.1279, 74.49
389.0, 0.1266, 74.71
390.0, 0.1252, 74.95
391.0, 0.1241, 75.15
392.0, 0.1230, 75.33
393.0, 0.1215, 75.59
394.0, 0.1206, 75.76
395.0, 0.1192, 75.99
396.0, 0.1181, 76.19
397.0, 0.1170, 76.38
398.0, 0.1161, 76.53
399.0, 0.1150, 76.73
400.0, 0.1140, 76.92
401.0, 0.1129, 77.10
402.0, 0.1119, 77.28
403.0, 0.1109, 77.46
404.0, 0.1097, 77.67
405.0, 0.1089, 77.83
406.0, 0.1078, 78.01
407.0, 0.1069, 78.19
408.0, 0.1060, 78.34
409.0, 0.1050, 78.52
410.0, 0.1042, 78.66
411.0, 0.1033, 78.83
412.0, 0.1026, 78.96
413.0, 0.1018, 79.11
414.0, 0.1008, 79.28
415.0, 0.1000, 79.43
416.0, 0.0992, 79.58
417.0, 0.0985, 79.70
418.0, 0.0977, 79.85
419.0, 0.0969, 80.01
420.0, 0.0962, 80.13
421.0, 0.0955, 80.26
422.0, 0.0949, 80.37
423.0, 0.0943, 80.48
424.0, 0.0936, 80.60
425.0, 0.0930, 80.73
426.0, 0.0922, 80.86
427.0, 0.0916, 80.99
428.0, 0.0909, 81.12
429.0, 0.0903, 81.24
430.0, 0.0898, 81.33
431.0, 0.0892, 81.43
432.0, 0.0885, 81.56
433.0, 0.0880, 81.66
434.0, 0.0875, 81.75
435.0, 0.0870, 81.85
436.0, 0.0864, 81.95
437.0, 0.0860, 82.04
438.0, 0.0855, 82.13
439.0, 0.0851, 82.21
440.0, 0.0845, 82.31
441.0, 0.0841, 82.39
442.0, 0.0836, 82.49
443.0, 0.0831, 82.59
444.0, 0.0827, 82.66
445.0, 0.0823, 82.74
446.0, 0.0821, 82.78
447.0, 0.0817, 82.85
448.0, 0.0813, 82.94
449.0, 0.0810, 82.98
450.0, 0.0810, 82.99
451.0, 0.0796, 83.26
452.0, 0.0790, 83.37
453.0, 0.0785, 83.46
454.0, 0.0779, 83.59
455.0, 0.0774, 83.67
456.0, 0.0768, 83.79
457.0, 0.0762, 83.91
458.0, 0.0756, 84.02
459.0, 0.0751, 84.12
460.0, 0.0746, 84.21
461.0, 0.0741, 84.31
462.0, 0.0737, 84.40
463.0, 0.0732, 84.49
464.0, 0.0725, 84.63
465.0, 0.0720, 84.72
466.0, 0.0717, 84.79
467.0, 0.0710, 84.92
468.0, 0.0704, 85.03
469.0, 0.0701, 85.09
470.0, 0.0696, 85.20
471.0, 0.0692, 85.28
472.0, 0.0687, 85.36
473.0, 0.0682, 85.47
474.0, 0.0676, 85.59
475.0, 0.0672, 85.66
476.0, 0.0664, 85.82
477.0, 0.0659, 85.92
478.0, 0.0653, 86.04
479.0, 0.0650, 86.11
480.0, 0.0643, 86.24
481.0, 0.0637, 86.37
482.0, 0.0632, 86.46
483.0, 0.0627, 86.56
484.0, 0.0623, 86.64
485.0, 0.0616, 86.77
486.0, 0.0613, 86.84
487.0, 0.0607, 86.95
488.0, 0.0602, 87.06
489.0, 0.0595, 87.19
490.0, 0.0592, 87.27
491.0, 0.0587, 87.36
492.0, 0.0580, 87.50
493.0, 0.0575, 87.61
494.0, 0.0570, 87.69
495.0, 0.0565, 87.80
496.0, 0.0562, 87.86
497.0, 0.0557, 87.97
498.0, 0.0552, 88.07
499.0, 0.0544, 88.22
500.0, 0.0539, 88.33
501.0, 0.0535, 88.41
502.0, 0.0530, 88.52
503.0, 0.0524, 88.63
504.0, 0.0521, 88.70
505.0, 0.0516, 88.80
506.0, 0.0512, 88.88
507.0, 0.0509, 88.95
508.0, 0.0503, 89.05
509.0, 0.0500, 89.13
510.0, 0.0495, 89.22
511.0, 0.0490, 89.32
512.0, 0.0485, 89.43
513.0, 0.0481, 89.51
514.0, 0.0478, 89.59
515.0, 0.0474, 89.66
516.0, 0.0470, 89.74
517.0, 0.0466, 89.82
518.0, 0.0461, 89.92
519.0, 0.0459, 89.97
520.0, 0.0456, 90.03
521.0, 0.0452, 90.11
522.0, 0.0447, 90.22
523.0, 0.0443, 90.30
524.0, 0.0440, 90.36
525.0, 0.0436, 90.45
526.0, 0.0432, 90.53
527.0, 0.0427, 90.63
528.0, 0.0423, 90.71
529.0, 0.0420, 90.79
530.0, 0.0417, 90.85
531.0, 0.0415, 90.89
532.0, 0.0413, 90.93
533.0, 0.0409, 91.01
534.0, 0.0405, 91.10
535.0, 0.0401, 91.18
536.0, 0.0398, 91.23
537.0, 0.0395, 91.30
538.0, 0.0392, 91.36
539.0, 0.0388, 91.45
540.0, 0.0385, 91.51
541.0, 0.0383, 91.56
542.0, 0.0380, 91.63
543.0, 0.0378, 91.66
544.0, 0.0376, 91.71
545.0, 0.0373, 91.76
546.0, 0.0370, 91.84
547.0, 0.0362, 92.00
548.0, 0.0360, 92.05
549.0, 0.0355, 92.15
550.0, 0.0352, 92.21
551.0, 0.0348, 92.30
552.0, 0.0345, 92.37
553.0, 0.0341, 92.44
554.0, 0.0338, 92.50
555.0, 0.0335, 92.57
556.0, 0.0335, 92.58
557.0, 0.0332, 92.63
558.0, 0.0330, 92.68
559.0, 0.0329, 92.70
560.0, 0.0327, 92.75
561.0, 0.0326, 92.77
562.0, 0.0325, 92.78
563.0, 0.0325, 92.79
564.0, 0.0323, 92.83
565.0, 0.0322, 92.85
566.0, 0.0323, 92.82
567.0, 0.0322, 92.85
568.0, 0.0321, 92.87
569.0, 0.0319, 92.92
570.0, 0.0318, 92.95
571.0, 0.0315, 93.00
572.0, 0.0312, 93.07
573.0, 0.0310, 93.11
574.0, 0.0307, 93.18
575.0, 0.0304, 93.24
576.0, 0.0300, 93.32
577.0, 0.0297, 93.40
578.0, 0.0294, 93.46
579.0, 0.0290, 93.54
580.0, 0.0289, 93.56
581.0, 0.0286, 93.63
582.0, 0.0284, 93.66
583.0, 0.0282, 93.72
584.0, 0.0282, 93.71
585.0, 0.0282, 93.71
586.0, 0.0270, 93.97
587.0, 0.0268, 94.01
588.0, 0.0268, 94.02
589.0, 0.0268, 94.01
590.0, 0.0265, 94.08
591.0, 0.0264, 94.11
592.0, 0.0263, 94.13
593.0, 0.0264, 94.11
594.0, 0.0263, 94.13
595.0, 0.0261, 94.16
596.0, 0.0261, 94.16
597.0, 0.0260, 94.19
598.0, 0.0258, 94.23
599.0, 0.0256, 94.27
600.0, 0.0254, 94.31
601.0, 0.0252, 94.36
602.0, 0.0252, 94.37
603.0, 0.0251, 94.39
604.0, 0.0249, 94.42
605.0, 0.0247, 94.46
606.0, 0.0246, 94.49
607.0, 0.0244, 94.53
608.0, 0.0243, 94.55
609.0, 0.0242, 94.58
610.0, 0.0241, 94.61
611.0, 0.0239, 94.65
612.0, 0.0236, 94.70
613.0, 0.0234, 94.75
614.0, 0.0232, 94.80
615.0, 0.0232, 94.80
616.0, 0.0231, 94.82
617.0, 0.0229, 94.86
618.0, 0.0228, 94.89
619.0, 0.0226, 94.92
620.0, 0.0225, 94.94
621.0, 0.0223, 95.00
622.0, 0.0221, 95.04
623.0, 0.0219, 95.09
624.0, 0.0217, 95.12
625.0, 0.0215, 95.17
626.0, 0.0214, 95.20
627.0, 0.0212, 95.23
628.0, 0.0211, 95.25
629.0, 0.0209, 95.29
630.0, 0.0208, 95.32
631.0, 0.0206, 95.37
632.0, 0.0205, 95.39
633.0, 0.0203, 95.44
634.0, 0.0202, 95.46
635.0, 0.0200, 95.50
636.0, 0.0198, 95.55
637.0, 0.0196, 95.58
638.0, 0.0197, 95.58
639.0, 0.0195, 95.60
640.0, 0.0193, 95.65
641.0, 0.0191, 95.69
642.0, 0.0191, 95.70
643.0, 0.0189, 95.75
644.0, 0.0188, 95.75
645.0, 0.0187, 95.79
646.0, 0.0186, 95.80
647.0, 0.0184, 95.84
648.0, 0.0183, 95.88
649.0, 0.0181, 95.92
650.0, 0.0179, 95.96
651.0, 0.0178, 95.99
652.0, 0.0177, 96.00
653.0, 0.0176, 96.02
654.0, 0.0174, 96.08
655.0, 0.0172, 96.11
656.0, 0.0171, 96.14
657.0, 0.0169, 96.19
658.0, 0.0169, 96.17
659.0, 0.0167, 96.23
660.0, 0.0165, 96.27
661.0, 0.0166, 96.26
662.0, 0.0164, 96.30
663.0, 0.0161, 96.36
664.0, 0.0161, 96.36
665.0, 0.0162, 96.35
666.0, 0.0159, 96.41
667.0, 0.0156, 96.46
668.0, 0.0155, 96.49
669.0, 0.0155, 96.50
670.0, 0.0153, 96.54
671.0, 0.0152, 96.55
672.0, 0.0151, 96.58
673.0, 0.0148, 96.65
674.0, 0.0148, 96.64
675.0, 0.0146, 96.69
676.0, 0.0145, 96.71
677.0, 0.0144, 96.74
678.0, 0.0143, 96.77
679.0, 0.0142, 96.77
680.0, 0.0141, 96.81
681.0, 0.0139, 96.86
682.0, 0.0138, 96.87
683.0, 0.0138, 96.87
684.0, 0.0136, 96.92
685.0, 0.0136, 96.93
686.0, 0.0134, 96.96
687.0, 0.0134, 96.97
688.0, 0.0133, 96.99
689.0, 0.0130, 97.05
690.0, 0.0128, 97.10
691.0, 0.0129, 97.08
692.0, 0.0127, 97.11
693.0, 0.0126, 97.13
694.0, 0.0126, 97.15
695.0, 0.0125, 97.17
696.0, 0.0123, 97.20
697.0, 0.0123, 97.21
698.0, 0.0122, 97.24
699.0, 0.0121, 97.25
700.0, 0.0120, 97.27
