Sample Name, Sample-146
Time, February 05 18:45:22 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1392, 7.26
231.0, 1.1293, 7.43
232.0, 1.1188, 7.61
233.0, 1.1056, 7.84
234.0, 1.0926, 8.08
235.0, 1.0785, 8.35
236.0, 1.0640, 8.63
237.0, 1.0491, 8.93
238.0, 1.0341, 9.25
239.0, 1.0189, 9.57
240.0, 1.0033, 9.92
241.0, 0.9886, 10.27
242.0, 0.9746, 10.60
243.0, 0.9610, 10.94
244.0, 0.9474, 11.29
245.0, 0.9340, 11.64
246.0, 0.9200, 12.02
247.0, 0.9071, 12.39
248.0, 0.8945, 12.75
249.0, 0.8826, 13.10
250.0, 0.8712, 13.45
251.0, 0.8597, 13.81
252.0, 0.8485, 14.17
253.0, 0.8381, 14.52
254.0, 0.8284, 14.84
255.0, 0.8195, 15.15
256.0, 0.8099, 15.49
257.0, 0.8009, 15.82
258.0, 0.7951, 16.03
259.0, 0.7772, 16.70
260.0, 0.7658, 17.15
261.0, 0.7545, 17.60
262.0, 0.7425, 18.09
263.0, 0.7301, 18.62
264.0, 0.7176, 19.16
265.0, 0.7051, 19.72
266.0, 0.6927, 20.29
267.0, 0.6809, 20.85
268.0, 0.6690, 21.43
269.0, 0.6565, 22.05
270.0, 0.6431, 22.75
271.0, 0.6301, 23.44
272.0, 0.6171, 24.15
273.0, 0.6050, 24.83
274.0, 0.5930, 25.53
275.0, 0.5809, 26.25
276.0, 0.5694, 26.95
277.0, 0.5586, 27.63
278.0, 0.5488, 28.26
279.0, 0.5396, 28.87
280.0, 0.5309, 29.45
281.0, 0.5217, 30.08
282.0, 0.5117, 30.78
283.0, 0.5025, 31.44
284.0, 0.4933, 32.11
285.0, 0.4845, 32.77
286.0, 0.4762, 33.40
287.0, 0.4677, 34.07
288.0, 0.4600, 34.68
289.0, 0.4525, 35.28
290.0, 0.4455, 35.85
291.0, 0.4394, 36.35
292.0, 0.4332, 36.88
293.0, 0.4271, 37.40
294.0, 0.4204, 37.98
295.0, 0.4142, 38.53
296.0, 0.4082, 39.07
297.0, 0.4028, 39.55
298.0, 0.4001, 39.80
299.0, 0.3914, 40.61
300.0, 0.3861, 41.11
301.0, 0.3811, 41.58
302.0, 0.3766, 42.01
303.0, 0.3725, 42.41
304.0, 0.3681, 42.85
305.0, 0.3634, 43.31
306.0, 0.3588, 43.77
307.0, 0.3542, 44.24
308.0, 0.3496, 44.71
309.0, 0.3450, 45.18
310.0, 0.3403, 45.68
311.0, 0.3358, 46.16
312.0, 0.3315, 46.61
313.0, 0.3272, 47.07
314.0, 0.3230, 47.54
315.0, 0.3191, 47.96
316.0, 0.3148, 48.44
317.0, 0.3106, 48.91
318.0, 0.3056, 49.48
319.0, 0.3007, 50.04
320.0, 0.2958, 50.61
321.0, 0.2912, 51.14
322.0, 0.2863, 51.73
323.0, 0.2813, 52.32
324.0, 0.2764, 52.92
325.0, 0.2715, 53.51
326.0, 0.2667, 54.11
327.0, 0.2626, 54.62
328.0, 0.2581, 55.19
329.0, 0.2536, 55.77
330.0, 0.2509, 56.12
331.0, 0.2425, 57.22
332.0, 0.2369, 57.95
333.0, 0.2320, 58.61
334.0, 0.2269, 59.30
335.0, 0.2219, 60.00
336.0, 0.2166, 60.73
337.0, 0.2120, 61.37
338.0, 0.2075, 62.01
339.0, 0.2046, 62.42
340.0, 0.1838, 65.49
341.0, 0.1808, 65.95
342.0, 0.1774, 66.46
343.0, 0.1744, 66.92
344.0, 0.1710, 67.46
345.0, 0.1676, 67.98
346.0, 0.1647, 68.45
347.0, 0.1617, 68.92
348.0, 0.1591, 69.32
349.0, 0.1560, 69.82
350.0, 0.1535, 70.22
351.0, 0.1505, 70.72
352.0, 0.1480, 71.13
353.0, 0.1450, 71.61
354.0, 0.1418, 72.15
355.0, 0.1389, 72.63
356.0, 0.1359, 73.13
357.0, 0.1330, 73.62
358.0, 0.1304, 74.07
359.0, 0.1280, 74.47
360.0, 0.1252, 74.95
361.0, 0.1226, 75.40
362.0, 0.1205, 75.77
363.0, 0.1182, 76.17
364.0, 0.1161, 76.55
365.0, 0.1138, 76.95
366.0, 0.1116, 77.34
367.0, 0.1092, 77.76
368.0, 0.1071, 78.15
369.0, 0.1051, 78.50
370.0, 0.1040, 78.71
371.0, 0.1002, 79.39
372.0, 0.0979, 79.82
373.0, 0.0962, 80.13
374.0, 0.0944, 80.46
375.0, 0.0925, 80.81
376.0, 0.0909, 81.12
377.0, 0.0888, 81.50
378.0, 0.0867, 81.90
379.0, 0.0851, 82.21
380.0, 0.0831, 82.59
381.0, 0.0815, 82.90
382.0, 0.0797, 83.24
383.0, 0.0782, 83.53
384.0, 0.0774, 83.67
385.0, 0.0746, 84.23
386.0, 0.0731, 84.50
387.0, 0.0717, 84.79
388.0, 0.0703, 85.06
389.0, 0.0689, 85.34
390.0, 0.0674, 85.63
391.0, 0.0659, 85.92
392.0, 0.0646, 86.18
393.0, 0.0630, 86.49
394.0, 0.0617, 86.76
395.0, 0.0604, 87.02
396.0, 0.0591, 87.28
397.0, 0.0579, 87.51
398.0, 0.0569, 87.73
399.0, 0.0556, 87.98
400.0, 0.0546, 88.20
401.0, 0.0536, 88.39
402.0, 0.0526, 88.59
403.0, 0.0514, 88.85
404.0, 0.0503, 89.07
405.0, 0.0495, 89.24
406.0, 0.0483, 89.47
407.0, 0.0474, 89.66
408.0, 0.0463, 89.89
409.0, 0.0455, 90.05
410.0, 0.0448, 90.19
411.0, 0.0440, 90.37
412.0, 0.0433, 90.52
413.0, 0.0425, 90.69
414.0, 0.0416, 90.86
415.0, 0.0409, 91.01
416.0, 0.0403, 91.14
417.0, 0.0396, 91.28
418.0, 0.0389, 91.43
419.0, 0.0383, 91.56
420.0, 0.0375, 91.72
421.0, 0.0370, 91.84
422.0, 0.0365, 91.94
423.0, 0.0360, 92.04
424.0, 0.0356, 92.13
425.0, 0.0351, 92.23
426.0, 0.0346, 92.34
427.0, 0.0341, 92.44
428.0, 0.0335, 92.58
429.0, 0.0330, 92.68
430.0, 0.0326, 92.77
431.0, 0.0320, 92.91
432.0, 0.0315, 92.99
433.0, 0.0311, 93.09
434.0, 0.0308, 93.14
435.0, 0.0306, 93.20
436.0, 0.0302, 93.29
437.0, 0.0300, 93.32
438.0, 0.0295, 93.43
439.0, 0.0293, 93.47
440.0, 0.0290, 93.55
441.0, 0.0287, 93.61
442.0, 0.0284, 93.66
443.0, 0.0280, 93.75
444.0, 0.0281, 93.74
445.0, 0.0277, 93.83
446.0, 0.0275, 93.85
447.0, 0.0274, 93.89
448.0, 0.0272, 93.92
449.0, 0.0270, 93.96
450.0, 0.0271, 93.95
451.0, 0.0263, 94.13
452.0, 0.0259, 94.21
453.0, 0.0257, 94.26
454.0, 0.0253, 94.34
455.0, 0.0250, 94.41
456.0, 0.0246, 94.50
457.0, 0.0241, 94.60
458.0, 0.0237, 94.69
459.0, 0.0233, 94.77
460.0, 0.0229, 94.87
461.0, 0.0225, 94.94
462.0, 0.0222, 95.01
463.0, 0.0220, 95.07
464.0, 0.0215, 95.17
465.0, 0.0213, 95.22
466.0, 0.0210, 95.27
467.0, 0.0205, 95.38
468.0, 0.0202, 95.45
469.0, 0.0200, 95.50
470.0, 0.0196, 95.60
471.0, 0.0194, 95.64
472.0, 0.0190, 95.72
473.0, 0.0186, 95.81
474.0, 0.0184, 95.85
475.0, 0.0182, 95.89
476.0, 0.0179, 95.97
477.0, 0.0175, 96.05
478.0, 0.0171, 96.14
479.0, 0.0169, 96.17
480.0, 0.0165, 96.27
481.0, 0.0161, 96.35
482.0, 0.0159, 96.41
483.0, 0.0154, 96.51
484.0, 0.0151, 96.58
485.0, 0.0148, 96.65
486.0, 0.0145, 96.71
487.0, 0.0143, 96.75
