Sample Name, Sample-53
Time, February 05 12:42:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5370, 29.04
231.0, 0.5332, 29.30
232.0, 0.5294, 29.55
233.0, 0.5257, 29.80
234.0, 0.5216, 30.09
235.0, 0.5177, 30.36
236.0, 0.5141, 30.61
237.0, 0.5103, 30.88
238.0, 0.5067, 31.14
239.0, 0.5029, 31.41
240.0, 0.4991, 31.69
241.0, 0.4955, 31.95
242.0, 0.4921, 32.20
243.0, 0.4889, 32.44
244.0, 0.4857, 32.68
245.0, 0.4823, 32.94
246.0, 0.4790, 33.19
247.0, 0.4756, 33.45
248.0, 0.4724, 33.69
249.0, 0.4691, 33.95
250.0, 0.4660, 34.20
251.0, 0.4631, 34.43
252.0, 0.4601, 34.66
253.0, 0.4571, 34.90
254.0, 0.4547, 35.10
255.0, 0.4523, 35.30
256.0, 0.4500, 35.48
257.0, 0.4476, 35.68
258.0, 0.4462, 35.79
259.0, 0.4420, 36.14
260.0, 0.4392, 36.37
261.0, 0.4369, 36.57
262.0, 0.4346, 36.77
263.0, 0.4319, 36.99
264.0, 0.4292, 37.22
265.0, 0.4268, 37.43
266.0, 0.4244, 37.64
267.0, 0.4221, 37.83
268.0, 0.4195, 38.06
269.0, 0.4170, 38.28
270.0, 0.4142, 38.53
271.0, 0.4117, 38.75
272.0, 0.4088, 39.01
273.0, 0.4062, 39.25
274.0, 0.4037, 39.48
275.0, 0.4010, 39.72
276.0, 0.3981, 39.99
277.0, 0.3954, 40.23
278.0, 0.3929, 40.46
279.0, 0.3905, 40.69
280.0, 0.3878, 40.94
281.0, 0.3849, 41.22
282.0, 0.3819, 41.50
283.0, 0.3784, 41.84
284.0, 0.3752, 42.15
285.0, 0.3720, 42.46
286.0, 0.3687, 42.78
287.0, 0.3654, 43.12
288.0, 0.3620, 43.45
289.0, 0.3590, 43.76
290.0, 0.3558, 44.08
291.0, 0.3528, 44.38
292.0, 0.3500, 44.67
293.0, 0.3470, 44.98
294.0, 0.3437, 45.32
295.0, 0.3407, 45.63
296.0, 0.3376, 45.96
297.0, 0.3349, 46.25
298.0, 0.3335, 46.40
299.0, 0.3289, 46.89
300.0, 0.3260, 47.21
301.0, 0.3232, 47.51
302.0, 0.3207, 47.79
303.0, 0.3182, 48.06
304.0, 0.3158, 48.33
305.0, 0.3132, 48.62
306.0, 0.3103, 48.95
307.0, 0.3074, 49.28
308.0, 0.3045, 49.60
309.0, 0.3020, 49.89
310.0, 0.2992, 50.21
311.0, 0.2963, 50.54
312.0, 0.2937, 50.85
313.0, 0.2910, 51.16
314.0, 0.2886, 51.46
315.0, 0.2859, 51.77
316.0, 0.2834, 52.08
317.0, 0.2808, 52.38
318.0, 0.2780, 52.73
319.0, 0.2751, 53.08
320.0, 0.2719, 53.46
321.0, 0.2691, 53.81
322.0, 0.2663, 54.16
323.0, 0.2634, 54.53
324.0, 0.2605, 54.89
325.0, 0.2577, 55.25
326.0, 0.2550, 55.59
327.0, 0.2525, 55.92
328.0, 0.2499, 56.25
329.0, 0.2476, 56.54
330.0, 0.2462, 56.73
331.0, 0.2416, 57.33
332.0, 0.2387, 57.71
333.0, 0.2362, 58.06
334.0, 0.2333, 58.44
335.0, 0.2309, 58.76
336.0, 0.2281, 59.14
337.0, 0.2260, 59.43
338.0, 0.2235, 59.77
339.0, 0.2220, 59.97
340.0, 0.2108, 61.55
341.0, 0.2095, 61.72
342.0, 0.2077, 61.99
343.0, 0.2058, 62.26
344.0, 0.2047, 62.42
345.0, 0.2028, 62.69
346.0, 0.2013, 62.90
347.0, 0.1999, 63.10
348.0, 0.1989, 63.25
349.0, 0.1973, 63.49
350.0, 0.1964, 63.62
351.0, 0.1948, 63.85
352.0, 0.1934, 64.07
353.0, 0.1918, 64.30
354.0, 0.1901, 64.54
355.0, 0.1888, 64.75
356.0, 0.1868, 65.05
357.0, 0.1848, 65.34
358.0, 0.1833, 65.57
359.0, 0.1816, 65.83
