Sample Name, Sample-4
Time, February 06 09:35:04 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1852, 6.53
301.0, 1.0692, 8.53
302.0, 0.9777, 10.53
303.0, 0.9030, 12.50
304.0, 0.8328, 14.70
305.0, 0.7733, 16.85
306.0, 0.7207, 19.02
307.0, 0.6787, 20.96
308.0, 0.6440, 22.70
309.0, 0.6156, 24.23
310.0, 0.5922, 25.57
311.0, 0.5725, 26.76
312.0, 0.5561, 27.79
313.0, 0.5429, 28.65
314.0, 0.5328, 29.32
315.0, 0.5242, 29.91
316.0, 0.5156, 30.51
317.0, 0.5079, 31.05
318.0, 0.5006, 31.58
319.0, 0.4939, 32.07
320.0, 0.4877, 32.53
321.0, 0.4821, 32.95
322.0, 0.4769, 33.35
323.0, 0.4715, 33.77
324.0, 0.4663, 34.18
325.0, 0.4613, 34.57
326.0, 0.4569, 34.92
327.0, 0.4525, 35.27
328.0, 0.4479, 35.65
329.0, 0.4439, 35.99
330.0, 0.4412, 36.21
331.0, 0.4341, 36.80
332.0, 0.4293, 37.21
333.0, 0.4247, 37.61
334.0, 0.4206, 37.97
335.0, 0.4161, 38.36
336.0, 0.4114, 38.78
337.0, 0.4073, 39.15
338.0, 0.4036, 39.48
339.0, 0.4013, 39.69
340.0, 0.3951, 40.27
341.0, 0.3905, 40.69
342.0, 0.3859, 41.13
343.0, 0.3812, 41.57
344.0, 0.3780, 41.88
345.0, 0.3734, 42.32
346.0, 0.3698, 42.68
347.0, 0.3662, 43.04
348.0, 0.3617, 43.48
349.0, 0.3577, 43.88
350.0, 0.3541, 44.25
351.0, 0.3508, 44.59
352.0, 0.3475, 44.92
353.0, 0.3441, 45.28
354.0, 0.3403, 45.68
355.0, 0.3364, 46.09
356.0, 0.3324, 46.52
357.0, 0.3288, 46.90
358.0, 0.3249, 47.32
359.0, 0.3212, 47.73
360.0, 0.3175, 48.14
361.0, 0.3142, 48.51
362.0, 0.3112, 48.84
363.0, 0.3084, 49.16
364.0, 0.3056, 49.48
365.0, 0.3025, 49.83
366.0, 0.2993, 50.20
367.0, 0.2962, 50.56
368.0, 0.2933, 50.90
369.0, 0.2901, 51.27
370.0, 0.2890, 51.41
371.0, 0.2834, 52.07
372.0, 0.2802, 52.46
373.0, 0.2773, 52.80
374.0, 0.2747, 53.12
375.0, 0.2723, 53.42
376.0, 0.2699, 53.71
377.0, 0.2672, 54.05
378.0, 0.2644, 54.40
379.0, 0.2617, 54.74
380.0, 0.2589, 55.09
381.0, 0.2563, 55.42
382.0, 0.2539, 55.73
383.0, 0.2516, 56.03
384.0, 0.2502, 56.21
385.0, 0.2468, 56.65
386.0, 0.2444, 56.96
387.0, 0.2421, 57.26
388.0, 0.2402, 57.51
389.0, 0.2380, 57.81
390.0, 0.2356, 58.13
391.0, 0.2334, 58.42
392.0, 0.2310, 58.75
393.0, 0.2289, 59.03
394.0, 0.2269, 59.31
395.0, 0.2248, 59.60
396.0, 0.2228, 59.87
397.0, 0.2206, 60.18
398.0, 0.2186, 60.45
399.0, 0.2171, 60.67
400.0, 0.2152, 60.92
401.0, 0.2134, 61.18
402.0, 0.2114, 61.47
403.0, 0.2096, 61.72
404.0, 0.2078, 61.98
405.0, 0.2062, 62.21
406.0, 0.2042, 62.49
407.0, 0.2024, 62.74
408.0, 0.2008, 62.97
409.0, 0.1994, 63.19
410.0, 0.1976, 63.44
411.0, 0.1963, 63.64
412.0, 0.1950, 63.82
413.0, 0.1936, 64.03
414.0, 0.1919, 64.28
415.0, 0.1906, 64.48
416.0, 0.1888, 64.74
417.0, 0.1874, 64.96
418.0, 0.1859, 65.18
419.0, 0.1845, 65.39
420.0, 0.1833, 65.58
421.0, 0.1818, 65.80
422.0, 0.1804, 66.00
423.0, 0.1792, 66.19
424.0, 0.1780, 66.37
425.0, 0.1767, 66.57
426.0, 0.1754, 66.78
427.0, 0.1741, 66.97
428.0, 0.1729, 67.16
429.0, 0.1717, 67.34
430.0, 0.1704, 67.55
431.0, 0.1692, 67.73
432.0, 0.1680, 67.93
433.0, 0.1669, 68.10
434.0, 0.1658, 68.26
435.0, 0.1648, 68.42
436.0, 0.1637, 68.59
437.0, 0.1626, 68.77
438.0, 0.1615, 68.95
439.0, 0.1605, 69.11
440.0, 0.1593, 69.30
441.0, 0.1582, 69.47
442.0, 0.1571, 69.65
443.0, 0.1560, 69.83
444.0, 0.1549, 70.00
445.0, 0.1538, 70.18
446.0, 0.1527, 70.36
447.0, 0.1518, 70.50
448.0, 0.1509, 70.65
449.0, 0.1501, 70.77
450.0, 0.1496, 70.86
